Link: ;https://www.instagram.com/p/CWdAirWsLAh/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;aj_fej;Ich wohne ganz in der Nähe von dir und bin gestern bei dir vorbeigefahren und hab das Rückgebäude gesehen, wo deine Wohnung ist. Sehr schönes Haus ist das! :);2021-11-21T16:47:17.000Z;2 likes;-
1-1;ichbinsophiescholl;@aj_fej Wie schön! Hans und ich hatten wirklich Glück mit dieser tollen Wohnung. Ich bin so froh, nicht mehr im Atelier schlafen zu müssen.;2021-11-21T17:33:20.000Z;1 like;1
2;smilli2012;Meine Wände sind größtenteils leer. Die beste Leinwand für Phantasie!;2021-11-20T23:00:18.000Z;0;-
3;jg_photographica_;Omg was hätte ich zu meinen Gruftizeiten für diese Tapete gegeben!😍😍😍;2021-11-20T22:01:12.000Z;0;-
4;guitar_vision_;Eine schöne Idee. Bilder die Kunst mit sich tragen, geben mir auch immer wieder neue inspirierende Gefühle🙂;2021-11-20T10:34:51.000Z;0;-
5;cosima_simona_homberg;Ich liebe die Bilder von Paula Moderson-Becker und habe einen Druck von ihr an meiner Wand hängen.;2021-11-20T09:37:00.000Z;0;-
6;helgadancke;Meine Fotos und Kunstwerke , die ich über die Jahre gesammelt habe.;2021-11-20T08:58:35.000Z;0;-
7;alexesawatzkiplasticienne;Ich hänge meine Werke auf, aber auch einige von anderen befreundeten Künstlern. Wir haben getauscht und das bereichert die Seele. Liebe Grüße;2021-11-20T08:13:57.000Z;1 like;-
7-1;ichbinsophiescholl;@alexesawatzkiplasticienne Der Bildertausch ist eine tolle Idee!;2021-11-20T08:30:41.000Z;2 likes;7
8;caaro.q;Hallo Sophie, bei mir an der Wand hängt auch ein Bild von Wilhelm Geyer, eines seiner Blumenbilder. Er war nämlich mein Urgroßvater. LG:);2021-11-19T22:05:05.000Z;1 like;-
9;christine.binggeli;❤️;2021-11-19T22:02:25.000Z;0;-
10;anika231456;Ich hänge die gemalten Bilder meiner Kinder eingerahmt an die Wand. ❤️Für mich steckt da viel mehr dahinter... Kinder sind wahre Künstler denn nicht sie malen sondern ihre Seelen...;2021-11-19T21:56:35.000Z;1 like;-
11;jushou;An unseren Wänden hängen eigene Fotografien und Bilder, die ich gemalt habe. Kunst ist wichtig! ☺️;2021-11-19T21:47:11.000Z;2 likes;-
11-1;ichbinsophiescholl;@jushou Das finde ich auch! Ich brauch etwas inspirierendes an der Wand, wo mein Blick auch mal versinken kann.;2021-11-20T07:05:19.000Z;1 like;11
12;sonnlinatequila;Tolle Tapete 🤩;2021-11-19T21:46:10.000Z;0;-
13;annaisabel_r;Bei mir hängt ein Bild von Klaus und Erika Mann. Mein Ex hat das gemalt. Auch Rebellen.;2021-11-19T21:38:57.000Z;0;-
14;felicitas.hecker;Ich wünsche dir, dass du dich schnell wohlfühlst! 😊Das ist das Wichtigste. ..;2021-11-19T21:07:51.000Z;1 like;-
15;susi_salzstangerl;ein Banksy-Druck- 'There is always hope'...;2021-11-19T19:42:48.000Z;0;-
16;anjamuller565;Bilder meiner Kinder, ein gerahmtes Poster von Vermeer ( das Mädchen mit dem Perlenohrring) und Phares de la Tempête von Jean Guichard. Ich liebe Bilder an den Wänden. Dein Zimmer ist sehr schön!;2021-11-19T18:47:04.000Z;1 like;-
17;tessa.dreher;Wir haben 'selbstgemachtes' an der Wand. Fotografien von mir, Aquarelle von meinem Onkel und ganz viele Acrylbilder von unserer Jüngsten. Doch das schönste Bild im Hsus ist von von meinem Mann in zarten Alter von 4 Jahren gezaubert worden. Man sieht wie die Sonne über das Zuhause wandert😍;2021-11-19T18:39:02.000Z;2 likes;-
17-1;ichbinsophiescholl;@tessa.dreher Da hast du wirklich eine kreative Familie! Wie schön, dass ihre Werke an den Wänden hängen!;2021-11-20T07:07:08.000Z;5 likes;17
18;_steffis_kleine_tierwelt_;Sehr schön bei uns hängen viele Fotos Erinnerungen an den Wänden;2021-11-19T18:17:12.000Z;1 like;-
19;martina_mordt;In erster Linie hängen Bilder meiner Kinder und Enkelkinder an unseren Wänden und natürlich von meiner 2017 verstorbenen Seelenhündin ❤️ aber auch ein großes Bild von einem Tiger (neben Hunden meine absoluten Lieblingstiere ❤️;2021-11-19T17:51:54.000Z;1 like;-
20;andre_van_bleiswijk;In 3 Monaten schon bist du tot. Darf nicht dran denken sonst zerreißt es mich. Es geht schnell am gleichen Tag der Verurteilung. So schrecklich es auch ist aber wenigstens hat man dich nicht unnötig länger psychisch gequält. Deine Liebe wird fast 80 Jahre später ganz neu in die Köpfe und Herzen knallen. 2021/22 wird das Deutschland der Zukunft auch Gefühlskalt sein wie jetzt. Die Menschen werden an deiner Geschichte irgendwas suchen was man dann als Fake bezeichnet. Eine Pandemie läßt die Bevölkerung an jeder Ecke eine Verschwörung wittern. Deutschland wird keine Diktatur mehr sein und ist bestens in der Weltgemeinschaft eingebettet. Ohne uns und unser Geld wäre vieles in der Welt nicht möglich. Viele haben nichts kapiert denn sie kennen den Krieg nicht. Es werden wieder deutsche Soldaten gefallen sein denn ein Bündnis mit vielen anderen Ländern verwickelt uns zb mit Afghanistan. Es hat nichts mit dir und deiner Zeit zu tun. Du aber hast einen tollen Job gemacht. Ich liebe dich. Dein André;2021-11-19T17:50:24.000Z;2 likes;-
21;sandra_sandra187;Hallo liebe Sophie ich bin hier neu und wollte mal fragen wie du auf die Idee gekommen bist dir so viel Mühe zu geben und diese Seite ins Leben gerufen hast ❤️ liebe Grüße Sandra;2021-11-19T17:17:53.000Z;6 likes;-
21-1;ichbinsophiescholl;@sandra.bremer.351 #TeamSoffer Hallo Sandra! Anlässlich des 100. Geburtstags von Sophie Scholl haben wir das Projekt im Mai 2021 gestartet. @ichbinsophiescholl gibt einen Einblick in das Leben von Sophie Scholl, von ihrer Ankunft in München am 04.05.1942 bis zu ihrer Hinrichtung am 22.02.1943. Du findest alle Infos über den Link in unserer Bio. Schön, dass du dabei bist!;2021-11-19T17:53:37.000Z;15 likes;21
21-2;sandra_sandra187;@ichbinsophiescholl oh toll danke für die ausführliche Information ich bin gespannt auf die Videos 😍😍;2021-11-19T17:58:41.000Z;0;21
21-3;cosima_simona_homberg;"@ichbinsophiescholl und wieder zerreißt es mich und ich muss weinen. Dieses Projekt ist so wichtig und so genial, aber emotional gesehen kriege ich es nicht hin. Immer wieder fühlt es sich an, als ob sich alles wiederholt und ich es nicht schaffe, es aufzuhalten. Kenne ich doch schon das Ende und schreibe dir, die du vermeintlich noch lebst. Meine eigene Geschichte und die meiner Familie ist so präsent wie nie. Ja, das ist das Ziel, wachhalten, erinnern, verarbeiten,- damit es sich nicht in der Realität erneut wiederholt. Und doch passiert es täglich, überall auf der Welt, dass Menschen verachtet, misshandelt, vernachlässigt und getötet werden. Ich danke euch für eure Arbeit und eure Kraft. Ich mag mir gar nicht vorstellen, für anstrengend es für euch ist, wenn es für mich schon aus der Ferne, ohne ""es selbst darzustellen"" schon so schwer ist.";2021-11-20T09:49:33.000Z;0;21
21-4;ichbinsophiescholl;"@cosima_simona_homberg #TeamSoffer Liebe Cosima-Simona, wir bedanken uns bei dir, dass du uns deine Bedenken so offen und ehrlich mitteilst. Dieses Projekt ist darauf ausgelegt, die Geschichte um Sophie Scholl und die Weiße Rose auf eine unglaublich fühlbare und persönliche Weise kennenzulernen. Die Identifizierung mit- und Empathie für die dargestellten Personen passiert meistens sehr unbeachtet. Dies kann dazu führen, dass man für sich persönlich die emotionale Distanz nur schwer wahren kann. Deine Gesundheit und dein Wohlbefinden sollten hierbei Priorität haben. Wir bieten gerne an mit uns in den direkten Austausch zu gehen, doch falls dich die Geschichte zu sehr belastet empfehlen wir dir etwas Abstand von dem Format zu nehmen.
Liebe Grüße #TeamSoffer";2021-11-20T10:15:13.000Z;0;21
21-5;cosima_simona_homberg;@ichbinsophiescholl das ist sehr lieb und ich danke für das Angebot! Ich nehme die Herausforderung der Verarbeitung gerne an und tausche mich mit meiner besten Freundin darüber aus. Dankeschön für den Support! Und ja, ich nehme den Rat gerne an, dass wenn es mir zuviel wird, ich eine Pause einlege. Dankeschön!;2021-11-20T10:20:04.000Z;0;21
22;baumlross;Danke für diese Info;2021-11-19T16:18:43.000Z;0;-
23;funkensteinsmonster;Bei mir hängt ein Bild von Snoopy 😍;2021-11-19T15:53:55.000Z;0;-
24;bayerejacqueline;Ist das Foto echt, oder ist es eins von heute ?;2021-11-19T15:27:18.000Z;0;-
24-1;ichbinsophiescholl;@bayerejacqueline #TeamSoffer Das Foto wurde im Rahmen der Dreharbeiten gemacht und ist eine Set Kulisse. Mehr Informationen findest du über dem Link in der Bio. Liebe Grüße!;2021-11-19T16:40:10.000Z;0;24
25;ichbinsophiescholl;#TeamSoffer Sophie Scholl fragte ihre Mutter nach dem Einzug in die Wohnung in der Franz-Joseph-Str. 13, ob ihr der Freund der Familie und Maler Wilhelm Geyer wohl eines seiner Bilder überlassen könnte. Dieser arbeitete 1942/43 auch in München im Atelier, in dem sich die Weiße Rose regelmäßig traf. Seine Kunst galt unter den Nationalsozialisten als „entartet“. Nach der Verhaftung der Weißen Rose wurde auch Geyer festgenommen und kam in Untersuchungshaft. In der Bundesrepublik war er ein bedeutender Glasmaler von Kirchenfenstern.;2021-11-19T15:14:20.000Z;43 likes;-
26;x.e_v_a;Bist du auch Fan von Wilhelm Geyer? Der hat in unserer katholischen Kirche die Wandbemalungen angefertigt! Das sieht richtig, richtig schön aus!;2021-11-19T15:10:23.000Z;0;-
27;karinamelone3484;Und was ich noch fragen wollte, was habt ihr denn jetzt mit dem zweiten Film von Alex gemacht? Was war da drauf? Hast‘ das bei Alex noch genauer gefragt oder habt ihr ihn auch angeschaut?;2021-11-19T13:46:29.000Z;0;-
28;karinamelone3484;Oh! Das ist toll! Ich hab das gegoogelt - das ist ja direkt am Park! Toll! Geht dein Fenster da raus?;2021-11-19T13:42:41.000Z;1 like;-
29;dandelion_sue;"Bei mir hängt ein gemaltes Bild einer Freundin und es heißt ""Die Träumerin"" und ein Verlagsposter, da steht ""Lieber lesen!""";2021-11-19T13:42:08.000Z;0;-
30;doris_von_;Bei mir hängt die Kaiserin Elisabeth ( sisi ) sonst nichts ❤️;2021-11-19T13:26:34.000Z;0;-
31;karinkl63;Wir haben Bilder unserer Reisen an den Wänden - Oslofjord - Tempel auf Bali und seit neuestem einen Elefanten aus Kenia. Also nur noch eigene „Werke“.;2021-11-19T12:51:57.000Z;0;-
32;irene.garbe3;Bilder;2021-11-19T12:37:51.000Z;1 like;-
