Link: ;https://www.instagram.com/p/CS4YTH-oXu9/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;buckshot3906;Verblendet sicher, aber auch resigniert und zu viel Angst, um was zu sagen. Meine Mutter ist 1920 in Hamburg geboren, hat mit 18 geheiratet und ist mit ihrem Mann zum Bauernhof seiner Eltern in der Nähe von Frankfurt an der Oder gezogen. Sie hatte 3 Kinder, wovon 1 mit 6 Monaten an einer Lungenentzündung gestorben ist. Ihr Mann ist dann 1942 in Russland als vermisst gemeldet worden, und als die Russen dann kamen ist sie mit den Kindern zu Fuß und auf einem offenen Eisenbahn Wagon nach Hamburg geflohen. Da hat sie am Ende des Krieges meinen Vater, einen englischen Soldat, kennengelernt. Ich habe sie öfters gefragt, ob sie nicht gemerkt hat, was da abging. Sie hat gemeint, sie merkte schon, dass Leute abgeholt worden sind - ihr Vater ist auch von der Gestapo abgeholt worden und kam 3 Tage nicht wieder, weil er den Hitler Gruß mal nicht gemacht hat. Man hat aber nicht gefragt, und hat versucht, so zu leben, als ob nichts wäre. Den Mut zu mehr hatte man nicht. Ganz ehrlich, ich weiß nicht, ob ich den Mut auch gehabt hätte - die Geschichte von Sophie Scholl ist deshalb für mich so beeindruckend -solche Leute brauchen wir immer, und ihre Geschichte zeigt uns, dass man Mut haben muss, wenn man aufzeigen will, was ungerecht ist.;2021-08-24T06:27:22.000Z;5 likes;-
2;buckshot3906;Verblendet sicher, aber auch resigniert und zu viel Angst, um was zu sagen. Meine Mutter ist 1920 in Hamburg geboren, hat mit 18 geheiratet und ist mit ihrem Mann zum Bauernhof seiner Eltern in der Nähe von Frankfurt an der Oder gezogen. Sie hatte 3 Kinder, wovon 1 mit 6 Monaten an einer Lungenentzündung gestorben ist. Ihr Mann ist dann 1942 in Russland als vermisst gemeldet worden, und als die Russen dann kamen ist sie mit den Kindern zu Fuß und auf einem offenen Eisenbahn Wagon nach Hamburg geflohen. Da hat sie am Ende des Krieges meinen Vater, einen englischen Soldat, kennengelernt. Ich habe sie öfters gefragt, ob sie nicht gemerkt hat, was da abging. Sie hat gemeint, sie merkte schon, dass Leute abgeholt worden sind - ihr Vater ist auch von der Gestapo abgeholt worden und kam 3 Tage nicht wieder, weil er den Hitler Gruß mal nicht gemacht hat. Man hat aber nicht gefragt, und hat versucht, so zu leben, als ob nichts wäre. Den Mut zu mehr hatte man nicht. Ganz ehrlich, ich weiß nicht, ob ich den Mut auch gehabt hätte - die Geschichte von Sophie Scholl ist deshalb für mich so beeindruckend -solche Leute brauchen wir immer, und ihre Geschichte zeigt uns, dass man Mut haben muss, wenn man aufzeigen will, was ungerecht ist.;2021-08-24T05:33:03.000Z;11 likes;-
2-1;monnahpotter;@buckshot3906 Das sind dann oft die Menschen, die alleine sind und verurteilt werden und für mehr als sich selbst stark sein müssen. Bin auch so gepolt.;2021-09-15T12:10:58.000Z;0;2
3;netratz;🔥❤️;2021-08-23T12:22:04.000Z;0;-
4;schoolsven;🥺❤️;2021-08-23T11:24:21.000Z;0;-
5;ines_s_2;❤️🔥;2021-08-23T09:43:24.000Z;0;-
6;hauptstadtlady50;Danke 🙏 für die Zusammenfassung der Woche 👏liebe Sophie.;2021-08-22T18:17:29.000Z;4 likes;-
7;enrico_ei;"""nur einen Katzenwurf entfernt"" Und ich dachte immer es heißt ""Steinsprung"" 🙃";2021-08-22T16:29:06.000Z;8 likes;-
7-1;stppnxwlf;"@enrico_ei Ist mir auch aufgefallen. Aber heißt es nicht ""einen Katzensprung"" oder eben ""einen Steinwurf"" entfernt? 🤔";2021-08-22T22:30:54.000Z;3 likes;7
7-2;kokele_007;@enrico_ei Man kann Katzen auch werfen.;2021-08-22T23:44:13.000Z;3 likes;7
7-3;stppnxwlf;@enrico_ei 🤣 das kam bei mir nicht an 😅;2021-08-23T10:09:48.000Z;0;7
8;_yoga_tanz;Wird alle immer schlimmer. Staubsaugen ist vielleicht eine Alternative 😏;2021-08-22T15:16:55.000Z;3 likes;-
9;anja_oblosb;So viel Bügelwäsche kann man gar nicht haben, um solche Sorgen wegzubügeln. 😥❤;2021-08-22T15:15:59.000Z;10 likes;-
