Link: ;https://www.instagram.com/p/CUeaJ_HMj3R/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;anjamuller565;Super Idee. Ich hoffe er kann euch hören!!;2021-10-01T19:15:56.000Z;0;-
2;sonnenblumegg;Wenn nicht macht ihr bestimmt jemand anderen glücklich 😍😍😍;2021-10-01T14:52:17.000Z;0;-
3;katrinpruchniewski;"Ich hoffe, daß er euch hört.
Es wird ihm bestimmt gut tun.🌹";2021-10-01T11:23:04.000Z;1 like;-
4;christine.binggeli;❤️;2021-10-01T10:56:28.000Z;0;-
5;norena_96;Natürlich wird er euch hören! Und er wird sich auch ganz sicher total freuen und Dank euch neuen Mut schöpfen können, so wie bestimmt auch ganz viele andere Gefangene! 🔥❤️ Euer Einsatz ist wirklich toll 👍🏻;2021-10-01T09:22:14.000Z;2 likes;-
6;coramaccain;Ob er es hört oder nicht, es ist die Geste, die zählt.❤️;2021-10-01T09:03:33.000Z;2 likes;-
7;reiner_gehling;Hoffentlich bekommt ihr keinen Ärger.;2021-10-01T08:40:21.000Z;1 like;-
8;gwen_gloeckchen;Bestimmt! 🙌❤️🙌 Ich denke an euch, ihr Lieben! ❤️;2021-10-01T07:56:36.000Z;2 likes;-
9;fraukehahne;Ihr seid so klasse!;2021-10-01T07:53:45.000Z;2 likes;-
10;katharina.helling;"🗓 01.10.1942
▪️Aus Wien geht ein Deportationszug mit rund 1.300 Menschen nach Theresienstadt ab.
▪️Auschwitz
Im Frauenlager B Ia in Birkenau wird eine “""Selektion""” durchgeführt; 2.000 weibliche Häftlinge werden in die Gaskammern geschickt. (Czech, S. 312)
//
🗓 Oktober 1942
▪️Dänemark
Der Reichsbevollmächtigte v. Renthe-Fink wird durch SS-Brigadeführer Best abgelöst. Dieser setzt zunächst im Wesentlichen die Politik seines Vorgängers fort: Erhalt der breiten Regierungskoalition unter Ausschluß der dänischen Nationalsozialisten;  Zurückhaltung in der “""Judenfrage""”, obwohl der Judenreferent des Auswärtigen Amtes, Rademacher, eine Verschärfung der Maßnahmen befürwortete.
▪️Niederlande
Neue große Razzien zur Füllung der Deportationszüge. Alle jüdischen Männer aus den Arbeitslagern werden ins KL Westerbork, den Ausgangspunkt der Deportationszüge, verlegt.
▪️Generalgouvernement
In Drogobytsch (Ukraine) wird Anfang Oktober ein Ghetto errichtet, in das rund 10.000 Juden gesperrt werden, darunter die Überlebenden der jüdischen Gemeinden der Umgebung. Deportationen beginnen am 23./24. Oktober.
//
http://www.holocaust-chronologie.de/chronologie/1942/oktober.html";2021-10-01T07:42:58.000Z;5 likes;-
11;magerjeannette;Er wird euch hören, ganz sicher. Es wird allen mut machen.;2021-10-01T07:29:19.000Z;2 likes;-
12;anja_oblosb;Was für ein schönes Foto...es stimmt froh und traurig zugleich. 🥲;2021-10-01T07:26:33.000Z;3 likes;-
13;deahobbit;Klar hört er euch….und selbst wenn nicht akustisch, dann doch in seinem Herzen;2021-10-01T07:25:56.000Z;2 likes;-
14;elakuehn72;Euer Vater wird es ganz sicher hören und es wird ihm sehr viel bedeuten, dass ihr für ihn spielt ... er wird sich in schweren Momenten daran erinnern können und Kraft draus ziehen. ❤️;2021-10-01T07:23:40.000Z;47 likes;-
14-1;ichbinsophiescholl;@elakuehn72 Das hoffe ich sehr! Er soll einfach wissen, dass wir hier auf ihn warten und ihn schrecklich vermissen;2021-10-01T08:41:57.000Z;20 likes;14
15;felicis82;🎼🎵🎶❤️❤️;2021-10-01T07:03:40.000Z;0;-
16;henner1992;Warum kommt Mehmet Scholl nie vor?;2021-10-01T07:01:26.000Z;2 likes;-
16-1;sili.marie;@henner1992 🙄🙄🙄;2021-10-01T07:36:00.000Z;2 likes;16
17;mrszruk;👏;2021-10-01T06:38:34.000Z;0;-
18;natascha.ponczeck;... denn meine Gedanken, die sprengen die Schranken und Mauern entzwei, die Gedanken sind frei!;2021-10-01T06:24:23.000Z;13 likes;-
18-1;ichbinsophiescholl;@working_mum_hero Was für ein wundervoller Text, nicht wahr?;2021-10-01T06:28:51.000Z;11 likes;18
18-2;natascha.ponczeck;@ichbinsophiescholl oh ja. Und so tröstlich, dass man mir als Gewerkschafterin und Sozialdemokratin zwar die Freiheit, nicht aber meine Meinung zu einem faschistischen Regime nehmen kann.;2021-10-01T06:31:42.000Z;3 likes;18
19;ichliebefarbe;Wenn nicht der Vater, dann aber Sehr viele andere Gefangene, die sich sicherlich freuen!;2021-10-01T06:21:55.000Z;26 likes;-
19-1;finding_essenz_and_focus;Und wenn es nur einem Kraft gibt!;2021-10-01T06:23:05.000Z;6 likes;19
19-2;ichbinsophiescholl;@ichliebefarbe Das stimmt! Vielleicht kennen einige der anderen Gefangenen den Text auch oder sie erfreuen sich wenigstens an der Melodie, immerhin haben Inge und ich fleißig geübt;2021-10-01T06:34:52.000Z;25 likes;19
