Link: ;https://www.instagram.com/p/CSoA5zBMF-L/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;hypathia.shmypathia;Leute. Sophie Scholl ist tot. Eure Tipps hier helfen nicht. Was lebendigen Menschen hilft, ist, antifaschistisch zu wählen. Und: Schreibt über www.luftbrueckekabul.de euren Abgeordneten. Spendet an antifaschistische Initiativen.;2021-08-30T10:35:39.000Z;10 likes;-
2;mary2ana;"""widerstand""";2021-08-29T20:02:12.000Z;0;-
3;irinikotzabassi;❤️;2021-08-19T06:19:02.000Z;0;-
4;elisasonnenschein777;"Ich lese die Psalmen zum einschlafen oder wenn ich nicht schlafen kann. ""Ich kann ruhig schlafen, auch wenn kein Mensch zu mir hält, denn du, HERR, beschützt mich."" steht da in Psalm 4,9. Ich bete um Gottes tiefen Frieden und seiner übernatürlichen Kraft für dich und deine wunderbare Familie ❤";2021-08-18T22:15:24.000Z;2 likes;-
4-1;fmlaer;@elisasonnenschein777 Digga wie viel Eskapismus noch?;2021-11-29T20:29:00.000Z;1 like;4
4-2;elisasonnenschein777;@fmlaer alles wird gut 🍓;2021-12-20T00:07:24.000Z;0;4
4-3;fmlaer;@elisasonnenschein777 dieser Account “lebt” im Jahre 1943. Die Nazis regieren Deutschland. Absolut gar nichts wird einfach so gut und deine Psalmen haben auch niemanden gerettet. Aktiver Antifaschismus rettet Menschen vor Faschismus sonst gar nichts.;2021-12-20T00:24:11.000Z;0;4
4-4;elisasonnenschein777;@fmlaer wünsche dir ein ganz gesegnetes Fest und das du das Weihnachtswunder tief in deinem Herzen spüren kannst🙏;2021-12-24T22:27:31.000Z;0;4
5;petraregenfuss;❤️;2021-08-17T22:15:08.000Z;0;-
6;gold_christina;Ein Benediktiner hat mal den Rat gegeben, abends alle Sorgen und Anliegen bewusst in Gottes Hände zu legen/abzugeben. Das gelingt mir - zumindest ab und zu;2021-08-17T20:44:37.000Z;11 likes;-
6-1;ichbinsophiescholl;@gold_christina Das ist ein schöner Gedanke! 💭;2021-08-18T07:24:07.000Z;2 likes;6
7;michael.bacasa;@_ab15_;2021-08-17T12:00:48.000Z;0;-
8;aurivoir;Tipp meiner Grossmutter: Für jeden Buchstaben des Alphabets 10 Ortschaften aufzählen. Das macht das Hirn seeehr 😴;2021-08-17T11:44:27.000Z;5 likes;-
8-1;ichbinsophiescholl;@aurivoir Davon habe ich ja noch nie gehört! Ist sicherlich sehr hilfreich, um sich von den grauenvollen, stetig kreisenden Gedanken zu lösen, und fördert gleichzeitig das eigene Wissen! Toll!;2021-08-17T13:13:07.000Z;7 likes;8
9;j.lindemann;Mir hilft es immer sehr in Gedanken von 100 rückwärts zu zählen. Da konzentriert man sich darauf und nicht auf das Gedankenkreisen;2021-08-17T11:14:39.000Z;0;-
10;1.favseries;Aufschreiben was dich bewegt - angesichts der Lage auch verbrennen - dann ist nämlich raus aus dem Kopf. Hilft bei mir immer;2021-08-17T08:43:39.000Z;0;-
11;ninkas_blog;Mache Sport oder lese und träume dich so in eine andere Welt. Mir hilft es auch zu schreiben und alle Gedanken und Sorgen durchs aufschreiben ein bisschen loszuwerden.Auch hilft mir Abendrituale…;2021-08-17T08:32:59.000Z;0;-
11-1;ichbinsophiescholl;@ninkas_blog Das sind tolle Tipps, danke dir! Sport hilft einem wirklich einen freien Kopf zu bekommen, besonders Tanzen wirkt bei mir Wunder!;2021-08-17T08:56:45.000Z;1 like;11
12;gabriel.frwl;Ihr nase ist Süß😔🥺;2021-08-17T07:46:18.000Z;0;-
13;mangarissi;"60 sec. lang schnell blinzeln. Das macht die Augen ""schwer""";2021-08-16T21:28:44.000Z;3 likes;-
13-1;ichbinsophiescholl;@mangarissi Danke für die Idee! Vielleicht hilft das.;2021-08-16T21:30:17.000Z;1 like;13
14;isabella.morina10;Ich denke um den Kopf frei zu kriegen hilft reden du musst viel ein stecken dann frist du es in dich rein und das ist nicht gut nimm dir jemanden den du vertraust ❤️ hoffe das ein tipp aus dem Kommentaren funktioniert viel glück ❤️;2021-08-16T20:14:48.000Z;0;-
15;missearly_vienna;Bewusst dem Schmerz Raum geben, auch wenn es noch so weh tut ❤️;2021-08-16T18:48:31.000Z;0;-
16;giselaute;❤️❤️❤️;2021-08-16T17:54:37.000Z;0;-
17;pumpkinqueen27;Baldriantinktur 😊;2021-08-16T15:31:10.000Z;0;-
18;autorin_carolin_helm;"Ich hätte jetzt ""Ohrinsel"" vorgeschlagen, aber Youtube und Kopfhörer werden erst später erfunden...";2021-08-16T14:58:43.000Z;0;-
19;kati_schwalbe;Anspannung und Sorgen können einem den Schlaf rauben! Kräuter und Atmen sind super Tipps. Mir helfen auch schöne innere Bilder und vor allem die Gewissheit, dass ich in Gottes Hand geborgen bin.;2021-08-16T14:41:29.000Z;0;-
20;floh312;Die Augen im Dunkeln auflassen und wenn man noch so müde ist.;2021-08-16T14:26:32.000Z;0;-
21;katrinschmi.tz;Ich trinke immer Baldriantee vor dem Schlafen gehen. Ein Lavendelkissen liegt immer neben meinem Kopf und wenn du niemanden zum wärmen in der Nacht hast, dann ein Kuscheltier an die Brust schmiegen. Total kitschig aber so hilft es mir am Besten ❤️;2021-08-16T14:24:20.000Z;0;-
22;netratz;🔥❤️;2021-08-16T14:23:56.000Z;0;-
23;alpenblick33;❤️😢;2021-08-16T14:21:13.000Z;0;-
24;giusy79_;Meditation hilft mir ganz gut!;2021-08-16T13:57:01.000Z;0;-
25;patencia87;Wenn ich gar nicht mehr schlafen kann, lege ich mich im Bett verkehrt herum (also Kopf dahin wo sonst die Füße sind). Das hilft bei mir tatsächlich :);2021-08-16T13:25:51.000Z;1 like;-
26;raul_mccallister007;❤️;2021-08-16T13:07:32.000Z;0;-
27;fernandkridel;ZEN Meditationsmusik und sich voll drauf konzentrieren. Mir hilft ZEN zu LEBEN;2021-08-16T12:45:33.000Z;0;-
28;grumpygreetchen;Versuchen, im kopf auszurechnen, wie viele tage/stunden/… man schon alt ist;2021-08-16T12:37:44.000Z;0;-
29;birgit.bauer;Stricken hilft, ich bin mir nur nicht sicher ob du an Wolle kommst.;2021-08-16T12:30:30.000Z;0;-
30;kunst.bybeate;Statt Schafe zu zählen - oder zu zeichnen, sprich mit dem Hirten. Mir hilft das immer sehr. Oder Rosenkranz beten. Meist schlafe ich nach 3-5 Ave Maria bereits ein. Da kann man die Lieben auch wunderbar ins Gebet einschließen. 🙏;2021-08-16T12:24:51.000Z;0;-
31;such_a_precious_jewel;Entspannende Musik hören hilft mir immer ❤️;2021-08-16T12:22:46.000Z;0;-
32;katikrass;Hirnflickflaks (z.B. von 100 immer 7 abziehen), PMR, Atemübungen, Achtsamkeit, Gedanken aufschreiben, Grübelstunde tagsüber (da Zeit für Gedanken lassen und außerhalb der Zeit die Gedanken vertagen), tagsüber viel bewegen, Abendroutine, mit anderen über das reden was dich beschäftigt, kein Druck einzuschlafen (der Körper kann Schlaflosigkeit über eine gewisse Zeit gut verkraften und passt die Tiefschlafphasen von selbst an), positiv Tagebuch (welche 3 kleinen guten Momente gab es heute: z.B. ein nettes Lächeln, Sonne, gutes Essen,...), Fantasiereise,... Vielleicht ist ja was für dich dabei 😊;2021-08-16T12:16:56.000Z;115 likes;-
32-1;ichbinsophiescholl;@katikrass Wow Kati! Danke für deine vielen Tipps - da werde ich mich mal durcharbeiten und alles ausprobieren!;2021-08-16T12:20:55.000Z;24 likes;32
32-2;clg_sateka;Das werde ich bei mir auch mal versuchen! ❤️;2021-08-16T13:08:18.000Z;3 likes;32
32-3;matjes_jes_jes_jes;✨🖤;2021-08-16T18:04:43.000Z;0;32
33;lexpl8;Ich bin auch für Atemmeditation: Einatmen - Herr, Du kannst. Ausatmen - Herr, ich nicht. Hilft beim Abgeben und Loslassen, wenigstens für den Moment. Wunderbar...;2021-08-16T12:07:03.000Z;0;-
34;emsworld_____;Yoga? Ein Tagebuch? Oder denk an etwas schönes, unbedeutendes bevor du einschläfst;2021-08-16T11:54:56.000Z;0;-
35;hartmutjannis;Ist das Originalton Sophie Scholl?;2021-08-16T11:53:16.000Z;0;-
36;ava.santimea;mir haben Atemübungen Muskelentspannung Schäfchen zählen und Co im einzelnen nie viel gebracht... mir ist aber aufgefallen, dass mein Körper im Schlaf ganz anders atmet als im Wachzustand. wenn ich wach bin, atme ich meist in die Brust, im Schlaf ist es eine tiefe und feste Bauchatmung. ich stelle mich also auf den Schlaf ein und passe meine Atmung an... entspanne nach und nach die Muskeln und lasse die Gedanken kommen und gehen ohne sie festzuhalten. wenn ich das alles zusammen schaffe, bin ich nach spätestens 15 Minuten weg! allerdings klappt das auch nicht immer. ich glaube, das muss man üben...;2021-08-16T11:37:39.000Z;0;-
37;dr.volkertiemann;Noch ein Herz extra;2021-08-16T11:34:57.000Z;0;-
38;munchannette;Mir hilft es immer an schöne Zeiten zurück zu denken. Urlaube, Ausflüge und Erinnerungen. Manchmal träumt man dann davon.😍;2021-08-16T11:20:11.000Z;0;-
