Link: ;https://www.instagram.com/p/CaSRpkesKhU/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;feeligran;Was passierte eigentlich mit Gisela? War sie nicht mit Hans zu dem Zeitpunkt zusammen?;2022-02-26T11:54:21.000Z;2 likes;-
2;margit75557;🖤;2022-02-26T10:36:40.000Z;0;-
3;salem_schmidt;Hatte Hans nicht eine Freundin? Was wurde aus ihr? (Stand irgendwo... find den Post nicht mehr 😔;2022-02-24T23:47:53.000Z;0;-
4;marypoppinski7;❤️;2022-02-24T10:07:16.000Z;0;-
5;fitzel0815;Ein ganz tolles Projekt. Danke für eure Arbeit und Mühen. ❤️;2022-02-24T09:41:52.000Z;0;-
6;sa.bri.nana;❤️;2022-02-24T09:35:43.000Z;0;-
7;duck_mario;🕯️🕯️🕯️in Gedanken bei Sophie und all Ihren Helfern. Ein tolles Projekt von Euch ! #niewieder;2022-02-24T08:50:40.000Z;0;-
8;leoundlouis;❤️😢🕯;2022-02-24T06:36:28.000Z;0;-
9;sillisig;🖤;2022-02-23T22:11:13.000Z;0;-
10;firehorsetaurus;🕯🙏🏻🕯🙏🏻🕯🙏🏻🕯🙏🏻🕯;2022-02-23T21:37:35.000Z;0;-
11;gzm_kgn;„Es lebe die Freiheit!“✊🏽;2022-02-23T19:31:13.000Z;0;-
12;kleinemoorhexe;😂;2022-02-23T19:27:47.000Z;0;-
13;kleinemoorhexe;😂😂😂😂😂;2022-02-23T19:27:45.000Z;0;-
14;kleinemoorhexe;😂😂😂;2022-02-23T19:27:24.000Z;0;-
15;naturalis_vita_tirol;ES LEBE DIE FREIHEIT😢❤️🔥;2022-02-23T18:52:36.000Z;0;-
16;brittahrsn;Die Freiheit lebt! Jetzt mehr als je zuvor… 👏;2022-02-23T18:29:23.000Z;0;-
17;berlinbummler;❤️;2022-02-23T18:11:04.000Z;0;-
18;johanni_moosie;@ichbinsophiescholl wurden die Geschwister Scholl während den Verhören gefoltert?;2022-02-23T13:47:21.000Z;0;-
19;claudiama35;😢;2022-02-23T13:24:32.000Z;0;-
20;drunk_by_nature_berlin;Die intelligenteste Nutzung von Instagram! Vielen Dank für dieses so spannende Projekt, das mich gefesselt hat, obwohl ich glaubte, bereits so viel zu wissen. Tolle schauspielerische Leistung, auch, so eine Form hätte auch total scheitern können… merci!;2022-02-23T13:15:17.000Z;0;-
21;die_gusti;Mir geht seit Tagen soviel durch den Kopf dank dieses Projektes. Unter anderem auch völlig „Banales“, wie zB es für Hans und Christoph gewesen sein muss, nur wenige Sekunden nachdem Sophie bzw der jeweils andere ihren Kopf dort hinlegen musste, sie selbst dies tun mussten. Blut überall und Sophies Sarg im Raum. Unglaublich grausam.;2022-02-23T12:52:21.000Z;0;-
22;43funda;Es ist sooo schrecklich und traurig dass diese jungen Menschen sterben mussten nur weil Sie gegen Hitler und seine Gräueltaten waren und Ihre Meinung gesagt haben 😢 Leider geschieht ähnliches heutzutage in der Türkei, alle die gegen Erdogan sind und ihre Meinung äußern werden verhaftet 😞 Wann werden diese Diktaturen endlich ein Ende haben??? #Freiheit #Peace #Menschenrechte;2022-02-23T12:44:10.000Z;0;-
23;freaky_fischi_;Vielen Dank @ichbinsophiescholl für das tolle Projekt und die vielen Stunden und Zeit die ihr da reingesteckt habt ❤️ man hat echt viel gelernt und es auch durch ihre Augen gesehen . Man ist traurig , fiebert mit trotz wo man weiß das der Tag am 22.2. kommt 😔 ein großes Lob an euch;2022-02-23T12:33:37.000Z;0;-
24;brina_1983;Was ist aus dem Richter geworden? Hat er seine gerechte Strafe bekommen oder ist er nach dem Krieg frei gekommen und wurde nie dafür bestraft?;2022-02-23T12:06:10.000Z;0;-
25;annie_henning_bayern;Seit wann war Hans blond?;2022-02-23T10:22:13.000Z;0;-
26;ichbinsophiescholl;#TeamSoffer Vielen Dank für eure vielen, vielen Rückmeldungen zu unserem Projekt. Wir lesen gespannt eure lobenden Worte, kritischen Anregungen sowie zahlreichen Fragen. Schön, dass ihr dabei seid!;2022-02-23T09:58:34.000Z;101 likes;-
27;lichterschatz;🖤;2022-02-23T09:02:43.000Z;0;-
28;claubomo;@moritzbo8351;2022-02-23T07:57:45.000Z;0;-
29;disco_stuu93;Zunächst einmal große Lob ind noch größeren Respekt für dieses wichtige Projekt. Ich hätte allerdings auch Noch eine Frage: Gibt es einen expliziten Grund, warum wir hier so wenig über Elisabeth Scholl erfahren haben? Sie ist immerhin die Zeitzeugin der Familie Scholl die am längsten Lebte und hat letztlich Sophie‘s Fritz geheiratet. Hatte sie wenig Relevanz für den Widerstand oder gibt es andere Gründe für diesen blinden Fleck in der Geschichte von Sophie? Ich möchte damit keines Wegs Kritik an dem Projekt äußern, habe lediglich Interesse an den Hintergründen.;2022-02-23T07:36:36.000Z;0;-
30;veronikarusch;🖤;2022-02-23T07:33:50.000Z;0;-
31;willowweide;😢;2022-02-23T07:25:55.000Z;0;-
32;_a.m__b;💔;2022-02-23T07:05:46.000Z;0;-
33;shalimar_forstern;🕯Es lebe die Freiheit ☮️;2022-02-23T06:57:51.000Z;0;-
34;strandperle1207;🖤🌹;2022-02-23T06:52:42.000Z;0;-
35;k.kortmann;😢😢😢;2022-02-23T06:27:30.000Z;0;-
36;seebaer_cacher;Innerhalb weniger Minuten 3 Leben ausgelöscht. Was waren das für Menschen. Welch eine grausame Effizienz. Beklemmend, erschreckend.;2022-02-23T06:09:10.000Z;1 like;-
37;nuschinsky;@ichbinsophiescholl Mich wundert dass die beiden es zugeben und Hans sogar Christoph mit reinzieht. Vermutlich waren die Verhöre sehr anstrengend und bis tief in die Nacht hinein um sie mürbe zu machen?;2022-02-23T05:53:45.000Z;0;-
38;mia_sasek;Na, ob sich #janaauskassel jetzt immer noch wie Sophie Scholl fühlt? 😢😡;2022-02-23T05:17:40.000Z;0;-
39;anne27.10;Wie wahr, gerade in diesen Zeiten.;2022-02-23T05:01:29.000Z;0;-
40;ellie.ella40;Rest in Peace 🙏🕊🕯;2022-02-23T02:15:19.000Z;0;-
41;nette_an_nette;🖤🖤🖤;2022-02-23T01:02:09.000Z;0;-
42;__marisa.____;Vielen Dank für dieses Projekt, es hat sich aufjedenfall gelohnt, war sehr interessant, ich wünschte es wäre nie passiert 😢 #unvergessen ❤️;2022-02-23T00:12:07.000Z;0;-
43;alexandrajohnen;Was für mutige Menschen!;2022-02-22T23:33:05.000Z;0;-
44;__s__dil__k__;Sehr wertvolles Projekt! Vielen Dank❤️;2022-02-22T23:19:56.000Z;0;-
45;novel.room;Hätte vielleicht Christoph überlebt hätte Hans nicht gesagt das gefundene Flugblatt stamme nicht von ihm? Oder wären sie vielleicht nie verhaftet geworden, hätten sie eine kleine Sache anders getan? Diese Fragen stelle ich mir seit den letzten Tagen und diesem Account gefolgt bin.;2022-02-22T23:14:37.000Z;0;-
46;nataliebt.dasleben;#eslebediefreiheit !!;2022-02-22T23:05:49.000Z;0;-
47;mexicandiary;❤️❤️❤️⭐️✨;2022-02-22T22:49:55.000Z;0;-
48;esony.4ever;Es lebe die Freiheit!;2022-02-22T22:34:29.000Z;1 like;-
49;di_berg_mann;Ich feiere diese Art Geschichte erleben zu dürfen. Viele Kommentare sind hier sehr lesenswert und es bedarf nicht mehr vieler Worte aber ich möchte einen Wunsch äußern: Macht ihr das ganze auch mit Anne Frank? Oder anderen Persönlichkeiten aus der NS-Zeit? Vielen Dank für die Aufbereitung und Mühen die hinter diesem Projekt standen. So traurig es ist, so großartig habt ihr es umgesetzt. Man hat jeden Beitrag gefühlt. Ganz ganz großartig.;2022-02-22T22:17:51.000Z;1 like;-
50;schabben;❤️;2022-02-22T22:13:45.000Z;0;-
51;_julia.arling_;Ich hätte es toll gefunden wenn ihr diese letzten Tage ebenfalls noch schauspielerisch abgedeckt hättet. Das ist ja gerade das abschreckende.;2022-02-22T22:09:49.000Z;0;-
52;gertraud.konig.1;Ich wusste wie alles ausgeht, aber wenn man die Geschichte monatelang verfolgt, ist man doch sehr nah dran. Ich bin schockiert und traurig.😢 Grundsätzlich leben wir doch in einer guten Zeit. Hoffen wir mal dass der Brandherd Ukraine gelöscht werden kann und der Frieden und somit die Freiheit siegt.❤️;2022-02-22T22:01:37.000Z;0;-
53;leahcim_norab;Danke 😔;2022-02-22T21:51:54.000Z;0;-
54;ansgarwfl;Hoffentlich könnt ihr eure Familie noch einmal sehen @;2022-02-22T21:51:23.000Z;1 like;-
55;mrs.caroschuster;❤️;2022-02-22T21:45:25.000Z;0;-
56;fritscherl2001;Was kaum einer weiß, die Geschwister Sophie & Hans Scholl wurden übereinander begraben (wußte ich auch nicht) bis ich am Friedof am Perlacher Forst war und über die weiße Rose gelesen hatte 😢 #keinvergebenkeinvergessen;2022-02-22T21:42:26.000Z;2 likes;-
57;dan_schiebaaa;Hans Scholl ist für seine Arbeit in der Widerstandsbewegung ohne jeden Zweifel zu bewundern. Mir stellt sich gerade dennoch die Frage: Ist diese vorgeworfene „homosexuelle Handlung mit Untergebenen“ quasi wie heutzutage „mit Schutzbefohlenen“ zu verstehen? Wenn ich mich recht erinnere, hatte er dies auch zugegeben?;2022-02-22T21:38:40.000Z;0;-
58;nata____scha;😢🖤💔;2022-02-22T21:37:59.000Z;0;-
59;claudia.wortmann;Ich habe mit großem Interesse dieses Projekt von Anfang an verfolgt und kann nur ein riesiges Lob dafür aussprechen. Die Geschwister Scholl und ihre Mitstreiter dürfen nie vergessen werden. Unfassbar, ihr Mut und bis zuletzt der Kampf um geistige Freiheit👏;2022-02-22T21:29:30.000Z;1 like;-
60;lll_n_i_n_a_lll;🖤;2022-02-22T21:24:32.000Z;0;-
61;anjaaaley;✨;2022-02-22T21:20:11.000Z;0;-
62;t0bi_schmidt;"Kämpft weiter! Grade in der heutigen Zeit marschieren Nazis zusammen mit der ""Mittelschicht"". Die gleichen alten Parolen hallen durch die Gassen... Steht gemeinsam entschlossen dagegen!";2022-02-22T21:16:49.000Z;2 likes;-
63;omadorette20;🕯;2022-02-22T21:15:44.000Z;0;-
64;mimeguera;Ruhe in Frieden Hans 🙌;2022-02-22T21:07:24.000Z;0;-
65;carolinelisabethm;❤️;2022-02-22T21:05:23.000Z;0;-
66;jenn_yh;Ich werde sie vermissen! 🕯;2022-02-22T21:02:03.000Z;0;-
67;itzmiza;Das geht schon unter die Haut.;2022-02-22T21:02:03.000Z;0;-
68;thiemann.birgit;😪;2022-02-22T20:52:17.000Z;0;-
69;silvijaburger;😢😢😢;2022-02-22T20:43:40.000Z;0;-
70;nu_kkua_;Unfassbar was Menschen anderen Menschen antun können… Danke für dieses Projekt!;2022-02-22T20:41:42.000Z;0;-
71;_stairwaytohell_;Wie wurde die Hinrichtung vollzogen? Musste Hans dabei zusehen, wie seine Schwester starb?;2022-02-22T20:39:51.000Z;0;-
72;susanne_gmayr;Ein unglaubliches Projekt! Vielen Dank dafür! Bin sehr ergriffen und hoffe dass sich das alles nie nie wieder wiederholt.;2022-02-22T20:29:40.000Z;0;-
73;birgitweg;❤️😢;2022-02-22T20:26:45.000Z;0;-
74;girlsmum75;"""Es lebe die Freiheit!""";2022-02-22T20:24:42.000Z;0;-
75;biancageiss2018;🖤;2022-02-22T20:23:19.000Z;0;-
76;schakke_line85;Es ist so unfassbar traurig 😢;2022-02-22T20:20:02.000Z;0;-
77;cervooz;Es berührt mich zutiefst. Vielen Dank, dass ihr Geschichte auf diese Weise lebendig macht 🙏;2022-02-22T20:15:14.000Z;1 like;-
78;njphotographs;Es lebe die Freiheit - immer… ❤️;2022-02-22T20:13:47.000Z;0;-
79;arun.bkd;🖤;2022-02-22T20:11:51.000Z;0;-
80;danieladingsda;"Ihr habt es sicher schon mal erklärt, aber wieso war Hans eigentlich nicht mehr im aktiven Militärdienst? Weil er (Medizin) studierte?
Vielen Dank und ein großes Lob an die Macher dieses Accounts!";2022-02-22T20:08:23.000Z;0;-
81;josii912;❤️;2022-02-22T20:07:44.000Z;2 likes;-
82;d.ebbie_m;😢❤️;2022-02-22T20:03:26.000Z;0;-
83;_beautifulexistence;Welche Beweise wurden in der Wohnung gefunden?;2022-02-22T20:02:05.000Z;0;-
84;troubadoura;Lieber Hans, nicht nur Deine letzten Worte bleiben unvergessen: https://troubadoura.de/1998/04/09/es-lebe-die-freiheit/;2022-02-22T20:00:29.000Z;0;-
85;medea6026;🕯;2022-02-22T19:57:09.000Z;0;-
86;zuendhoelzchen;It's heartbreaking 🖤;2022-02-22T19:55:29.000Z;0;-
87;baerenbrueder_mama;Danke für dieses grandiose Projekt! Es war so ergreifend und ihr habt es noch einmal presenter für die heutige Zeit gemacht. Ganz großer Applaus! 👏;2022-02-22T19:53:56.000Z;2 likes;-
88;nochmal.papa;"Das Leid ist so heftig und unfassbar….
Es ist völlig unverständlich dass man nicht Ekel und Abscheu vor solchen Ideen entwickelt.";2022-02-22T19:53:54.000Z;28 likes;-
89;claassi.ceramics;🙌 #unvergessen;2022-02-22T19:51:08.000Z;0;-
90;madeleine_berlin;🥺💪🙏;2022-02-22T19:48:21.000Z;0;-
91;emma.k2mg;Habe Gänsehaut. Danke für die ganze tolle Arbeit!!;2022-02-22T19:47:33.000Z;0;-
92;annettmetzen;Ist bekannt warum Hans zugegeben hat, dass das Flugblatt von Christoph stammt?;2022-02-22T19:39:46.000Z;3 likes;-
93;troostplaetzchen;🖤;2022-02-22T19:38:35.000Z;0;-
94;jawiesodasdenn;Ist vielleicht nicht wirklich relevant, aber warum musstet ihr den Schauspieler blond färben? Hat mich die ganze Zeit bissl gestört....;2022-02-22T19:35:11.000Z;0;-
95;fraeulein_motzi;Ruhe in Frieden 😢;2022-02-22T19:30:38.000Z;0;-
96;eva_k_627;🖤🖤🖤;2022-02-22T19:29:57.000Z;0;-
97;corneliacaseler;Ihr seid nicht umsonst gestorben. Ihr habt großes getan.;2022-02-22T19:28:59.000Z;2 likes;-
98;carolins.world;🖤🖤;2022-02-22T19:27:08.000Z;0;-
99;buelent_dag;"Ja …es lebe die Freiheit ✌️ nieder mit Faschismus !!!

Niemand ist vergessen! Nichts ist vergeben!";2022-02-22T19:26:51.000Z;0;-
