Link: ;https://www.instagram.com/p/CVP-2LRMFGU/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;schoolsven;❤️;2021-10-21T19:00:09.000Z;0;-
2;fannyeschner;@gemeines.beuteltier 🥰 ❤️;2021-10-21T16:45:06.000Z;0;-
3;milkywayontour20;Im Rucksack vergessen??? 😬 Du musst besser aufpassen, dein Leben und das der Anderen hängt daran🙄;2021-10-21T12:14:06.000Z;0;-
4;julezbnk;Wo hast du die Aufzeichnungen gefunden?;2021-10-21T11:36:53.000Z;2 likes;-
4-1;ichbinsophiescholl;@julezbnk Sie waren in meinem Rucksack. Ich kann mich wirklich nicht entsinnen, sie dort hingetan zu haben. Aber jetzt habe ich sie wieder…;2021-10-21T14:38:50.000Z;16 likes;4
4-2;julia_06.1993;@ichbinsophiescholl oh oh, nicht dass sie jemand gefunden und dann wieder „zurück“ getan hat 😢;2021-10-21T16:48:55.000Z;3 likes;4
5;itzz.julez;Wann geht es für dich eigentlich wieder zurück nach München?;2021-10-21T08:23:27.000Z;0;-
5-1;ichbinsophiescholl;@itzz.julez Im November geht's wieder zurück!;2021-10-21T08:57:21.000Z;2 likes;5
6;metacolon;Sind solche Details wie verloren geglaubte Dokumente eigentlich belegt? Und wenn ja, wie?;2021-10-20T21:38:37.000Z;0;-
6-1;ichbinsophiescholl;@metacolon #TeamSoffer Sophie Scholl stand in dieser Zeit unter erheblichem Druck, erwischt zu werden, deshalb hätte diese Szene so oder so ähnlich stattgefunden haben können.;2021-10-21T09:44:30.000Z;2 likes;6
7;becky_wald;Oh ja, da fällt einem direkt ein Stein vom Herzen. Vor allem, wenn man gefühlt wirklich schon überall tausendfach geschaut hat, und dann liegen sie Sachen fast direkt vor einem 🙈;2021-10-20T20:41:05.000Z;0;-
7-1;ichbinsophiescholl;@becky_wald Es ist zum Verrücktwerden! Hast du in letzter Zeit auch etwas verlegt - und am Ende war es genau vor deiner Nase?;2021-10-21T09:46:18.000Z;0;7
8;ladylauralemon;Was macht eigentlich deine Schwester Elisabeth? Du erwähnst sie selten.;2021-10-20T17:44:15.000Z;0;-
9;andre_van_bleiswijk;Die Aufzeichnungen waren also im Rucksack aber wer hat die Wohnung so aussehen lassen wie nach einem Einbruch?;2021-10-20T16:41:30.000Z;1 like;-
9-1;ichbinsophiescholl;@andre_dittmann Ich war es! Habe wie verrückt gesucht...;2021-10-21T09:48:03.000Z;0;9
10;_l.aracr_;Ich bin froh dass die Aufzeichnungen wieder da sind 😍. Hatte ebenfalls gedacht Leutenberg hat sie gefunden 😢. Da hat sich ja alles nochmal zum Guten gewendet ❤️. Pass weiterhin auf dich auf;2021-10-20T16:28:25.000Z;0;-
10-1;ichbinsophiescholl;@_l.aracr_ Ich bin so erleichtert! Werde weiter aufpassen, danke für deine Unterstützung!;2021-10-21T09:51:32.000Z;1 like;10
11;gwen_gloeckchen;Liebe Sophie! Meine Güte, deine Bücher sind wieder da... 👏👏👏👏👏 Deiner Mama geht's wieder gut und Fritz hat geschrieben! 👏👏👏🙌❤️ Bravo! Wenn es so bleibt, ist das prima! Ich bin wirklich sehr erleichtert und man sieht dir deine Erleichterung an. Fass neuen Mut, glaube an dich und ich freue mich wirklich sehr!;2021-10-20T15:52:27.000Z;0;-
11-1;ichbinsophiescholl;@gwen_gloeckchen Danke, du bist lieb! Ich bin auch wirklich erleichtert. So kann es gerne weitergehen!;2021-10-21T09:52:43.000Z;2 likes;11
11-2;gwen_gloeckchen;@ichbinsophiescholl 👏❤️❤️❤️🙌;2021-10-21T15:28:00.000Z;0;11
12;emsworld_____;Ich freue mich so für dich! Aber werde bloß nicht übermütig!;2021-10-20T15:51:24.000Z;0;-
12-1;ichbinsophiescholl;@emsworld_____ Danke für deine Empathie! Ich versuche weiter, die Waage zwischen Mut und Vorsicht zu halten.;2021-10-21T09:54:15.000Z;2 likes;12
13;ulrikemunner;Manchmal verlegt man etwas u in der Panik,findest du auch nichts.Tief durchatmen u noch.al suchen..😍;2021-10-20T15:40:14.000Z;1 like;-
13-1;ichbinsophiescholl;@ulrikemunner Panik ist wirklich ein schlechter Geisteszustand, um etwas wiederzufinden.;2021-10-21T09:55:40.000Z;1 like;13
14;_inspired_278;Wo waren denn deine Aufzeichnungen?;2021-10-20T15:20:40.000Z;13 likes;-
14-1;ichbinsophiescholl;@soul.inspiration_278 Ich habe sie wohl in meinen Rucksack getan und es direkt wieder vergessen.;2021-10-20T15:38:24.000Z;28 likes;14
14-2;_inspired_278;@ichbinsophiescholl dann ist ja alles gut, hoffen wir das währenddessen niemand an deinem Rucksack war;2021-10-20T15:48:47.000Z;2 likes;14
