Link: ;https://www.instagram.com/p/CSWsPu8MSZ_/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;joanna_syr;Die Nationalsozialisten verderben einfach den Menschen diese Wille zum authentischen Feiern dieses tradiotionsreichen Festes. Sie gehören verboten und aus der Bevölkerung Deutschlands herausgeschmissen zu werden! Das ist nicht fair und von den Menschen untolerierbar und unbewilligt!;2021-08-10T09:56:09.000Z;1 like;-
2;team_wedemann_holz;Ich kann dich so gut verstehen 😢;2021-08-10T05:55:34.000Z;1 like;-
3;team_wedemann_holz;Ich kann dich so gut verstehen 😢;2021-08-10T05:52:24.000Z;1 like;-
4;netratz;🔥❤️;2021-08-10T04:54:27.000Z;0;-
5;chaosqueen.1974;Zum Thema Lebensmittel und Knappheit während dem Krieg. Ich wurde von meiner Oma (Jahrgang 1906) miterzogen, meine Mama ging Vollzeit arbeiten und meine Oma war daheim. Sie wurde aus Breslau mit meinem Papa und meinem Onkel 1944 vertrieben (1 und 9 Jahre) . Sie erzählte wenig vom Krieg, es gab Wortspiele wie :Die Butter ist gering... Der Satz wurde 2-3 wiederholt und anders betont, bis der Satz auf einmal :Die Butter isst Göhring hieß. Meine Oma war für mich, eine der stärksten Frauen, sie meisterte ihr Leben allein mit 2 Jungs und wurde von einer Geschäftsfrau (mein Opa war orthopädischer Schuhmachermeister) zur Küchenhilfe in einem niederbayerischen Gasthaus. Bei uns war der Standartspruch zu Hause: Oma ist eine so starke Frau, die weint nicht mal beim Zwiebeln schneiden... 😉 Gefühle konnte sie schlecht zeigen, wenn sie dich an einem Tag besonders lieb hatte, hat sie den Pudding der Nachspeise war, in einer bestimmen Form (Seesternform) für dich zubereitet. Lebensmittel wegschmeißen, das ging für meine Oma gar nicht, Reste essen war bei uns daheim selbstverständlich!!! Mein Opa starb 1945 an der Ruhr in Berlin. Liebe Sophie, ich finde dich unglaublich mutig und ich hab mich schon oft gefragt, ob ich das auch tun könnte so mutig zu sein!!! Mir war es ein Anliegen diese Geschichte zu schreiben, für meine starke, niemals weinende und mutige Oma!!! 🙏🏼❤️;2021-08-10T02:35:50.000Z;56 likes;-
5-1;riso5400;@chaosqueen.1974 so schöne kleinen Erinnerungen an deine starke Oma. Danke fürs erzählen.;2021-08-10T05:36:38.000Z;5 likes;5
5-2;sonnenkind_7;@chaosqueen.1974 aaaawww, danke fürs teilen! 😢😍👏;2021-08-10T10:11:29.000Z;2 likes;5
5-3;j.ritter42;@chaosqueen.1974 🙌❤️;2021-08-10T14:17:49.000Z;2 likes;5
6;_.ma._rco_;"So viel wahres @ichbinsophiescholl du bist so mutig und sprichst die Wahrheit so rein aus. Dein Vater ist sicher einer der stolzesten Männer die es gibt. So fantastische Kinder / wenn er nur wüsste was für Helden der Deutschen Geschichte aus auch werden. 🥲 Die Welt bräuchte viel mehr Geschwister Scholl nicht nur in Deutschland. Unsere Freiheit und Demokratie ist auch euer Verdienst. Es wäre für mich interessant was Sofie und Hans von der heutigen Zeit halten. Denn die kleinen Probleme die wir heute haben sind nichts im Vergleich zu den massiven Verbrechen an der Menschheit von damals. 🤷‍♂️ Möge Gott euch und Eueren lieben einen besonderen Platz an seiner Tafel geben. Heute schauen die Menschen filme über Superhelden anstatt Filme über die Geschwister Scholl oder Claus Schenk Graf von Stauffenberg die haben wirklich sich für was eingesetzt. Entschuldige den Roman aber ich bin von euerer Aktion hier so begeistert, da leider viel zu wenig junge Menschen sich mit solchen Sachen beschäftigt. Vergessen ist der schlimmste Nährboden für die Nazis denn genau das gibt Parteien wie der AfD Aufschwung. Leider. Zu manchen Zeiten braucht man eine
„la rose blanche“ 😔";2021-08-09T22:59:22.000Z;5 likes;-
7;brusseecharlie;Historical interesting shots;2021-08-09T21:38:06.000Z;0;-
8;kerkmannkai;😢;2021-08-09T20:00:00.000Z;2 likes;-
9;thias1905isback;Sophie, melde dich einfach bei mir … ich werde dir Dinge erzählen. Aus der Zukunft. Es ist noch nicht zu spät.;2021-08-09T19:21:01.000Z;2 likes;-
10;charlis.art;Die schönen Erinnerungen dürfen niemals verblassen. Sie gehören zu den Dingen, die auch ein Krieg und ein Menschen verachtendes Regime einem nicht nehmen können. Vielleicht helfen sie sogar als Antrieb für die gute Sache :).;2021-08-09T19:13:11.000Z;1 like;-
11;mellich77;Sorry aber 🤮🤮🤮😢;2021-08-09T19:13:04.000Z;0;-
12;tomdtmd;"Ich danke Dir Sophie, dass Du die Erinnerung wach hältst und Deine Erfahrungen mit uns teilst. Menschenverachtende Ideologien existieren leider heute noch und ich meine nicht irgendwelche totalitären Systeme sondern das Leben vor der Haustüre. Toleranz und Offenheit werden heute immer noch nicht gelebt sondern nur eingefordert wenn es gerade passt. Ich folge Dir auf Deinen Weg weiter, weil er helfen kann die ""Brücken"" zu bauen die wir so dringend benötigen.";2021-08-09T19:07:34.000Z;5 likes;-
13;rebeccanarinho;Es ist immer wieder schlimm zu sehen wie eigentlich schöne Traditionen zweckentfremdet werden. Bleib stark und halt an dem was du glaubst fest👏🔥;2021-08-09T19:04:18.000Z;1 like;-
14;1.favseries;Gibt es einen Grund warum das swr Logo jetzt in den Bildern auftaucht??;2021-08-09T18:30:15.000Z;1 like;-
15;ava.santimea;ach sophie, ich hab Tränen in den Augen. es erscheint mir genau so zynisch, dieses Fest zu feiern während an der Front Menschen sterben und Familien zerrissen werden. dieses Trauma wird noch um Generationen nachhallen...;2021-08-09T18:05:41.000Z;1 like;-
16;crowncrafts.kreativerleben;Bei dem Spruch auf dem Banner könnte man ja wirklich 🤮... verrückt, dass ein Volk, das vorher Gott für Regen und Ernte dankte, diesen Verbrecher an diese Stelle gesetzt hat!;2021-08-09T17:43:27.000Z;1 like;-
17;heikegumz;"Zusatzinfo: Das Erntedankfest wurde durch den NS eingebettet in die sog. ""Blut und Boden""-Ideologie, nach der eine Einheit zwischen dem rassisch definierten ""Volkskörper"" und seinem Besiedlungsgebiet/Heimat postuliert wurde. Er war damit eng verknüpft mit der ""Volk ohne Raum""-Parole, mit der u.a. die Angriffskriege und der Genozid gerechtfertigt wurden. Basierend auf rassistischen und antisemitischen Ideologien wurde das Bauerntum idealisiert und als wesentlicher Träger der Volksgemeinschaft dargestellt, der zur Wiederherstellung der angeblichen ""nordisch-germanischen Rasse"" beitragen sollte.
Die Reichserntefeste, die von 33-37 auf dem Bückeberg stattfanden, waren ein Beispiel für die gigantischen Inszenierungen der NS, bei der die Menschen besonders die für das NS-Weltbild wesentliche sog. ""Volksgemeinschaft"" sowie den ""Führer"" als den vom Volk erwarteten ""Erlöser und Retter"" erleben sollten.";2021-08-09T17:31:44.000Z;16 likes;-
17-1;heikegumz;@heikegumz Quelle: https://www.gedenkstaettenforum.de/uploads/media/GedRund172_42-51.pdf;2021-08-09T17:32:47.000Z;5 likes;17
18;emsworld_____;Bewahre dir die Erinnerung an die alten Erntedankfeste. Die damalige Art des Feierns klingt wirklich schön❤️das was ihr da jetzt mitmachen müsst hört sich dagegen furchtbar an;2021-08-09T17:07:01.000Z;1 like;-
19;gockel_blume;Schade, dass ich von meinem Opa ned viel mehr weiß als dass er Traumata vom Krieg davongetragen hatte😢;2021-08-09T17:05:30.000Z;7 likes;-
20;tas.ico;"Das „Reichserntedankfest“ auf dem Bückeberg bei Hameln war eines der drei größten Massenfeste der Nationalsozialisten.  Bis zu 1 Millionen Menschen kamen zu der Propaganda-Veranstaltung. Seit Jahren wird darüber gestritten, ob an der Stelle eine Gedenkstätte entstehen soll. Das Dossier widmet sich der historischen Bedeutung des „Reichserntedankfestes“ und der aktuellen Diskussion um ein „unbequemes“ Denkmal.
Das Dossier erschien in der Dewezet. Die Bauarbeiten haben begonnen, aber es gab viel Aufruhr in den letzten Jahren darum, ob es gebaut werden soll oder ob man das alles lässt.";2021-08-09T17:03:30.000Z;7 likes;-
21;clara.h4;@ichbinsophiescholl wussten deine Eltern von der Weißen Rose?;2021-08-09T16:01:33.000Z;1 like;-
22;kate4sunrise;Ich hab das Kartoffelfeuer (in den 80ern) so erlebt wie du Sophie! Und die Erinnerung daran ist einfach nur schön.;2021-08-09T15:44:45.000Z;1 like;-
23;zuzusarita;🤯;2021-08-09T15:35:39.000Z;0;-
24;antes_a_b;❤️;2021-08-09T15:05:51.000Z;2 likes;-
25;gwen_gloeckchen;Diese Knallfratzen machen einem auch echt alles kaputt!! Sogar ein Erntedankfest! 🥔🍅🍎🫐🍇🥕 Es ist zum Heulen! 😭;2021-08-09T14:53:02.000Z;3 likes;-
26;timdiogenes;Is that a midsommar reference?;2021-08-09T14:50:42.000Z;1 like;-
26-1;dngldnstn;No, it's a Christian celebration to thank God for the harvest :);2021-08-09T14:54:51.000Z;0;26
26-2;christoph_der_christoph;@dngldnstn Erntedank ist vorchristlich;2021-08-09T15:31:09.000Z;1 like;26
26-3;dngldnstn;@christoph_der_christoph ich meinte in diesem historischen Kontext :);2021-08-09T15:33:44.000Z;0;26
26-4;timdiogenes;@dngldnstn war nur ein joke der sich auf den zweiten Film von ari Aster bezogen hat.;2021-08-09T16:38:48.000Z;0;26
26-5;dngldnstn;Auf jeden Fall ähnlich gruselig, wenn nicht sogar noch mehr weil real 😅 nach dem Film konnte ich erstmal nicht schlafen😂;2021-08-09T17:28:23.000Z;1 like;26
27;sebfischer2;"Und die Menschen haben es nicht kapiert zu Friedenszeit, dass die Wirtschaft nur auf Krieg ausgerichtet ist. Und auch bei den Bauern gab es einen ""örtlichen Führer"". Man darf ja auch nicht vergessen, dass ihr Mädels dann dahin ""befohlen"" wurdet.";2021-08-09T14:49:24.000Z;4 likes;-
28;katrinbohne2.0;Ich habe das Kartoffelfeuer bei uns zu Hause auch erleben dürfen. Wenn im Herbst die Kartoffeln aus der Erde kamen, wurde das Kraut angezündet und wir Kinder haben uns kleine Kartoffeln gesucht zum Reinlegen. Eine schöne Erinnerung😍;2021-08-09T14:46:33.000Z;22 likes;-
28-1;magokeks;@katrinbohne2.0 kleine Kartoffeln zum reinlegen?! ? Ich Stadtkind verstehe das nicht.;2021-08-11T09:03:27.000Z;0;28
28-2;katrinbohne2.0;@magokeks wir Kinder mussten mit zur Kartoffelernte. Einer mit Pferd und entsprechendem Gerät hat die Kartoffeln aus der Erde geholt, wir als Familie haben die Kartoffeln aufgelesen und in Säcken gesammelt. Die kleinen Kartoffeln haben wir in das Kartoffelkraut gelegt und dies wurde dann angezündet. So wurden die Kartoffeln auf dem Feld gegart. Für uns Kinder hieß das immer Heidenspaß mit Gaumenfreude und heiße Flossen;2021-08-11T09:34:01.000Z;2 likes;28
28-3;katrinbohne2.0;"@katrinbohne2.0 ich bin zwar noch keine 40 Jahre alt, aber unendlich froh, dass wir das „damals"" kennenlernen durften 😍";2021-08-11T09:35:13.000Z;1 like;28
28-4;magokeks;@katrinbohne2.0 Oh! Das klingt toll und lecker. Ich hatte gelesen, dass ihr EUCH in die Kartoffeln gelegt habt. So rum ist es aber viel besser :);2021-08-11T13:08:15.000Z;0;28
28-5;katrinbohne2.0;@magokeks Oh Gott, nein😂;2021-08-11T13:09:16.000Z;1 like;28
29;katharina.helling;"Familie Scholl weigerte sich wohl schon im Winter 1941/42 wegen des begonnenen Russlandfeldzuges Kleidung für den Kriegshilfsdienst zu spenden. Sie wussten über Fritz zwar, dass die Soldaten wg der Eiseskälte dringend Kleidung benötigten, wollten aber nicht zu einer Verlängerung des Krieges beitragen, so Maren Gottschalk in „Wie schwer ein Menschenleben wiegt“ (Kapitel 13)
Fritz Hartnagel berichtete nach dem Krieg von einem Gespräch zu diesem Thema im Winter 1941/42. Daraus sei eine heftige Diskussion zw den beiden entstanden. Fritz Hartnagel: „Mehr und mehr musste ich jedoch einsehen, dass ihre Haltung nur konsequent war. Man konnte nur entweder für Hitler oder gegen ihn sein. War man gegen Hitler, dann durfte er diesen Krieg nicht gewinnen, denn nur eine militärische Niederlage konnte ihn beseitigen. Das hieß wiederum: Alles, was dem so genannten Feind nützte und uns Deutschen schadete, das allein konnte uns in die Freiheit bringen.“ - dieses Gespräch war für ihn ein Beispiel dafür, welches zeigte, dass Sophie, die seiner Aussage nach kein kalt berechnender Mensch sei, sondern sehr gefühlvoll sein konnte, „mit welch scharfem Verstand und mit welch logischer Konsequenz sie die Dinge zu Ende dachte.“(aus Vinke, Hoffentlich schreibst recht bald, S. 183f)";2021-08-09T14:14:36.000Z;199 likes;-
29-1;mimivonwasteland;@zuagroastebayrischeschwaebin Danke für diesen Auszug 👍 Werde ich mal lesen;2021-08-09T14:41:31.000Z;11 likes;29
30;zeitverschwender;Warum feiert ihr Erntedank so früh? Müsste das nicht auf Oktober fallen?;2021-08-09T13:39:02.000Z;9 likes;-
30-1;fauchy_mit_der_spiegelscherbe;So wie ich es verstehe, wird es grade erst geplant;2021-08-09T13:46:08.000Z;7 likes;30
30-2;philosoph95;Das ist ja auch für die Kartoffelernte. Das richtige Erntedankfest war am 4.10.1942;2021-08-09T13:49:42.000Z;9 likes;30
30-3;katharina.helling;Beim vorherigen Bild wurde mir auf diese Frage gesagt, dass die Szene fiktiv ist.;2021-08-09T13:55:32.000Z;2 likes;30
30-4;zeitverschwender;@zuagroastebayrischeschwaebin hm. Hätte man ja auch noch bisschen mit warten können. Ich denke auch nicht, dass es zwei Erntedankfeste gab und kann darüber online nichts finden (eins extra für Kartoffeln? Ich mein, Nazis be crazy, aber trotzdem). Dass man den Kranz schon Anfang August für Anfang Oktober vorbereitet ist ja auch Humbug.;2021-08-09T14:43:56.000Z;3 likes;30
30-5;katharina.helling;Gedanken kann ich nachvollziehen.. ich denk dramaturgische Gründe 🤷🏻‍♀️;2021-08-09T14:58:31.000Z;2 likes;30
