Link: ;https://www.instagram.com/p/CZgmOTos_sU/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;julian1998we;🤮🤮🤮;2022-02-04T18:18:59.000Z;1 like;-
2;nele_int;Was ist eigentlich mit Traute? 🙈;2022-02-04T09:16:02.000Z;2 likes;-
3;astrid9.24;Liebe Sophie, dein Fritz hatte wirklich großes Glück.;2022-02-04T06:34:03.000Z;0;-
4;sasscha777;Mein Opa war da auch dabei und kehrte erst nach 9 Jahren aus der Kriegsgefangenschaft zurück.....;2022-02-04T00:35:24.000Z;3 likes;-
5;netterholger;Aufstehen, die Uni wartet 🙂 mir fällt es auch immer schwer, aufzustehen.;2022-02-03T23:33:02.000Z;0;-
6;netterholger;Das ist schön, dass Fritz wieder da ist. Wer hat den Kartoffelauflauf gemacht? Den mag ich auch gerne. Sophie, welchen Sinn hat Krieg überhaupt?! Ein einziges Gemetzel, viele Tote,............und wofür? Es ist schön, dich mal 'persönlich kennenzulernen Sophie'. Du bist ein hübsches Mädchen. Danke, dass du mich, uns heute an deinem Leben teilhaben lässt.;2022-02-03T23:31:58.000Z;0;-
7;hejlissy;Alle Brüder meines Großvaters waren im Krieg. Mein Großvater war zu jung für die Armee, hat aber mitbekommen, wie kaputt der Krieg alle gemacht hat. Einer ist in Stalingrad gefallen, der andere ist eine der letzten (oder sogar die letzte) Transportmaschinen zur Evakuierung geflogen. Er erzählt immer, daß sein Bruder ihm einmal erzählt hat, daß die Maschiche vollkommen überfüllt war und das Soldaten auf die Rollbahn gelaufen sind. Teilweise überrollt wurden, weil die Maschinen nicht mehr hoch gingen. Und das er erst später erfahren hat, daß sein Bruder, der in der 6.Armee war, es nicht zu einem der Flugzeuge geschafft hat und nie mehr aufgetaucht ist. Er ist depressiv geworden, weil er seinen Bruder nicht retten konnte.;2022-02-03T19:33:41.000Z;44 likes;-
8;sadiqkhan4365;❤️❤️❤️❤️❤️;2022-02-03T19:10:43.000Z;0;-
9;doju123456;Sie haben Brotklumpen zu essen bekommen, die noch roh waren ..hätte man sie an die Wand geworfen wären sie kleben geblieben 😢;2022-02-03T19:09:34.000Z;1 like;-
10;doju123456;Opa meinte sie mussten Rinde von den Bäumen essen , um nicht zu verhungern.;2022-02-03T19:08:41.000Z;1 like;-
11;doju123456;Mein Opa war im Kessel von Stalingrad und daraufhin in Gefangenschaft.;2022-02-03T19:08:12.000Z;1 like;-
12;bine_pieris_japonica;Hoffentlich hört dieser unsinnige Krieg, dieses unsinnige Morden, dieser absolute Wahnsinn bald auf. Hoffentlich wird die Bevölkerung endlich wachgerüttelt 🙏🏻🙏🏻🙏🏻. Ihr macht so wichtige Arbeit mit euren Flugblättern! Passt auf euch weiter gut auf!;2022-02-03T17:51:44.000Z;0;-
13;kyritschka_;Welches Datum haben wir momentan?;2022-02-03T17:30:34.000Z;1 like;-
14;sonjamersch;Mein Opa wurde kurz vor dem Kessel von Stalingrad verwundet und verlor ein Auge. Aber so durfte er nach Hause und hat überlebt. Aber das Erlebte hat ihn sein Leben lang nicht mehr losgelassen. Er wurde später schwer krank und starb, als ich vier Jahre alt war…;2022-02-03T13:51:30.000Z;3 likes;-
15;lii.ro;In welchem Jahr befinden wir uns gleich wieder?;2022-02-03T12:51:58.000Z;4 likes;-
16;belipfeifer;Mein Opa war in russischer Gefangenschaft. Er hat im Arbeitslager gearbeitet. Als ich noch ein kleines Mädchen war, hat er mir die Zahlen auf Russisch beigebracht;2022-02-03T12:46:48.000Z;2 likes;-
17;moinpaule;"Auf der Website ""Lemo"" (Lebendiges Museum Online) gibt es den Bericht eines deutschen Soldaten in russischer Kriegsgefangenschaft. Sehr spannend zu lesen, das Lager müsste Tscherepowez gewesen sein.";2022-02-03T12:25:47.000Z;5 likes;-
18;bfmo2009;Weiß man wie viele Soldaten aus der Sowjetischen Gefangenschaft zurück kamen?;2022-02-03T12:15:48.000Z;9 likes;-
19;anjamuller565;Du hast so recht!! Die Leute haben richtig Angst davor dass die Gestapo vor der Tür stehen könnte und trauen sich nicht irgendetwas laut zu denken. Kartoffelauflauf..auf die Idee wäre ich nicht gekommen. Ich freue mich dass ihr einen schönen Abend hattet. In 15 Min aufstehen und zur Uni..Respekt!!! Das würde ich morgens nicht schaffen und selbst wenn ich direkt in der Uni wohnen würde. ❤️❤️;2022-02-03T12:10:05.000Z;2 likes;-
20;changed.by.popular.demand;"Sophie Scholl an Fritz Hartnagel, 23.9.1940
""Du hast mich gebeten, Dir meine Ansicht über Volk zu schreiben. Dazu wird mir die Zeit jetzt nicht reichen, obwohl mir der Begriff, wenn auch nicht scharf umrissen, ziemlich klar ist.
Die Stellung eines Soldaten dem Volk gegenüber ist für mich ungefähr die eines Sohnes, der seinem Vater und seiner Familie schwört, in jeder Situation zu ihm oder ihr zu halten. Kommt es vor, daß der Vater einer anderen Familie Unrecht tut und dadurch Unannehmlichkeiten bekommt, dann muß der Sohn trotz allem zum Vater halten. Soviel Verständnis für Sippe bringe ich nicht auf. Ich finde, daß immer Gerechtigkeit höher steht als jede andere, oft sentimentale Anhänglichkeit.
Und es wäre doch schöner, die Menschen könnten sich bei einem Kampfe auf die Seite stellen, die sie für die gerechtfertigte halten.
Ich hielt es immer für falsch, wenn ein Vater ganz auf seiten seines Kindes stand, etwa, wenn der Lehrer das Kind gestraft hatte. Selbst wenn er es noch so liebte. Oder gerade deshalb. Ebenso unrichtig finde ich es, wenn ein Deutscher oder Franzose, oder was er sein mag, sein Volk stur verteidigt, nur weil es sein Volk ist. Gefühle leiten oft irre. Wenn ich auf der Straße Soldaten sehe, womöglich noch mit Musik, dann bin ich auch gerührt, früher mußte ich mich bei Märschen gegen Tränen wehren. Aber das sind Sentimente für alte Weiber. Es ist lächerlich, wenn man sich von ihnen beherrschen läßt.
In der Schule wurde uns gesagt, die Einstellung eines Deutschen sei eine bewußt subjektive. - Solange sie dabei nicht auch objektiv ist, kann ich dies nicht anerkennen. Aber diese subjektive Haltung hat vielen Leuten eingeleuchtet, und manche, die nach einer Form für ihre sich wider-streitenden Gefühle suchten, haben sich aufatmend zu ihr bekannt.""
Scholl/Scholl: Briefe und Aufzeichnungen, S. 202f";2022-02-03T11:30:37.000Z;26 likes;-
21;changed.by.popular.demand;"Sophie Scholl an Fritz Hartnagel, 28.6.1940:
""Es wirkt lächerlich an einem Mädchen, wenn es sich um Politik kümmert. Sie soll ihre weiblichen Gefühle bestimmen lassen über ihr Denken. Vor allem das Mitleid. Ich aber finde, daß zuerst das Denken kommt, und daß Gefühle oft irreleiten, weil man über dem Kleinen, das einen vielleicht unmittelbarer betrifft, vielleicht am eigenen Leib, das Große kaum mehr sieht.""
Scholl/Scholl: Briefe und Aufzeichnungen, S. 185";2022-02-03T11:30:16.000Z;20 likes;-
22;katharina.helling;"🗓 03.02.1943

◼️ Bulgarien

Juden-Kommissar Belev weist seine Beauftragten in allen Teilen des Landes an, Listen der in ihrem Bezirk lebenden Juden zu erstellen und bis zum 9. Februar an das Kommissariat zu schicken.
〰️
Quelle:
http://www.holocaust-chronologie.de/chronologie/1943/februar.html";2022-02-03T11:11:05.000Z;9 likes;-
23;_sturmstina_;Wie erschreckend und unfassbar, dass der Krieg nach dieser Niederlage noch so lange weiterging 😢🙈;2022-02-03T10:54:44.000Z;7 likes;-
24;heikegumz;"Am 3. Februar 1943 wird im Zuchthaus Brandenburg an der Havel Anton Brugger hingerichtet. Er gehört zur Religionsgemeinschaft der Reform-Adventisten, die aus biblischen Gründen den Wehr- und Kriegsdienst grundsätzlich ablehnen.
Mit der »Wehrkraftschutzverordnung« vom 25. November 1939 konnte schon allein das religiöse Bekenntnis einer Zivilperson, die den Kriegsdienst noch nicht verweigert hatte, als »Teilnahme an einer wehrfeindlichen Verbindung« beurteilt werden. Wegen dieser »Straftat« wurde Brugger am 14. März 1941 vom »Sondergericht« des Landesgerichtes Salzburg zu zwei Jahren Zuchthaus verurteilt, die er im Strafgefangenenlager in Dieburg bei Darmstadt verbüßt.

Als er im November 1942 zur Wehrmacht einberufen wird, verweigert er aus religiösen Gründen Führereid und Kriegsdienst. Daraufhin wird er am 5. Januar 1943 vom Reichskriegsgericht in Berlin wegen »Wehrkraftzersetzung« nach § 5 der »Kriegssonderstrafrechtsverordnung« zum Tode verurteilt und am 3. Februar 1943 enthauptet.";2022-02-03T10:37:02.000Z;19 likes;-
