Link: ;https://www.instagram.com/p/CaNVoVJs1Ie/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;interested_in_history;Ich bin aus die Niedeländen von anfang dieses Projekt dabei und bin sehr beeindrückt. Auch weil es mich mehr gelernt hat wie das Deutchem Volk während dieses Krieg gelitten hat. Danke dafür. Schade dass dieses Projekt enden wird (entschuldigung für die Grammatica. Deutsch ist nicht meine Muttersprache.);2022-02-24T12:29:36.000Z;0;-
2;susannaannamo;❤️;2022-02-22T22:10:55.000Z;0;-
3;jawiesodasdenn;Ich weiß nicht, ob ihr darauf Einfluss habt, abwr letztes Jahr gab ws in Hamburg eine Sophie Scholl Aufführung, die man sich in der NDR/ Arte Mediathek bis August als graphic opera ansehen konnte. Ich habe das erst jetzt in einem alten Opern Magazin gesehen. Könnten die das online noch einmal zur Verfügung stellen? Es gab auf der Seite immerhin auch einen Verweis auf euer Projekt....;2022-02-22T12:51:39.000Z;1 like;-
4;sume555;Jesus;2022-02-22T12:35:35.000Z;0;-
5;immirg;"Liebes Team ""ichbinsophiescholl""! Was für ein besonderes und intensives Projekt! Ich bin schon seit Mai dabei und seit dem Sommer verfolge ich das Projekt zusammen mit meiner 12 jährigen Tochter. Vielen Dank für Eure Leidenschaft, mit dem Ihr das Projekt aufgebaut habt. Großen Respekt an die Schauspieler:innen, die es lebendig werden lassen!👏";2022-02-22T12:26:25.000Z;0;-
6;schnupi96;@emmab_eyer;2022-02-22T11:30:57.000Z;0;-
7;tucalinha;Ich habe von Tag 1 an eure Geschichte und storys angeschaut. Man weiß ja wie es endet, aber es jetzt so mitzubekommen, als wäre es jetzt, ist herzzerreißend. Ich habe Angst vor dem Ende wenn in der Story steht, Sophie und Hans wurden ermordet. Es ist so schlimm!! Danke, dass ihr die Menschen von heute so aufklärt, wenn es die Schulen schon nicht richtig tun! #nievergessen #wirsinddieweißerose #fcknzis #sophiescholl;2022-02-22T10:26:22.000Z;0;-
8;deraliauswien;"Ich find es peinlich, dass ihr keine Quellen verwendet und die Begründung warum ihr keine nutzt noch viel peinlicher.
Und dass fiktive Geschichten über Sophie Scholl in die Welt gesetzt werden auch sehr bedenklich.
Quellen sind jedenfalls wichtig und alternative Fakten nicht";2022-02-22T07:55:22.000Z;0;-
9;baghamal;Vielen Dank für eure Arbeit und dieses großartige Projekt!;2022-02-21T22:57:22.000Z;0;-
10;lust_auf_muenchen;Ich komme selbst aus Ulm und kenne das schwäbische Muttertemperament. Wenn es nicht so traurig wäre, dann müsste ich herzhaft lachen. Meine Mama wäre bestimmt auch nicht nach München gereist, ohne vorher gebacken zu haben .. danke Euch!;2022-02-21T22:28:53.000Z;0;-
11;michaela_merkler;Großartiges Projekt👏 Super umgesetzt, mein Kompliment.;2022-02-21T22:19:32.000Z;0;-
12;pic_of_jfb;Ich frag mich seit Beginn von diesem Projekten ist dass alles wegen Jana aus Kassel entsandten oder komischer Zufall;2022-02-21T22:01:04.000Z;0;-
13;saehrchen7711;Da bin ich froh, dass ich auf dem Geschwister-Scholl-Gymnasium war. Es wurde ab der 5. Klasse das Andenken an die Weiße Rose aufrecht erhalten und uns Schülern nahe gebracht. Das hat mich in meiner Schulzeit (90er) sehr geprägt.;2022-02-21T21:17:02.000Z;0;-
14;pabefotografie;😢😢😢;2022-02-21T20:25:09.000Z;0;-
15;lisa_ohne_e;Quelle ?;2022-02-21T19:10:25.000Z;0;-
16;cb8121;Ein absolut gelungenes Projekt! 👍🏼So wird Geschichte lebendig! Eigentlich ein „Muss“ für den heutigen Geschichtsunterricht. Tolle schauspielerische Leistung!👏 Man hat bis zum Ende mitgefühlt!🥀;2022-02-21T18:50:14.000Z;0;-
17;unit35.official;Hrrm ich sehe da etwas brennbares mit einen sus aussehenden Kreuz drauf;2022-02-21T18:48:07.000Z;0;-
18;two_girls_and_dad;Liebes @ichbinsophiescholl Team, ich bin von Anfang an ein begeisterter Follower gewesen. Mein Neffe (8) hat sich jedes Wochenende auf die Zusammenfassung gefreut. Und er hat so unglaublich viel dadurch gelernt. Ihr habt dieses Projekt so wahnsinnig gut umgesetzt. Ein ganz großes Lob an alle die dabei mitwirken. Ich hoffe das ihr vielleicht nochmal solch ein Format macht. Anne Frank, oder Oskar Schindler fände ich auch ganz toll. Vielen Dank für diese Reise, die so unglaublich traurig endete... 😢;2022-02-21T17:45:18.000Z;0;-
19;chrissieb78;Wenn ich diese Texte jetzt lese und an den Ausgang der Tragödie denke, schnürt es mir die Luft ab und ich hab das Gefühl, ein Elefant sitzt auf der Brust. Es ist so traurig. Danke für euren Mut.;2022-02-21T17:26:38.000Z;0;-
20;lisi_e_;Auch ich möchte euch Danke. Weiße Rose, und ihr bleibt Unvergessen!;2022-02-21T15:14:23.000Z;0;-
21;ichbinsophiescholl;#TeamSoffer Vielen Dank für eure vielen, vielen Rückmeldungen zu unserem Projekt. Wir lesen gespannt eure lobenden Worte, kritischen Anregungen sowie zahlreichen Fragen. Schön, dass ihr dabei seid!;2022-02-21T14:38:56.000Z;139 likes;-
22;evaschmidt8202;Ich war auch von Anfang an dabei und finde ihr habt eine tolle Arbeit gemacht. Meine Eltern gehörten noch zur Kriegsgenaration, von daher ist mir das Thema sehr viel näher wie einem jüngeren Menschen. Vor ein paar Jahren war ich mit meiner Tochter in Sohies Uni und habe mir den Schauplatz des Flugblätter Fluges angeschaut. Schon gruselig. Vielen Dank für eure Mühe uns diese Zeit so authentisch näher gebracht zu haben.;2022-02-21T14:19:55.000Z;0;-
23;andreah.warmuth;😭 Ich bin sehr traurig, denn morgen ist mein Geburtstag und gleichzeitig der 32. Todestag von Hans und Sophie!!!! 😭;2022-02-21T14:11:11.000Z;0;-
24;lilli_flaig_;Als Teilnehmer dieser großen authentischen geschichte mit dem Einblick der Geschwister Scholl und deren Mitstreiter.....war ich manchmal so in dieser Geschichte drin, das Corona mal vergessen war. Auch diese ausführliche Informationen die ihr gebracht habt, mit den tollen Darsteller ein Dankeschön an alle die die Idee hatten und umgesetzt haben. Vor diesem Tag der Festnahme, hat es mir immer geängstigt. Er ist da 😢❤️;2022-02-21T13:43:47.000Z;0;-
25;esony.4ever;😢😢😢;2022-02-21T13:42:44.000Z;0;-
26;lisashowsyouhow;So ein toller Account. Ich bin schon von Anfang an bei jedem Post traurig gewesen, weil ich wusste, was irgendwann kommen wird. Und jetzt stehen wir so kurz davor. Es ist, als würde alles live passieren. Kann kaum fassen, wie grausam Menschen sein können.;2022-02-21T13:02:32.000Z;1 like;-
27;bibialex68;"So schnell verging die Zeit in der wir an diesem tollen Projekt teilhaben durften. Mir graute immer vor dem Tag dieser unglaublichen Ungerechtigkeit, er kam leider viel zu schnell.
Der Mut dieser Menschen darf nie vergessen werden und sollte uns allen als Vorbild dienen 🥺
Chapeau an die Schauspielerinnen und Schauspieler den historischen Ereignissen Leben eingehaucht haben.";2022-02-21T12:57:51.000Z;0;-
28;bfmo2009;Haben Inge, Werner ihre beiden Geschwister(Sophie und Hans) nach der Gerichtsverhandlung noch mal persönlich gesehen ? Elisabeth war ja nicht da!;2022-02-21T12:42:54.000Z;2 likes;-
29;andrea_baui;Ich fand es Freitag fürchterlich beklemmend 😢 Man wusste genau, was geschieht und hätte die Beiden gerne gewarnt. Mir war richtig schlecht als sie wegen der letzten Flugblätter noch einmal zurück sind 😢 Danke für dieses großartige Projekt ❤️;2022-02-21T12:27:51.000Z;0;-
30;leabrugger_;"@ichbinsophiescholl Ich habe gerade die aktuelle Sendung von @zdf_magazin_royale zu eurem Account gesehen. Ich muss sagen ich bin sehr enttäuscht. Ich bin dem Account schon sehr lange gefolgt und mir war nicht klar, dass es ein historisches Projekt mit teilweise fiktiven Elementen ist. Da es vom @bayerischer_rundfunk und @swr ist, dachte dass alle Details die enthalten sind auch so genau stimmen. Mich, als ""junge Person"" würde es überhaupt nicht stören, wenn am Ende der Caption ein Absatz mit genauen Quellenangaben stehen würde, wo eingeordnet wird, wo das Material und die Infos herkommen. Denn ich habe mich tatsächlich schon öfter gefragt, wie man an diese historischen Details kam. Ich denke, das würde die Authentizität und Glaubwürdigkeit eher erhöhen. Andere junge Leute würden das sicher anerkennen. Es geht ja nicht nur um ein Wohlfühl-Gefühl für die Leute, sondern darum, dass es klar ist, was historisch sicher und was Dramaturgie ist";2022-02-21T12:06:28.000Z;3 likes;-
31;heira1702;Ich bin beeindruckt von eurer Arbeit!!! Vielen Dank für das tolle Projekt❤️;2022-02-21T11:50:14.000Z;0;-
32;sebastiankf1978;@joerg_knapp @pia.maria.wittmann @dieparteinurnberg @piraten_nbg;2022-02-21T11:41:27.000Z;1 like;-
33;project_404;Thank god for Google translate. My anxiety has been growing over recent weeks.. I wish I could read the comments though.;2022-02-21T11:40:37.000Z;0;-
34;wim.lammertink;Vielen Dank für die Geschichte von dieGeschwister Scholl und Familie und Freunde der Weisse Rose. Unbekannt von meine Seite…..habe es gefolgt und mit grossem Interesse….Top Darstellung!! 👍😎;2022-02-21T11:28:51.000Z;0;-
