Link: ;https://www.instagram.com/p/CXv1n0ZMCgc/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;nedzad.030;🤔;2022-02-28T10:34:58.000Z;0;-
2;temotiontattoo;Schön auf panzerschokolade ab auf die Kit Kat Party! 🎉;2022-02-22T23:08:18.000Z;0;-
3;raphael.deinbesteralbtraum;Nach dem Auftritt von Böhmermann sind hier viele, die die Legitimität des Projekts infrage stellen. Das ist minimale künstlerische Freiheit.;2022-02-22T10:59:28.000Z;1 like;-
4;diskhot0d;An diesem Tag war Sophie Scholl nicht in München und die Masken mussten im Bunker/ Keller auch nicht getragen werden. Alles Widersprüche die mich aus einem interessierten, zu einem Kopfschüttler werden lassen und aus diesem Grund entfolge ich diesem Kanal. War schön gedacht aber ohne Fakten basierte Geschichte ist das leider nichts für mich.;2022-02-19T19:02:22.000Z;9 likes;-
5;maultaschenprinz;warum habt ihr euch dagegen entschieden historisch akkurat zu arbeiten? Das würde mich wirklich interessieren. So lernt man doch nur falsche Fakten und hat ein verzerrtes Bild der Vergangenheit... Und das bei so einem Thema;2022-02-19T14:19:28.000Z;9 likes;-
6;rw7348;"Wer nicht die ganze Sendung schauen möchte, obwohl sie lohnt, steige bei Minute 22 ein:

https://www.zdf.de/comedy/zdf-magazin-royale/zdf-magazin-royale-vom-18-februar-2022-100.html";2022-02-19T11:29:52.000Z;4 likes;-
7;matcharocker;"#teamsoffer - seid ihr eigentlich bescheuert? Wenn ich mir den Großteill der Beiträge von diesem ""Projekt"" anschaue, habe ich das Gefühl, dass ich im falschen Film bin. Hier werden teilweise die Täter der NS-Zeit fast schon zu Opfern erklärt. Dieses Projekt ist einfach abstoßend und verharmlost & verklärt teils die deutsche Schuld am Mord von Millionen von Juden. Ihr verdreht ständig die Tatsachen. Ekelhaft.";2022-02-19T11:06:41.000Z;7 likes;-
8;_jan.gsn;Dieser Post ist historisch mehrfach falsch. Sophie Scholl war an diesem Tag nicht in München. Außerdem wurden keine solcher Masken in den Bunkern getragen. Finde es merkwürdig, dass hier fiktive Fakten verwendet werden.;2022-02-19T06:38:06.000Z;10 likes;-
9;frtzthct;das ist alles so ein scheiss, was ihr hier schreibt. peinlich und auf kosten von gez zahlern. bitte lasst unsere kinder nicht so nen nazi weichgespülten scheiss lernen.;2022-02-19T00:59:52.000Z;2 likes;-
10;radvernarrt;Hm du warst da angeblich gar nicht in München am 21.12…….;2022-02-18T20:46:32.000Z;2 likes;-
11;fenster.nach.israel;2012 wohnten meine Bekannten noch nicht lange in Israel. Es war absolut beängstigend, dass sie Gasmasken abholen und anpassen lassen mussten.;2021-12-22T21:39:45.000Z;0;-
12;_jan_knz;So ne Maske hab ich noch;2021-12-22T18:41:46.000Z;0;-
13;purrfect.drug;Ich habe letztens mit einer 100-jährigen Frau gesprochen. Sie hat mir erzählt, wie alle ihre Schwestern und ihre Mutter beim Bombenangriff am 27.12.1944 im Krätzbach-Bunker (Fulda) gestorben sind. Die amerikanische Luftflotte stieg an dem Tag mit 124 B-17 Bombern in Südostengland auf, um den Fuldaer Bahnhof und damit die Versorgung der deutschen Truppen zu zerstören. In dem Bunker hatten 1000 Menschen Schutz gesucht. 750 kamen ums Leben, da der Bunker beim Bombenangriff verschüttet wurde. Panik brach in dem engen Gewölbe aus und die Menschen starben durch Gewalt, Erstickung und Kälte. Nur 250 Menschen konnten nach rund 12 Stunden gerettet werden. Die Frau, die mir das erzählt hatte, ist an dem Tag zuhause geblieben. Das hatte ihr das Leben gerettet.;2021-12-22T13:30:37.000Z;14 likes;-
