Link: ;https://www.instagram.com/p/CVmq-cQLLv-/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;determined_curious;⚪🌹⚪;2021-10-31T16:50:07.000Z;1 like;-
2;thurnblaser;Mega Bild bist echt hüpsch;2021-10-30T22:37:02.000Z;0;-
3;bmr_square;Pass auf, denn die Leute hören im Zug mit: dies bleibt auch weiterhin so bis ins 21. Jhd.;2021-10-30T08:01:17.000Z;0;-
4;paulinereibe;Liebe Sophie, bitte sei vorsichtig! Nicht auszudenken was passiert, wenn die falschen Menschen von deinen Aktivitäten erfahren...;2021-10-29T18:56:22.000Z;2 likes;-
5;nadinekleinen84;Der Schlossgarten ist einen Ausflug wert.;2021-10-29T17:20:27.000Z;7 likes;-
6;js_6092;👍;2021-10-29T17:07:28.000Z;0;-
7;mico_to_;Liebe Sophie, da du die Natur so sehr liebst solltest du nach deinem Schlossbesuch unbedingt im Hardwald direkt hinter dem Schlosspark mit seinen Wasseranlagen und Brunnen einen Spaziergang genießen, ein bisschen entspannen tut dir sicherlich gut. 🌲🌲;2021-10-29T13:53:09.000Z;9 likes;-
8;jumpin52;Sophie bleib vorsichtig!🙏;2021-10-29T13:47:19.000Z;3 likes;-
9;katharina.helling;".
🗓 29.10.1942

▪️ Auschwitz

Aus dem Konzentrationslager Dachau werden 499 Häftlinge verschiedener Nationalität nach Auschwitz eingeliefert. Sie sollen in den Buna-Werken der IG Farben arbeiten. (Czech, S. 328)

▪️ Erlaß des Reichswirtschaftsministers

Juden, die im ersten Weltkrieg gekämpft haben oder verletzt wurden, wird in Zukunft der sog. Haushaltspass nicht mehr ausgestellt. Damit entfällt auch für Menschen dieser Gruppe die Möglichkeit, rationierte Waren zu erwerben.
Für ""Mischlinge"" bleibt eine Sonderregelung bestehen. (Walk, S. 391)
.
🗓 29.10. - 01.11.1942

▪️ RK Ukraine

Deutsche Polizeibataillone treiben die Bewohner des Ghettos von Pinsk (Weißrußland), insgesamt 15.- 20.000 Menschen, zusammen, um sie an einem Sammelplatz zu erschießen. Kranke, Alte und Kinder werden sofort in Häusern und Höfen des Ghettos ermordet. Mehrere Dutzend Juden können fliehen oder sich verstecken. Nur 143 Fachhandwerker bleiben am Leben und werden in ein Lager gesperrt, das am 23. Dezember ebenfalls ""liquidiert"" wird.

Vor dem deutschen Einmarsch hatten in Pinsk 30.000 jüdischen Menschen gelebt, etwa 70% der Stadtbevölkerung. (EdH, S. 1113-1114)

Himmler hatte die sofortige Vernichtung des Ghettos von Pinsk am 27. Oktober angeordnet, da es ""als Zentrale der gesamten Bandenbewegung in den Pripjet-Sümpfen anzusehen"" sei, durch die der deutsche Truppennachschub gefährdet werde. (Heiber, Himmler-Briefe, S. 165)
〰️
http://www.holocaust-chronologie.de/chronologie/1942/oktober.html";2021-10-29T13:47:06.000Z;6 likes;-
10;sume555;Ich mag den Zoo dort, hab schöne Erinnerungen;2021-10-29T12:49:04.000Z;1 like;-
11;morekhodovaa;oh, ich will auch gerne nach Karlsruhe, wohne nicht so weit weg, aber war noch nie dort!;2021-10-29T11:53:29.000Z;2 likes;-
12;_.galskap;😍😍;2021-10-29T11:14:30.000Z;0;-
13;annie_henning_bayern;Bitte nicht übermutig werden. Man sollte Menschen nicht so schnell vertrauen. Schon gar nicht, wenn es um so was gefährliches geht;2021-10-29T10:58:36.000Z;19 likes;-
14;claudiadriesen;Aber wie Unterhält man sich über so ein Thema? Frau kann ja schlecht sagen, sind Sie auch gegen die Sch..... Naz.... und gegen Adolf und das was hier abläuft. Ich glaube da würde man auch als Deutsche ins KZ kommen oder?;2021-10-29T10:30:51.000Z;0;-
15;tennuisima;In Karlsruhe steht auch Deutschlands ältestes Parlamentsgebäude!! Eine Wiege der Demokratie also! 😍;2021-10-29T10:24:44.000Z;2 likes;-
16;merlinrooney;Wo schläfst du eigentlich auf deiner Reise? Unterkünfte sind sicher teuer?;2021-10-29T09:40:49.000Z;3 likes;-
17;mr_binbin91;@ichbinsophiescholl Wie schaffst du es denn mit Menschen kritisch über das Regime zu sprechen? Woher weißt du, dass du nicht ausgehorcht und verraten wirst? Damit gehst du doch ein sehr hohes Risiko ein, oder?;2021-10-29T09:28:53.000Z;5 likes;-
18;gwen_gloeckchen;Ich wünsche dir mehr liebe Menschen und tolle Gespräche, liebe Sophie! Grüße an Otl wenn du ihn triffst. 🙂;2021-10-29T09:27:01.000Z;3 likes;-
19;arisk.prvt;Karlsruhe!!! Guck dir bei Möglichkeit das Schloss an😍😍;2021-10-29T09:19:14.000Z;3 likes;-
20;ganzkleine_86;Sind die beiden Damen andere Mitreisende oder? 😊;2021-10-29T09:12:17.000Z;0;-
21;jos_jo90;Mach nen Abstecher nach Pforzheim. Hat ne wunderschöne Altstadt 😃;2021-10-29T09:10:45.000Z;2 likes;-
22;eickmanndagmar;Immer gut aufpassen, mit wem du sprichst. Ich kann deinen Enthusiasmus gut verstehen, aber leider gibt es noch viele Menschen, die so denken, wie die alte Dame.;2021-10-29T09:09:24.000Z;5 likes;-
23;katrinpruchniewski;"Ich kann auch stricken.
Das ist ganz schön.
Ich teile aber die Meinung der älteren Dame nicht.
Das Beste für Menschen im Krieg, ist den Krieg sofort zu beenden.
Da nutzen ein paar Handschuhe nichts.";2021-10-29T08:31:10.000Z;5 likes;-
24;mazitova99;Karlsruhe in meine Zeit finde ich schön, aber du siehst ein bisschen anderes Zentrum der Stadt.;2021-10-29T08:14:24.000Z;4 likes;-
25;_rubu24;ja witzig, bin auch gerade unterwegs in der Bahn nach Karlsruhe!;2021-10-29T08:08:55.000Z;1 like;-
26;neuni1005;Wie waren denn die wirtschaftlichen Verhältnisse der Fam Scholl? Einfach so für Gespräche durch die Gegen zu Gondeln hat ja zu Kriegszeiten auch Geld gekostet!? Ja sie gab vor jemanden zu besuchen, aber trotzdem..;2021-10-29T08:03:23.000Z;0;-
27;mehmed.koenig;"Oh Sophie, Deine Situation erinnert mich auch so sehr an die Situation meiner eigenen Familie damals 1993. Wir waren zwar nicht im „aktiven Widerstand“, aber meine Mama beispielsweise, hatte auch versucht, Verbündete zu finden, um am Ende nicht alleine, mit ihren Kindern, in den Kriegswirren dazustehen.
Als sie meinen Vater und Bruder in einem Unterschlupf bei einer älteren Frau, versteckt hielt, lernten wir auch Slavica kennen. Sie war Kroatin und dementsprechend gehörte sie der Volksgruppe an, die uns auch aus unseren Häusern vertrieben hatte. Slavica war aber nicht „eine von denen“, sondern eine ganz besondere Frau. Es widerte sie an, was „ihre“ Volksgruppe uns antat, sodass sie uns half, in unserem Versteck zu bleiben. Sie unterstützte uns, mit allen möglichen Mitteln, die ihr zur Verfügung standen.
Ich hoffe so sehr, dass Du auch weitere Verbündete finden wirst. Ich wünsche es Euch so sehr!";2021-10-29T08:01:41.000Z;65 likes;-
28;blackforestjacky5;Nice to see you!!! 😊;2021-10-29T07:56:24.000Z;1 like;-
29;cocorina313;Ich hoffe du erlebst schöne und angenehme Momente in Karlsruhe. Es ist meine Heimatstadt. Unser Schloss ist wunderschön und die Straßen sind Fächerförmig Richtung Schloss angelegt. Kann man gut vom Schlossturm aus sehen. Ob du den besichtigen kannst, weiß ich allerdings leider nicht. Alles Liebe dir Sophie ❤️ und Gute Reise;2021-10-29T07:55:48.000Z;16 likes;-
30;elirockchick;Ich vermisse die Abteilzüge.;2021-10-29T07:55:38.000Z;4 likes;-
31;barbaraunfug;Ohh das ZKM! Spaß. Zu der Zeit war der Ort eine ganz furchtbare Munitionsfabrik, ich hoffe, du musst nie wieder an einen solchen Ort. Gibt es den Zoo schon? Ansonsten natürlich der alte botanische Garten. Der ist toll. Und die Kunsthalle! Das Naturkundemuseum auch, sofern es nicht in Trümmern ist.;2021-10-29T07:54:48.000Z;6 likes;-
32;bentai.cntw;Unbedingt das Schloss anschauen! Ist sehr schön ☺️;2021-10-29T07:53:06.000Z;28 likes;-
33;jennytruong__;@anika0209 Mama Thanh gibts da zu sehen + me, myself and I;2021-10-29T07:50:18.000Z;1 like;-
34;giusy79_;Hat Inge von deinem Treffen mit Otl erfahren?;2021-10-29T07:49:58.000Z;3 likes;-
35;thomas.kind.35;Habe ich was verpasst?;2021-10-29T07:34:48.000Z;1 like;-
