Link: ;https://www.instagram.com/p/CQ547NFqh4f/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;mayasiiri;"Ich glaube, daß man die erst fragen müßte,
Mit deren Blut und Geld man Kriege führt.
Ich glaube, daß man nichts vom Krieg mehr wüßte,
Wenn wer ihn will, ihn auch am meisten spürt.
Ich glaube, daß die Haut und ihre Farben
Den Wert nicht eines Menschen je bestimmt.
Ich glaube, niemand brauchte mehr zu darben,
Wenn der auch geben würd', der heut' nur nimmt!
Ich glaube,
Diese Welt müßte groß genug,
Weit genug,
Reich genug
Für uns alle sein!
Ich glaube,
Dieses Leben ist schön genug,
Bunt genug,
Grund genug,
Sich daran zu erfreu'n!
Udo Jürgens #teamsoffer @ichbinsophiescholl";2021-07-11T10:51:50.000Z;1 like;-
2;max.x.bauer;Deshalb bin ich dafür, dass wir erkennen, dass uns Vielfalt nicht minderwertiger macht, wenn sie mit Empathie einhergeht. Bei Ressourcenknappheit würde das Ego des Menschen auf eine harte Probe gestellt. Würde man Ressourcen teilen, gemeinsam eine Lösung finden? Oder würde einer sich so viel nehmen, wie er bekommen kann? Leider ist die Wahrscheinlichkeit sehr groß, dass es immer jemanden, der letzteren Sorte gibt. Wir neigen ja selbst im Alltag schon dazu, wo kein reeller Grund dazu besteht. Ich denke, diese Ego Muster sind Ursache der Kriege. Wir können nur damit anfangen, jene Muster in uns selbst zu sehen, dann werden vielleicht auch irgendwann die machtbesessensten Menschen anfangen, die eigenen Ego Gedanken zu hinterfragen.;2021-07-06T16:26:49.000Z;0;-
3;conna_bn;Bei der Euro 2020 haben die Russen und die Ukrainer mitgekickt, und gleichzeitig Krieg in der Ostukraine. Das fand ich auch bezeichnend. Natürlich könnten die auch friedlich miteinander leben. Das Problem sind die Irren an der Macht.;2021-07-06T12:22:03.000Z;0;-
4;stef28.albrecht;Das böse hört niemals auf;2021-07-05T18:45:25.000Z;0;-
5;op.st;Stellt euch vor, es ist Krieg und niemand macht mit ..... IchBinSophieScholl;2021-07-05T16:27:33.000Z;0;-
6;nanar.4;Stellt euch vor ES IST KRIEG, und keiner merkt es!!! Weil sich die Menschen immer noch genauso an der Nase herumFÜHREN lassen wie damals!!!! 🤫;2021-07-05T13:15:18.000Z;0;-
7;roemeryoshi;👏;2021-07-05T04:05:35.000Z;0;-
8;fradigt;Stel dir vor😂 wir bleiben Allen einfach zu Hause... Es gab Pandemie;2021-07-04T21:59:42.000Z;1 like;-
9;wondertonk52;🤓;2021-07-04T19:33:35.000Z;0;-
10;sylvmcqueen;Es haben viele den Kriegsdienst verweigert, z. B. geschlossen die Bibelforscher. August Dickmann z. B. war der erste Kriegsdienstverweigerer, der hingerichtet wurde. Leider hatten dann doch zu wenige den Mut und Glauben, um für ihre Überzeugung in den Tod zu gehen.;2021-07-04T19:28:36.000Z;2 likes;-
11;gwen_gloeckchen;Stellt euch vor, es ist Krieg und keiner will hin... dann müssten sich die, die den Krieg wollen, selber kloppen... Aber so wie man Feuer nicht mit Feuer löscht oder Wasser mit Wasser trocknen kann, kann man Hass nicht mit Hass bekämpfen. Liebe Grüße von Ramona 🍀;2021-07-04T18:37:24.000Z;2 likes;-
12;petrabrunker;Stell dir vor es ist Krieg und keiner geht hin...;2021-07-04T18:06:10.000Z;0;-
13;polstertier;Ja, sowas denke ich auch manchmal. Leider sind viele Menschen sehr authoritätshörig. Irgendwie wird man ja letztlich auch in so eine Richtung erzogen. Damals erst recht.;2021-07-04T17:35:04.000Z;0;-
14;yogangji;"Liebe Sophie, das wird höchstwahrscheinlich nie passieren. Das wurde in Nena's Lied ""99 Luftballon"" gut aufgezeigt. Es wird immer Menschen geben, die nicht hinterfragen und einfach Befehle ausführen, denn es gehört eine Menge Mut dazu ""nein"" zu sagen - man will ja gefallen.";2021-07-04T16:54:55.000Z;0;-
15;_yoga_tanz;Wenn keiner mehr mitmacht, ist die Sache sofort beendet.;2021-07-04T16:42:55.000Z;1 like;-
16;little_soundso;Das wäre so so schön 🍀;2021-07-04T15:30:24.000Z;1 like;-
17;katharina.helling;Stammt dieser Ausspruch eigtl von Sophie?;2021-07-04T15:18:07.000Z;1 like;-
18;hauptstadtlady50;Eine Frage, die ich meinen Großeltern als junge Erwachsene auch gestellt habe. Besonders den Eltern meiner Mutter, die Antwort war meist ein hilfloses Schweigen. Ich weiß nicht wie wir uns heute verhalten würden.;2021-07-04T14:59:16.000Z;1 like;-
19;ulrikemunner;Liebe Sophie, es wird nicht funktionieren. Solange Männer das sagen haben,wird es immer Krieg geben.Frauen werden zwar in wichtigen Funktionen gebraucht, sollen dann aber zurück an den Herd.Männer kommen u missbrauchen Frauen, unterdrücken sie.;2021-07-04T14:34:31.000Z;0;-
20;schoolsven;❤️;2021-07-04T14:22:06.000Z;1 like;-
21;vierter_detektiv;Stell dir vor es ist Krieg und keiner geht hin. #imagine;2021-07-04T13:53:52.000Z;3 likes;-
22;alexandra.tilgner;Stell dir vor es ist Krieg und keiner geht hin!;2021-07-04T13:52:40.000Z;5 likes;-
23;giselaute;Peace 🔥🔥🔥🔥🔥;2021-07-04T13:25:20.000Z;2 likes;-
24;olafvonrothkirch;Der Mensch ist leider ein Herdentier und nur wenige können sich dem entziehen und die sich dem entziehen, nennt man dann die schwarzen Schafe. Sei(d) stolz darauf, schwarze Schafe zu sein!!!;2021-07-04T13:06:45.000Z;0;-
25;mehralsstempelundpapier;Stell dir vor es ist Krieg und keiner geht hin!;2021-07-04T13:06:44.000Z;1 like;-
26;nutzedenaugenblick_photography;Stell dir vor es wäre Krieg und niemand ginge hin...;2021-07-04T13:06:03.000Z;1 like;-
27;tadrea77;Leider (und oft völlig unverständlicherweise)gibt es nie und für nichts ein NIEMAND 😔;2021-07-04T12:57:32.000Z;0;-
28;tobias_klaus_official;Der 1. Weltfrieden? Eine tolle Vorstellung... Leider ist der Mensch aber scheiße. Bekämpft und bekriegt sich wegen Belanglosigkeiten. Manchmal wünsch ich mir, das Leben wäre eine Klaviatur. Ganz viele Schwarze und Weiße und alle spielen einfach nur miteinander.;2021-07-04T12:56:49.000Z;21 likes;-
28-1;ichbinsophiescholl;@tobias_klaus_official Gemeinsam in Harmonie. 🎶;2021-07-04T13:19:09.000Z;13 likes;28
28-2;chriseileen1;@tobias_klaus_official Der Egoismus des Menschen steht dem im Weg. Den gilt es zu überwinden.;2021-07-04T21:24:20.000Z;1 like;28
29;susa.zou;Bob Dylan : Masters Of War 👍🏽;2021-07-04T12:52:47.000Z;0;-
30;bella_32199;Das kenn ich 😍 ENDLICH FRIEDEN 🔥 Grüße an alle die das lesen 🙂;2021-07-04T12:52:45.000Z;1 like;-
31;smalltalk201;Eine schöne Vorstellung...aber so lange es Menschen gibt, einfach unvorstellbar. Es wird immer Leute geben, die aus Kriegen ihre Profite ziehen. Traurig.;2021-07-04T12:43:53.000Z;5 likes;-
