Link: ;https://www.instagram.com/p/CUKrDz3svic/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;hellwichjustin;Aus als wäre das auf dem auf kleber der Adol? ?itler;2021-10-07T10:17:14.000Z;1 like;-
1-1;ichbinsophiescholl;@hellwichjustin #TeamSoffer Hitler-Briefmarken waren während des Nationalsozialismus allgegenwärtig.;2021-10-07T10:21:21.000Z;2 likes;1
1-2;hellwichjustin;@ichbinsophiescholl ich habe gehört das nicht alles stimmt was hitler gemacht haben soll so gar im Gegenteil das es sogar nett war aber was weiß ich schon du bist Schauspielerin oder und Künstlerin 😮;2021-10-07T10:48:08.000Z;0;1
2;hellwichjustin;Es tut mir leid aber sieht;2021-10-07T10:15:14.000Z;0;-
3;shelleyinanutshell.ey;@sandravoss241;2021-09-24T18:45:27.000Z;0;-
4;annie_henning_bayern;Wobei du mit Otl schon eine Nacht in einem Pensionzimmer verbracht hast. Ihr zwei ward Wandern und schafftet es nicht mehr heim. Ihr habt nachts Gedichte gelesen.;2021-09-24T17:46:57.000Z;1 like;-
5;frauvonholz;😢😍;2021-09-24T14:26:07.000Z;0;-
6;paulb2104;Hat Inge tatsächlich Sophies Post gelesen, wie es hier im Post und in den Stories erzählt wird? Oder ist das ein Mittel, um hier den Konflikt der beiden spannender zu erzählen? Ich konnte leider nichts dazu finden. Würde mich persönlich sehr interessieren... Also falls jmd Näheres weiß, gerne Bescheid geben:);2021-09-24T08:36:25.000Z;0;-
7;sonja_weltenbummler;Eifersucht ist Gift;2021-09-24T05:14:28.000Z;0;-
8;sonja_weltenbummler;Eifersucht ist Gift;2021-09-24T05:07:49.000Z;0;-
9;netratz;🔥❤️;2021-09-24T02:31:06.000Z;0;-
10;jesbenzac8;Liebe Sophie,wann geht das Semester weiter?;2021-09-23T22:22:21.000Z;2 likes;-
10-1;ichbinsophiescholl;@jesbenzac8 Am 2. November soll es weitergehen. Ich werde versuchen Ende Oktober zurück nach München zu fahren. Ich freue mich auf München und meine Freunde dort!;2021-09-24T07:51:46.000Z;9 likes;10
10-2;jesbenzac8;@ichbinsophiescholl Das glaube ich dir. Ich vermisse deine Freunde auch schon. Das wird bestimmt ein tolles Wiedersehen. Ein Hinweis noch: Habt ihr schon von dem Gauleiter Paul Giesler gehört? Nehmt euch vor ihm in acht,ein ganz brutaler Regimetreuer😢der in den 30er Jahren in meiner Heimatstadt die Leute terrorisiert und öffentlich denunziert hat.;2021-09-24T08:00:10.000Z;1 like;10
10-3;ichbinsophiescholl;@jesbenzac8 #TeamSoffer Auch wir können nur Vermutungen anstellen, ob Sophie von Paul Geisler gehört hat. In dem in unserer Erzählung anstehenden Wintersemerster der Universität wird Gauleiter Geisler am 13. Januar 1943 eine Rede halten. Gut möglich, dass Sophie, die sich zu dieser Zeit auch in München aufhielt, von dieser Rede und ihrem Redner hörte oder selber anwesend war. Mit dem Inhalten der Rede dürfte sie wenig Übereinstimmung gefunden haben.;2021-09-24T12:19:55.000Z;9 likes;10
11;claudiakeupen;❤️;2021-09-23T20:00:27.000Z;0;-
