Link: ;https://www.instagram.com/p/CYW1jQ5M4f1/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;dominiquep69;Ich finde es echt toll was eure Gruppe da macht. Nur nicht aufgeben. Ich habe so das Gefühl dass es sehr viele Menschen gibt die euch bewundern aber selbst nicht den Mut finden zu euch zu kommen und zu sagen. Was kann ich machen. Und wenn’s nur die Briefmarke aufs Couvert kleben ist.;2022-01-06T17:39:06.000Z;0;-
2;tabularasa_____;Verliebt! ❤️;2022-01-06T14:44:33.000Z;1 like;-
3;masson4733;...und: Könnte dies dann eine Person alleine schleppen?;2022-01-06T09:35:12.000Z;0;-
4;masson4733;Wie schwer ist so ein Vervielfältigungsgerät? Passt so etwas in einen großen Koffer?;2022-01-06T09:34:07.000Z;2 likes;-
5;marklemarigold;Das Projekt agiert in der Balance von Geschichte greifbar machen in Zeiten von Social Media, und Geschichte stilisieren. Die Wahl besonders schöner Schaustellerinnen entspricht zwar der Natur von Instagram, stilisiert aber auch heroisierend die Protagonisten, was ich eher als entfremdend empfinde. Bilder von Traute Lafrenz auch als ältere Frau berühren mich gerade weil sie so ‘normal’ wirkt, eine wie du und ich.;2022-01-06T09:30:38.000Z;25 likes;-
6;frackwheelz;Ich hoffe Sie hat das auch langfristig überlebt?;2022-01-06T05:44:06.000Z;2 likes;-
7;kateandrewz;@annick.dent did you know traute is still alive today??? 103 years old!!;2022-01-06T02:35:40.000Z;1 like;-
8;a.creativestory;@verenasell auf den ersten Blick sieht sie aus wie DU!! 😳❤️;2022-01-05T23:35:29.000Z;1 like;-
9;gwen_gloeckchen;Schön dich wieder zu sehen, liebe Traute! 🙋🏾‍♀️;2022-01-05T23:15:38.000Z;0;-
10;an_na_ce_li_na;Traute sieht aus wie Bella Thorne in jungen Jahren;2022-01-05T21:23:29.000Z;1 like;-
11;christine.binggeli;❤️;2022-01-05T20:35:27.000Z;0;-
12;_katyucha_;Und Traute Lafrenz lebt noch immer!! 😍👏;2022-01-05T20:28:30.000Z;20 likes;-
13;hamlethummel;Vervielfältiger?;2022-01-05T20:24:41.000Z;0;-
14;asraelfoxmade;Traute lebt sogar noch hab ich grad gesehen. 😮😮😮;2022-01-05T19:53:02.000Z;3 likes;-
15;anjamuller565;Wie habt ihr das geschafft?;2022-01-05T19:51:34.000Z;1 like;-
16;candy_rockt_heimchenamherd;@ichbinsophiescholl Traute Lafrenz ist ja noch am Leben, weiß sie diesem Projekt? Hat sie sich evtl. sogar dazu geäußert?;2022-01-05T19:29:22.000Z;2 likes;-
17;joli_ladner;@ichbinsophiescholl woher kommen die Outfits😍?;2022-01-05T19:12:47.000Z;1 like;-
18;hypnoliebe;Tolles Bild! Wow!;2022-01-05T18:47:45.000Z;0;-
19;lu_ke_y;Wow ist sie hübsch!! 😱;2022-01-05T18:26:08.000Z;16 likes;-
20;elakuehn72;Sehr mutig von Traute ... ich drücke die Daumen das nichts schief geht ... viel Glück! 🍀;2022-01-05T18:21:24.000Z;10 likes;-
21;giusy79_;Traute ist eine sehr hübsche Frau! 🔥;2022-01-05T18:14:20.000Z;33 likes;-
22;nadine_ranft;Viel Glück. Wieviele Vervielfältiger habt ihr dann?;2022-01-05T18:04:43.000Z;3 likes;-
23;x_x_natascha_x_x;Traute du bist soooo wunderschön!!;2022-01-05T18:00:38.000Z;20 likes;-
