Link: ;https://www.instagram.com/p/CaHkfORKgdm/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;gaming_vinu10;Love it DM ❤️ @pro_streamers_;2022-03-02T22:53:49.000Z;1 like;-
2;franzi_kathi2000;😢😢😢😢😢😢 Danke für euren Mut! Danke für alles Sophie!😢❤;2022-02-26T22:48:47.000Z;2 likes;-
3;zaubertag;❤️;2022-02-24T16:15:14.000Z;0;-
4;dav_id1910;https://taz.de/Alle-im-Widerstand-wie-Sophie-Scholl/!5835131/;2022-02-24T15:06:54.000Z;0;-
5;grafik_inka_carolin_zellner;Ich habe alles mit Gänsehaut verfolgt. Danke für dieses wichtige Projekt!;2022-02-24T13:34:08.000Z;1 like;-
6;raphaela_lestina_official;Ich habe es jetzt innerhalb von 24 Stunden geschafft, mir jedes einzelne Posting, jeden Beitrag, jeden Hinweis dazu durchzulesen... Und gleichzeitig beginnt mit heute der Krieg in der Ukraine... Es macht mich zutiefst betroffen, was hier gerade passiert, vor allem der Umstand, dass viele Menschen schlichtweg nichts aus der Vergangenheit lernen wollen... Meinen tiefen Respekt vor der Umsetzung dieses großartigen Projekts! Bitte lasst diesen Kanal auf alle Ewigkeit bestehen 🙏 #gegendasvergessen;2022-02-24T07:29:41.000Z;1 like;-
7;schenkelchristoph;Vielen Dank für diese wertvolle Doku! Vielen Dank, dass Sie vielen Menschen auf so lebendige Weise das Leben der Mitglieder der Weißen Rose nahe gebracht haben. Schon vor 40 Jahren hat mir das Lebensbeispiel der Weißen Rose ein wichtiges Leitbild für mein eigenes Leben gegeben. Nochmals vielen Dank Ihnen allen! Christoph Schenkel;2022-02-23T21:19:19.000Z;1 like;-
8;nadinekleinen84;😭😭😭😭😭😭;2022-02-23T19:02:56.000Z;1 like;-
9;michaela.ckm;Bis zum Schluss hab ich gehofft, das die Geschichte hier einfach mal anders endet. Ich wollte diesen Tag einfach nicht. Aber mega tolles Projekt.;2022-02-23T18:21:49.000Z;1 like;-
10;levkefl;Danke für eure Arbeit, das war ein großartiges Projekt. 👏👏👏;2022-02-23T09:19:44.000Z;0;-
11;square_travelz;Ich habe solche Bauchschmerzen den ganzen Tag schon deswegen. Auch wenn man weiß, wie die Geschichte ausgeht, es in Echtzeit hautnah mitzuerleben über Monate ist einfach ganz anders und das Ende so schnell und grausam. Ruhet in Frieden 😢#teamsoffer #fürimmer;2022-02-22T23:35:57.000Z;1 like;-
12;fraubaumeister;Tief getroffen😢 man weiß ja was kommt aber trotzdem. Die Essenz des letzten Tages ist sehr schwer auszuhalten.;2022-02-22T18:53:33.000Z;2 likes;-
13;katharinamushoff;Ich verfolge euer Projekt schon von Anfang an und wusste die ganze Zeit das es auch irgendwann Inhalte rund um Sophies Verhaftung und Hinrichtung geben würde. Trotzdem konnte mich mein Vorwissen nicht auf das schwere, beklemmende Gefühl in meiner Brust vorbereiten. Danke das ihr erneut auf den Mut dieser Widerstandskämpfer aufmerksam macht, sei das Ende noch so schmerzhaft…;2022-02-22T18:18:06.000Z;3 likes;-
14;pascal.s6;Eine Frage: Die Dramaturgie an der Stelle, an der Sophie mit Tränen in den Augen die Goebbels Rede hört, ist es da gut zusätzliche Dramaturgie zu schaffen. Gerade im Hinblick darauf, dass die Dramatik sowieso schon auf ihrem Höhepunkt gewesen sein müsste;2022-02-22T17:18:06.000Z;1 like;-
15;montifiori;Ganz tolle und wichtige Arbeit - vielen Dank allen Mitwirkenden dafür!;2022-02-22T16:27:58.000Z;1 like;-
16;christian.christiansen.927;Es ist der 22.2., 16:35. In 25 Minuten verlieren drei großartige Menschen ihr Leben.;2022-02-22T15:36:18.000Z;1 like;-
17;schwessiii;Eure Texte auf den Slides sind abgeschnitten;2022-02-22T11:55:20.000Z;0;-
18;eli.miche92;Es ist so schade, dass Sophie und Hans nie das Ende des Krieges miterleben konnten.;2022-02-22T08:51:39.000Z;3 likes;-
19;the_kay.m;Like for dislike bad history content;2022-02-22T01:49:45.000Z;1 like;-
20;michaela_hanauer;Danke für eure wunderbare Arbeit, Geschichte lebendig werden zu lassen, ihr Gesichter und Alltag zu geben, auch wenn wir nun mit Tränen das unausweichliche Ende miterleben müssen. Ich wünschte nur, wir Menschen hätten alle daraus gelernt und stünden nicht schon wieder kurz davor, Frieden gegen Krieg zu tauschen. Als ob das jemals eine Lösung wäre. Es sollte nie mehr auch nur ein Opfer für Machtgier, Verblendung und Intoleranz sterben müssen. Aber wie erreichen wir das? Wie??;2022-02-21T23:01:56.000Z;3 likes;-
21;kathyw2405;🥲 - vielen Dank für euer tolles Projekt- ich habe es gerne verfolgt 👍🙏 viel Kraft;2022-02-21T22:37:56.000Z;0;-
22;fraukehutker;Liebe Sophie du warst mein Abithema in den 80ern und hast mich nie losgelassen. Und auch wenn man von Anfang an wusste wie es endet fühle ich mich nach dieser monatelangen Reise an deiner Seite persönlich betroffen. Du fehlst.;2022-02-21T21:18:19.000Z;0;-
23;steffifunny;Danke für dieses wunderbare Projekt, das uns die grausame Vergangenheit und eure Geschichte so nah gebracht hat. 🙏;2022-02-21T19:48:03.000Z;0;-
24;derillustrator;☁️🌹☁️;2022-02-21T18:15:12.000Z;0;-
25;hajek_katharina;Meinen größten Respekt für dieses Projekt. 👏;2022-02-21T17:14:28.000Z;1 like;-
26;michocorleone18;Was hat es mit dem Lied „Wenn ich ein Vöglein wär“ auf sich? Bestimmte Bedeutung?;2022-02-21T10:46:02.000Z;0;-
27;onlyforconsumption;Mega spannend gemacht die Szene;2022-02-21T09:33:26.000Z;0;-
28;nazila_sams;Ihr macht das ganz fantastisch 👏;2022-02-21T06:58:22.000Z;0;-
29;rouvmichan;Ein schönes Beispiel wie man Socialmedia sinnvoll nutzen kann, ich danke euch für euer Engagement ❤️👏;2022-02-21T00:58:47.000Z;0;-
30;nicschnap;Wow. Ich habe meine Kindheit und Jugend in Ulm verbracht. Sophie und HansS Geschichte war mir immer nach. Inge war mit meiner Mutter befreundet und hat mir oft von Sophie erzählt. Wir haben manchmal Führungen im ehemaligen kz oberer kuhberg zusammen gemacht. Inge war so stolz auf Hans und Sophie und unendlich traurig um sie. Ich habe Inge immer bewundert. Ich lebe schon lange nicht mehr in Ulm aber das hat das alles nochmal sehr nahe gebracht. Danke das ist super gut gemacht. 👏👏👏👏👏;2022-02-21T00:29:43.000Z;0;-
31;aurora_tonello;War es tatsächlich so, dass sie deshalb erwischt wurden, weil Sophie noch Flugblätter übrig hatte und sie nochmal zurückgegangen ist?;2022-02-20T23:08:24.000Z;1 like;-
32;cihhmae;"Ich habe leider die letzte 2 Tage verpasst und musste unbedingt heute hier reinschauen.
Ich war am Anfang dieses Projekt etwas skeptisch mit dem „Selfie“-Format aber nach einer Weile habe ich angefangen, die Geschichte von Sophie & Co. mitzuerleben und bin ein Follower geworden. Es ist eine sehr bewegende Geschichte und trotz mögliche veränderte oder ausgedachte Situationen, konnte ich viel über sie und ihre Familie erfahren und einiges verstehen. Die letzte Video-Momente hier haben ein starkes und schweres Klopfen in meinem Herz verursacht. 😢 Ich musste auch an viele anderen denken, die ihr Leben auch verloren haben.. Ich bedanke mich und gratuliere für die Arbeit hinter diesem Projekt. Tolle Schauspieler, Produktion, etc. 👏 LG";2022-02-20T22:44:42.000Z;0;-
33;munich_new_in_town;Schrecklich 😢;2022-02-20T22:38:03.000Z;0;-
34;ara_de_seer;@ichbinsophiescholl habt Ihr, also das Team es nicht in Erwägung gezogen, die Geschichte zu einem Film zu machen? Die Schauspieler sind einfach unbeschreiblich. Es gibt Verfilmungen aber mit dieser Besetzung wäre es Perfekt. Ein Film aus der Sicht von Sophie Scholl... Sponsoren würdet Ihr bestimmt auch mehr als genug bekommen 😍 In jedem Fall danke auch ich euch von ganzem Herzen für diese herausragende Leistung. Ich bin mit den Geschichten aus dieser Zeit aufgewachsen, durch meine Großtante, welche alles miterlebt hat und ihr bringt es einem genauso nahe wie echte Augenzeugen. Danke;2022-02-20T19:15:25.000Z;0;-
35;martinrinket;@ichbinsophiescholl Thank you for this project ! Looking at the world today, hoping brave people like Sophie will stand ground.;2022-02-20T18:15:59.000Z;0;-
36;conceptstore_st.ingbert;"Eine Frage die mich schon die ganze Zeit beschäftigt…….
So mutig und engagiert die Geschwister Scholl auch waren, sie wussten ja das wenn sie erwischt werden, sie es nicht überleben. Sophies Wortlaut hier war: „ wenn die uns erwischen kostet uns das den Kopf“. Warum waren sie dann so leichtsinnig und haben damit auch ihre Freunde in Todesgefahr gebracht und im Verhör ihre Namen genannt?";2022-02-20T17:42:17.000Z;3 likes;-
37;silke.mueller.illustration;😭;2022-02-20T17:34:41.000Z;0;-
38;monsterdesign.art;Danke Sophie 💔;2022-02-20T16:46:10.000Z;0;-
39;danctarya_dela_fleur;Kennt ihr das Gefühl wenn man so stark mitfiebert das alles gut geht auch wenn man das Ende bereits kennt?😢 was für ein tolles Projekt. Danke dafür 🙌;2022-02-20T16:31:46.000Z;0;-
40;hypathia.shmypathia;#alternativeerinnerung;2022-02-20T16:29:00.000Z;0;-
41;habalias;Ich habe mit meinem Opa nie über die Zeit gesprochen. Heute würde ich es gerne tun, aber es geht nicht mehr. Er war in Russland dabei und gehörte somit zu den Tätern und Unterstützern der Nazis. Ich hätte heute einige Fragen an ihn. Hut ab vor den wenigen Menschen in Deutschland, die aktiv gegen dieses verbrecherische Regime gekämpft haben.;2022-02-20T16:16:29.000Z;0;-
42;mairimkyrwaw;So unendlich traurig 😢.... Danke für dieses einzigartige Projekt 🙌👏🙌;2022-02-20T16:09:38.000Z;0;-
43;aimeegneist;Sehr gut umgesetzt. Es ist aufwühlend und erschütternd.;2022-02-20T15:52:36.000Z;0;-
44;_han_de;Auch wenn man es weiß, tut die Verhaftung dennoch im Herzen weh. Das ist so unendlich traurig. Das Projekt ist super gelungen. Eure schauspielerische Leistung ist hervorragend. Vielen Dank, dass wir alle an dem der Geschwister Scholl teilhaben durften. ❤️;2022-02-20T15:40:43.000Z;0;-
45;paticosorio;😢;2022-02-20T15:31:35.000Z;0;-
46;ellipirelli_bo;Krieg, Hass, Gewalt und Größenwahn sind die schlimmsten Probleme der Menschheit. Wie kann es nur sein, dass kaum dazugelernt wird? Danke für diese ergreifende Dokumentation des Schicksals dieser wunderbaren Menschen. 🤍;2022-02-20T15:19:04.000Z;0;-
47;ronjareimt;🖤🖤🖤;2022-02-20T14:50:32.000Z;0;-
48;cocomio5;"Wow - das nimmt einen voll mit. Schon beim Weihnachtsbaum-Posting hat es mich gepackt, jetzt konnte ich die Beiträge kaum mehr öffnen 🥲 sie waren einfach junge Menschen mit Träumen von einem selbstbestimmten Leben in Frieden.
Was haben wir heute und wie unzufrieden sind wir??
Ich hoffe, dass diese wundervolle Serie auch viele erreicht hat, die über die Geschichte noch nicht so viel wussten. Vielen Dank für dieses Projekt! ❤️";2022-02-20T14:25:58.000Z;0;-
49;k_irisch_ka;Ich lebe in Russland. Ich habe was von der Geschwister Scholl noch in der Schule gelesen. Aber die beeindruckende lebensnahe Darbietungsweise dieser Geschichte hat mich wiederum zu Tränen gerührt und nachdenklich gestimmt. Vielen Dank!!!;2022-02-20T13:50:33.000Z;2 likes;-
50;knitinthesun;Danke! 🤗;2022-02-20T13:34:15.000Z;0;-
51;brittandlove;Danke, dass es euch gab ❤️;2022-02-20T13:08:36.000Z;2 likes;-
52;martin_buschi;Schade wenn man das hier ernsthaft benötigt,aber vielleicht hilft es ja dem ein oder anderen.;2022-02-20T12:42:02.000Z;0;-
