Link: ;https://www.instagram.com/p/CUPSSJvsBI5/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;anjamuller565;Alles Gute!! Pass auf Dich auf !!;2021-09-26T09:15:57.000Z;0;-
2;tettamic;😂;2021-09-26T06:27:54.000Z;0;-
3;csennfeld;Bitte sei vorsichtig;2021-09-25T16:08:46.000Z;1 like;-
4;ulrikemunner;Das man so reisen konnte?Ist doch Krieg.;2021-09-25T15:26:06.000Z;1 like;-
4-1;katharina.helling;"@ulrikemunner privater Reiseverkehr sollte möglichst eingeschränkt werden. Für bestimmte Züge brauchte man Zulassungskarten, Rabatte wurden gestrichen, Zahl der Personenzüge wurde eingeschränkt. Es gab ab Sommer 1942 auch eine Kampagne ‚Räder müssen rollen für den Sieg“ - das Volk sollte es als Beitrag der „Heimatfront“ zum Krieg/Sieg betrachten, wenn sie möglichst wenig Ressourcen verbrauchten, damit diese in größtmöglichem Umfang für die Versorgung der Front zur Verfügung standen.
Aus der oben genannten Parole wurden von einigen Gruppen schon während des Krieges Verballhornungen bzw Anti-Sprichwörter gebildet (durch die sog Edelweißpiraten zB: „Die Räder müssen rollen für den Sieg. / Naziköpfe rollen nach dem Krieg.“).
Inwieweit die Kampagne Erfolg hatte, wenn die finanziellen für die Tickets zur Verfügung standen bzw die Fahrt nicht von „Zulassungskarten“ abhängig war, weiß ich leider nicht.
In einem oberen Beitrag hab ich auch die Quellen bzw Links zu den Infos angegeben.";2021-09-26T10:08:26.000Z;2 likes;4
5;gwen_gloeckchen;Viel Glück auf der Suche nach Verbündeten. Ihr könnt sie gut gebrauchen und bitte PASST AUF EUCH AUF... Komm gesund wieder, liebe Sophie! ❤️❤️❤️;2021-09-25T13:07:37.000Z;3 likes;-
6;bettyviktoria;Nördlingen 🤗;2021-09-25T12:46:38.000Z;2 likes;-
7;helmutkeimel;Lese gerade den Reisenden. 😢;2021-09-25T11:52:21.000Z;1 like;-
8;giusy79_;Sei vorsichtig, und folge deinem Bauchgefühl 🙌❤️;2021-09-25T11:06:53.000Z;4 likes;-
9;fraunora.h;"1939. In einem Gestapo Vernehmungsprotokoll von Selma Meyer lese ich von einem Gespräch über die Vernachlässigung des Personenverkehrs per Bahn zugunsten des Ausbaus von Autobahnen. Die Zukunft, von der damals geredet wurde, ist übrigens jetzt: ""Die Berichte, die Herrn v. Bl. zitierte seien sehr übertrieben, wohl waren die Personenzüge auf kleinere Strecken weniger gut und das Material alt, während ab und zu ein Zug der im Kursbuch angegeben war nicht fuhr und ohne nähere Angabe ausgefallen war. Die Auslandsverbindungen aber und die Dzüge auf grosse Strecken seien noch ganz in Ordnung. Dass das Material auf kleinere Strecken nicht mehr so erstklassig sei fände vielleicht seine Ursache darin, dass der Führer es für besser hielte das Autoverkehr zu fördern wozu in raschem Tempo Autostrassen gebaut wurden. Ob es vernünftig war Autoverkehr in dem Masse über Eisenbahnverkehr vorzuziehen müsse die Zukunft lehren."" Die Schreibfehler sind aus dem Original. Selma Meyer war Niederländerin. Das Gespräch fand in Amsterdam statt. Im Verhör geht es im Übrigen darum, ob eine gewisse Dr. Johanna Weitz, Fürsorgepflegerin in der Haftanstalt Hohenleuben in Thüringen, Staatsgeheimnisse an den Feind verraten hat. Die promovierte Juristin wurde wenig später verhaftet und so schwer gefoltert, dass sie den Rest ihres Lebens nicht mehr richtig laufen konnte. Ihr Widerstand gegen das NS-Regime wurde nie offiziell anerkannt.";2021-09-25T10:49:17.000Z;25 likes;-
9-1;katharina.helling;@fraunora.h oh, wow! Vielleicht sollte man mal einführen, dass sich jede*r Minister*in mit dem historischen Kontext zum jeweiligen Ressort auseinandersetzen muss.. (würde bei manchen auch nichts helfen, aber wäre vielleicht mal ein Anfang..);2021-09-25T11:02:09.000Z;9 likes;9
10;katharina.helling;"1942 gab es eine Kampagne unter dem Motto ‚Räder müssen rollen für den Sieg“
Privater Reiseverkehr sollte weitestgehend eingeschränkt werden, um die Nachschubprobleme an der russischen Front zu in den Griff zu bekommen, für die in weiten Teilen die Eisenbahn verantwortlich gemacht wurde.

Der am 22. Juni 1941 begonnene Einmarsch der deutschen Truppen in die Sowjetunion kam im Winter 1941/42 nicht zuletzt aufgrund von Nachschubproblemen zum Stehen.
Gleichzeitig nahm die Zahl der beförderten Zivilpersonen während des Krieges von 2,21 Milliarden im Jahr 1939 auf 3,53 im Jahr 1943 zu. Als Konsequenz wurde die Zahl der Personenzüge eingeschränkt, Rabatte gestrichen und die Benutzung von bestimmten Personenzügen nur noch mit Zulassungskarten erlaubt.

Ende Juni 1942 rief Gerhard Sommer, Pressereferent beim Reichsverkehrsministerium, die Pressedezernenten der westlichen Reichsbahndirektionen zusammen, um die geplanten Maßnahmen mit einer Propaganda-Aktion zu begleiten. Der neue Staatssekretär Ganzenmüller entwickelte dabei das Leitwort „Räder müssen rollen für den Sieg!“. In einer Niederschrift der Besprechung wird er mit den Worten zitiert: „Diese Auffassung muß so schnell und eindrucksvoll wie möglich in das deutsche Volk getragen werden. Die Anteilnahme des Volkes an Arbeit und Leistung der Deutschen Reichsbahn muß unbedingt viel größer werden; das Verständnis der besonderen Leistungen für die Heimat muß wachsen.“

Aus der Parole wurden bereits während des Krieges verschiedentlich Verballhornungen bzw. Anti-Sprichwörter gebildet, vor allem als Ausdruck des Widerstands gegen den Nationalsozialismus (z. B. von den Edelweißpiraten in der Form Räder müssen rollen für den Sieg / Nazi-Köpfe rollen nach dem Krieg).

Der Begriff ""Edelweißpiraten"" setzte sich vornehmlich für Jugendgruppen aus dem rheinisch-westfälischen Industriegebiet durch, die ab 1941/42 verstärkt auftraten. Dabei handelte es sich um mehrere tausend Jugendliche, die in der Regel aus dem Arbeitermilieu stammten. In kleineren Gruppen trafen sie sich regelmäßig außerhalb der Hitler-Jugend (HJ) in bestimmten Parks oder Stadtvierteln.
⤵️";2021-09-25T10:34:06.000Z;19 likes;-
10-1;katharina.helling;"Quellen: Wikipedia und https://www.dhm.de/lemo/kapitel/der-zweite-weltkrieg/widerstand-im-zweiten-weltkrieg/edelweisspiraten.html

Zu den Edelweißpiraten gibt es auch eine recht aktuelle Folge des Podcasts Déja-Vu Geschichte vom 28.06.2021

https://podcasts.apple.com/de/podcast/d%C3%A9j%C3%A0-vu-geschichte/id1352293122?i=1000527064780";2021-09-25T10:34:15.000Z;8 likes;10
10-2;fraunora.h;@zuagroastebayrischeschwaebin Oh, sehr spannend wieder. Ich hab auch noch was eindrucksvolles gefunden. Ich sag nur: Kontinuitäten …;2021-09-25T10:50:01.000Z;4 likes;10
11;green_brown_eyes;Im Zug dürfte es für eine Frau leichter sein, da du, liebe Sophie, dich freier bewegen kannst, als ein junger Mann.;2021-09-25T10:18:29.000Z;34 likes;-
11-1;green_brown_eyes;"@green_brown_eyes P.S. Durch das Projekt habe ich meinen 2. Vornamen richtig zu schätzen gelernt, er ist kein ""Anhängsel"" mehr. ❤️";2021-09-25T10:20:03.000Z;0;11
