Link: ;https://www.instagram.com/p/COSf_2EnGep/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;hamlethummel;Ich denke, die Gruppe hätte ihre Flugblätter dennoch über Instagram verbreitet, nur eben mittels wechselnder Accounts und stets in unterschiedlichen Internetcafe's.;2022-01-16T09:02:02.000Z;3 likes;-
2;betty_ps;👏;2021-11-15T18:23:39.000Z;0;-
3;tru.carolina;@silvii.68;2021-06-17T12:15:56.000Z;1 like;-
4;anni.nuss;Stell dir vor es ist Krieg und keiner geht hin;2021-05-19T11:15:11.000Z;10 likes;-
5;jokesch38;Super gemacht;2021-05-18T14:39:57.000Z;2 likes;-
6;adriano_van_de_couch;@bekyra schau mal, find ich klasse...vielleicht auch was für die arbeit?;2021-05-14T17:37:21.000Z;2 likes;-
6-1;itsme_kyralee;@adriano_van_de_couch bei mir ist das ein Standbild mit halbem Text?;2021-05-14T17:58:11.000Z;0;6
6-2;adriano_van_de_couch;@bekyra musst das Profil anschauen...;2021-05-14T18:03:48.000Z;1 like;6
7;chukchee_;coole idee, aber die fotos sollten schon so gepostet werden, dass man die sprüche auch lesen kann...;2021-05-14T16:43:47.000Z;0;-
7-1;qwierly;@chukchee_ kann man doch… wenn du das profil anschaust;2021-10-16T08:05:43.000Z;0;7
7-2;chukchee_;@qwierly antworte ruhig auf nen 22 wochen alten kommi :D alles gut!;2021-10-18T23:03:45.000Z;0;7
7-3;qwierly;@chukchee_ Ja, wieso denn nicht? Gibt es da eine Regel? Stört es dich etwa?;2021-10-19T05:47:10.000Z;1 like;7
8;andreabauernhof;👏;2021-05-13T20:09:38.000Z;0;-
9;maximos.030;@m.i.a.tb;2021-05-12T18:20:38.000Z;1 like;-
10;susannexne;Ihr leistet so wichtige Arbeit! Ein großes Lob an alle, die an diesem Projekt beteiligt sind.;2021-05-12T16:31:21.000Z;2 likes;-
11;adeline.brandon;👏;2021-05-12T14:38:17.000Z;1 like;-
12;alex.ko91;"Hätte Sophie Scholl Instagram gehabt, dann wäre kein posting an die Öffentlichkeit gelangt!
Sie wäre auf ganzer Linie zensiert worden 🤬 Es ist trotzdem eine gute Erinnerung an Jeden! Wir sollten aus der Geschichte lernen!
Wenn Grund- und Freiheitsrechte eingeschränkt, Meinungen unterdrückt und Menschen ausgegrenzt werden, sollten die Alarmglocken laut leuten!";2021-05-11T10:29:54.000Z;4 likes;-
13;naddii_rocket;@stivii_rocket ❤️;2021-05-10T20:21:17.000Z;0;-
14;beijeee;@artemis_didiana was tolles! 😉👌🏻;2021-05-10T10:44:20.000Z;1 like;-
15;lucyodea;@so_ha_11 cool oder?;2021-05-10T09:52:00.000Z;0;-
15-1;qwierly;@lufrcrd Dann verpiss dich doch (Entschuldiguung für den Ausdruck, aber es muss sein, mir egal ob ich reportet werde) von dieser Seite wenn du es nicht gut findest, ich finde die Idee toll, das hier ist eine super Möglichkeit um ein bisschen Geschichte zu lernen und zwar nicht so wie im Unterricht, ganz langweilig, sondern angepasst an die Jugend heutzutage, und zwar als Instagram Profil und Stories, und wenn Leute das versauen, indem sie haten, oder nicht mitspielen, dann ist das schade, auch für die, die hier alle am Projekt mitmachen und sich Mühe geben! Also bitte schau dir einfach an, was dich interessiert und entferne dich von dieser Seite… Noch einmal Entschuldigung für den Ausdruck vorhin, aber ich finde dein Verhalten echt nicht korrekt.;2021-10-16T08:11:22.000Z;0;15
16;michipiskur;Tolles Projekt 👏👏👏;2021-05-10T05:23:44.000Z;0;-
