Link: ;https://www.instagram.com/p/COSf8ynHGDu/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;mala_gruen;Was für ein tolles Projekt.❤️ Danke für den Einblick, die Aufklärung und die Erinnerung an diese mutigen und starken Menschen! 👏👏👏;2022-02-23T20:47:42.000Z;1 like;-
2;_goekcee_;Vor knapp 10 Monaten hat alles angefangen! Vielen Dank für dieses wundervolle Projekt. ❤️ Sophie Scholl und die anderen Kämper:innen werden nie vergessen werden.;2022-02-23T13:57:51.000Z;7 likes;-
3;wanda_1989sa;@detering42 absolut lohnenswert. 👏❤️ Meinen Respekt für die harte Arbeit, die dahinter stecken muss.;2022-02-22T18:08:39.000Z;0;-
4;jon.33518;Bisschen weard das hier kein einziger kritischer Kommentar ist... Ein Schelm wer böses denkt;2022-02-19T21:39:15.000Z;1 like;-
5;leawell86;@philsanity_203 10 Monate 😭😢😭;2022-02-19T18:59:34.000Z;1 like;-
6;tantemicky_naeht;@dreariss;2021-07-14T18:09:33.000Z;1 like;-
7;salvonda;Was für ein starkes Projekt! Sehr eindrücklich gemacht und gratuliere, dass damit auch ein Zeichen gegen aktuelle Ignoranz gesetzt wird! 👏;2021-05-30T10:45:49.000Z;18 likes;-
8;bir_git_58;Ich finde die Idee des Projektes toll. Nur lässt man außer Acht, dass so eine Veröffentlichung zur damaligen Zeit gleich den Tod bedeutet hätte. Irgendwie fühle ich mich daher hin und hergerissen. 😥;2021-05-29T17:54:33.000Z;13 likes;-
9;samuel_t_eagleson;Schon irgendwie respektlos;2021-05-24T15:22:45.000Z;11 likes;-
9-1;pride2022lgbtqia;@samuel_t_eagleson nein;2022-02-24T18:41:07.000Z;1 like;9
10;astro_naut611;Hä ich dachte neue Medien sind schlecht für die Jugend;2021-05-21T11:16:15.000Z;1 like;-
10-1;lisas_highlights;@astro_naut611 wieso?;2021-09-01T17:07:52.000Z;1 like;10
11;nilswulf;Gab's das oder sowas ähnliches nicht schonmal?;2021-05-20T18:51:59.000Z;1 like;-
12;pittisplanet;Liebe Sophie, ihr ward so aufrichtig und mehr als mutig- 🙏🏻 Danke;2021-05-20T13:52:33.000Z;3 likes;-
13;lost_in_the_moment_photo;Applaus! Ich war damals stolz wie eine Löwin mein fachabi an der Geschwister Scholl Schule machen zu dürfen;2021-05-18T19:47:22.000Z;3 likes;-
14;sear_amalia_riri_;🙌🙌🙌🙌tolle Idee 💡 ich hatte in der Vorlesung an der Uni wirklich Kommilitonen die die weiße Rose nicht kannten geschweige den die Geschwister Scholl . Tolle Idee um jüngere Generationen zu erreichen !👌👌👌👌;2021-05-18T16:10:11.000Z;6 likes;-
15;mxthbitez;Es ist 2021;2021-05-18T10:24:13.000Z;3 likes;-
15-1;pride2022lgbtqia;@mxthbitez und?;2022-02-24T18:41:21.000Z;1 like;15
16;indre_senfdottergelb;Wow , was für eine bewegende Idee !!;2021-05-17T20:27:25.000Z;1 like;-
17;nielsens_waterkant;Das wird sehr interessant!! 😮;2021-05-17T09:48:11.000Z;0;-
18;_lealen_;Super Idee, die bereits durch @eva.stories umgesetzt wurde. Ich finde es schade, dass das nicht gewürdigt und die Idee als eigene verkauft wird...;2021-05-17T05:57:22.000Z;0;-
19;_lealen_;Super Idee, die bereits durch @eva.stories umgesetzt wurde. Ich finde es schade, dass das nicht gewürdigt und die Idee als eigene verkauft wird...;2021-05-17T05:57:00.000Z;1 like;-
19-1;freiwildjunkie;@_lealen_ für mich als jemanden, der kein Englisch spricht, ist so ein Projekt in englischer Sprache natürlich (leider) nicht relevant, da ich nichts verstehe. Deshalb ist es wichtig, daß es ebensolche Projekte auch in Deutsch gibt, die Aufmerksamkeit erregen.;2022-02-18T13:59:16.000Z;3 likes;19
20;sissi_kreativ;Willkommen Sophie!!! Immer noch unvergessen!!!!! Und das wird auch so bleiben!!!❤️❤️❤️;2021-05-17T03:58:36.000Z;1 like;-
21;raumausstattung_stein;"super tolle idee. es ist sehr spannend das alles ""live"" zu verfolgen... ich bekomme jetzt schon Gänsehaut... danke! das ihr die Geschichte so greifbar macht das sie nicht in Vergessenheit gerät!!!";2021-05-16T18:47:07.000Z;0;-
22;kikiduerken;👏was für eine Idee, gegen das Vergessen! Ich bleib dran. Großartig;2021-05-16T13:12:18.000Z;0;-
23;lena.stndk;@schuy.a;2021-05-15T22:03:02.000Z;1 like;-
24;munich_new_in_town;What a nice idea 🙌❤️;2021-05-15T20:53:36.000Z;0;-
25;stuebig;Bin auch gespannt, begrüße Dich !;2021-05-15T17:38:59.000Z;0;-
26;thomas_loschke;Sehr merkwürdig, dass die Kommentare auf Instagram und YouTube komplett einen anderen Ton zu diesem Thema finden. Werden hier Kommentare manipuliert?;2021-05-15T11:04:15.000Z;3 likes;-
27;liliarngold;@2211sophie , danke :));2021-05-14T19:55:58.000Z;2 likes;-
28;egger_bettina;Ich finde das ganz toll was Ihr da macht! Ich finde Anne Frank und Sophie Scholl waren Heldinnen im deutschen Weltkrieg;2021-05-14T10:39:23.000Z;1 like;-
29;christinereischl;@schoenjulian des muasd da anschaun, voi cool;2021-05-14T10:15:14.000Z;1 like;-
30;charl.bld;Eine wichtige Geschichte von früher wieder ins Jetzt lebendig wirken zu lassen ist sehr toll, denn unsere jetzige Generation hat es nötig zu wissen was früher alles war und wie ernst die Lage war.👍🏼👍🏼;2021-05-14T08:09:09.000Z;2 likes;-
31;andreabauernhof;Ein sehr gute Idee und Umsetzung!!! Wow!;2021-05-13T20:14:25.000Z;0;-
32;feder_und_berge;Eine wunderschöne und geniale Idee 🔥❤️;2021-05-13T18:48:17.000Z;0;-
33;tabeoss;wow sehr cool;2021-05-13T11:10:00.000Z;0;-
34;fabienneschovenberg;Ich hab Gänsehaut! Was für eine geniale Idee, Geschichte lebendig zu machen und Sophie Scholl und so viele andere Menschen, die so mutig waren und sind wie sie, zu ehren! 👏🏻👏🏻👏🏻;2021-05-12T16:44:49.000Z;2 likes;-
35;frefamily_lifestyle;Super Idee! Ich bin begeistert!!! 👏;2021-05-12T10:56:37.000Z;1 like;-
36;aev4ever;@ralfbrexel @sylviabrexel;2021-05-12T04:02:13.000Z;2 likes;-
37;philipprumm;@verenaslieblinge guck dir mal den account an, geile Aktion!;2021-05-11T18:44:16.000Z;1 like;-
37-1;verenaslieblinge;@philipprumm Ach krass 👏;2021-05-11T18:45:47.000Z;1 like;37
38;flocke986;Mega Projekt ❤️und super gut umgesetzt 👍👍👍 großen Respekt an das gesamte Team die da mit gewirkt haben 🥰;2021-05-11T16:42:35.000Z;0;-
39;schweizerschwaben.haus;...was für ein unfassbar tolles Projekt. Damit holt ihr Instagram auf ein neues Level. Chapeau!;2021-05-11T16:24:15.000Z;0;-
40;karinlindgren2020;Hut ab !!!!! Absolute Hochachtung ✨✨✨;2021-05-11T11:21:03.000Z;0;-
41;yea_boyyyyyyyy;LulW;2021-05-11T10:05:48.000Z;0;-
42;2021locke;Gerade habe ich meine Söhne über Sophie inf. Einer ist 18 Jahre alt ,der andere wird 30 .Leider wird in der Schule das Thema kaum noch behandelt.;2021-05-11T09:44:28.000Z;0;-
43;a_buecherwurm;Ich liebe dieses Projekt. Vielen Dank dafür. So wird Geschichte lebendig;2021-05-11T07:07:13.000Z;1 like;-
