Link: ;https://www.instagram.com/p/CVTP1n8DwRq/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;trauerweide_79;😂❤️;2021-11-28T14:30:31.000Z;0;-
2;morekhodovaa;😂;2021-10-23T23:57:56.000Z;1 like;-
3;bir_git_58;Das halbe Brot hätte auch gereicht und beide hätten etwas davon gehabt.;2021-10-23T14:28:20.000Z;0;-
4;maria_jwth;@martina.jth 😂😂;2021-10-23T11:00:36.000Z;0;-
5;257caro90;@_anniiee_ 🤭Schicksale großer Schwestern;2021-10-23T06:47:48.000Z;0;-
5-1;_anniiee_;@257caro90 ganz einfache Geschichte. 😂;2021-10-23T07:10:07.000Z;0;5
6;maxxime.millions;Hallo ich komme aus dem Jahr 2021 und nein es gibt immernoch keine fliegenden Autos 😂;2021-10-23T00:18:06.000Z;0;-
7;li.nao;Warum setzt ihr die Bildbeschreibung in die Posts?;2021-10-22T19:44:57.000Z;0;-
8;sylwia_jacekk;Woow gib das Rezept bitte 😍;2021-10-22T18:56:23.000Z;0;-
9;die_sabinatorin;Ohje finde nur ich Inges Blick total herzzerreißend 🥺 Würde das Brot sofort zurück geben und kleinlaut sorry sagen;2021-10-22T17:37:02.000Z;7 likes;-
9-1;ichbinsophiescholl;@die_sabinatorin Ein bisschen leid tut es mir schon!;2021-10-23T17:30:20.000Z;3 likes;9
10;michael_merz;Oh. Jaaa dieses kleine Geile Honigbrot. Hmmm. Jaaa 😄;2021-10-22T12:35:14.000Z;0;-
11;giusy79_;Das machen Geschwister so untereinander, aber am Schluss vezeiht man alles 😍;2021-10-22T07:53:18.000Z;3 likes;-
12;jules_0411_;@cabum100;2021-10-22T07:19:03.000Z;0;-
12-1;cabum100;@jules_0411_ haha😂;2021-10-22T07:45:02.000Z;0;12
13;__marinajulia__;@girl_from_bavaria 😂 Bei uns gab's zum Glück nie Futterneid😅🤗😘;2021-10-22T06:58:56.000Z;1 like;-
13-1;girl_from_bavaria;@__marinajulia__ 😂 das stimmt, sonst hätte ich geschaut wie Inge🙈;2021-10-22T07:36:25.000Z;1 like;13
13-2;__marinajulia__;@girl_from_bavaria 😘;2021-10-22T09:45:45.000Z;1 like;13
14;catsmaidgamer;Das hat meine Schwester auch oft gemacht. 😤😒;2021-10-22T06:12:55.000Z;7 likes;-
14-1;ichbinsophiescholl;@catsmaidgamer Aber am Ende verzeiht man sich ja doch, nicht wahr?;2021-10-22T07:33:40.000Z;4 likes;14
