Link: ;https://www.instagram.com/p/CTjMDCrjFP6/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;karinscats61;"Ich bekomme heute noch Gänsehaut,wenn ich mich an die Erzählung von meiner Mutter über eine Bahnfahrt erinnere. Ich glaube sie war auf dem Weg zu ihrem ältesten Bruder,der mit schweren Verbrennungen im ganzen Gesicht,sodass er nie mehr die Augen richtig schließen konnte,irgendwo in einem Lazarett lag.
Als sie in den Bahnhof von Kassel einfuhr,sah sie wie Leichen weggeräumt und auf einen Lastwagen geworfen wurden,weil kurz vorher ein Angriff stattgefunden hatte.Danach hat sie einen Stopp in Würzburg eingelegt.Die Züge fuhren ja unregelmäßig.Als ich ,mittlerweile Studentin in Würzburg ,mit ihr an der alten Uni vorbei lief,sagte sie:,,Da oben im Hörsaal habe ich übernachtet und bin zum Glück am nächsten Tag gleich früh wieder aufgebrochen .Am Abend wurde die Stadt von diesem fürchterlichen Luftangriff mit Brandbomben heimgesucht,der diesen wahnsinnigen Feuersturm entfacht hat.Durch die Sogentwicklung wurden auch entfernt stehende Personen einfach hilflos ausgeliefert ins Feuer gezogen.Irgendwo festhalten zwecklos.Sie hat wirklich einen Schutzengel gehabt.Sirenen haben ihr auch später immer Unbehagen bereitet.";2021-09-19T13:38:31.000Z;0;-
2;fundsache65;Meine Mutter hat mir erzählt, das es, obwohl schon einige Jahre nach Kriegsende, passiert ist, das sich mein Opa beim Familienausflug in der Frankfurter Innenstadt plötzlich mit einem Hechtsprung in einen Hauseingang geschmissen hat, nachdem unerwartet ein sehr tief fliegendes Flugzeug über den Köpfen geflogen kam. Das war ein ehemals lebensrettender Reflex. Alle sollen gelacht haben. Aber wie bitter war das!;2021-09-10T16:16:48.000Z;3 likes;-
3;ferkel0815;Gestern Mittag um 12 Uhr wurden bei uns die Sirenen in der Stadt getestet- passiert regelmäßig. Kenne ich. Aber diesmal war ich direkt davor. Sofort kam die Gänsehaut und der Gedanke wie froh ich sein kann, dass ich nichts negatives direkt damit verbinde und die Hoffnung, dass es meinem Kind auch so gehen darf.;2021-09-09T15:20:23.000Z;0;-
4;mariannehannemann;😢;2021-09-09T08:56:08.000Z;0;-
5;_fighterin_fuerdieewigkeit_;Meine Großtante ist bei der Sirene auf das Dach hoch und hat dann auf im Auge mit einem Piloten Kontakt gehabt. Das hat sie bis zu ihrem Tod 2017 immer wieder erzählt. Unheimlich wenn man bedenkt wie niedrig dieser geflogen sein muss damals. 😳😔;2021-09-09T06:25:27.000Z;3 likes;-
6;vernea82;Meine Omi ist in Berlin am Alex groß geworden, wurde 3x verschüttet. Konnte danach nie Aufzug fahren oder in engen Räumen sein. Auch Menschenansammlumgen waren ein Problem. Und als älteste Tochter musste sie die Mutter unterstützen, Essen organisieren. Keine unbeschwerte Kindheit. Trotzdem war sie ein unglaublich fröhlicher und politisch interessierter Mensch.;2021-09-09T01:43:09.000Z;24 likes;-
6-1;ichbinsophiescholl;@vernea82 #TeamSoffer Danke, dass du deine berührende und persönliche Geschichte mit uns teilst! Wir freuen uns immer über Anekdoten aus der Community. Liebe Grüße!;2021-09-09T16:43:29.000Z;9 likes;6
7;henriqueta1202;"Im Februar 1945 ist meine Mutter mit mir von der Ostsee bis nach Bayern geflohen. Ich war gerade 2 Jahre alt geworden. Beim Ertönen der Sirenen habe ich auch später noch gerufen: ""Runter, runter, Bunker, Bunker"", erzählte mir meine Mutter.";2021-09-08T23:02:22.000Z;13 likes;-
7-1;ichbinsophiescholl;@henriqueta1202 #TeamSoffer Vielen Dank für das Teilen deiner persönlichen Geschichte!;2021-09-09T16:42:54.000Z;3 likes;7
8;sonny_bine;"Meine Mama ist 1939 in Berlin geboren. Sie gingen oft in den Bunker. Mama haben die vielen Lichter am Himmel gefallen 🙁
War keine schöne Kindheit ..";2021-09-08T15:45:50.000Z;3 likes;-
9;morgies_welt;Meine Großtante ist jedes Jahr an Silvester durchgedreht und wollte sich unter dem Bett verstecken - Zeit ihres Lebens, auch noch zig Jahre nach dem Krieg 😢;2021-09-08T14:34:09.000Z;4 likes;-
9-1;multitude.of.drops;@diemorgie Das hat meine Oma auch erzählt. So traurig, dass an diese Generation gar nicht gedacht wird, wenn alle feiern wollen und Raketen in die Luft jagen..;2021-09-09T06:14:10.000Z;1 like;9
10;elmalu95;Ich kann mich noch gut an eine Geschichte meiner Oma erinnern. Sie erzählte mir mal, das sie und ihre Familie abends ängstlich im Haus saßen und einen dunkeln Mann auf das Haus zukommen sahen. Alle hatten furchtbare Panik vor diesem Mann bis schließlich eine von ihnen erkannte, dass es ihr Vater war, der gerade von der Front schwer verwundet mit einer schusswunde in der linken Brust, zurück kam. Sie versorgten ihn so gut es eben ging. Leider hat er es dennoch nicht geschafft. Noch heute bekomme ich eine Gänsehaut wenn ich an diese Geschichte denke. Der Blick meiner Oma, wie er in die Vergangenheit verschwand als sie das so erzählte. Ihre Stimme, der Ton. Sie war ganz und gar in Erinnerungen versunken. Und auch ich konnte keinen Ton rausbringen. Ich starrte sie nur an, hörte zu und war und bin bis heute geschockt über diese Erinnerungen und die Stärke, die sie einfach auch als Person ausmacht.;2021-09-08T13:02:31.000Z;8 likes;-
10-1;_brazen_heart_;@elmalu95 oh 😢;2021-09-08T14:04:21.000Z;0;10
10-2;ulrikemunner;@elmalu95 oh Gott,wie traurig schrecklich .Damals musste man weitermachen, es gab nichts,was einem half.;2021-09-08T15:28:29.000Z;1 like;10
10-3;elmalu95;@ulrikemunner meine Großeltern gehören für mich zu den stärksten Menschen dieser Welt. Sie haben trotz aller Schicksale nie verlernt zu lieben und zu lachen. Ich bin ihnen sehr dankbar. Wir können so vieles von ihnen lernen. Ich höre Ihnen einfach so gerne zu, wenn sie von früher erzählen. Keine Doku könnte das besser als sie;2021-09-08T15:58:08.000Z;4 likes;10
