Link: ;https://www.instagram.com/p/CUCFkkdMndp/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;beritfvikenno;❤️;2021-09-22T04:47:18.000Z;0;-
2;ikramova316;❤️;2021-09-21T06:10:07.000Z;0;-
3;anjamuller565;Bleib wie Du bist!!!;2021-09-20T21:03:56.000Z;1 like;-
4;king_bird_illustration;Liebe sie so viel Du kannst ❤️;2021-09-20T20:21:50.000Z;1 like;-
5;doju123456;Sie festhalten, sprechen, weinen, schreien im wald Wut raus lassen, ablenken in der Natur, beten;2021-09-20T18:48:47.000Z;1 like;-
6;theresahenkes;Rede mit ihr und drücke sie ganz fest ❤️ Lass sie einfach wissen, dass sie nicht alleine ist ❤️;2021-09-20T17:00:56.000Z;1 like;-
7;annakareninapaulus;Der Post macht mich so traurig!;2021-09-20T15:51:54.000Z;1 like;-
8;gwen_gloeckchen;Liebe Sophie. Deine Mama so traurig zu sehen, schnürt einem die Seele zu. Ich wünsche ich könnte helfen, irgendwie... Aber ich denke, sie in den Arm zu nehmen und gaaaaanz fest zu drücken hilft vielleicht etwas. Ich schließe mich der Umarmung gedanklich an und grüße euch alle ganz ❤️lich. Gwen Glöckchen 🍀;2021-09-20T15:04:24.000Z;36 likes;-
8-1;ichbinsophiescholl;@gwen_gloeckchen Ja, für sie da sein - auch mit körperlicher Nähe. Eine Umarmung ist sicherlich nicht verkehrt. Danke für deine netten Worte!;2021-09-20T15:15:36.000Z;25 likes;8
8-2;justinezeiler;@gwen_gloeckchen 🙏🏻❤️;2021-09-20T22:46:47.000Z;2 likes;8
9;maschenfreundin;Sei einfach für sie da;2021-09-20T14:53:26.000Z;4 likes;-
10;ulfrodiger;"Hallo Sophie, ich weiß nicht ob du schon von Pfarrer Bonhoeffer gehört hast, aber er war /ist /kommt wegen seines Widerstands auch ins Gefängnis und schreibt an seine Lieben u. A. Je schöner und voller die Erinnerung, desto schwerer ist die Trennung. Aber die Dankbarkeit verwandelt die Erinnerung in eine stille Freude. Man trägt das vergangene Schöne nicht wie einen Stachel, sondern wie ein kostbares Geschenk in sich.
Dietrich Bonhoeffer. Ich finde diese Zeilen immer wieder sehr berührend auch wenn ich mit Dir hoffe, dass eure Trennung nur vorübergehend ist.";2021-09-20T14:33:03.000Z;2 likes;-
11;netratz;🔥❤️;2021-09-20T14:27:40.000Z;0;-
12;sightseeing_munich;Am meisten könnt ihr wohl machen, wenn ihr füreinander da seid! Trinkt mal einen Kaffee zusammen oder esst ein Stück Honigbrot! 🙂;2021-09-20T13:21:52.000Z;2 likes;-
