Link: ;https://www.instagram.com/p/CXLoR6NsSdv/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;changed.by.popular.demand;Wurde diese Geschichte hier inspiriert vom Film „Die weiße Rose“ von Michael Verhoeven, der 1982 rauskam, @ichbinsophiescholl? Historisch belegt ist sie nicht, aber in dem Film kommt sie auch vor.;2021-12-30T09:21:07.000Z;0;-
2;netterholger;Lasse dich mal in den Arm nehmen Sophie;2021-12-10T00:16:22.000Z;0;-
3;monika_lmt;😢😢😢😢😢😢😢;2021-12-09T10:06:52.000Z;0;-
4;gottesgesandter;Endlich hab ich Jana aus Kassel gefunden;2021-12-09T02:12:32.000Z;0;-
5;so.viel.buntes;warum war sie so mutig, warum sind einige Menschen Mitläufer und andere Widerstandskämpfer? Warum wissen einige genau was richtig und falsch ist und andere lassen sich auf die Gehirnwäsche/Propaganda ein? Hat es mit Glaube zu tun, mit Bildung, mit Charakter, mit Waghalsigkeit, Mut, Leichtsinn, Fehleinschätzung? Wusste sie wirklich genau was ihr blüht, wenn alles rauskommt? Ich kann nicht begreifen, wie ein junger Mensch so mutig sein konnte, es rührt mich, aber es tut mir auch so leid für sie 😢;2021-12-08T22:24:29.000Z;0;-
6;nellybochem;Du must nicht wheine;2021-12-08T15:47:37.000Z;0;-
7;nicbepunkt;Wieso ist so viel Fiktion in diesem Profil?;2021-12-08T14:18:31.000Z;1 like;-
8;hellohappychaos;Sophie, gib nicht auf! Du gibst uns die Kraft, mit unseren Problemen fertig zu werden. Du bist so eine Inspiration!;2021-12-08T13:26:15.000Z;0;-
9;fabo_be;❤️;2021-12-08T11:53:59.000Z;0;-
10;laura_n_e_l_n;Hat das wirklich so stattgefunden um an Briefmarken zu kommen, oder habt ihr es euch ausgedacht.;2021-12-08T11:38:40.000Z;2 likes;-
11;chleinchen;😢;2021-12-08T09:34:58.000Z;0;-
12;ikramova316;🙌;2021-12-08T07:46:44.000Z;0;-
13;nerundemariokartfahren;Wann hat Fritz von Sophies Tod erfahren?;2021-12-07T23:10:51.000Z;2 likes;-
14;charlis.art;Es fühlt sich so echt an, weil zu viele unschuldige Menschen schon ihr Leben lassen mussten. Jeder davon ist einer zu viel. Und dich bzw. euch beschäftigt die Angst davor, was passieren könnte und trotzdem hast du bzw. habt ihr den Mut weiter zu machen! Von Herzen ganz viel Erfolg!;2021-12-07T22:37:21.000Z;0;-
15;anjamuller565;Das ist eine geniale Idee!! Darauf wäre ich nie gekommen!! Der Zweck heiligt die Mittel in diesem Fall. ❤️❤️👏👏👏;2021-12-07T21:59:38.000Z;1 like;-
16;christine.binggeli;🙌;2021-12-07T21:45:50.000Z;0;-
17;franziska_alexandra_hardenberg;Halte durch, liebe Sophie! Wir brauchen Dich! ✊🏻♥️;2021-12-07T21:42:26.000Z;7 likes;-
18;annie_henning_bayern;Leider übersteht ihr ihn nicht. Aber ihr lebt weiter;2021-12-07T21:18:48.000Z;0;-
19;jeanlucpiriou9122;Traurig wie Sie Sophie - Luna;2021-12-07T21:12:46.000Z;0;-
20;balda7strich3;Fiebert hier noch irgend jemand so mit wie ich in der Hoffnung das diese Geschichte und das Leben um Sophie doch noch anders ausgeht, obwohl man die Wahrheit kennt? Furchtbar was sie alle durchmachen mussten. Nie wieder!!!;2021-12-07T20:45:17.000Z;20 likes;-
21;natascha.ponczeck;Ach, Sophie, wenn nicht grob 80 Jahre zwischen uns lägen, wäre es für mich kein Problem, dir meine Briefmarken für die Weihnachtspost zu schenken :( Ein krasser Schritt und vermutlich emotional sehr belastend. Euer Mut und die Opfer, die ihr bringt ist mehr als bewundernswert. Ich weiß nicht, ob ich das hätte tun können. Obwohl ich in gleich 3 Rubriken im wahrsten Sinne des Wortes auf der Abschussliste stehen würde...;2021-12-07T20:34:34.000Z;3 likes;-
22;agatheandlomo;mut @ichbinsophiescholl !!! aber nimmt auch ein oder zwei minuten für dich. Du sollst auch etwas gutes für dich selbs schaffen um deine starke wieder voll zu machen. Wenn deine Seele weinen braucht, weinnt. Du bist ein mench, erlaubt dich dass. Ich umarme dich ganz fest! Danke dass du für uns alle kampfst!;2021-12-07T20:18:59.000Z;1 like;-
23;hellwichjustin;Bist du verwandt mit ihm ich bin auch mit jemanden aus dem Zweiten Weltkrieg verwandt der in Russland gestorben ist;2021-12-07T20:00:31.000Z;0;-
24;jessica_schuld_;Sophie, viel Erfolg. Menschen wie Dich sollte es hundertfach geben. ❤️;2021-12-07T19:53:14.000Z;2 likes;-
25;sure1about6nothing;🔥🔥🔥🔥;2021-12-07T19:46:12.000Z;1 like;-
26;gwen_gloeckchen;Dich so unglücklich zu sehen tut mir weh... Aber was tut man nicht alles für eine ,gute Sache'... 😢😢 Ich hoffe, dass du Fritz bald wieder in deinen Armen halten kannst! 🙌❤️❤️;2021-12-07T19:01:26.000Z;2 likes;-
27;hargert69;😢Puhh, jetzt wird’s wirklich eng…😳;2021-12-07T18:50:06.000Z;2 likes;-
