Link: ;https://www.instagram.com/p/CZG2YdPFuNW/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;madamelou_entdecktdiewelt;Vermissen…. Den Schnee unter Skiern…😩☺️;2022-01-26T18:28:04.000Z;0;-
2;felicitas.hecker;Was ich an Schneetagen mache??? Auf den Frühling warten 😂😂😂.;2022-01-25T20:50:21.000Z;0;-
3;manus_bullerbyn;Hallo @ichbinsophiescholl, ihr seid auch manchmal in meiner Heimat Bad Tölz anzutreffen und genießt die Berge, oder?🏔😍;2022-01-25T20:04:53.000Z;0;-
4;jacky_bruderauf4pfoten;Ich lese gern diese Beiträge doch es macht mich immer traurig. 😢 Jedesmal denke ich mir, wenn sie nur gewusst hätte, wie wenig Zeit noch übrig bleibt. Hätte sie weiter gemacht? Hätte sie das Handtuch geschmissen? 😢;2022-01-25T05:29:38.000Z;4 likes;-
5;carinah1974;So toll, im englischen Garten dieses scheinbar unbelastete Treiben. Genieße den Tag.;2022-01-24T17:41:44.000Z;2 likes;-
6;1234nioka;Dafür müsstest du heute auf Kreta! Oder nach Athen!;2022-01-24T16:56:22.000Z;0;-
7;tanjatak;In der Stadt gibt es nur noch selten schönen Schnee (München). Und wenn, dann ist er gleich wieder matschig und schmilzt schnell weg.;2022-01-24T16:34:43.000Z;0;-
8;anjamuller565;Gönn Dir bitte mehr Auszeiten im Englischen Garten und nimm Dir Zeit für Dich. Du hast soviel Stress!!❤️;2022-01-24T14:09:12.000Z;2 likes;-
9;burmeisterrosemarie;Wirklich sehr berührend, diese Einfühlung in ein damaliges Leben. als wisse man das traurige Ende noch nicht;2022-01-24T13:48:01.000Z;3 likes;-
10;jojo_v.07;❤️;2022-01-24T13:26:45.000Z;0;-
11;madam.herpein;Klimawandel. Wir haben einfach keinen Schnee 😕;2022-01-24T13:19:02.000Z;1 like;-
12;irene.garbe3;Raus und Schlitten fahren;2022-01-24T13:09:30.000Z;1 like;-
13;sarah.petersson;Ich wünschte bei uns würde auch Schnee liegen…;2022-01-24T12:43:21.000Z;1 like;-
14;susikauslue;Wie gerne ich mit meiner kleinen Maus gerade auch Schlitten fahren würde. ❄️ ❄️ ❄️;2022-01-24T11:48:42.000Z;0;-
15;alpenblick33;❤️👏;2022-01-24T11:37:59.000Z;0;-
