Link: ;https://www.instagram.com/p/CTedmR5MFvh/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ilcuoco1968;👏;2021-09-07T13:40:02.000Z;0;-
2;felicitas.hecker;Gibt es Reaktionen von Elisabeths und Inges Kindern auf dieses Projekt?;2021-09-07T13:27:28.000Z;1 like;-
3;netratz;🔥❤️;2021-09-07T10:59:42.000Z;0;-
4;konstanntin16;Danke, hatte ich nicht mehr auf dem Schirm;2021-09-07T07:54:00.000Z;0;-
5;lil_kaeppchen;Könntet ihr dieses Projekt, so wie es ist, bitte so aufarbeiten, dass Lehrer das in Schulen nutzen können? Das ist so viel besser, als alles, was ich zur NS-Zeit in der Schule gelernt habe.;2021-09-07T07:11:32.000Z;36 likes;-
5-1;ichbinsophiescholl;@lil_kaeppchen #TeamSoffer Schau doch mal unter https://www.planet-schule.de/sf/spezial/spezial_ichbinsophiescholl_unterricht.php, dort wird Lehrmaterial bereitgestellt. Bei weiteren Fragen wende dich gerne an ibss.sophiescholl@gmail.com.;2021-09-07T07:43:34.000Z;28 likes;5
5-2;lil_kaeppchen;@ichbinsophiescholl ich habe nichts gesagt. Dachte nur, falls es das noch nicht gibt, wollte ich das anstoßen, auch wenn ich da fachfremd bin, bin Mediengestalterin, keine Lehrerin.;2021-09-07T07:45:23.000Z;0;5
6;konstanntin16;Das war ab 27.4.1972 auch in der DDR so. Wer heiratete bekam 5.000 Mark der DDR als Kredit. Für jedes geborene (!) Kind wurde die Rückzahlung um einen Betrag gekürzt. Ich glaube pro Kind waren das 2.500 Mark der DDR. Weiß ich aber nicht mehr so genau. Wir bekamen keinen Kredit, weil wir schon am 14.4.72 geheiratet hatten. War auch gut so;2021-09-06T21:28:27.000Z;0;-
6-1;martinafriedelchen;@konstanntin16 von diesen 5.000 Mark zinslosem Ehekredit in der DDR wurden für das erste Kind 1.000 Mark erlassen, für das 2. Kind 1.500 Mark und beim 3. Kind wurde 2.500 Mark erlassen bzw. da auch zurückgezahlt.;2021-09-07T06:40:19.000Z;1 like;6
7;steffisophie80;Wenn „nicht normal sein“ bedeutet, Stärke zu zeigen und gegen Ungerechtigkeiten vorzugehen, sind wir lieber nicht „normal“ #familiescholl #gegendasvergessen;2021-09-06T20:01:23.000Z;0;-
8;coco_14juli;❤️;2021-09-06T18:34:10.000Z;0;-
9;beta771971;ich als mutter wäre sehr stolz auf euch, aber ich hätte auch schlaflose nächte vor lauter sorgen und ängste um euch alle… ❤️;2021-09-06T18:11:05.000Z;0;-
10;dotty_the_boxer_doggy;"Allen Gewalten zum Trutz sich erhalten. Als ich erfahren habe, dass Vater Scholl das seinen Kindern immer vorgelebt hat, hat es sich mir eingebrannt. Später habe ich herausgefunden, dass es ein Zitat aus Goethes Spiel ""Lila"" ist (ganz toll!). Mittlerweile ziert es in Schreibschrift tätowiert meinen ganzen Oberschenkel-um mich bei jedem Schritt daran zu erinnern.";2021-09-06T18:10:52.000Z;0;-
11;bianca_darouge;Ich muss es mal sagen: Ich folge seit Tag 1 und finde dieses Projekt großartig. Besser kann man Geschichte nicht greifbar machen. Ich hoffe und wünsche, dass noch viel mehr Menschen aus der Geschichte auf diese Art und Weise noch einmal zum Leben erweckt würden.;2021-09-06T17:08:18.000Z;6 likes;-
12;simone_treburg;💯🖤;2021-09-06T16:29:12.000Z;0;-
13;hi_its.me.steffi;Ooook, das mit dem Darlehen/gebären gesunder Kinder wusst ich gar nicht so konkret!😮;2021-09-06T16:11:28.000Z;0;-
14;dr_schroedinger;Sophie, ob normal oder nicht, ihr seid eine Familie und ihr seid für euch da und das ist das wichtigste, was es auf der Welt gibt: Menschen die einander lieben.;2021-09-06T16:01:17.000Z;0;-
15;eickmanndagmar;Genau diese, sehr private Seite der Familien macht dieses Projekt so interessant.;2021-09-06T15:25:19.000Z;0;-
16;anjamuller565;Ich würde sagen ihr seid alle ganz tolle mutige Menschen und Vorbilder.❤️❤️👏👏👏;2021-09-06T14:50:28.000Z;0;-
17;christine.binggeli;🙌;2021-09-06T14:47:36.000Z;0;-
18;m.j.hirt;Leider wusste ich bis zu diesemX Kanal gar nichts über Sophie und Hans Geschwister oder ich habe es verdrängt. Was weiß man denn über die anderen 3 Scholl Geschwister? Sie waren nicht im Wiederstand, oder? Wer von Ihnen überlebte der Krieg?;2021-09-06T14:30:37.000Z;3 likes;-
18-1;ichbinsophiescholl;"@m.j.hirt #TeamSoffer Hallo Melanie! Diese Frage haben wir bereits in einem anderem Kommentar dieses Posts beantwortet. Folgend unsere kopierte Antwort auf die Frage:

""Werner Scholl, Sophies jüngerer Bruder, welcher derzeit ebenfalls an der Front ist, wurde ab dem 7. Mai 1944 in Russland vermisst. Damit sind ihre Schwestern Inge und Elisabeth Scholl die Einzigen der fünf Geschwister, welche den zweiten Weltkrieg überlebten. Inge heiratete 1952 Otl Aicher, welcher später ein einflussreicher Gestalter wurde. Sie gründete und leitete die Ulmer Volkshochschule und widmete einen großen Teil ihres Lebens der Aufarbeitung der Geschichte ihrer Geschwister Hans und Sophie Scholl, bis sie 1998 verstarb. Elisabeth Scholl heiratete nach Kriegsende 1945 Fritz Hartnagel. Elisabeth und Fritz engagierten sich ihr Leben lang in politischer Hinsicht, beispielsweise gegen die Wiederbewaffnung Deutschlands, an der Friedensbewegung der 70er Jahre und diversen Umweltbewegungen. Sie wurde 100 Jahre alt und verstarb erst am 28. Februar 2020. Liebe Grüße!""";2021-09-06T14:50:35.000Z;69 likes;18
18-2;m.j.hirt;@ichbinsophiescholl Danke ❤️;2021-09-06T15:28:00.000Z;0;18
18-3;wiebi_vom_handelshof;"@ichbinsophiescholl verstehe ich das richtig? Dass Elisabeth den Freund ihrer Schwester Sophie heiratet? Ich steige noch nicht ganz durch…
Und wo ist Elisabeth? Man sieht sie nie, oder?
Viele Grüße";2021-09-06T16:21:24.000Z;2 likes;18
18-4;ichbinsophiescholl;@wiebi_vom_handelshof #TeamSoffer Richtig, Elisabeth heiratete direkt nach dem Ende des Zweiten Weltkrieges Fritz. Über Elisabeths Leben zur Zeit unser Erzählung ist wenig bekannt, weswegen sie auf diesem Kanal nur selten vorkommt.;2021-09-06T16:30:25.000Z;11 likes;18
18-5;ikkemyr;@ichbinsophiescholl Otl Aicher hat die Piktogramme für die Olympischen Spiele 1972 in München entworfen … die waren dann lange Jahre auf jeder Urkunde der Bundesjugendspiele zu sehen … alle weiteren Piktogramme haben dieses gestalterische Niveau kaum erreicht.;2021-09-06T19:47:27.000Z;3 likes;18
19;janiina111;"@ichbinsophiescholl meine Urgroßmutter hat gegen Ende des Krieges auch das goldene Mutterkreuz verliehen bekommen. Sie hat es genommen, es den Nazis vor die Füße geworfen und ihnen gesagt: ""und? Davon kriegen meine Kinder auch nichts zu fressen!"" Danach musste sie für eine Nacht ins Gefängnis, kam aber wieder raus, da sie wieder hochschwanger war.";2021-09-06T14:14:47.000Z;9 likes;-
20;marga9891;Ihr seid eine ganz besondere Familie.;2021-09-06T14:10:45.000Z;0;-
21;hannah_h_rol;Das ist immer die Frage: was ist normal. Und is die Norm erstrebenswert! Wenn es eine Norm gäbe und die Vorgabe dafür wäre ein Mensch, wäre die Welt voller subjektiver, kleingeistiger Maßstäbe. Die Norm muss hinter der Schöpfung, hinter dem Geschaffenen liegen. Danke Sophie dass du in einer die Norm sehr radikal forcierenden Zeit so mutig bist. Du und deine Familie;2021-09-06T13:51:43.000Z;0;-
22;_yoga_tanz;Der Staat hat kein Recht auf ein bestimmtes Verhalten seiner Bürger. Die Freiheit des Individuums steht darüber.;2021-09-06T13:14:49.000Z;0;-
23;sina_maresch;"Kann man dieses Projekt "" Ichbinsophiescholl"" auch irgendwo als Serie oder Film anschauen? Aber ich finde diese Aktion mit diesem Account echt voll toll, es ist irgendwie anders man erlebt alles richtig mit!😍";2021-09-06T12:58:23.000Z;15 likes;-
23-1;ichbinsophiescholl;@sina_maresch #TeamSoffer Liebe Sina, zunächst wird es das Projekt nur online auf diesem Kanal geben, du kannst dir jedoch die wöchentlichen Zusammenfassungen in den IGTV's oder der ARD Mediathek anschauen, falls du mal etwas verpasst hast! Es gibt schon tolle Filme und Dokumentationen über Sophie Scholl, von uns ist etwas derartiges zunächst erstmal nicht geplant! Wir freuen uns sehr, dass du Sophies Geschichte so gebannt verfolgst und dir mehr davon wünschst! Liebe Grüße 🌼;2021-09-06T13:16:37.000Z;18 likes;23
23-2;gamzeee285;@ichbinsophiescholl Wird es ähnliche Projekte auf Instagram für ähnliche/andere Themen und Erlebnissen geben? Ich finde das auch echt super gemacht, da wird Instagram mal für was nützliches genutzt und man lernt viel dazu;2021-09-06T17:52:28.000Z;2 likes;23
23-3;sina_maresch;@ichbinsophiescholl cool danke für die antwort❤️;2021-09-06T20:17:05.000Z;0;23
24;k_regenbogen;😢;2021-09-06T12:43:01.000Z;0;-
25;emiliaschaefer;Was passierte denn eigentlich mit Sophies Bruder Werner? War er ihr leiblicher Bruder? Und hat er den Krieg überlebt?;2021-09-06T12:33:17.000Z;4 likes;-
25-1;ichbinsophiescholl;@emiliaschaefer #TeamSoffer Ja, Werner war ebenfalls Sophies leiblicher Bruder und der jüngste der fünf Scholl-Geschwister. Er wurde am 7. Mai 1944 während seines Fronteinsatzes in Russland vermisst gemeldet und sein Schicksal konnte tragischerweise niemals aufgeklärt werden.;2021-09-06T12:47:02.000Z;21 likes;25
25-2;emiliaschaefer;@ichbinsophiescholl wie traurig!:( Danke für die Antwort!;2021-09-06T15:53:25.000Z;0;25
25-3;green_brown_eyes;@emiliaschaefer Damit ist/war er nicht der Einzige.;2021-09-06T22:46:54.000Z;0;25
26;dr.volkertiemann;Ein Extra❤️ heute!;2021-09-06T12:31:12.000Z;0;-
27;mirjam_mugglin;❤️;2021-09-06T12:10:42.000Z;0;-
28;_project_hannah_;Sophie, was machen deine Eltern und Geschwister eigentlich beruflich?;2021-09-06T12:06:31.000Z;4 likes;-
