Link: ;https://www.instagram.com/p/CUDFw3UD8tQ/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;lilli_flaig_;Hab noch einen guten Tag.;2021-09-21T13:53:25.000Z;0;-
2;giusy79_;Das ist ja mal 'ne schöne Nachricht. Das wird deine Mutter bestimmt etwas aufheitern! 🙌❤️;2021-09-21T10:31:54.000Z;0;-
3;fellmerclaudia;einfach geniessen :-));2021-09-21T01:31:08.000Z;0;-
4;anjamuller565;Ein langer Spaziergang mit Deiner Mutter ???❤️❤️❤️;2021-09-20T21:08:00.000Z;1 like;-
5;netratz;🔥❤️;2021-09-20T21:06:42.000Z;0;-
6;steff251181;Ein wirklich wunderschönes ehrliches Lachen!!! 😍;2021-09-20T20:02:58.000Z;2 likes;-
7;annie_henning_bayern;Koche für Deine Familie;2021-09-20T20:00:35.000Z;1 like;-
8;minna_im_garten;Du musst tanzen und lachen und deine Lieben umarmen. 😊🥰;2021-09-20T18:51:08.000Z;1 like;-
9;tam1805;Du hast den Arbeiterinnen ein wenig den Alltag versüßt, mit Respekt, Gesprächen und Menschlichkeit. Sie werden dich nicht vergessen, ganz bestimmt;2021-09-20T17:28:55.000Z;3 likes;-
10;captainniffler;Deine Mama freut sich doch auch für dich.;2021-09-20T17:24:06.000Z;1 like;-
11;fraunelja;Mach einen ganz langen Spaziergang und atme tief die frische, freie Luft. Und du darfst auch mal egoistisch sein. Selbstaufopferung nützt niemandem. Besser ist, pass auf dich auf, gönne dir die Freuden (es sind ohnehin wenige) und bleibe eine starke junge Frau.;2021-09-20T17:18:25.000Z;31 likes;-
11-1;ichbinsophiescholl;@fraunelja Natürlich ist es wichtig auf sich selbst aufzupassen. Die Freude über mein frühes Ende in der Fabrik ist riesig, keine Frage. Aber die Arbeiterinnen werde ich nicht so einfach vergessen können. Ich werde weiter aktiv sein. Das bisschen Selbstaufopferung muss sein!;2021-09-20T17:24:47.000Z;16 likes;11
12;felicis82;🎉🎉😊;2021-09-20T17:17:13.000Z;0;-
13;dr.volkertiemann;Ein Extra❤️;2021-09-20T17:13:14.000Z;1 like;-
14;gwen_gloeckchen;Ein Blumenstrauß 💐 ist eine super Idee! Und die Idee mit den Briefen ✉ auch! Grüße deine Familie und Freunde von mir! Ich mag euch alle!! ❤️❤️❤️❤️❤️;2021-09-20T17:08:33.000Z;2 likes;-
15;gisela.koffler;Feiern!👏;2021-09-20T17:05:40.000Z;1 like;-
16;ani.lorak.m;Das wird Deine Mutter sicher aufmuntern. Ja, feiern solltet Ihr.;2021-09-20T16:45:21.000Z;6 likes;-
16-1;ichbinsophiescholl;@ani.lorak.m Aber ob ihr so richtig nach feiern zumute ist?;2021-09-20T16:50:23.000Z;4 likes;16
16-2;ani.lorak.m;@ichbinsophiescholl Vielleicht nicht so recht, aber Deine Freude könnte sie mitreißen.;2021-09-20T16:51:34.000Z;2 likes;16
17;mamaisstnurgrasundsteine;Ich frage mich gerade... hab ich das irgendwie überlesen? Gab es zwischendrin Nachricht von der Front? 🤔;2021-09-20T16:39:04.000Z;1 like;-
18;hi_its.me.steffi;Das sind ja echt mal tolle Neuigkeiten!;2021-09-20T16:22:36.000Z;8 likes;-
18-1;ichbinsophiescholl;@steffiniarefgep Definitiv! Nach so vielen schlechten Neuigkeiten mal eine gelungene Überraschung.;2021-09-20T16:25:16.000Z;4 likes;18
