Link: ;https://www.instagram.com/p/CQVaJXzI1Kk/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;annaa_tlmn;Ist die Szene im Zimmer, wo Alex, Hans, Christl etc zusammen sitzen in der dargestellten Wohnung von Sophie?;2021-12-02T13:27:23.000Z;0;-
2;steffiknowles;Hat man früher soviel geraucht?;2021-06-27T05:27:51.000Z;1 like;-
3;wrohrbeck1;Mich wundert, dass es keine hater Mails gibt!!;2021-06-23T07:27:44.000Z;0;-
4;netratz;🔥❤️;2021-06-22T04:39:19.000Z;0;-
5;birgit_marita_hh;Tolles Projekt und ganz toll und authentisch umgesetzt. Bravo ‼️;2021-06-21T17:13:49.000Z;0;-
6;__lioba__7;Solch eine Herangehensweise an den Alltag im 3. Reich finde ich sehr gut. Bis jetzt wusste mein Kopf schon viel über diie schreckliche Zeit. Jetzt aber f ü h l e ich den Geist der Zeit. Was haben wache, kritische Köpfe unter Hitler doch ertragen müssen . Macht bitte weiter!! Es sind noch viele ungeweinte Tränen über diese Zeit unter uns. 😪;2021-06-21T08:25:58.000Z;3 likes;-
7;blickaufdiewelt.de;"Kompliment ans Projekt, das war sehr intensiv inszeniert und glaubhaft rübergebracht.
Alleine hier in den Kommentaren zu sehen, wie sehr ihr uns, die wir euch mit Spannung folgen dazu motiviert, zu diskutieren, nach Zusatzinfos zu googeln und sich eigene Gedanken zu machen (und auch Parallelen zur heutigen Zeit zu ziehen), ist die ganze Sache mehr als wert.";2021-06-20T21:37:41.000Z;5 likes;-
8;bibi_oe21;Übrigens finde ich die Unterhaltung gerade sehr bereichernd!;2021-06-20T21:20:32.000Z;2 likes;-
9;chriseileen1;Ich kann Deine Gedanken so gut nachvollziehen! Jemand muss sich dagegen stellen, die Gleichgültigen aufrütteln...Aber es ist gefährlich. Die Verblendung ist fortgeschritten.;2021-06-20T20:25:23.000Z;2 likes;-
10;fraunora.h;"Die Gruppe um die ""Weiße Rose"" war übrigens ihrerseits inspiriert von den Inhalten der Flugblätter und geschmuggelten Schriften, die sie aus ihrem Umfeld erhalten haben. Viele Intellektuelle und kluge Köpfe hatten sich bereits im Exil in beispielsweise Frankreich, Belgien, den Niederlanden, England und Schweden organisiert und versucht, mit ihren Schriften vor allem junge Menschen in Deutschland zum Widerstand zu bewegen. Das Ziel war es, die Kräfte im Ausland zu bündeln und so von dort aus auf die Jugend innerhalb Deutschlands einzuwirken, um sie aus den Organisationen des NS herauszulösen. Diese Flugblätter wurden über die Grenzen geschmuggelt und dann von anderen Gruppierungen kopiert, vervielfältigt und verteilt. Auch wenn das hier so aussieht: Die ""Weiße Rose"" hat weder allein noch in einem Vakuum agiert. Es gab bereits viele vor ihnen, die versucht haben, die Bevölkerung in Deutschland wachzurütteln. Das soll das Engagement der ""Weißen Rose"" nicht schmälern. Jedes einzelne Rädchen war wichtig. Jeder Funke Hoffnung. Aber es waren Netzwerke, die einander inspirierten und die sich gegenseitig zum Widerstand antrieben.";2021-06-20T16:18:13.000Z;30 likes;-
11;_yoga_tanz;"""Das Böse wird niemals siegen. Wir dürfen dieses Unrecht nicht geschehen lassen. Darauf vertraue ich, dass die Deutschen aufwachen ..."" Schön gesagt, liebe Sophie. Die Hoffnung lebt. 🤨";2021-06-20T14:37:14.000Z;4 likes;-
12;madchen.vivi;Sophie 💖;2021-06-20T14:11:21.000Z;2 likes;-
13;christinagrubereifert;Das hat mich ganz schön berührt, wie die Jungs von ihren Erfahrungen der verletzten Soldaten erzählt haben. Ich kann mir kaum vorstellen wie es sich für sie angefühlt haben muss, der Erzählung zu zu hören und die bildliche Vorstellung davon, erschreckt mich schon zutiefst 😔. Auch Sophie so vor dem Radio zu sehen und ihre Gedanken zu zu lesen, echt hart 😔;2021-06-20T12:53:18.000Z;3 likes;-
