Link: ;https://www.instagram.com/p/CW3hIwas3T_/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;luciushubschman;stark hans;2021-12-22T12:54:16.000Z;0;-
2;berni_roittner;@denizk0510;2021-12-06T07:16:21.000Z;1 like;-
3;michaela_hanauer;Lass dich nicht einschüchtern - auch er kocht nur mit Wasser und für euren Einsatz kommt es darauf an: Herz, Verstand und Mut zu haben - und das hast du genauso wie dein Bruder und Professor Huber!;2021-12-01T15:37:47.000Z;7 likes;-
3-1;ichbinsophiescholl;@michaela_hanauer Danke für den Zuspruch! Du hast recht, ich darf mich nicht von seiner akademischen Aura einschüchtern lassen. Ich respektiere ihn aber sehr und hoffe, dass das auf Gegenseitigkeit beruhen kann.;2021-12-01T15:44:26.000Z;1 like;3
4;saziye.ak.66;Wie ist es überhaupt dazu gekommen, dass er nun ein teil der weißen rose ist. Es ist ja sehr geheim;2021-11-30T13:17:10.000Z;2 likes;-
4-1;ichbinsophiescholl;@saziye.ak.66 Alex und Hans haben Kontakt zu ihm gesucht. Aus dem Inhalt von Professor Hubers Vorlesungen konnte man erahnen, dass wir uns in unserem Denken sehr ähneln...;2021-11-30T14:44:31.000Z;6 likes;4
5;t.remberale;"Interessant was diese Seite mit mir macht. Sie gibt mir das Gefühl das Sophie Scholl am Ende nur eine junge Frau war, die fühlte wie ich. Hätten wir in der selben Zeit gelebt hätten wir Freunde werden können. Ich weiß dass hier viele ""Lücken"", in der Geschichte von Sophie, durch Künstlerische Freiheit ausgefüllt wurden. Dennoch ist die Figur der Geschichte jetzt für mich viel greifbarer als aus dem Geschichtsunterricht der Schule. Und ich hoffe der Beitrag am 22.2 wird nicht zu heftig.";2021-11-30T12:19:00.000Z;0;-
6;giusy79_;Hat es Professor Huber, diese schwierige Zeit überlebt?;2021-11-30T11:59:26.000Z;5 likes;-
6-1;ichbinsophiescholl;@giusy79_ #TeamSoffer Das Volksgerichtshof verurteilte am 19. April 1943 Kurt Huber gemeinsam mit Alexander Schmorell und Willi Graf zum Tode. Am 13. Juli 1943 wurde er in Stadelheim durch das Fallbeil hingerichtet.;2021-11-30T12:05:37.000Z;12 likes;6
6-2;giusy79_;@ichbinsophiescholl Schlimm 😢;2021-11-30T12:19:18.000Z;1 like;6
6-3;izzz_the_unicorn;Was haben sich die Nazis eigentlich gedacht , sie waren ja eigentlich auch nur Menschen, auch wenn man das nicht unbedingt glauben kann ...😢;2021-11-30T20:35:55.000Z;0;6
7;sightseeing_munich;Es kann niemals schaden, wenn ihr auch eure Professoren auf eure Seite bekommt! Und er wird dich sicher schnell ernst nehmen, sobald er deine Gedanken und Ansichten kennt 😊;2021-11-30T08:00:46.000Z;7 likes;-
7-1;ichbinsophiescholl;@sightseeing_munich Hoffentlich kann er unsere Texte noch verfeinern...;2021-11-30T09:10:52.000Z;4 likes;7
8;christine.binggeli;❤️;2021-11-29T23:32:03.000Z;2 likes;-
9;in.love.with.warrior_cats;Man weiß wie das ganze ausgeht und hofft doch, es wäre anders. Vorallem weil die Reihe dann auch vorbei ist:( Ein großes Lob an das Team!;2021-11-29T21:46:46.000Z;6 likes;-
10;herrhundebraten;Leibniz fand ich furchtbar zu lesen. Musste mal ein Seminar zu dem mitmachen. War immer froh, wenn die Veranstaltung vorbei war.;2021-11-29T21:18:19.000Z;0;-
10-1;green_brown_eyes;@herrhundebraten Es ging bei den Vorlesungen wahrscheinlich nicht um Leibniz selbst, sondern um Hubers Seitenhiebe 😅;2021-11-30T09:10:40.000Z;1 like;10
10-2;riso5400;@herrhundebraten hast du eine Idee was von Leibniz so die weiße rose beeindruckt hat. Oder ging es gar nicht um Leibniz sondern nur um Huber?;2021-11-30T10:39:39.000Z;0;10
11;kimberly_paa;Ich denke, das ist eine sehr gute Idee. Er wird euch sicherlich gut unterstützen können.;2021-11-29T20:50:34.000Z;2 likes;-
12;katcookie13;Stell dein Licht nicht unter den Scheffel! Du weißt was gut und richtig ist und wofür es lohnt zu kämpfen…..egal ob du über tief-philosophisches erlesenes Wissen verfügst- du weißt einfach aus deinem inneren heraus, wofür die „weiße Rose“ kämpfen muss und warum das so wichtig ist. Du mutige junge Frau bist genau richtig, wie du bist!;2021-11-29T20:44:12.000Z;2 likes;-
13;gwen_gloeckchen;Liebe Sophie. Er mag einschüchternd wirken, doch die WEISSE ROSE war eure Idee. Versteck dich nicht, nur weil du denkst, nicht ernst genommen zu werden. Vielleicht braucht ihr einen Moment um euch aneinander zu gewöhnen. Du an ihm und er an dich. Vielleicht hat er gute Ideen, wie ihr weiter machen könnt... Ich denke an euch und wünsche euch allen eine schöne Adventszeit! 🕯🌟🙋🏾‍♀️💕👍🏾;2021-11-29T19:24:49.000Z;3 likes;-
14;riso5400;Was war so spannend an den Leibniz Vorlesungen?;2021-11-29T19:03:42.000Z;0;-
14-1;green_brown_eyes;@riso5400 Guck mal den Weiße Rose Film von 1982. Wenn sie so waren, fände ich es auch genial.;2021-11-30T09:09:07.000Z;1 like;14
14-2;ichbinsophiescholl;@riso5400 Professor Huber betont immer wieder, welchen staatsbürgerlichen Pflichten Intellektuelle nachkommen sollten... Das gibt uns immer sehr zu denken.;2021-11-30T09:43:43.000Z;2 likes;14
15;kos.mel;Nein, Familienväter sollte man nicht gefährden, ich finde auch Probst hätte nicht beteiligt werden dürfen;2021-11-29T18:18:29.000Z;1 like;-
16;violareka07;Also ganz ehrlich rede mal mit Hans. Du sollst genauso ernst genommen werden wie jeder anderer auch. Egal wer man ist/Geschlecht man hat und versuche von Anfang an klar zu stellen das du keine Hausfrau bist!;2021-11-29T18:06:49.000Z;8 likes;-
17;katrinpruchniewski;"Ein älterer Mann, kann aber vermutlich besser auf dich Rücksicht nehmen, Sophie.
Mehr Lebenserfahrung.";2021-11-29T17:45:48.000Z;1 like;-
17-1;ichbinsophiescholl;@katrinpruchniewski Wie meinst du das?;2021-11-29T18:47:21.000Z;4 likes;17
17-2;katrinpruchniewski;@ichbinsophiescholl, dass du für den Professor keine Brote schmieren musst.🙂;2021-11-29T18:48:50.000Z;14 likes;17
18;motoguzzisport;ja, so seid ihr generationenübergreifend aufgestellt, würde man heute sagen;2021-11-29T17:45:45.000Z;3 likes;-
18-1;ichbinsophiescholl;@motoguzzisport Vielleicht wird er Dinge im Blick behalten, die uns entgehen und umgekehrt können wir ihn mit unserer Sichtweise bereichern!;2021-11-29T18:46:06.000Z;17 likes;18
19;a_buecherwurm;Vielleicht weil Hans ein Mann ist wird er sofort ernst genommen?;2021-11-29T17:44:54.000Z;23 likes;-
19-1;ichbinsophiescholl;@a_buecherwurm Das ist möglich! Aber die Expertise darf nicht einfach an Geschlecht gekoppelt sein...;2021-11-29T18:41:46.000Z;43 likes;19
19-2;amanda.probst;@ichbinsophiescholl natürlich hat Hans Expertise, aber er hat schon den Vorteil, dass ihm als weisser Mann eher zugehört wird.;2021-12-01T10:36:28.000Z;1 like;19
20;italiadree;Sophie, die Spielchen der Männer musst du ignorieren. Sie plustern sich gerne mal auf. Einfach frech dazwischen reden. Die sind auch nicht schlauer als du (außer Prof Huber vielleicht 😍);2021-11-29T17:38:52.000Z;6 likes;-
21;italiadree;Was ist aus Prof Huber geworden?;2021-11-29T17:37:03.000Z;3 likes;-
21-1;moelly79;@italiadree er wurde ebenfalls hingerichtet;2021-11-29T17:38:03.000Z;1 like;21
21-2;italiadree;@moelly79 😢 danke;2021-11-29T17:39:17.000Z;2 likes;21
21-3;kos.mel;@italiadree Er wurde im Jahr 1943 nach dem zweiten Prozess gegen die Weiße Rose ebenfalls hingerichtet, genau wie Graf und Schmorell;2021-11-29T18:15:11.000Z;0;21
21-4;ichbinsophiescholl;@italiadree #TeamSoffer Kurt Huber wurde am 19. April 1943 gemeinsam mit Alexander Schmorell und Willi Graf zum Tode verurteilt. Am 13. Juli 1943 wurde er durch das Fallbeil hingerichtet.;2021-11-29T18:30:37.000Z;12 likes;21
22;sebfischer2;Ja, find ich gut. Das bringt der Gruppe mehr Zulauf und den Flugblättern noch mehr Tiefe.;2021-11-29T17:28:59.000Z;2 likes;-
22-1;ichbinsophiescholl;@sebfischer2 Sicherlich hast du Recht, doch brauchen wir als Gruppe mehr Zulauf? Das macht es für die bestehenden Mitglieder gefährlicher, oder?;2021-11-29T18:40:03.000Z;2 likes;22
22-2;sebfischer2;@ichbinsophiescholl ja, stimmt. Die sichere Verbreitung ist noch wichtiger.;2021-11-29T18:45:49.000Z;0;22
23;crowncrafts.kreativerleben;Ich denke, er ist eine große Bereicherung für euch - uns wenn er weise ist, weiß er auch, dass er von eurem jugendlichen Enthusiasmus und eurer Energie sehr profitieren wird. Ich bin sicher, ihr inspiriert euch gegenseitig. Und liebe Sophie: Du hast in deinen jungen Jahren schon so viele gute und tiefgreifende Gedanken - da musst du dein Licht gewiss nicht unter den Scheffel stellen!;2021-11-29T17:27:17.000Z;29 likes;-
24;tisu_aus_dingenskirchen;Gibt es Aufzeichnungen darüber,ob sich Sophie und Hans bewusst waren was ihnen droht, sollten sie auffliegen?;2021-11-29T17:18:23.000Z;11 likes;-
24-1;ichbinsophiescholl;@tisu_aus_dingenskirchen Laut der Biografin Maren Gottschalk war sich Sophie der möglichen Konsequenzen bewusst und hat sich für den Weg des Widerstandes mit allen Risiken entschieden. Ihr eigenes Sterben hat sie in ihren Überlegungen einkalkuliert. Nachzulesen in Gottschalk: Wie schwer ein Menschenleben wiegt, S. 254f.;2021-11-29T19:19:18.000Z;31 likes;24
24-2;green_brown_eyes;@tisu_aus_dingenskirchen Weshalb haben wohl die Meisten still gehalten? Man kannte die Konsequenzen;2021-11-30T09:05:09.000Z;2 likes;24
25;gerrit_ritscher;"Ich denke es ist eine gute Idee!
Je vielfältiger die Mitglieder sind, desto mehr wissen ist vorhanden und man hat einen stärkeren Hintergrund an Menschen aus verschiedenen Richtungen/Gewerben die man bestimmt mal positiv nutzen kann:)";2021-11-29T17:13:16.000Z;2 likes;-
26;tisu_aus_dingenskirchen;Wurde er auch verurteilt?;2021-11-29T17:12:48.000Z;4 likes;-
26-1;maja_furiaroja;@tisu_aus_dingenskirchen ja. Er wurde ebenfalls hingerichtet.;2021-11-29T17:16:54.000Z;10 likes;26
26-2;kos.mel;@tisu_aus_dingenskirchen ja er wurde 1943 ebenfalls hingerichtet, nach dem zweiten Prozess, genau wie Graf und Schmorell 😢;2021-11-29T18:16:52.000Z;6 likes;26
26-3;ichbinsophiescholl;@kos.mel @tisu_aus_dingenskirchen #TeamSoffer Das Volksgerichtshof verurteilte am 19. April 1943 Kurt Huber gemeinsam mit Alexander Schmorell und Willi Graf zum Tode. Am 13. Juli 1943 wurde er in Stadelheim durch das Fallbeil hingerichtet.;2021-11-29T18:33:47.000Z;31 likes;26
26-4;jssc_mrtn;@ichbinsophiescholl das aber echt eine hinterwäldlerische Methode 😱 da kann man ja nur hoffen das es scharf war.. grausam sowas;2021-11-30T01:55:16.000Z;0;26
27;multiplejjjs;@ichbinsophiescholl Kleiner Tipp Herr Professor Huber liebt besonders das Volksmusikstück „Boareibl Jodler“ Vielleicht mal drauf ansprechen;2021-11-29T17:09:53.000Z;4 likes;-
28;ichbinsophiescholl;"#TeamSoffer Professor Kurt Huber lehrte an der Universität München Philosophie, Musikpsychologie und Volksliedkunde. Besonders seine Leibniz-Vorlesung hatte es den Mitgliedern der Weißen Rose angetan.⁠
Er war gegen den Kommunismus und hielt den Aufstieg der Nationalsozialisten zuerst für gut, entwickelte sich dann aber zum Gegner.⁠
Kurt Huber stieß Ende 1942 als letztes zur Gruppe hinzu. Wann genau, ist nicht bekannt. Mehr dazu in Gottschalk, Maren: Wie schwer ein Menschenleben wiegt, S.599 und 629 (Epub).";2021-11-29T17:04:16.000Z;219 likes;-
28-1;sebfischer2;@ichbinsophiescholl Prof. Huber wurde ja dann auch hingerichtet..😢;2021-11-29T18:47:14.000Z;3 likes;28
