Link: ;https://www.instagram.com/p/CUKBscPj09E/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;monibodeguero;"Ich sehe die Kinder dort fröhlich im Wasser spielen und denke an die Kinder, die zu diesen Zeitpunkt schon umgebracht wurden. Gestern Nacht bin ich über diesen Account gestolpert @angels_ofthe_holocaust und hatte 4 Stunden lang, mit 😰 fast jede Geschichte der getöteten Kinder gelesen, vom 3 Monate alten Baby bis zum 17 jährigen ""Backfisch""";2021-10-12T21:01:40.000Z;1 like;-
2;tiiruff;Das beste an Neu-Ulm, ist der Blick über die Donau nach Ulm! 😂😜;2021-09-26T12:05:27.000Z;0;-
3;carinazinkeisen;Ich liebe den deininger weiher;2021-09-24T21:20:52.000Z;0;-
4;hi_its.me.steffi;Ja, Wasser ist ein tolles Element-vorallem in Kombi mit Sonne;2021-09-24T15:40:23.000Z;4 likes;-
4-1;ichbinsophiescholl;@steffiniarefgep Da hast du Recht! Ich hoffe, dass ich noch ein paar schöne Tage an der Isar mitbekomme!;2021-09-24T17:51:21.000Z;6 likes;4
5;michael_merz;Sind das Originalaufnahmen? 😮😍;2021-09-24T08:51:04.000Z;0;-
6;clau.rodriguez77;Hermoso, qué lindo es disfrutar la vida!.. Ya vienen los fascistas a;2021-09-24T05:24:22.000Z;0;-
7;sightseeing_munich;Da hast du dir ja genau die richtige Stadt ausgesucht! Wir werden die Sommertage an der Isar und am Eisbach vermissen, jetzt wo es wieder kälter wird... ☀️;2021-09-23T18:58:47.000Z;2 likes;-
7-1;ichbinsophiescholl;@sightseeing_munich Ich werde die warmen Sommertage auch vermissen, aber ich freue mich auch auf den bunten Herbst! Die stetige Veränderung der Natur zu beobachten ist so faszinierend und die vielen bunten Farben erleichtern den Abschied vom Sommer;2021-09-24T08:12:44.000Z;4 likes;7
8;bishop.001;Schwimmen ist herrlich, aber da ich MS habe, habe ich immer Angst vor einem Krampf in meiner Beine;2021-09-23T17:31:45.000Z;0;-
9;__lamari__;@tobim0711 🥲;2021-09-23T16:56:14.000Z;0;-
10;andy_pandy_._;Mein Vater hat mir oft erzählt wie er früher immer in der Blau (kleiner Zufluss der Donau) in Söflingen (Vorort von Ulm) gebadet hat! Leider gingen mitte 1940 ja schon die ersten Luftangriffe auf Ulm und Umgebung los!;2021-09-23T15:32:29.000Z;1 like;-
11;larasophiejahn;Ich liebe es im Wasser zu schwimmen😍🏊‍♀️;2021-09-23T15:09:45.000Z;2 likes;-
12;anja_oblosb;Dank solchen Bildern kann ich mir die Welt, in der meine Eltern und Großeltern lebten, besser vorstellen. Andererseits bleibt sie in meiner Vorstellung immer schwarzweiß.;2021-09-23T14:43:33.000Z;1 like;-
13;fraeulein_doro_loves_life;Für mich das Tollste der Welt ❤️;2021-09-23T14:42:38.000Z;9 likes;-
13-1;ichbinsophiescholl;@fraeulein_doro_loves_life Ja man fühlt sich so leicht und frei beim Schwimmen!;2021-09-23T14:53:03.000Z;5 likes;13
14;jandenec;"Ha! Die ersten Vorläufer des Flusssurfens in München. Tolle Bilder. Hast Du Dich auch mal drauf gewagt? Ich denke das wird viele Jahre später eine richtig beliebte Freizeitbeschäftigung;-)";2021-09-23T13:36:16.000Z;3 likes;-
