Link: ;https://www.instagram.com/p/CTharvxsT3a/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;netterholger;Ich finde dafür auch keine Worte;2021-09-11T10:16:46.000Z;0;-
2;hellwichjustin;Deutschland 😢;2021-09-09T12:49:14.000Z;0;-
3;michael_schenk_pfedelbach;😢😢;2021-09-09T11:43:13.000Z;0;-
4;ichbinjuedin_ichbindeutsche;Es war sicherlich für die Menschen in München, Köln, Berlin und Dresden dramatisch, aber diese flächendeckend Bombardierung fand statt nachdem Deutschland neben Polen seine Nachbarländer überfallen hat. Bisher wurde die deutsche Besetzung der Niederlande, Belgien, Österreichs und ... mit keinem Wort erwähnt.;2021-09-08T18:33:00.000Z;6 likes;-
5;lxsx.mxllr;Meine Oma (geb. 1937) ist mit ihrer Familie von München nach Prag gezogen. Einen Tag nach dem Umzug wurde München bombardiert und ihr ehemaliges Wohnhaus wurde komplett zerstört. Ich finde es so krass, wenn sie noch einen Tag länger geblieben wären, dann wären sie dort gestorben...;2021-09-08T18:11:25.000Z;0;-
6;arnoldarne;"Klassischer Fall von: wer Wind sät wird Sturm ernten. 1942 fängt es langsam an, ab 1943 kann die deutsche Luftwaffe immer weniger den Luftraum verteidigen und bis kurz vor Kriegsende schicken die Alliierten Bomberverbände Tag und Nacht über Deutschland und Städte werden bis zu 90 % zerstört. Dazu waren die Deutschen in dieser ""Qualität"" und Quantität gar nicht in der Lage 1939-1942... aber sie haben es angefangen.";2021-09-08T17:16:06.000Z;2 likes;-
7;altvogelheim;Ich mache mit meinem Opa (1933) im Moment diesen Instagramaccount. Auf diesem werden Bilder aus der Vor- und Nachkriegszeit mit seinen Erinnerungen gepostet. In nächster Zeit wird jeden Tag ein Beitrag erscheinen.;2021-09-08T16:26:32.000Z;1 like;-
8;maria_hiendl;@ichbinsophiescholl Könnt ihr mir sagen, von wo aus München die Bilder sind (also aus welchem Viertel bzw. vielleicht sogar die Straße). Würde mich sehr interessieren , da ich ja in München lebe und hier aufgewachsen bin.;2021-09-08T13:24:24.000Z;0;-
8-1;ichbinsophiescholl;"@maria_hiendl #TeamSoffer Auf dem ersten Bild ist der Schriftzug ""Augusta Lichtspiele"" zu erahnen. Dies könnte auf das historische Kino in der Augustenstraße in der Marxvorstadt hinweisen.";2021-09-08T16:09:43.000Z;2 likes;8
9;nataschaaguilar;Ich bin vor 2 Wochen in München gewesen, habe dort im NS Dokumentationszentrum die NS Zeit Münchens gesehen, ich war tief betroffen;2021-09-08T12:44:34.000Z;0;-
10;zerboelektrikblues;Nie wieder Krieg! Das hast du uns hinterlassen. Danke Sophie!;2021-09-08T11:15:11.000Z;0;-
11;alexesawatzkiplasticienne;😢😢;2021-09-08T11:07:29.000Z;0;-
12;hedy_mae_schreibt;😔;2021-09-08T10:35:54.000Z;0;-
13;ines_s_2;😔😔😔 😶;2021-09-08T10:16:42.000Z;0;-
14;vallikonich;Gänsehaut und Bauchschmerzen. Pass gut auf Dich auf, liebe Sophie !;2021-09-08T09:40:06.000Z;0;-
15;lara_hundhausen;Ich finde es sehr gut und wichtig das ihr über die damalige Zeit Aufklärt und die Geschichte Modern, Interessant und Für jedes Alter gerecht erklärt. Allerdings ist das Geschehnis sehr lang her und dennoch haben wir auch jetzt 2021 Menschen in Deutschland, die zwar aus einem anderen Grund, dennoch in ähnlichen Verhältnissen Leben müssen (Stichwort Hochwasser), nur weil die Regierung nicht Kompetent genug ist die richtigen Entscheidungen zu treffen und die Bevölkerung dabei zu unterstützen, dieses Land zu einem Besseren Ort zu machen.;2021-09-08T09:38:11.000Z;0;-
16;teachers4future9;😢Unfassbar;2021-09-08T07:56:52.000Z;0;-
17;ruth6952;😢;2021-09-08T06:42:52.000Z;1 like;-
