Link: ;https://www.instagram.com/p/CRvpvT0qM5N/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;timoroller;Marie Kondo kam erst später.;2021-07-27T21:07:13.000Z;2 likes;-
2;anschilleka;So habe ich unsre Handtücher und die Kleider eines Kindes in den Schubladen. Ein super System.;2021-07-27T18:13:02.000Z;0;-
3;brusseecharlie;❤️❤️❤️🔥;2021-07-27T13:52:10.000Z;0;-
4;sonnenkind_7;Kleidung in Vakuumbeutel packen ist auch sehr platzsparend. Aber sicher knittriger.;2021-07-27T06:40:45.000Z;0;-
5;wencke_koe;Könntest du dir vorstellen, dass die Zeit, die du jetzt erlebst, nochmal passieren könnte? Auf eine ähnliche, aber viel perfidere Art und Weise?;2021-07-27T03:58:08.000Z;0;-
6;lee_to_go;But, why?;2021-07-26T17:12:40.000Z;0;-
7;__marisa.____;super Idee mit dem Rollen, muss ich mir merken 😊;2021-07-25T22:28:11.000Z;0;-
8;engel.in.zivil;Ohje Sophie. In deinem Koffer. Dann pass gut auf den Koffer auf 🙏;2021-07-25T19:57:21.000Z;0;-
9;deep_rock_photography;😮😮👏👏👏👏;2021-07-25T19:48:55.000Z;0;-
10;lariquita;Super Trick Sophie. Ich packe auch immer so meinen Koffer🙌;2021-07-25T18:55:22.000Z;1 like;-
11;frau_werwolf_;Marie Kondo hat das wieder-entdeckt. Sie hat bestimmt deinen poste gesehen. 🙌;2021-07-25T18:48:55.000Z;2 likes;-
12;sina.clorius;Meine Oma hat auch immer gerollt. Sie war dein Jahrgang.;2021-07-25T18:30:02.000Z;1 like;-
13;ankiii_ha;Was passiert mit Fritz? Überlebt er den Krieg oder fällt er?;2021-07-25T18:21:33.000Z;0;-
14;loesenimsystem;Das hat mir meine Oma auch beigebracht ❤️;2021-07-25T16:05:05.000Z;1 like;-
15;franzi.96_;Kommen bald neue Projekte?;2021-07-25T15:38:55.000Z;4 likes;-
16;shiatsu_nore;Super, ich rolle meine Kleider auch immer zuhause und auf reisen inspiriert durch @mariekondo;2021-07-25T14:43:31.000Z;0;-
17;es_doppio;Hat mir meine Oma beigebracht 😊;2021-07-25T14:33:12.000Z;0;-
