Link: ;https://www.instagram.com/p/CY9Fl3ysUaS/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;narnia66;Absolut.;2022-02-04T16:27:15.000Z;0;-
2;lisa_quilting;@linieh;2022-02-01T16:10:01.000Z;0;-
3;toastbroad555557;@marc.weide;2022-01-25T22:15:58.000Z;0;-
4;jawiesodasdenn;Mit dem Hintergrund hätte ich das bei ihr nicht gemacht. Aber hans hatte da seinen Kopf wohl woanders. Er hätte mit seinen Liebschaften definitiv besser aufpassen müssen. Letzten Endes hat ihn das ja buchstäblich den Kopf gekostet.;2022-01-23T19:13:37.000Z;0;-
5;miss.ivi;@sbn_mlk schau´s dir an.. leider ist es eh bald vorbei 😢;2022-01-21T20:54:32.000Z;0;-
6;kreislauf345;uff sophie! das ist gefährlich... ihr müsst unbedingt alle zusammen besprechen und abwägen wer in den wiederstand eingeweiht wird und wer nicht.;2022-01-21T15:09:51.000Z;1 like;-
7;artagainstanxietyartist;"Und PS: es ist durchaus aufgefallen, dass ihr nicht einfach ""Lücken kreativ schließt"", sondern historische Tatsachen bewusst verfälscht und sogar Daten einfach verändert! Das hat nichts mehr mit Erinnerung und Ehrung zu tun, das ganze hier ist einfach falsch.";2022-01-21T14:40:02.000Z;0;-
8;artagainstanxietyartist;Ich finde, Kunstfreiheit endet genau da, wo ein Mensch der für andere Menschen gekämpft hat, nach dem Tode verunglimpft wird! Mich habt ihr leider durch die Gisela Sache verloren. Finde ich komplett daneben!;2022-01-21T14:34:32.000Z;1 like;-
9;carinah1974;Es werden zuviele 'Vertraute'.;2022-01-21T12:58:16.000Z;2 likes;-
10;veit3333;Ja, definitiv. Die Entscheidung hätte Hans mit euch absprechen müssen.;2022-01-21T12:42:22.000Z;0;-
11;feeligran;Mir graut vor dem 22.2.22 😔;2022-01-21T12:39:18.000Z;5 likes;-
12;_gaspar_agnes;😮;2022-01-21T10:14:26.000Z;0;-
13;ginachristineneu;Wieso sind Traute und Hans kein Paar mehr?;2022-01-21T07:44:22.000Z;1 like;-
14;ell_ba;Typisch Bruder 🙈;2022-01-21T07:37:42.000Z;0;-
15;tam1805;Hast du habt ihr von der Wannsee Konferenz und den tatsächlichen Verbrechen an den Juden gewusst?;2022-01-21T05:56:53.000Z;1 like;-
16;tam1805;Ich finde es wirklich mutig, hoffentlich ist es die richtige Entscheidung;2022-01-21T05:53:39.000Z;0;-
17;jonaskiefel;❤️😂;2022-01-20T22:46:09.000Z;0;-
18;missjanusch;Das ist brandgefährlich so leichtsinnig zu sein... hoffentlich wird euch das nicht zum Verhängnis..;2022-01-20T22:23:21.000Z;0;-
19;fraencislee;Ich bin heute an deiner Universität vorbei gekommen. Seit einer Woche wohne ich in München und durch dich ist mir das ganze viel Näher. Hab ganz Gänsehaut bekommen. Ihr macht wirklich gute Arbeit!;2022-01-20T21:21:08.000Z;12 likes;-
20;rot5555555;Wenn das nicht filmreif ist. Grade konnten wir noch wählen, ob Hans und Alexander ein schönes Paar sind und jetzt kommt er mit einer bitter süßen Liebschaft daher, die alle in Gefahr bringt...;2022-01-20T20:44:58.000Z;1 like;-
21;beetleheartbeat;Kann es sein das „Hans“ heute im Fernsehen in „Gott, du kannst ein Arsch sein“ zu sehen ist?;2022-01-20T19:56:01.000Z;1 like;-
