Link: ;https://www.instagram.com/p/CXtanWssA_L/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;riki82515;Leider wurden nicht alle zur Verantwortung gezogen, die aktiv mitgemacht haben;2021-12-24T17:34:54.000Z;0;-
2;soundstudiomax;Ein Aufschrei der nie kam.;2021-12-22T17:09:00.000Z;0;-
3;motoguzzisport;…hört ihr irgendetwas aus Dachau?;2021-12-21T11:02:10.000Z;2 likes;-
4;changed.by.popular.demand;"Und wieder schläft das deutsche Volk in seinem stumpfen, blöden Schlaf weiter und gibt diesen faschistischen Verbrechern Mut und Gelegenheit, weiterzutöten -, und diese tun es.

Sollte dies ein Zeichen dafür sein, daß die Deutschen in ihren primitivsten menschlichen Gefühlen verroht sind, daß keine Saite in ihnen schrill aufschreit im Angesicht solcher Taten, daß sie in einen tödlichen Schlaf versunken sind, aus dem es kein Erwachen mehr gibt, nie, niemals? Es scheint so und ist es bestimmt, wenn der Deutsche nicht endlich aus dieser Dumpfheit auffährt, wenn er nicht protestiert, wo immer er nur kann, gegen diese Verbrecherclique, wenn er mit diesen Hunderttausenden von Opfern nicht mitleidet. Und nicht nur Mitleid muß er empfinden, nein, noch viel mehr: Mitschuld. Denn er gibt durch sein apathisches Verhalten diesen dunklen Menschen erst die Möglichkeit, so zu handeln, er leidet diese ""Regierung"", die eine so unendliche Schuld auf sich geladen hat, ja, er ist doch selbst schuld daran, daß sie überhaupt entstehen konnte!
#wirsindeuerbösesgewissen";2021-12-21T10:47:31.000Z;2 likes;-
5;changed.by.popular.demand;Es ist einigermaßen interessant, dass instagram Zitate aus Flugblättern der Weißen Rose hier löscht, weil sie gegen die Gemeinschaftsrichtlinien von instagram verstoßen, @ichbinsophiescholl.;2021-12-21T10:23:39.000Z;4 likes;-
6;markussukram0815;Man sollte vielleicht auch die Erziehung der Menschen in der damaligen Zeit berücksichtigen. Mit freiheitlich, liberal, weltoffen war da nicht viel. Dann die Angst. Das eigene Hemd ist einem näher, als das eines anderen. Wenn die eigene Familie durch Verfolgung bedroht sind, wird man schön die Schnauze halten und den Kopf einziehen. Sicher, Ausnahmen gibt es immer. Manche Menschen stechen in besonderen Zeiten aus der Masse hervor. Werden jedoch meistens früher oder später Opfer ihrer Geradlinigkeit und ihres Charakters. Was geschehen ist, ist geschehen. Man kann leicht verurteilen oder loben, wenn man knapp 80 Jahre später darüber liest. Was mich etwas verunsichert, ist die Vermutung, dass sowas noch heute und in Europa so oder ähnlich geschehen könnte oder auch tatsächlich geschehen ist.;2021-12-21T10:01:06.000Z;0;-
7;__lorena.emm__;Wie gut konnte Sophie Englisch sprechen? Hat man das damals in der Schule gelernt?;2021-12-20T23:45:25.000Z;1 like;-
8;martina_mordt;Wussten die Alliierten was wirklich in Deutschland ab geht? Und wenn ja, warum haben sie nicht mehr unternommen? Aber ist es nicht heute auch noch so? Menschenrechtsverletzungen in anderen Ländern gibt es ja auch heute noch, aber im Grunde schauen alle zu. 😞;2021-12-20T21:00:36.000Z;3 likes;-
9;christel_gaupp;❤️;2021-12-20T20:48:59.000Z;0;-
10;weltenbummlerblog;"Papst Benedikt XVI. hat es bei seinem ersten Besuch in Polen sehr gut dargestellt. Er wies darauf hin und das passt zu dem hier geschriebenen, dass die Menschen, die von den Nazis verschleppt wurden, am Anfang Deutsche waren. Deutsche Juden, Deutsche Kommunisten, Deutsche Sozialdemokraten.
Die katholische Kirche hat zu wenig getan. Papst Pius XII. verfasste zwar seine Enzyklika „Mit brennender Sorge“ aber wer in Deutschland verarbeitete sie in seinen Predigten?
Clemens Graf Gahlen, der Bischof Hof von Münster, Kardinal August Bertram, der Fürstbischof von Breslau und auch heimlich Maximilian Kaller, der Bischof des Ermlandes.
Aber sonst? Auch in der evangelischen Kirche, hier der „Bekennenden Kirche“ zu der sich der Vater von Hans und Sophie Scholl zugehörig fühlte gab es eher fromme Worte, sieht einmal von Dietrich Bonhoeffer ab.
Niemand wußte es? Die ganze Welt. Und auch im letzten sächsischen Dorf, in jeder hessischen Stadt.
Bis in den entlegensten Winkel.
Und was sagte man? Erstmal den Krieg gewinnen, dann können wir mit den Nazis aufräumen.
War ja dann beides nicht, wenn man sieht, wer nach dem Krieg in der Bundesrepublik so alles erneut Karriere machen konnte.";2021-12-20T20:12:49.000Z;3 likes;-
