Link: ;https://www.instagram.com/p/CQBPUn-rYcr/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;gotz2160;❤️;2021-06-15T12:18:50.000Z;0;-
2;mustertochter;Weil sie dir Heimat schenken ♥️;2021-06-14T09:42:31.000Z;0;-
3;eleirbag_essov;"Ihr seid auf himmlische Weise zusammen geschmiedet, ihr vertraut einander in großer Freiheit, ihr geht nun gemeinsam durch dick und dünn, durch hell und dunkel ; diese Verbindung gibt euch Kraft, und ihr dürft spüren : Gemeinsam können wir mehr als allein!";2021-06-13T23:17:11.000Z;0;-
4;marleen_tw;Wie wird die Technik genannt, mit der dieses Video erstellt wurde?;2021-06-13T14:46:27.000Z;1 like;-
5;netratz;🔥❤️;2021-06-13T10:34:33.000Z;1 like;-
6;julia.twenty2;Ihr verleiht euch gegenseitig Flügel, gebt euch Kraft und schaut in die gleiche Richtung/gleiche Ziele;2021-06-13T08:51:16.000Z;1 like;-
7;move_my_roots;Ich habe da eine Idee für dich Sophie: Die Luft symbolisiert die Freiheit die du dir wünscht und nach dem Wochenende in der Natur empfunden hast. Die dunklen Wolken ziehen zwar auf, belasten und engen ein aber Hans vermag sie mit einem Weg zu pusten. Hans und Alex sind deine engsten Bezugspersonen zur Zeit. Da du die Hände beider nicht loslässt ist dir die Verbindung zu beiden sehr wichtig, ganz egal wie es um euch herum aussieht.;2021-06-13T08:49:12.000Z;1 like;-
8;move_my_roots;Ich habe da auch den Eindruck: die Luft ist doch ein Symbol für Freiheit. Die du klein Wolken stehen für das was euch in der Kriegssituation so sehr einengt und belastet. Hans und Alex sind eine engsten Bezugspersonen zur Zeit und Hans schafft es für dich die Last weg zu pusten. Da du die Hände von beiden hältst ist dir die Bindung zu beiden sehr wichtig - egal wie es um euch herum aussieht.;2021-06-13T08:44:27.000Z;1 like;-
9;konni1812;Das ihr bald dem Himmel sehr nah seid ?;2021-06-13T07:47:27.000Z;1 like;-
10;eleirbag_essov;"Ihr seid auf himmlische Weise zusammen geschmiedet, ihr vertraut einander in großer Freiheit, ihr geht nun gemeinsam durch dick und dünn, durch hell und dunkel ; diese Verbindung gibt euch Kraft, und ihr dürft spüren : Gemeinsam können wir mehr als allein!";2021-06-13T06:25:02.000Z;1 like;-
11;setchmo5;Sophies Mondfahrt;2021-06-12T23:58:35.000Z;1 like;-
12;yastvorfan;"""Über den Wolken, muß die Freiheit wohl grenzenlos sein""...😍";2021-06-12T23:48:42.000Z;1 like;-
13;sandradenkfelder;Ihr denkt frei, also fliegt ihr auch frei. Ohne Vorgaben, Zwang oder Parteibuch. Die Gedanken sind frei, heisst es so schön im Lied. Und das dürfen wir uns alle nicht nehmen lassen, sonst sind wir nur im Gefüge.;2021-06-12T22:43:35.000Z;2 likes;-
14;elke.terlutter;🙌m😂;2021-06-12T22:20:57.000Z;2 likes;-
15;_tinarot;Wow toll....ich bin so gerührt, diese Idee die Geschichte von Sophie so zu erzählen 😍einfach grandios;2021-06-12T21:34:30.000Z;1 like;-
16;ikramova316;❤️❤️;2021-06-12T20:43:47.000Z;1 like;-
17;_samanthawilhelm_;Der Blick in die Zukunft ?;2021-06-12T20:33:29.000Z;1 like;-
18;tavi_80;"Da fällt mir was von Hermann Hesse ein: "".. und die Seele unbedacht will in freien Flügen schweben,um im Zauberkreis der Nacht tief und tausendfach zu leben""...";2021-06-12T20:11:21.000Z;2 likes;-
19;kreislauf345;weil ihr super mutig seid! und die freiheit euch in die lüfte hebt..;2021-06-12T19:48:21.000Z;1 like;-
20;dr.volkertiemann;In den Wolken. ...da liegt man nicht eng.;2021-06-12T19:14:08.000Z;1 like;-
21;speters1707;Vielleicht weil du mit den Beiden einfach glücklich bist und mit diesem Glücksmoment weit weg vom Krieg und dem ganzen Mist sein möchtest. 🤔 Geniesse es solange du kannst.;2021-06-12T18:50:50.000Z;1 like;-
22;nika_juergens;Über den Wolken. Muss die Freiheit wohl grenzenlos sein.... 🎸🎶🎵;2021-06-12T18:44:09.000Z;1 like;-
23;amaray24;Weil du beide für deinen Weg brauchst?;2021-06-12T18:23:18.000Z;2 likes;-
24;veroamaverita;Hatte Sophie tatsächlich diesen Traum und ihn so aufgeschrieben?;2021-06-12T17:53:04.000Z;1 like;-
25;hannahmariajanvier;Liebe Sophie, bitte pass' bei all' Deiner bewundernswerten Courage auch immer gut auf Dich auf. Menschen wie Du werden so gebraucht. 💚 Grün. Wie die Hoffnung.;2021-06-12T17:26:10.000Z;1 like;-
26;magic_cloud2013;Weil ihr durch einen unbewussten Traum miteinander verbunden seid, der größer ist als ihr selbst @ichbinsophiescholl;2021-06-12T17:24:47.000Z;1 like;-
27;pferdeliebe019;Oder vielleicht... Weil du einfach beide Jungs in dein Herz nehmen solltest...?;2021-06-12T17:07:15.000Z;1 like;-
28;light.on.paper;Ich denke, es war einfach eine Vision. Sophie war Christin. Gott bereitet seine Kinder manchmal auch durch Visionen auf bevorstehende Ereignisse vor. Ich weiß, das er das bis heute macht.;2021-06-12T16:57:18.000Z;1 like;-
29;katharina.helling;"Könnte das Fliegen/der Himmel auch was mit Deiner Spiritualität/Deinem tiefen Glauben zu tun haben? Oft sprechen Träume ja auch nicht ganz direkt mit uns, und das was uns evtl am meisten beschäftigt, muss nicht das sein, was man am offensichtlichsten sieht. Also vielleicht sind Hans und Alex ja nur ein Ablenkungsmanöver😅
Interessant finde ich auch, dass sich die Wolken, nachdem sie sich lüften, auch wieder zusammenziehen…
(wobei mind dieses Detail fiktional sein dürfte, weil Sophies Bilder ja keine bewegten sein konnten😅)";2021-06-12T16:56:05.000Z;1 like;-
30;nomo2009;Vielleicht da das die zwei wichtigsten Personen für dich sind und du dich bei ihnen geborgen und sicher fühlst? ❤️;2021-06-12T16:26:20.000Z;1 like;-
31;maxi__sun;Von der Frisur her, sieht die rechte Figur aus wie Hans;2021-06-12T16:12:39.000Z;1 like;-
32;livin.with.less;Menschen, die erst als Erwachsene das Radfahren erlernen, beschreiben es oft als ein Gefühl von Fliegen. Das tust du ja gerade häufig mit Hans und Alex. Wann hast du denn Radfahren gelernt? 😉;2021-06-12T15:58:19.000Z;1 like;-
33;kirmesinderkueche;Vielleicht weil du dich von den beiden verstanden fühlst und ihr eure Ideologie teilt . Als gutes Team kann man buchstäblich fliegen und alles erreichen ❤️;2021-06-12T15:56:54.000Z;2 likes;-
