Link: ;https://www.instagram.com/p/CPdrSgmHJ40/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;reading_with_jules;Der Name der Unternehmung ist völlig unklar, hier wird darauf geschlossen, dass es an Bretano angelehnt wird. Auch ist dieses Bild absolut kein Vergleich für die damalige Zeit.;2021-06-01T12:53:49.000Z;0;-
2;heidelindeviba;🙌;2021-06-01T08:54:27.000Z;1 like;-
3;tevypy;Jetzt fang ich an zu weinen weil ich an das Ende denke 😢❤️;2021-05-31T16:04:16.000Z;1 like;-
4;tori249;Wird der Saarländische Willy Graf als Mitglied der Weißen Rose auch noch auftauchen? Ich finde euren Account super.;2021-05-31T15:20:46.000Z;20 likes;-
4-1;ichbinsophiescholl;@tori249 #teamsoffer Willi Graf war ebenfalls ein bedeutendes Mitglied der Weißen Rose. Er schloss sich der Gruppe jedoch erst zu einem späteren Zeitpunkt an und wird dementsprechend auch erst in der Zukunft eine Rolle in Sophies Leben (und damit auf diesem Kanal) spielen. Wir freuen uns sehr über dein Interesse und dein liebes Feedback! Liebe Grüße;2021-05-31T15:26:29.000Z;35 likes;4
5;as___ay7;❤️;2021-05-31T15:15:24.000Z;0;-
6;hanna.zobel.56;❤️❤️;2021-05-30T21:15:10.000Z;0;-
7;kerstincerny;Ich warte jeden Tag gespannt, wie es weiter geht. Dieses Projekt ist eine tolle Hommage an Sofie Scholl. Ich habe dieses Projekt beim familienessen angesprochen. Wir haben viel über sie gesprochen und meiner Nichte @stayxweird_ bissi mehr erzählt was wir wussten. Wir sind uns auch alle einig das Sofie wie alle Mitglieder der weißen Rose ganz starke Menschen waren. Jung und so stark.;2021-05-30T19:22:28.000Z;2 likes;-
8;sonjasetout;"Liebes Team, habt Dank für euren Einsatz hier. Sophies Lebensgeschichte so modern und zugleich so wertschätzend aufzubereiten, große Leistung! Ich bin unendlich gespannt auf die weiteren Beiträge hier. Auf dass die ""Weiße Rose"" unvergessen bleibt!";2021-05-30T18:39:24.000Z;1 like;-
9;archibaldkatzfusz;Was ist mit Luthers Wappen?;2021-05-30T18:04:00.000Z;0;-
10;herrensteffi;Unglaublich tolles Projekt!! Die Schauspieler:innen alle einfach klasse! So authentisch und real.;2021-05-30T16:39:39.000Z;0;-
11;trauerweide_79;Was würde wohl Jana aus Kassel dazu sagen😂😂;2021-05-30T16:37:08.000Z;0;-
12;pferdeliebe019;Du siehst ein wenig aus wie die echte Sophie Scholl;2021-05-30T15:49:16.000Z;0;-
13;kathrinkollmer;Mein Großvater Mütterlicher Seite kam aus der Ukraine 44 in Deutschland als Zwangsarbeiter an. 😢Seine Liebe zur Großmutter in der er verliebt war hielten sie Geheim wegen der GESTAPO und der SS in Straubing nach dem Krieg Mai 45 wollte er seine Familie suchen doch es gab kein Lebenszeichen 😢😢;2021-05-30T13:45:54.000Z;0;-
14;jan.ziebolz;Fast möchte man euch warnen.;2021-05-30T13:12:56.000Z;0;-
15;we.love.saarland;🖤🖤🖤;2021-05-30T12:50:58.000Z;0;-
16;buecherjunge_dd;Ach, diese Frage kommt bei jedem Post irgendwoher um die Ecke. Letztlich tat die Weiße Rose ständige Dinge, bei denen Sie hätte auffliegen können und die Verschickung der Flugblätter durch Deutschland und die Briefmarkenaktionen fielen der Gestapo schon vor der Verhaftung auf. Die Verhaftung hätte sich etwas verzögert, wenn das Missgeschick in der Uni (falscher Zeitpunkt?) nicht den Hausmeister auf den Plan gerufen hätte. Ob nun Instagram oder konspirative Fehler: für diesen äußerst informativen und gut gemachten Kanal ist das unerheblich.;2021-05-30T12:47:02.000Z;0;-
17;janinavz;Erst mal großartige Arbeit dafür. Was ich mich aber schon immer gefragt habe: gibt es einen wissenschaftlichen Beleg dafür, dass die Geschwister Scholl wirklich ein kleines bisschen was bewirkt haben? Denn der zweite Weltkrieg wurde ja nicht beendet weil die Deutschen auf einmal aufgewacht sind. Ich finde die Geschichte dennoch faszinierend und stark zugleich.;2021-05-30T11:16:50.000Z;1 like;-
18;ring.leonie;Ein riesen danke das ihr das hier macht !;2021-05-30T10:56:41.000Z;0;-
19;ring.leonie;Ich bin ein riesen Fan deiner Seite geworden obwohl ich gerade mal 16 Jahre als bin beschäftige ich mich sehr viel mit dem Nationalsozialismus und deren Wiederstand. Ich habe vor einiger Zeit über sophie und die weiße Rose in Geschichte einen vortrag gehalten und mir davor auch den Film dazu angeschaut und jegliche andere Doku es erschreckt mich sehr das eine so junge Frau die einfach nur die Wahrheit sagte mit ihrem Leben bezahlen musste so etwas darf nie wieder passieren;2021-05-30T10:56:21.000Z;0;-
20;ella_0573;Meine Großeltern lebten in der Geschwister-Scholl-Straße und als Kind (in der DDR) hat es mich interessiert, warum die Straße diesen Namen trägt. Als ich mich bei meinen Großeltern, in der Bibliothek und bei meiner Geschichtslehrerin schlau machte, war ich schon ziemlich beeindruckt, dass junge Leute für ihre Ideale und gegen eine Diktatur ihr Leben auf‘s Spiel setzen. Mich hat es trotzdem erschüttert, dass man sie hingerichtet hat. Deshalb war und bin ich froh, dass man sie ehrt, in dem man Straßen und Schulen ihren Namen gibt, damit die Erinnerung an ihren Mut und Zivilcourage bleibt.;2021-05-30T09:36:00.000Z;0;-
21;lotmusik;Das Buch ist von B. Traven. Oder?;2021-05-30T09:22:32.000Z;3 likes;-
21-1;ichbinsophiescholl;#teamsoffer @lotmusik Hans Scholl sagte, er habe den Namen willkürlich gewählt, vielleicht unter dem Einfluss von Brenatos “Die Rosa Blanca”. Hans hatte das Buch “Die weiße Rose” von B. Traven gelesen, er kann also auch davon beeinflusst gewesen sein.;2021-05-30T12:12:48.000Z;23 likes;21
22;changed.by.popular.demand;Hallo @ichbinsophiescholl, warum machst du da mit? Was sind deine Beweggründe dich gegen das NS-Regime zu stellen?;2021-05-30T08:47:46.000Z;1 like;-
22-1;changed.by.popular.demand;@most.boring.facts @ichbinsophiescholl schade, ich hätte mich über eine Antwort gefreut.;2021-06-01T17:34:18.000Z;0;22
23;helgadancke;Als Kind bin ich in die „Geschwister Scholl Schule“ gegangen. Obwohl wir nich sehr klein waren (1.-4.Klasse) , haben wir natürlich die Geschichte der Widerstandsgruppe erfahren. Ich war immer stolz, in diese Schule gehen zu dürfen. Die Kämpfer*innen der Weissen Rose werden hoffentlich nie vergessen. Ich hoffe aber auch, dass unsere Demokratie stark genug ist, den menschenverachtenden Kräfte Widerstand zu bieten.;2021-05-30T08:45:29.000Z;0;-
24;busenfreundin;Cheers to that 🥂 👏👏👏;2021-05-30T08:42:25.000Z;0;-
25;buecherjunge_dd;Clemens Brentano hat tatsächlich eine Erzählung DIE ROSE geschrieben. Vermutlich aber hatte Hans Scholl den 1929 erschienenen Roman DIE WEISSE ROSE von B. Traven gelesen. In diesem geht es um Indios die in México ein Hacienda dieses Namens betreiben. Das Buch kam bei der Büchergilde Gutenberg heraus und Travens Bücher, auch auf dem NS Index, waren ziemlich bekannt. Passt hervorragend für Namen der Gruppe.;2021-05-30T08:23:55.000Z;0;-
25-1;ichbinsophiescholl;#teamsoffer @buecherjunge_dd Das kann beides richtig sein. Hans Scholl sagte, er habe den Namen willkürlich gewählt, vielleicht unter dem Einfluss von Brenatos “Die Rosa Blanca”. Richtig, Hans hatte zudem das Buch “Die weiße Rose” von B. Traven gelesen, er kann also auch davon beeinflusst gewesen sein.;2021-05-30T12:13:56.000Z;7 likes;25
25-2;buecherjunge_dd;@ichbinsophiescholl wenn man nachliest, das Brentanos „Die Rose“ eine Art Märchen ist, dann liegt Es vermutlich nahe, dass es es um Travens Buch geht, dem ein Gedicht „La Rosa Blanca“ voran gestellt ist. Jedenfalls gehen die Traven-Forscher unter den Literaturwissenschaftlern davon aus. Aber da die Geschwister Scholl sicher sehr belesen waren, kannten sie vielleicht beides.;2021-05-30T12:36:24.000Z;0;25
26;chri.st697;Danke für das Teilen deiner persönlichen Geschichte;2021-05-30T07:33:15.000Z;1 like;-
27;joh_schultheis;"Die Idee den Namen ""die weiße Rose"" nach verbannten Adligen zu wählen deutet mEn auf ein problematisches Demokratieverständnis hin 🤔";2021-05-30T07:25:14.000Z;1 like;-
27-1;hallibaloobalay;@jo.sch_aefchen da würde mich auch der Beleg interessieren @ichbinsophiescholl #teamsoffers;2021-05-30T14:27:43.000Z;0;27
