Link: ;https://www.instagram.com/p/CS6MvKtD91X/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;natadi90;🖤🖤🖤;2021-09-23T14:08:50.000Z;0;-
2;mchen_12345;😢😍;2021-08-31T21:27:41.000Z;0;-
3;mchen_12345;👏👏;2021-08-31T21:27:24.000Z;0;-
4;gartenfamilie;Mein herzliches Beileid. Mein Großvater ist 1929 geboren und sollte in den letzten Kriegstagen als Flakhelfer dienen. Der Vater seines Klassenkameraden hat sie aufgegabelt und zurück geschickt.. zum Glück;2021-08-30T18:11:08.000Z;0;-
5;dpicsw1967;Ich beerdige am Freitag eine Frau, die 102 Jahre alt geworden ist. Ihren Mann hat sie 1942 - er war an der Ostfront - per Fernheirat geehelicht, aber erst 1949 leibhaftig in die Arme geschlossen. Er kam aus russischer Kriegsgefangenschaft zurück. Aber seine drei Brüder wurden im Krieg getötet. Er selbst starb mit 95 Jahren ...;2021-08-28T20:11:44.000Z;0;-
6;http.nessiiii;Mein herzliches Beileid 😢;2021-08-25T12:41:19.000Z;0;-
7;espedito_3sisters;👏;2021-08-25T07:57:50.000Z;0;-
8;arthursteinbock;Es tut einem unendlich leid, wenn man von diesen Millionen gefallenen jungen Männern - fast noch Jugendlichen - erfährt. Weiß man, wo genau Ernst umgekommen ist?;2021-08-25T05:57:42.000Z;0;-
9;joshyi_k;Manchmal ist das hier alles zu real;2021-08-25T00:54:20.000Z;2 likes;-
9-1;gull.weig;@joshyi_k Aber ich finde gleichzeitig ist es ein wahnsinnig faszinierendes Projekt;2021-08-27T16:37:30.000Z;0;9
9-2;joshyi_k;@gull.weig muss du mir nicht sagen. Diese Person muss ein genie sein der auf so eine Idee kommt.;2021-08-28T01:44:01.000Z;0;9
10;nothingkix;Meine Großvater haben beide überlebt aber auch von schrecklichen Dingen gesprochen. Sowas prägt einen. Sinnlose massen an Menschen wurden ins Unglück gestürzt. Mein Beileid für diesen Verlust. Es werden noch viele Folgen für die Freiheit Europas.;2021-08-24T20:56:01.000Z;0;-
