Link: ;https://www.instagram.com/p/CZ-CyQlMDUF/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;leonweber304;Zeig lieber Mittelfinger;2022-02-20T07:17:40.000Z;0;-
2;melpomene_13_;Ich habe das Projekt ein wenig aus den Augen verloren, keine Ahnung warum.Nun hole ich seit gestern alle Beiträge nach.Es ist so großartig und einmalig und beklemmend zugleich.Mein Respekt für diese Teilhaben… hoffen wir, dass viele aufgerüttelt und erinnert werden! DANKE!;2022-02-19T15:52:25.000Z;0;-
3;irgendwannliefwasschief666;Was für nen scheiß. Geschichte wird romantisiert, weil wir uns nicht eingestehen wollen das Oma und Opa bei den Nazis mitgemacht haben (oder hingenommen) Jungen Generationen muss vermittelt wersen was passiert ist, aber die Vergangenheit ist unschön, damit müssen wir uns abfinden und gegen Geschichtsrevisitionismus ankämpfen.;2022-02-19T07:49:28.000Z;0;-
4;emsworld_____;Vielleicht solltet ihr Skifahren gehen, da könnt ihr entspannen und müsst euch nicht verstellen❄️☃️;2022-02-16T20:10:58.000Z;0;-
5;hank2323;Danke für das tolle Projekt es geht mir sehr Unter die Haut;2022-02-16T14:17:39.000Z;11 likes;-
6;chrissieb78;Bei der Familie. Mit der sollte man so viel Zeit wie möglich verbringen.;2022-02-15T20:34:08.000Z;0;-
7;ulrikemunstermann;Ich habe hier viel über die Zeit ,der weißen Rose ,über das Umfeld,die Zeit allgemein gelernt.Auch viele Kommentatoren haben dazu beigetragen.Angespannt warte ich auf Freitag u das Ende.Mögen einige Menschen über Euch gemeckert haben, schlussendlich habt ihr mit diesem Projekt,ein großes Interesse an dieser Geschichte geweckt.❤️;2022-02-15T17:32:25.000Z;0;-
8;enchanting_jeannie77;Ich wünschte so ich hätte eine Zeitmaschine und könnte euch warnen. Lasst uns alle dieses Erbe würdig sein und in ihrem Geiste auch alles tun was wir können, damit damit sich diese Zeit nie mehr wiederholt 🕊🤍🕊;2022-02-15T16:50:48.000Z;1 like;-
9;pet_rab84;Das ist wirklich das einzige instaprofil was mich so beeindruckt hat, dass ich wirklich mitfiebere! Danke dass ihr die Geschichte der Sophie Scholl so habt aufleben lassen! Mir graut es jetzt nur schon vor den letzten 4 tagen 😢;2022-02-15T15:49:08.000Z;5 likes;-
10;familieminchen;Wärt ihr mal schon eher in die Berge oder zur Familie gefahren 😢 als ehemalige Schülerin eines „Geschwister-Scholl“ Gymnasiums lese ich hier gespannt mit und zittere doch vor Freitag. Mein Geburtstag und viele Jahre zuvor euer Schicksalstag.;2022-02-15T13:41:36.000Z;2 likes;-
11;reeft;❤️;2022-02-15T13:35:44.000Z;0;-
12;sophieforpresident;oh gott oh gott;2022-02-15T13:15:51.000Z;0;-
13;karinweiblen;Du hast eine wunderbare Familie, Sophie. Vielleicht schöpfst du daraus so viel Kraft und Mut....Fahrt weg. Egal wohin. Bitte fahrt weg😢;2022-02-15T12:17:32.000Z;1 like;-
14;carola_hering;Das Datum macht mir Angst 😧 wahrscheinlich weil man weiß was kommt. Auch die heutige Zeit macht mir Angst 😧 und hier weiß man nicht was in Europa noch so kommt. Aber wie man sieht lernt die Menschheit nur schwerlich aus der Vergangenheit;2022-02-15T11:40:32.000Z;2 likes;-
15;goihlheidrunkerstin;Nächste Woche Dienstag werden sie und ihr Bruder hingerichtet 😔 Es ist so unfassbar sich das vorzustellen, wenn man hier seid einem Jahr ihr Leben und ihre Leidenschaft für Frieden und Freiheit verfolgt hat 😢;2022-02-15T11:37:20.000Z;0;-
16;smartcamperz;Geht Skifahren und bleibt in den Bergen ❤️;2022-02-15T11:15:03.000Z;1 like;-
