Link: ;https://www.instagram.com/p/CYvxxLAMSu3/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;beatimjasplanet;Vorratswirtschaft ist sowohl für Staaten als auch Haushalte sinnvoll;2022-02-24T20:03:27.000Z;0;-
2;mja_horb;Nein man kann sie nicht dafür verurteilen;2022-01-17T09:15:21.000Z;0;-
3;fresh_rie;Schämen sollte sich lieber eine Regierung, die ihr Volk in Krieg und Hunger treibt.;2022-01-17T08:29:02.000Z;0;-
4;slowdownyou1;Was die sich alles ausdenken... Zeitmaschine...Jetzt erkennen...;2022-01-17T04:11:50.000Z;0;-
5;changed.by.popular.demand;Wow, hier geht‘s ja ganz schön misogyn ab in ein paar Kommentaren, @ichbinsophiescholl.;2022-01-16T21:48:40.000Z;1 like;-
6;lifeinpixls;Ich finde es wichtig einen gewissen Vorrat zu Hause zu haben, der darf auch gerne groß sein... Aber er sollte eben mit Zeit angeschafft werden und sinnvoll... Man darf halt nicht alles an einem Tag in Massen kaufen, sonst haben natürlich andere zu wenig ist ja klar. Deshalb den Vorrat anlegen bevor die not kommt, wenn man die Möglichkeit eben hat.;2022-01-16T19:37:04.000Z;0;-
7;larissa_lfe;Ich glaube, dass wirkliche “Hamster”käufe nicht solidarisch sind. ABER.. ich kann mir auch vorstellen, dass diese Plakate nur an die untere Schicht betreffen, die Elite bekommt ja eh alles oder zumindest viel mehr. Und die “untere Schicht” kämpft tagtäglich ums überleben. Erzähl mir mal deine Familie ist wichtiger als meine… das geht nicht. Und deswegen muss das enden! Menschenleben kann man nicht gegen Menschenleben aufwiegen. Und niemand sollte dazu gezwungen sein.;2022-01-16T18:02:49.000Z;0;-
8;verwalterin;Irgendwie erinnert mich das an Klopapier!😬;2022-01-16T16:47:19.000Z;0;-
9;kleene_pia;Ich glaube, wir wissen heute gar nicht mehr was Mangel bedeutet. Ich selbst bin Mitte 30 und habe in den letzten Jahren das erste Mal überhaupt erlebt, dass Produkte nicht gleich verfügbar sind (und da reden wir von Klopapier und Halbleitern). Was es bedeutet nicht zu wissen, was man morgen der Familie zu Essen auf den Tisch stellt, kennen glaube ich nicht mal meine Eltern, auch wenn sie in der DDR gelebt haben und zumindest mit einem Mangel an bestimmten Produkten konfrontiert waren. Daher kann ich mir keine richtige Meinung dazu bilden, was ich von Hamsterkäufen halte. Vom horten des Klopapiers halte ich nichts, aber wenn es um Lebensmittel geht, wüsste ich nicht wie ich handeln würde.;2022-01-16T16:20:10.000Z;0;-
10;direktor_fisk;Ich bin Scwede. Mein Deutch is slecht. Aber ich finde diese account die beste am Instagram;2022-01-16T12:16:50.000Z;0;-
11;beat.62h;"Der Begriff des Ersten Weltkrieges wurde meines Erachtens erst nach dem Zweiten Weltkrieg geprägt, die Unterscheidung, wie wir sie nun kennen. Während des Zweiten Weltkrieges und davor hies es lediglich, ""im letzten großen Krieg"", ist authentischer.";2022-01-16T11:50:55.000Z;0;-
12;maikitsch;Ich wäre nie respektlos gegenüber irgendwelchen opfern von damals und ich würde niemals in dem Maße Vergleiche zwischen einem Virus und einer NS Regierung ziehen.;2022-01-16T11:25:30.000Z;0;-
13;_steffis_kleine_tierwelt_;😂;2022-01-16T10:15:30.000Z;0;-
14;kties_93;Kommt drauf in welcher Situation man sich befindet. Jetzt in der Pandemie fand ich es unnötig, im ersten und zweiten Weltkrieg durchaus berechtigt. Auch wenn man sich an Orten befindet, an denen man davon ausgehen kann, von jetzt auf gleich seine Heimat zu verlieren, ist es ratsam sich eine Art Notfallkoffer aus Konserven und haltbarem Essen und anderen Lebensnotwendigen Utensilien zusammen zu stellen.;2022-01-16T09:36:34.000Z;0;-
15;annas_check;Ich denke in deiner Zeit, war es Angst und das Trauma des ersten Weltkrieges. Da kann ich die Vorratskäufe total verstehen. Heutzutage, finde ich Vorräte in maßen zu haben okay, aber wir leben in einer viel einfachren Welt, da muss man sich keine großen Sorgen machen, dass man nichts mehr hat. Finde schon gut, dass man manche Artikel auch gar nicht mehr in großen Mengen kaufen darf.;2022-01-16T08:29:32.000Z;0;-
16;katja.rufa;"Ich habe immer einen gewissen Vorrat zu Hause. Es kann immer mal passieren, dass man nicht aus dem Haus kommt und ich habe einfach keinen Lust, die Woche x mal in ein Geschäft zu gehen.

Kenne es aber auch noch von meinen Großmüttern, dass man „immer was im Haus haben sollte“. Was auch daran lag, dass man früher, nicht einfach mal so jeden Tag einkaufen gegangen ist. Die Dichte an Supermärkten war damals auch nicht ansatzweise so hoch wie heute. Heute braucht man fast keine Vorratshaltung mehr.";2022-01-16T07:54:20.000Z;0;-
17;larissa_frls;Hi Sophie hast du schon mal exotische Früchte gegessen? Also z.B. Bananen, Ananas, Mangos o.ä.?;2022-01-16T05:19:13.000Z;0;-
18;ildi_coco;"Ich finde es wirklich schockierend in wie vielen Kommentaren hier Corona Vergleiche gezogen werden. Das ist ein Nazi Propaganda Plakat, das soll doch bitte nie wieder irgendwo hängen!
Wir leben in Zeiten wo wir unseren Einkauf online bestellen können und selbst wenn es mal kein Klo Papier oder Nudeln gibt, haben wir zig andere Möglichkeiten klarzukommen und vor allem zu überleben. Das ist doch mit Kriegszeiten überhaupt nicht vergleichbar sind sollte auch absolut nicht damit verglichen werden!";2022-01-16T04:00:43.000Z;4 likes;-
19;laa_vida_loca38;Danke für deine Seite und den Einblick in dieses Leben!;2022-01-16T01:21:38.000Z;0;-
20;feduma4;Solange kein Toilettenpapier gehortet wird...;2022-01-16T00:04:33.000Z;0;-
