Link: ;https://www.instagram.com/p/CTz0Bxnqoi1/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;kl.madlen.n.79;Viele schaffen 40Stunden/Woche und in Schichten, auch in Fabriken, ohne viel denken zu müssen (dürfen) #soistdasleben. Industriearbeit. @ichbinsophiescholl jammer nicht so;2021-09-16T09:54:04.000Z;0;-
2;bianka3wald;Arbeitet ihr auch am Samstag?;2021-09-15T20:23:45.000Z;0;-
3;frauvonformat;in dem Fall null.;2021-09-15T12:51:35.000Z;0;-
4;ansgarwfl;🙂;2021-09-15T11:21:43.000Z;0;-
5;ansgarwfl;Ich bin deshalb sehr froh dass ich ohne Einschränkungen in die Schule gehen darf;2021-09-15T11:21:40.000Z;0;-
6;eisblume2018;Also ich darf nicht mehr als 9 Stunden täglich auf Arbeit anwesend sein, muss mich aber 1 Stunde davon ausstempeln und könnte dann theoretisch das Gebäude verlassen. Darf aber nur maximal 30 Minuten Überstunden haben. Verstehe die Regelungen nicht mehr. (Jugendschutzgesetz)🤯;2021-09-14T21:52:06.000Z;1 like;-
7;helmutkeimel;Sieben Stunden. Und gut ist es.;2021-09-14T21:00:58.000Z;2 likes;-
8;silent_goi;Für den Krieg sollte keiner arbeiten;2021-09-14T20:00:07.000Z;16 likes;-
8-1;gwen_gloeckchen;@silent_goi Richtig!!!!👏👏👏👏;2021-09-14T20:43:28.000Z;1 like;8
9;sebastian_aus_bielefeld;Sechs max. regulär, wenn's drauf ankommt, auch mehr bei angemessenem Ausgleich.;2021-09-14T19:35:52.000Z;2 likes;-
10;vi.zpp;3 Stunden Arbeit am Tag, weil es mehr nicht braucht.;2021-09-14T19:13:05.000Z;29 likes;-
10-1;sinathequeen;Hurra!;2021-09-14T20:29:01.000Z;5 likes;10
11;herrhundebraten;Ich finde die Wochenarbeitszeit sollte 25 Stunden sein und auch möglichst frei einteilbar. Wäre Deutschland nicht so ein Abzockerstaat was Steuern angeht, dann würde das zum leben reichen.;2021-09-14T19:02:59.000Z;6 likes;-
11-1;gull.weig;@herrhundebraten Und wie würden die staatlichen Ausgaben finanziert? Schulen, Gerichte, Infrastruktur etc.?;2021-09-15T19:43:46.000Z;0;11
11-2;herrhundebraten;@gull.weig Streichung von unnötigen Ausgaben: Reduzierung der Bundeswehr, der Zahlungen an die EU und Nato, Entschlackung des Bundestages, Kürzung der Gehälter für Politiker. Gerichte sollten sich noch mehr über die Straffälligen finanzieren.;2021-09-16T07:14:01.000Z;0;11
12;weingummijunkie;Was sagen denn die anderen deutschen Frau die mit dir in der Fabrik arbeiten? Wie ist deren Meinung zum Krieg?;2021-09-14T19:02:42.000Z;4 likes;-
13;clausenandy;Ich arbeite zurzeit 34 Stunden pro Woche, irgendwann sollten 30 aber ausreichen.;2021-09-14T18:15:57.000Z;1 like;-
14;vanilopee;Mit dir würde ich echt nicht gerne tauschen, aber Respekt 👏;2021-09-14T18:15:34.000Z;1 like;-
