Link: ;https://www.instagram.com/p/CY_3ns9soEJ/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;lindwurmallee;Waren Buntstifte nicht rar?;2022-01-26T21:33:33.000Z;0;-
2;schale91;@juliusdms;2022-01-24T11:31:28.000Z;1 like;-
3;mariyeah__;Oh man, das alles per Hand auf schon bereits 2000 Blättern zu markieren🙈;2022-01-24T08:45:01.000Z;0;-
4;lebeninworten;Inwieweit ist euch/euren Mitmenschen eigentlich um die Lage der Juden und anderen Minderheiten bewusst?;2022-01-23T08:08:08.000Z;1 like;-
5;e1nfachhe1kee;Ich muss euch einfach sehr danken;2022-01-22T21:33:19.000Z;0;-
6;e1nfachhe1kee;#Teamsoffer Danke, dass ich seit Mai letzten Jahres diese Geschichte mit erleben darf. Vielen Dank für dieses Projekt und ein großes Lob an euch. Dieses Projekt ist euch sehr gelungen und darf nicht in Vergessenheit geraten. Ich wünsche euch alles Liebe ab Februar, denn da endet ja die wunderbare Reise in die Vergangenheit. Schade nur, dass Sophie Scholl aus 1943 nicht miterlebt hat. Sie wäre sehr stolz auf ihr Projekt ❤️;2022-01-22T21:32:01.000Z;0;-
7;madam.herpein;"Liebe Sophie, Hitler wird es schaffen den Krieg zu verlängern, aber er wird den Krieg verlieren und in einigen Jahren wird ein deutscher Fernsehsender eine Umfrage in Auftrag geben. Die Frage wird lauten wer die ""100 größten Deutschen"" waren. Auf Platz 1 wird der erste Bundeskanzler der Bundesrepublik Deutschland, einer Demokratie, sein. Auf Platz 2 ist Martin Luther und auf Platz 3 Karl Marx. Auf Platz 4 werden Hans und du sein. Du wirst auf dem Buchcover der wichtigsten Frauen der deutschen Geschichte abgebildet sein. Bei Rankings mit den bedeutendsten Frauen wirst du immer in den Top 10 genannt. Im Jahr 2015 wird es eine Forsaumfrage geben (gefragt werden Personen ab 14). Man wird nach den beliebtesten deutschen Frauen fragen. Du wirst auf Platz 1 genannt werden. Ihr werdet Vorbilder sein, auch in 100 Jahren noch. Mein Urgroßvater war bei der SS. Ich habe eure Flugblätter und demonstriere gegen neue Rechte. Es werden Plätze, Straßen und Schulen nach euch benannt werden. Euer Widerstand, eure Flugblätter, euer Mut - das alles wird Spuren hinterlassen. Denk bitte daran.";2022-01-22T16:13:43.000Z;10 likes;-
8;changed.by.popular.demand;Ich wiederhole mich, aber ich find die Kriterien nach denen hier gelöscht wird, intransparent und der Hinweis auf die Nettiquette hilft mir auch nicht, wenn nicht der konkrete Grund dazu genannt wird. Hatte mir von einem öffentlich-rechtlichen Projekt ehrlich gesagt etwas anderes erwartet.;2022-01-22T14:13:27.000Z;10 likes;-
9;frauenvondamals;"Kann meine Frage nicht mehr finden, daher sicherheitshalber noch einmal: Welche Qualifikation werden die Menschen haben, die nach der ""Verhaftung"" die Community begleiten?";2022-01-22T09:07:24.000Z;9 likes;-
10;lisaatheart95;"Zum Anfang des Projektes hab ich mich fast schon gefreut, die Geschichte mal auf diese Weise zu ""erleben"". Je näher der Tag der Tage rückt, desto unwohler ist mir dabei, trotz dem bekannten Ausgang. Danke an die Redaktion, die es möglich machen, diese Geschichte in so bedrückend naher Art und Weise darzustellen.";2022-01-22T08:25:05.000Z;10 likes;-
11;kleineschwalbe;❤️;2022-01-22T07:54:51.000Z;0;-
12;andrenuvidal7227;Heroica!!! Valiente!!!! 👑💐💐💐;2022-01-22T03:13:07.000Z;0;-
13;dashieristandaz;Nur noch wenige Tage. Mir schnürt sich der Magen zusammen bei dem Gedanken an die folgenden Ereignisse. Ich möchte Sophie anflehen, ja gar schütteln, bitte bitte bitte geh nicht zur Uni. Lass die Flugblätter einfach im Atelier. Bitte lass ein wenig Zeit ins Land streichen, bevor du weiter machst. Aber leider weiß man, dass das nicht geht. Das sie ihren Fritz nie wieder sehen wird. Nie das gemeinsame Weihnachten bekommt. Nie miterleben wird, dass der Krieg vorbei ist und wir in einem friedlichen, vereinten Europa leben dürfen - dank Menschen wie ihr. Es ist so traurig. 😔;2022-01-21T23:14:17.000Z;62 likes;-
14;over_and_out153;Hallo zusammen. Es ist ein unglaublich phänomenales Projekt das ihr ins Leben gerufen habt! Ihr zeigt wunderbar, dass Sophie nicht nur Widerstandskämpferin, sondern auch ein ganz normales Mädchen war. Macht ihr echt super! Man fiebert richtig mit und der 18. Februar graut einem schon. Durch dieses Projekt fing ich selbst an, mich mehr zu informieren und Berichte zu schauen etc. Zwei Punkte haben sich allerdings widersprochen. Zu einem heißt es, dass Sophie am 18. Februar die Flugblätter versehentlich in den Uni Hof gefallen waren. Woanders wurde gesagt es war Absicht. Der andere Punkt war, dass Sophies und Hans' Eltern erst 3 Tage später vom Tod der beiden erfahren hatten, in einem anderen Bericht hieß es, sie hatten am Tag der Hinrichtung eine halbe Stunde Zeit sich von ihren Eltern zu verabschieden. Wisst ihr mehr darüber und könntet mir da evtl helfen? Lg @ichbinsophiescholl;2022-01-21T22:53:06.000Z;3 likes;-
15;so3phie.kr;Haben die originalen Flugblätter auch so ausgesehen oder ein bisschen anders?;2022-01-21T22:46:57.000Z;0;-
16;trouble.times;Weiß man eigentlich, ob es Leute gegeben hat, die beispielsweise diese Flugblätter tatsächlich zum umdenken bewegt haben?;2022-01-21T21:21:27.000Z;5 likes;-
17;die_freifrau;Eure Liebe und Zugewandtheit für einander ist ein starkes Band;2022-01-21T21:18:41.000Z;2 likes;-
18;sophia_vgb;Schickt ihr die Briefe gezielt an ausgewählte Personen, und wenn ja sind es eher Personen die ihr kennt dass man sie noch umstimmen kann oder sind sie ganz willkürliche ausgewählt?;2022-01-21T21:03:03.000Z;1 like;-
19;christinawalsi;Welche Bücher gib es, wo man alles nachlesen kann? Würde die mir gerne kaufen.;2022-01-21T20:58:16.000Z;3 likes;-
20;feeligran;Wenn man überlegt, welch Arbeit das war… Heute geht alles über Internet… Und so viel schneller…;2022-01-21T20:42:26.000Z;1 like;-
21;lange.mirjam;Liebe sophie, vielleicht habe ich es verpasst, aber könntet Ihr eure Flugblätter nicht hier hochladen? Ich interessiere mich für eure Texte!! Lg;2022-01-21T20:36:32.000Z;1 like;-
22;eileen_a_tieno;Wenn man daran denkt welches Flugblatt das ist;2022-01-21T20:22:06.000Z;0;-
23;frauatze;Bitte seid vorsichtig!;2022-01-21T19:58:59.000Z;1 like;-
24;raphi_rapunzel;Habt ihr die Flugblätter auch nach Rosenheim verschickt?;2022-01-21T19:53:03.000Z;1 like;-
25;frauhinfrau;Ihr seid der (positive!) Wahnsinn❣️;2022-01-21T19:34:41.000Z;0;-
26;jonni2009;Dieses Wissen, was passieren wird ist fast unerträglich. Wie grausam der Umgang mit Euch jungen Menschen und allen anderen, die so leiden mussten. NIE wieder!;2022-01-21T19:16:54.000Z;3 likes;-
27;bijo6352;"Dieses Format ist wirklich super und ich glaube vielen graut es vor dem 18. Februar. Man hat das Gefühl die Geschichte ändern zu können und Leben zu retten, indem man einfach sagt:“..verteilt an dem Tag keine Flugblätter!!!!“

Aber leider geht das nicht 😢 Traurig, dass es tatsächlich Menschen gibt, die sich aktuell und wirklich mit den damaligen Widerstandskämpfenden vergleichen wollen.";2022-01-21T19:03:12.000Z;12 likes;-
28;tichel2020;Seit wann gibt es dieses Account?;2022-01-21T18:52:58.000Z;0;-
29;christine.binggeli;🔥;2022-01-21T18:21:37.000Z;0;-
