Link: ;https://www.instagram.com/p/CUo0ZKEM-t1/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;dreizebrastreifen;Unter der Matratze ist keine originelle Idee. 😕;2021-10-06T07:37:50.000Z;1 like;-
2;berenikevogel;Ich finde diesen Account so toll! Die Geschichte nochmal anders / moderner an Leute heranzutragen ist eine wunderbare Idee! Weiter so!!;2021-10-05T20:44:50.000Z;2 likes;-
3;yunaa_2_0;Einzelne Blätter kann man auch gut unter Klamotten verstecken, meiner Meinung nach.;2021-10-05T17:33:54.000Z;1 like;-
4;_perhapsnoone_;"Sophie….
Vielleicht solltest du die Bücher und Hefte etwas besser verstecken. Wie wäre es, wenn du sie für’s erste einfach weiter unters Bett schiebst, sodass sie in etwa mittig liegen. Wenn ich etwas durchsuchen würde, wären Bettkanten einer der Esten Orte, an denen ich nachgucken würde…";2021-10-05T16:59:56.000Z;13 likes;-
4-1;ichbinsophiescholl;Ein weiser Rat! Mutter und Inge sollen schließlich auch nicht darauf aufmerksam werden.;2021-10-05T17:21:32.000Z;8 likes;4
5;gwen_gloeckchen;Uuuuh... Die Sache mit dem Vervielfältiger klingt interessant, aber dass es der Mama schlecht geht, tut mir sehr leid. Ich wünsche euch allen alles Liebe und an deine Mama gute Besserung! 🍀🌸🌿🫖🍵;2021-10-05T16:29:57.000Z;1 like;-
6;crasiemaisie.thephotobug;Bringt deine Notizen und Bücher mit zum See und verstecke sie im Gebüsch;2021-10-05T13:28:49.000Z;0;-
7;franzib.aus.dd.an.der.e;Schnelle und gute Besserung für deine Mama 🙏;2021-10-05T13:11:16.000Z;1 like;-
8;alexesawatzkiplasticienne;Das wird aufregend!;2021-10-05T11:45:01.000Z;5 likes;-
8-1;ichbinsophiescholl;@alexesawatzkiplasticienne Ohja, ich kann es kaum erwarten! Ich hoffe, dass alles gut geht und wir endlich wieder aktiv werden können! Die Weiße Rose muss noch so viel mehr Menschen erreichen!;2021-10-05T12:26:32.000Z;8 likes;8
9;heikegumz;"Auch Falk Harnack, Mitglieder der Widerstandsgruppe ""Rote Kapelle"" war wenige Monate später ""ausgesprochen entsetzt"" über die ""Leichtsinnigkeit der Studenten"". Er erinnerte sich 1947 an einen Besuch in der Wohnung der Scholl-Geschwister in München: ""So befanden sich in der Wohnung in der Franz-Joseph-Straße nicht nur die Manuskripte der Flugblätter, der Abzugsapparat, die Adressenverzeichnisse, sondern gleichzeitig traf sich hier der Münchener Freundeskreis fast täglich.""
Quelle: Zoske (2021). Sophie Scholl. S. 253";2021-10-05T10:40:57.000Z;13 likes;-
