Link: ;https://www.instagram.com/p/CaEs9JND-W1/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;justinezeiler;😭😭😢🙏🏻;2022-02-19T20:52:40.000Z;0;-
2;renelindhout;❤️;2022-02-19T15:43:00.000Z;0;-
3;siimsalaa;@ichbinsophiescholl Ist das ein Text, den Sophie Scholl tatsächlich als Brief verschickt hat oder nur erfunden? Gab es diese Freundin Lisa wirklich?;2022-02-19T15:29:36.000Z;0;-
4;tramanon25;Franz Schubert;2022-02-19T09:23:17.000Z;0;-
5;kaja0301;😳😬🙈🙉😱😭;2022-02-18T09:21:11.000Z;0;-
6;elvzaugg;🙌;2022-02-18T07:18:22.000Z;0;-
7;aoife_s1312;Es ist furchtbar zu wissen was jetzt passiert. Und auch einfach schrecklich, wenn eine Jana aus Kassel sich mit Sophie vergleicht. Wie kann man nur so wenig begreifen?;2022-02-18T06:02:39.000Z;2 likes;-
8;reeft;<3;2022-02-17T22:19:45.000Z;0;-
9;manjasiber;Oh Sophie. Zu wissen was dir morgen widerfahren wird, wie deine Geschichte endet macht mich zugleich zutiefst traurig und wütend und... aufgebracht. Ich bin aufgebracht, dass dieses Land je an einem Punkt war, an dem du dein Handeln berechtigterweise für nötig erachtet hast (und ja. Das war es.) Ich bin aufgebracht darüber, wie wenig Mwinugsfreiheit und das menschliche Leben zählte. Ich bin aufgebracht darüber wie sich die Geschichte im 100-Jahr-Takt zu wiederholen scheint. Und ich bin aufgebracht, wie dein Name und der Name anderer (Anne Frank z.B) immer wieder missbraucht werden, um in einer Zeit, in der wir besonders aufeinander achten müssen, Egozentrismus und Engsienigkeit zu rechtfertigen. Umso mehr, da dieses Leugnen einer derzeit sehr aktuellen Krise den direkten spirituellen Erben eurer Mörder extrem genehm sind. Dieser Kanal wühlt mich auf und das ist gut so auch wenn es im Moment immer sehr unwohl ist. Ich danke euch für sowohl das rwflektierte Erinnern als auch das Wertschätzen als auch die Inspiration. Danke. Aus tiefstem Herzen Danke.;2022-02-17T22:10:23.000Z;8 likes;-
10;mellipirelli12;Bitte lasst die FlugblätterAktion an der Uni - glaube mit UNBEDINGT - es wird nicht gut enden!!!!;2022-02-17T20:31:18.000Z;0;-
11;rhabarberbarbara77;Ich folge diesem Account hier bisher still, aber täglich. Natürlich ist es irgendwie schwierig zu wissen, was passieren wird. Aber das Rad der Zeit lässt sich nicht zurück drehen. Es ist an uns allen daraus zu lernen und die Zukunft zu verbessern. Das Andenken an diese tapferen jungen Menschen wird nie verblassen!;2022-02-17T20:15:49.000Z;22 likes;-
12;ke.ba73;Ich bin so voller Trauer wegen morgen…Könnte man Euch nur retten…😢;2022-02-17T18:52:13.000Z;1 like;-
13;stina297;Erinnert mich an die Briefe, die meine Freundin Liese und ich uns schreiben. ☺️;2022-02-17T18:46:57.000Z;1 like;-
14;rot5555555;😢;2022-02-17T14:58:37.000Z;0;-
15;_muerbchen_;So schöne Worte, so leichtfüßig. Es bricht mir das Herz, dass es Dir in den letzten Tagen bei einem Brief an Fritz nicht so leicht gefallen ist, besonnene Worte zu finden. Vielleicht hattest Du da nicht die richtige Musik aufgelegt, um Ängste und Sorgen für einen Moment zu vergessen? Passt morgen gut auf Euch auf! 🙏🏻;2022-02-17T13:05:42.000Z;2 likes;-
16;5a3eth;Herrlich das diese kleinen aber feinen, schönen Momente des Alltags eine Rolle spielen… im Angesicht von soviel Grausamkeit und Elend.. das Leben kann sich auch mal kurz leicht und schön anfühlen, sogar wenn es ultraschwer ist. Was haben wir nur immer zu jammern…;2022-02-17T11:33:51.000Z;2 likes;-
17;famic_76;Liebe Sophie, liebe Mitstreiter, DANKE für Euren wahnsinnigen Mut und dafür, dass Ihr nicht die Augen zugekniffen habt, sondern vielen Menschen mit Euren Aktionen die Augen öffnen wolltet und sicher auch konntet.;2022-02-17T11:07:08.000Z;2 likes;-
18;stefanie.mayyy;Warum wurde dieses Projekt eigentlich im letzten Jahr gestartet und nicht in diesem? Die historischen Ereignisse um die Weiße Rose fanden ja 1942/43 statt, was sich erst in diesem und nächstem Jahr zum 80. Mal jährt;2022-02-17T11:05:55.000Z;0;-
19;coco_14juli;❤️;2022-02-17T10:48:03.000Z;0;-
20;steffi_dolcilicious;Mir graut es vor Morgen… 😞;2022-02-17T10:39:00.000Z;4 likes;-
21;tu__bay;Bitte geht morgen nicht in die Uni 🤍;2022-02-17T10:06:42.000Z;12 likes;-
22;scripturine;Ach, Sophie 🥀 hätten sich die Dinge für Euch doch anders entwickelt! Aber das Forellenquintett, das finde ich auch, ist eine der schönsten Melodien ❤️;2022-02-17T10:02:45.000Z;1 like;-
23;kenko2015;Dein so schöner Brief ist kaum zu ertragen... 😢;2022-02-17T10:00:05.000Z;3 likes;-
24;ellersybille;Was für ein poetisch schöner Brief. Die Beschreibung des Musikstückes ist perfekt gelungen.👍🏻;2022-02-17T09:58:47.000Z;5 likes;-
25;maxi__sun;Kam der brief noch bei lisa an?;2022-02-17T09:57:02.000Z;1 like;-
26;annie_henning_bayern;Macht das nicht morgen. Zu gefährlich;2022-02-17T09:56:39.000Z;3 likes;-
27;dasbinich1982;Wenn ich an morgen denke....😢;2022-02-17T09:53:28.000Z;7 likes;-
28;_helenjael_;Vielen Dank an das Team, das ihr diese Aktion gestartet habt! Ich habe so viele neue Dinge über den Nationalsozialismus und das Leben während des Krieges erfahren (und ich hätte behauptet, ich wusste schon sehr viel). Danke an alle, die auch immer noch weitere Informationen in die Kommentare schreiben! Liebe Sophie, es ist unglaublich wie viel Mut ihr aufgebracht habt. ❤️;2022-02-17T09:53:01.000Z;46 likes;-
29;wakki01;Es ist traurig zu wissen, wie Alles enden wird 😢. So tapfere junge Menschen, die noch das ganze Leben vor sich hatten. Unfassbar aber auch für immer unvergessen...;2022-02-17T09:50:40.000Z;14 likes;-
30;zieglermarkus;Liebe Sophie, es ist schön dasss du in deinem Leben Menschen hast, die du vermisst. Auch wenn es im Moment ein blödes Gefühl ist. Ich muss jetzt leider einige Tage weg und bin nicht sicher, ob ich deine Aktivitäten weiter verfolgen kann. Ich hoffe alles geht nach Plan und falls nicht werde ich dich auf alle Fälle in meinen Gedanken behalten und auch vermissen. Ich kenn dich ja jetzt doch recht gut. Bleibt standhaft. Ideen müssen weiter verbreitet werden. Ich grüsse dich herzlichst. Markus;2022-02-17T09:44:44.000Z;19 likes;-
31;sylviodonner;Morgen am besten mal zu Hause bleiben und die Seele baumeln lassen @ichbinsophiescholl;2022-02-17T09:43:16.000Z;3 likes;-
32;wollke1981;Heute Morgen musste ich sehr schlucken. 17.2. - Wenn ich ein Vöglein wär… so eine starke, hoffnungsvolle Story. Und das Ende vielleicht ahnend, wahrscheinlich nicht. Was ihr tut ist so wichtig, so richtig, so wertvoll - auch für uns. Aber gleichzeitig so falsch für euch. Ihr hättet noch so viel mehr bewegt. Jetzt ist es an uns, durch euch weiter zu bewegen. Ein demütiges Danke.;2022-02-17T09:43:02.000Z;31 likes;-
33;die_jule_g;Ich verneige mich vor deinem Mut liebe Sophie und dem Rest der weißen Rose. Auch dieses Projekt ist so mitreißend und herzergreifend, gerade jetzt. Diese Zeit darf nie in Vergessenheit geraten.;2022-02-17T09:42:40.000Z;27 likes;-
