Link: ;https://www.instagram.com/p/CSUHeeGIznP/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;literaturundwhisky;Für mich der beste Beitrag von Instagram. Vielen Dank r;2021-08-10T11:03:09.000Z;1 like;-
2;we.love.saarland;🤍🤍;2021-08-10T07:19:42.000Z;0;-
3;filli_vanili;Eine kurze Frage: müsste Sophie und ihre Familie eigentlich nicht schwäbeln? 🤔;2021-08-09T17:05:08.000Z;1 like;-
4;schoolsven;🥺❤️;2021-08-09T08:26:46.000Z;1 like;-
5;sven_the_only_one;"...btw: früher hieß es noch ""wegen eines einzigen Satzes""...";2021-08-09T05:59:29.000Z;1 like;-
5-1;julika_lue;@sven_the_only_one heißt es auch heute noch 😅 noch ist der Genitiv nicht tot 🙈;2021-08-11T07:27:18.000Z;0;5
5-2;sven_the_only_one;"@julika_lue nee, aber kannste halt beides sagen. Meine Mudda ist früher noch voll ausgerastet, wenn du ""wegen dem"" gesagt hast.";2021-08-11T08:16:12.000Z;0;5
6;connyvolker;Und es zeigt auf, wie wiederholbar diese grauenhafte Geschichte sein kann 😮😢;2021-08-08T20:59:26.000Z;2 likes;-
7;connyvolker;"Puh.... es fing mehr oder weniger ""harmlos "" an... Woche für Woche entsteht mehr Druck/mehr Ungerechtigkeit.... wie immer man es nennen mag...🙈....";2021-08-08T20:57:54.000Z;8 likes;-
7-1;connyvolker;@connyvolker;2021-08-08T20:58:07.000Z;0;7
8;__lioba__7;Wie gross muss Euer Schmerz gewesen sein, ich fühle mit 😞 .;2021-08-08T20:56:44.000Z;1 like;-
9;palmenzweigria;Ich bin immer wieder tief beeindruckt und bewegt!;2021-08-08T17:40:34.000Z;5 likes;-
10;thisisulle;Jede Woche so aufregend, wie stark ihr alle seid👏;2021-08-08T14:54:12.000Z;2 likes;-
11;zongzonx;Liebe Sophie, *wegen eines einzigen Satzes. 🤗 @ichbinsophiescholl;2021-08-08T14:38:43.000Z;4 likes;-
12;torssten_;Unglaublich was in einer Woche passieren kann;2021-08-08T13:42:41.000Z;2 likes;-
13;hauptstadtlady50;Danke 🙏 für die Zusammenfassung dieser Woche liebe Sophie 🙋‍♀️ 🌞 😍.;2021-08-08T13:39:37.000Z;6 likes;-
14;ichbinjuedin_ichbindeutsche;Danke für die Zusammenfassung der Ereignisse in der vergangenen Woche.;2021-08-08T13:32:11.000Z;11 likes;-
