Link: ;https://www.instagram.com/p/CSkQUuFj6k8/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;torben_hlr;Wenn du glücklich bist, bin ich das auch;2022-01-18T11:26:53.000Z;8 likes;-
2;arisk.prvt;@ichbinsophiescholl Ist der Stoff der Bluse nicht der gleiche wie für das russische Kleid???;2021-09-10T07:18:07.000Z;0;-
3;toastbroad555557;Tik tok vor 80 Jahren;2021-08-28T22:15:46.000Z;0;-
4;baulsche;Seit blos vorsichtig…..ich weiß nicht, ob man ihm trauen kann oder er euch einfach nur auf die Schliche gekommen ist….passt auf euch auf! Wir brauchen euch!;2021-08-18T20:21:10.000Z;0;-
5;peter_kronshagen;"Hi Sophie, schön dich so zu sehen! Ich würde es ein wenig davon abhängig machen, wo er steht. Ist es mehr eine Gemeinde der ""Deutschen Christen "", dann Finger weg und still sein. Das könnte schneller bei der Gestapo landen, als uns lieb ist. Gehört er zu den Gemeinden, die die ""Barmer Erklärung "" unterzeichnet haben, dann taste dich langsam ran und versuche so ein bisschen seine Stellung dazu herauszuhören. Ist er euch zugetan, dann fang langsam an zu erzählen. Immer auf dein Bauchgefühl hören, ob er das alles mitträgt oder zumindest für sich behält. Alles Gute für das Gespräch und pass auf dich auf!";2021-08-17T09:15:11.000Z;0;-
6;bernhardosterwind;Susanne Hirzel hat die Ereignisse in dem Buch „Vom Ja zum Nein“, das Ich zufällig gerade lese, 1998 veröffentlicht. Sehr interessant, diese auch deutlich andere Perspektive zu lesen.;2021-08-17T07:56:50.000Z;0;-
7;yota_motenai;einfach sweet;2021-08-16T20:07:45.000Z;0;-
8;ichbinsophiescholl;"#TeamSoffer Jazz und Swing galten im Nationalsozialismus als „artfremd“ und waren daher unerwünscht. Die Musik jüdischer und schwarzer Musiker:innen wurde verboten, genauso moderne atonale Musik und Musik mit kommunistischem Hintergrund. Jazz und Swing wurden nur dann geduldet, wenn die amerikanische Herkunft vertuscht wurde, dann konnten sie unter Umständen als „stark-rhythmische Musik“ auch im Radio laufen. Das Hören von Feindsendern und ihrer Musik war jedoch strafbar.
Weitere Informationen dazu gibt es unter anderem auf
https://www.dhm.de/lemo/kapitel/ns-regime/kunst-und-kultur/musik.html

Die Musik zur Untermalung unseres Contents stammt nicht aus der damaligen Zeit, wir bedienen uns aber bewusst an Musikstücken, die aus der Zeit stammen könnten und die dementsprechend dann auch verboten gewesen wären.";2021-08-16T13:21:05.000Z;23 likes;-
8-1;sleepingmountains;@ichbinsophiescholl Ach, ich kann mich leider nicht genau erinnern. Aber einmal vor kurzem hat unser Frauenchor ein Jazz Lied aus der Zeit geprobt. Es hatte einen scheußlichen Text. Etwas wie, jede Frau braucht einen Mann. Die Idee für den Chor war, es sarkastisch oder irgendwie lustig zu machen. Ich fand es ber gar nicht lustig und als ich auf Wikipedia damals nachgeschaut habe, war es so ein gereinigtes Jazz, dass damals erlaubt war. Leider fallen mir Total und Komponist nicht mehr ein.;2021-08-18T13:14:11.000Z;0;8
9;rpiakatharina;Du hast so viele schwere Gedanken in letzter Zeit , da freut es mich Dich so heiter zu sehen.;2021-08-16T12:19:24.000Z;0;-
10;christine.keskin.5;👏😍;2021-08-16T09:51:46.000Z;0;-
11;themarcside;Ich bin mir wirklich unsicher, ob die Reichweite und Wirkung eurer Flugblätter in einem guten Verhältnis zum Risiko stehen. Vielleicht lieber im Kleinen helfen als am Großen zu scheitern?;2021-08-16T09:30:31.000Z;1 like;-
12;randomgabslife;Irgendwie habe ich das nicht mitbekommen, aber wieso bist du nicht mehr in München?:) und - tolle Arbeit!;2021-08-16T06:10:42.000Z;0;-
13;jesusloves_romy;A beautiful & inspiring girl. Always.💗💗;2021-08-16T02:09:57.000Z;0;-
14;soy_protein.munt.machine;Hübschi❤️;2021-08-15T22:51:11.000Z;0;-
15;four_sanchez;@luki_louke Das ist auch nur nachgestellt;2021-08-15T22:20:13.000Z;0;-
16;kovacshuni;actress is so in theme :);2021-08-15T22:00:25.000Z;0;-
17;alpenblick33;❤️👏❤️;2021-08-15T21:36:36.000Z;0;-
18;die_freifrau;Diese Leichtigkeit steht dir gut liebe Sophie;2021-08-15T19:41:27.000Z;0;-
19;giraffenohr;auf jedem Fall. Mein Namensvetter ist der Richtige. super, bleib so gut drauf !! 👏;2021-08-15T17:41:56.000Z;0;-
20;sonnenblumegg;Sei vorsichtig 🙏🏼🙏🏼🙏🏼;2021-08-15T17:22:35.000Z;0;-
21;hauptstadtlady50;Genieße diesen leichten Moment liebe Sophie und bleib vorsichtig. 🙋‍♀️🌛🍸.;2021-08-15T16:32:32.000Z;0;-
22;ute_mai_ulm;Es ist schön zu sehen, dass du dich - trotz der grassierenden braunen Pest da draußen - noch freuen konntest und voller Hoffnung warst. Der eigentliche Verräter war ein anderer, dennoch gebe ich vielen hier recht: Vorsicht, wem gegenüber du dich öffnest.;2021-08-15T15:59:19.000Z;0;-
23;anettehaas.offiziell;🙌;2021-08-15T15:20:05.000Z;0;-
24;1.favseries;Schön dich so fröhlich zu sehen;2021-08-15T14:48:51.000Z;0;-
25;jumpin52;Freut mich, dass es dir gut geht;2021-08-15T14:36:34.000Z;0;-
26;freshnfreelikebetty;Das was du tust, ist großartig. Ich wünschte so sehr, dass es ein anderes Ende nehmen würde...;2021-08-15T14:15:05.000Z;0;-
27;enjoy.the.little.moments;💛💃;2021-08-15T12:34:04.000Z;0;-
28;ichbinjuedin_ichbindeutsche;Vielleicht sind Pfarrer Hirzel und Hansi Hirsel in der Tat Verbündete, dennoch bleib vorsichtig.;2021-08-15T12:30:45.000Z;1 like;-
29;anna_gl_art;Da wäre ich mir nicht so sicher ...;2021-08-15T10:52:15.000Z;0;-
30;sebfischer2;"Wer ist eigentlich die Schauspielerin ""Sophie Scholl""?";2021-08-15T10:23:23.000Z;0;-
31;theresahenkes;Bitte bitte sei vorsichtig❤️;2021-08-15T09:02:34.000Z;0;-
32;maxi__sun;Sei vorsichtig!;2021-08-15T09:01:14.000Z;0;-
33;janiman92;Hallo Luna😊;2021-08-15T08:47:20.000Z;2 likes;-
34;emsworld_____;Das klingt doch toll! Aber sei vorsichtig!;2021-08-15T08:44:56.000Z;0;-
35;individualstuff;🔥🥵🥵🥵🥵;2021-08-15T08:35:13.000Z;0;-
36;eve_eve_eve_eve_evelyn;Ich mag dich und alles was deine Freunden für die Wiederstand macht. Ihr seid sehr mutig. Und obwohl ich das Ende schon kenne, wünsche ich dir viel Erfolg und Freude👏❤️;2021-08-15T08:02:08.000Z;0;-
37;lil_kaeppchen;Das Oberteil ist sooo schön, das hätte ich auch gerne 😍;2021-08-15T07:56:59.000Z;0;-
38;myrmichaela;Sei bitte vorsichtig liebe Soohie😮😮😮;2021-08-15T07:53:02.000Z;0;-
39;uberschnacker;Wie detailgetreu ihr das produziert. Das Oberteil sieht dem in der Uni München ausgestellten Original sehr ähnlich. Oder ist es gar das Original? Super!;2021-08-15T07:34:56.000Z;2 likes;-
39-1;rpiakatharina;"@uberschnacker ich hatte Sofie zu der Bluse angeschrieben.
Das war die Antwort:

Hallo! Eine sehr ähnliche Bluse, getragen von Sophie Scholl, liegt im Original in der Ausstellung der Weiße Rose Stiftung in der Ludwig-Maximilians- Universität München, sie wurde zur Verfügung gestellt von Elisabeth Hartnagel. Sie diente unserer Kostümabteilung als Inspiration. Es handelt sich um eine traditionelle osteuropäische Bluse. Liebe Grüße *TeamSoffer";2021-08-16T12:22:40.000Z;1 like;39
40;anja_weberndoerfer;So eine Bluse hatte ich auch schon 😍;2021-08-15T07:17:49.000Z;0;-
41;myrilaub;Ich liebe deine Bluse 😍;2021-08-15T07:06:29.000Z;0;-
42;myrilaub;Ich liebe deine Bluse 😍;2021-08-15T07:04:27.000Z;0;-
43;christian_augu;War jazz und swing damals nicht verboten als musik?;2021-08-15T06:38:48.000Z;1 like;-
44;joe_ricb;Ich finde zwar toll, was du vorhast, aber ich finds zu gefährlich ⚠️;2021-08-15T06:37:59.000Z;0;-
45;miss_almandine;Der insta-Account ist wirklich großartig. Ich bekomme aber eine gänsehaut wenn ich daran denke, dass der Account ja eigentlich durch den Tot von Sophie irgendwann enden müsste. Ich bin gespannt wie das umgesetzt wird.;2021-08-15T06:29:17.000Z;0;-
46;stroppabara;Sei vorsichtig! Wie lange kennst du Hansi?;2021-08-15T05:42:27.000Z;0;-
47;psteenho805;❤️❤️;2021-08-15T05:32:03.000Z;0;-
48;psteenho805;❤️❤️;2021-08-15T05:19:16.000Z;0;-
49;reeft;❤️;2021-08-15T04:13:27.000Z;0;-
50;macphisto_75;Toll!! Tanz' als ob niemand schauen würde. Wo hast du die Bluse her? Sieht aus wie Mode aus den Anden! Weiter so!!!;2021-08-15T01:55:50.000Z;0;-
50-1;rpiakatharina;@macphisto_75 Hallo! Eine sehr ähnliche Bluse, getragen von Sophie Scholl, liegt im Original in der Ausstellung der Weiße Rose Stiftung in der Ludwig-Maximilians- Universität München, sie wurde zur Verfügung gestellt von Elisabeth Hartnagel. Sie diente unserer Kostümabteilung als Inspiration. Es handelt sich um eine traditionelle osteuropäische Bluse. Liebe Grüße *TeamSoffer;2021-08-16T12:23:33.000Z;2 likes;50
50-2;macphisto_75;@rpiakatharina Danke für die Erklärung. Das nächste Mal, dass ich mein Alma Mater @lmu.muenchen besuche, dann schaue ich mal rein!;2021-08-16T23:41:05.000Z;0;50
51;sy_pegah;@daniela.unity Yes😍thank. I saw that for the first time. Thank you again😍😊;2021-08-15T01:46:08.000Z;0;-
52;kilian653;Ich würde auch gerne mal zu diesem musikgenre feiern. Ich glaube das wäre eine total interessante Erfahrung;2021-08-15T00:39:43.000Z;1 like;-
53;amalia.xii;Dein Mut ist inspirierend, Sophie! Ich bin Stolz auf euch! Für die Wahrheit aufzustehen, machen ja generell Wenige👏;2021-08-14T23:37:25.000Z;1 like;-
54;merkch;Warte ab… du musst vorsichtiger sein… du kannst niemanden trauen!😮;2021-08-14T23:16:59.000Z;0;-
55;brusseecharlie;👏👏👏👏🔥🙌;2021-08-14T22:13:56.000Z;0;-
56;danielsprjd;Warum bist du glücklich @ichbinsophiescholl? 😊;2021-08-14T21:58:23.000Z;0;-
57;sockentantesandra;Oh, Himmel... Wenn ich doch bloß das Ende nicht kennen würde... Ihr macht das richtig, RICHTIG gut! Wirklich! Ach, Sophie, wurden du und der Rest der Weißen Rose doch bloß eure Zukunft kennen... 😭😭😭😭😭;2021-08-14T21:31:17.000Z;20 likes;-
58;emeliedorr;bestimmt ist Hansi dabei, er sieht aus als würde er dich sehr mögen ^^;2021-08-14T21:24:44.000Z;1 like;-
59;sonnlinatequila;Was für eine tolle Bluse 👚😍 Wo hast du sie her?;2021-08-14T21:23:01.000Z;7 likes;-
