Link: ;https://www.instagram.com/p/CVuqOlMscrx/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;strandperle1207;Liebe Sophie! Ich kenne es, lieber aktiv zu sein als dabei zustehen und zu zusehen, aber bist Du Dir wirklich bewusst welches Risiko Du eingehst!? Hast Du darüber nachgedacht oder könntest Du vorstellen was passieren wird, falls Du auffallen wirst? Sei weiterhin vorsichtig und werde nicht unvorsichtig wenn es gut läuft!!;2021-11-02T14:00:46.000Z;4 likes;-
2;saskiastabenow;Insgesamt finde ich die Darstellung hier super!👏 Aber die Zigaretten hättet ihr euch auch klemmen können. Vorbild und so... Oder spielen die für die Zukunft noch eine wichtige Rolle?;2021-11-02T07:31:31.000Z;1 like;-
3;marga9891;Du hast großen Mut. Wenn du es schaffst, in so einer heiklen Situation Vertraute zu finden, dann gibt mir das auch Mut. Gottes Segen wünsche ich dir, und dass Er dich überall hin begleitet.;2021-11-02T06:25:15.000Z;1 like;-
4;katrinpruchniewski;"Sei weiter vorsichtig.
Ich denke es gibt viele Menschen, die deiner Meinung sind. Aber auch Angst haben. Und wenn sie zuviel Angst haben, wenden sie sich vielleicht doch ab.";2021-11-02T06:12:07.000Z;1 like;-
5;the_running_mystery;Noch nicht;2021-11-01T21:21:06.000Z;1 like;-
6;brahme.70;So wie ich mich kenne, würde ich vor Angst im Boden versinken als mitzukämpfen. Allerdings, wenn Sachen über waren, wie Papier für Flugblätter, hätte ich sicherlich gespendet. Eventuell auch paar Flugblätter verteilt. So denke ich heute, aber der Angsthase in mir, keine Ahnung.;2021-11-01T18:23:36.000Z;3 likes;-
7;dagmarburrer;Ich drücke ganz fest die Daumen dass alles Gut geht und Du nicht aus Versehen an jemand falsches gerätst. .;2021-11-01T18:07:49.000Z;1 like;-
8;fledervieh;Viel zu unvorsichtig.;2021-11-01T17:41:48.000Z;1 like;-
9;karina_boldys;Du bist so mutig! Respekt!;2021-11-01T16:26:22.000Z;1 like;-
10;gwen_gloeckchen;Nein, Sophie... Du bist mutig und ganz große Klasse! 👏👏👏 Viel Glück mit Otl und auf deiner weiteren Suche nach Blütenblätter für die weiße Rose! 😉🥰🌹;2021-11-01T16:06:09.000Z;15 likes;-
