Link: ;https://www.instagram.com/p/CV2LX8xsAo6/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;yellowweather;Wenn zwei Seelen sich nahe stehen dann wird Körperlichkeit zwitrangig;2021-11-07T20:02:32.000Z;0;-
2;hellwichjustin;🔥;2021-11-06T09:55:17.000Z;0;-
3;veryinsignificantperson;👏👏;2021-11-05T16:44:23.000Z;0;-
4;pattastrophe_allestero;Na klar!;2021-11-05T16:06:47.000Z;1 like;-
5;moon_and_stardust;❤️;2021-11-05T13:24:20.000Z;0;-
6;joanna_syr;Ihre Freundschaft sieht wir eine gut verkettete Verbindung zwischen zwei genisteten Vögeln, die aufeinander passen und vernetzt miteinander umgehen! Ich bin so eifersüchtig auf sie !! 👏;2021-11-05T11:37:15.000Z;0;-
7;ika.wael;Inge kam zu uns in die Schule (Heimsuchung Ettenheim) um von Ihren Geschwistern zu;2021-11-05T11:23:53.000Z;0;-
8;_closest_2_hell_;Natürlich geht das auch zwischen Mann und Frau. Warum auch nicht. Geht auch zwischen Hund und Katz.;2021-11-05T02:55:47.000Z;0;-
8-1;ichbinsophiescholl;@_closest_2_hell_ So sehe ich das auch! Schade, dass nicht jeder Mensch so denkt.;2021-11-05T08:07:14.000Z;1 like;8
8-2;_closest_2_hell_;@ichbinsophiescholl Da hast du recht. Wäre schön.;2021-11-05T08:39:54.000Z;0;8
9;mayasiiri;Ach Otl..du dürftest mich auch heiraten 😄💚;2021-11-04T21:35:11.000Z;1 like;-
10;eve.wirsing;Klar geht das auch zwischen Männern und Frauen, auch wenn das nicht jeder glaubt.;2021-11-04T21:22:45.000Z;0;-
10-1;ichbinsophiescholl;@eve.wirsing Da stimme ich dir voll und ganz zu!;2021-11-05T08:07:59.000Z;1 like;10
11;sofa23492;Interessant, dass Otl später die Hochschule für Gestaltung in Ulm gründete. Da wäre Sophie bestimmt auch gerne hingegangen 😊;2021-11-04T21:17:00.000Z;0;-
12;annie_henning_bayern;Klar geht Freundschaft zwischen Männern und Frauen;2021-11-04T19:25:29.000Z;3 likes;-
12-1;ichbinsophiescholl;@annie_henning_bayern Das sehe ich auch so! Wieso auch nicht?;2021-11-05T08:08:59.000Z;8 likes;12
13;emsworld_____;Klar funktioniert eine Freundschaft zwischen Junge und Mädchen! Da bin ich mir ganz sicher!;2021-11-04T17:50:26.000Z;0;-
13-1;ichbinsophiescholl;@emsworld_____ Da stimme ich dir zu! Mit Otl habe ich eine enge Verbindung auf rein freundschaftlicher und intellektueller Ebene geknüpft. Und das ist sehr schön.;2021-11-05T08:14:01.000Z;5 likes;13
14;lukas.rct;Krass das Otl mal bei Fuck you Göthe mitgespielt hat😂;2021-11-04T17:28:23.000Z;1 like;-
