Link: ;https://www.instagram.com/p/COsqM85qZx2/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;casa_1988;Fuck nazis!;2021-06-20T19:46:23.000Z;1 like;-
1-1;casa_1988;bzw. Scheiss Nazis!!!;2021-06-20T19:48:43.000Z;0;1
2;maltemachtmit;Lol danach wurden wirklich Menschen verbrannt ( Vorsicht bevor jmd flamed das ist schwarzer Humor oder auch ein gottloser Witz lul);2021-05-31T18:40:15.000Z;0;-
3;plasa_gemeinschaft;Kunst und Kultur ist unvergänglich, das werden wir deutlich spüren, wenn Corona sich erstmal wieder verabschiedet hat <3;2021-05-26T16:36:23.000Z;2 likes;-
4;a.lme.a;Ooohhh das tut mir in der Seele weh😢...;2021-05-23T02:24:59.000Z;0;-
5;stefanlorenz73;😮😮;2021-05-22T11:23:29.000Z;0;-
6;harald.koenig84;Gänsehaut.;2021-05-21T08:19:48.000Z;0;-
7;sdeandl;Das Werk meines Urgroßvaters sollte ursprünglich nicht verbrannt werden. Er hat sich dagegen gewehrt.;2021-05-20T04:25:31.000Z;0;-
8;harnek.sp;Vor 9 Jahren? Ich glaub ich komme nicht so ganz mit;2021-05-16T20:38:53.000Z;6 likes;-
8-1;ichbinsophiescholl;"@harnek.sp #teamsoffers
Dieses Projekt holt Sophie Scholl aus den Geschichtsbüchern ins hier und jetzt auf Instagram und hier werden subjektiv aus ihrer Perspektive und in ""Echtzeit"" die letzten 10 Monate ihres Lebens nachempfunden. Es ist sozusagen 1942, daher meint Sophie 1933, wenn sie von vor 9 Jahren spricht.
Mehr Infos zum Konzept und der Entstehung des Kanals findest du über den Link in unserer Bio. :)";2021-05-17T08:29:37.000Z;67 likes;8
8-2;harnek.sp;@ichbinsophiescholl okay danke. Und bist du Schauspielerin oder machst du das weil du aussiehst wie Sophie Scholl?;2021-05-17T12:29:18.000Z;1 like;8
8-3;solens_vaen;@harnek.sp nicht die hellste Kerze oder? Warum folgst du Sophie Scholl wenn du nicht weißt worum es geht?;2021-05-18T18:49:28.000Z;9 likes;8
8-4;harnek.sp;Was willst du;2021-05-18T21:03:11.000Z;0;8
8-5;e_x.dnr;Unnötiger Kommentar von _.real_sugar._. Nicht mal mehr höflich fragen darf man. @harnek.sp Luna Wedler ist Schauspielerin. Im Internet steht so Einiges über das Projekt. Kannst es ja gerne mal nachlesen. 😉;2021-05-19T04:05:37.000Z;24 likes;8
8-6;harnek.sp;@efa9742 Dankeschön;2021-05-19T07:17:45.000Z;3 likes;8
9;o9_sophiee;@ichbinsophiescholl Man kann vielleicht die Bücher verbrennen aber dadurch verlieren wir ihre Geschichten nicht. Pass aber auf dich auf. Es sind harte Zeiten.💘;2021-05-16T16:30:11.000Z;1 like;-
10;aleph12398765;😢😢😢... Traurig... Warum? Ich kann es nicht verstehen. 😭;2021-05-16T11:44:37.000Z;1 like;-
11;tinaostwald;Wie wahr;2021-05-16T06:29:11.000Z;0;-
12;heike_priess;„Bücher verbrennt man nicht, sie sind zum Lesen da!“ meine Oma. V.a. Bei einem mahnte sie, mehr Leute hätten es früher und besser lesen müssen. Ich erinnere mich noch, wie ich mit 11 oder 12 beim Ausräumen ihres Hauses an einigen Schriftstücken aus dem 3. Reich hängen blieb. Die „komischen Comics“ mit dem meiner damaligen Meinung nach „schwachsinnigen Inhalt“ waren Lanzerhefte und auch einige andere Texte führten dazu, dass meine Ma immer wieder stöhnte: „OK! Koch erst mal einen. Tee. Das kann ich dir nicht schnell erklären. Das dauert länger.“ Aber sie hat sich die Zeit immer genommen. Zum Glück wurde in ihrer Familie offen geredet. Nach außen dagegen ... da mahnt sie mich heute noch und wieder zur Vorsicht bestimmte Dinge nicht zu sagen.;2021-05-16T05:19:21.000Z;0;-
13;ohhh.schau.mal;💔;2021-05-14T18:26:33.000Z;0;-
14;marta_und_der_mut;Erzählungen. Dieses Format erreicht auch die junge Generation. Danke;2021-05-14T17:34:47.000Z;0;-
15;marta_und_der_mut;Ich verneige mich vor diesem Projekt . Gerade entdeckt und ich bin gerührt und bewegt von den Bildern u;2021-05-14T17:32:06.000Z;1 like;-
16;antiquarianbooks;„Anstatt die Bücher zu verbrennen, sollten Sie sie lieber lesen“ - Henry Jones;2021-05-14T16:22:26.000Z;0;-
17;salembella20172021;Very sad.😢;2021-05-14T04:36:05.000Z;1 like;-
18;derktoonist;"Das is so einer dieser Post in denen ich nicht die abgebildete Handlung herze aber das woran damit erinnert wird👌🏻 Die ""Feuersprüche"" und allgemein die Rhetorik der Nazis waren bei mir im DE-Leistungskurs mal Thema, vor allem bei letzterem kann ich sehr empfehlen mal n Blick drauf zu werfen, weil es ein Muster aufzeigt, was ich bez. Debatten/Reden sehr wichtig finde, wenn man da vorhat sich selber nicht so schnell mitreißen zu lassen, wie die Typen hier am Feuer☝🏻";2021-05-13T18:24:41.000Z;0;-
19;opredo15;Wie Recht Heinrich Heines hatte!;2021-05-13T14:10:29.000Z;0;-
20;punkerin__1323;Ich liebe dieses Zitat von Kästner sehr .. : wie kann ein Erwachsener seine Jugend so vollkommen vergessen, dass er eines Tages überhaupt nicht mehr weiß, wie traurig und unglücklich Kinder bisweilen sein können? Es ist nämlich gleichgültig ,ob man wegen einer zerbrochenen Puppe weint, oder weil man, später einmal, einen Freund verliert.;2021-05-13T12:21:50.000Z;1 like;-
21;hi_h3nr1k;Ich glaube kaum Das dass vor neun Jahren war;2021-05-13T08:40:09.000Z;5 likes;-
21-1;ichbinsophiescholl;@hi_h3nr1k #teamsoffer Die Bücherverbrennung war am 10. Mai 1933 - aus Sophies Sicht, welche derzeit im Jahr 1942 lebt demnach von 9 Jahren. Sicherlich nicht aus heutiger Sicht vor 9 Jahren, da hast du Recht! Liebe Grüße;2021-05-13T12:12:58.000Z;96 likes;21
21-2;laxra.lmm;@hi_h3nr1k einfach mal ein bisschen denken;2021-05-14T19:28:27.000Z;22 likes;21
21-3;__whosmarina__;@hi_h3nr1k 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️;2021-05-16T11:57:00.000Z;0;21
22;gwen_gloeckchen;Aaaaah😢😢😢 Ich habe Pünktchen und Anton gelesen und es war mein Lieblingsbuch!!!;2021-05-13T08:30:59.000Z;0;-
23;mermaid73es;😢;2021-05-13T08:12:25.000Z;0;-
24;melli_ceb91;Schade, dass dieses Bild dem jetzigem Gaza ähnelt. Nur das dort die Muslimen und Moscheen vernichtet werden. Die anderen Länder sind still - und es wiederholt sich einfach in selber Form ...;2021-05-13T07:48:18.000Z;0;-
25;yccnmmn;Meinst du nicht eher vor 90 Jahren 😅 @ichbinsophiescholl;2021-05-13T07:37:40.000Z;0;-
25-1;iamnanamontana;@yccnmmn nein. Bitte beschäftigen Sie sich ernsthaft mit dem Projekt, dann werden Sie es auch verstehen;2021-06-13T19:00:06.000Z;0;25
26;nira_cole_conqueror;Dank dir lese ich jetzt mal wieder Stefan Zweig, danke für den Anstoß;2021-05-13T07:07:35.000Z;0;-
27;i_chh;"Eigentlich scheue ich mich diesen Vergleich zu machen, aber ab wann ist Kommentare löschen gleich zu setzen mit Bücher verbrennen? Man stelle sich eine Zukunft vor wo Monopole wie Facebook, Instagram, Google, YouTube den gesamten öffentlichen digitalen Raum von unliebsamen Meinungen ""frei halten"". Wir erleben gerade wie die Werbeindustrie eine digitale Überwachungsinfrastruktur aufbaut die von heute auf morgen von einem totalitären Regime zur Totalkontrolle der Bürger missbraucht werden kann. Es gibt einen guten Grund warum Geheimdienste in Deutschland so wenig Befugnisse nach dem zweiten Weltkrieg bekommen haben. Aber diese Lehre aus dem zweiten Weltkrieg, keine Infrastruktur zu haben die von einem totalitären System übernommen werden kann, haben wir vollkommen über Bord geworfen. Wir müssen Erinnerungskultur ganz neu verstehen. Die Gefahr für Demokratie geht heute von der Werbeindustrie aus und der Objektifizierung des Menschen als Datenressource die maximal erschlossen werden soll. Heute werden wir nicht mehr nach Hautfarbe und Schädelform vermessen, sondern durch Algorithmen die dein Verhalten und Denken vorher sagen können. Wenn wir eine echte Erinnerungskultur haben wollen die nicht nur aus Lippenbekenntnissen besteht und sozial akzeptierten Phrasen, müssen wir fragen, welche Strukturen es einem Faschismus der Zukunft ermöglichen groß zu werden. Und das geht nicht indem man eine Menschengruppe idenifiziert die am ehesten den Bildern des alten Totalitarismus entsprechen. Die Objektifizierung und Degradierung des Menschen als Datenressource, die mit den Prinzipien der behavioral Economics in das Verhalten ""genudged/geschubst"" wird - dieses Menschenbild eines Menschen ohne freien Willen der sich nicht selbst seines Verstandes bedienen kann, wird die Quelle des Faschismus des Totalitarismus der Zukunft. Das ist das Erstbeweger-Prinzip das gezogen werden muss bevor es an Momentum gewinnt.";2021-05-13T00:11:00.000Z;2 likes;-
27-1;i_chh;@i_chh https://youtu.be/ZcrnN-A2c60;2021-05-13T00:15:00.000Z;0;27
28;carinazinkeisen;das war eine furchtbare zeit;2021-05-12T18:16:26.000Z;0;-
29;in.love.with.warrior_cats;Da waren auch welche von Sigmund Freud dabei. Wie findest du seine Werke?;2021-05-12T18:05:43.000Z;0;-
30;r3altalkfrendo;Vor 9jahren??? Da stimmt doch was nicht!;2021-05-12T17:59:02.000Z;0;-
30-1;iamnanamontana;@r3altalkfrendo dann verstehen sie das ganze Konzept nicht. Bitte beschäftigen Sie sich mit voller Aufmerksamkeit mit diesem Account .;2021-06-13T18:57:29.000Z;0;30
31;ditho12;❤️;2021-05-12T12:09:29.000Z;0;-
32;karl.napfli1977;Es ist ein phantastisches Projekt. Quasi 'Re-Live' ... und ich frage mich jetzt noch viel mehr als früher: Wie hätte ich reagiert? Hätte ich es gemerkt? Wäre ich aufgestanden?;2021-05-12T10:00:34.000Z;0;-
33;alanplum;"Und wieder wird von Bücherverbrennung geredet ohne anzuerkennen, dass eine der ersten Bücherverbrennungen nicht einfach ""entartete Kunst"", sondern die Forschungsunterlagen des Instituts für Sexualwissenschaften betraf und damit das Verstädnis von Homosexualität, Transidentität und Queerness nahezu 100 Jahre zurückwarf. Das waren nämlich keine Massendruckerzeugnisse, sondern Manuskripte, Akten und wissenschaftliche Unterlagen. Heute noch haben wir mit den Nachwirkungen dieses Verbrechens zu kämpfen und Volksparteien in Deutschland weigern sich noch immer den Menschen in seiner vollen Bandbreite anzuerkennen.";2021-05-12T08:38:10.000Z;0;-
34;nellybochem;Ich suche meine Vater Herbert Neubauwer in 1943 bis 1945 in Nijmegen ich weis nicht of er noch lebt, viele liebe Nelly Bochem der hintername ist van meinen Mutti;2021-05-12T07:48:46.000Z;0;-
35;amicalement14;"Ich kannte das Zitat Heines nicht... aber viele Menschen erkennen Dinge vor anderen.
Bis heute kann ich kein Buch wegwerfen. Dieses schreckliche Ereignis ist tief verankert 😢";2021-05-12T06:38:34.000Z;0;-
