Link: ;https://www.instagram.com/p/CXOrwdEMHoa/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ang.baur;Ja, natürlich!;2021-12-09T23:08:19.000Z;0;-
2;sueffigwuerzigloe;An meiner Grundschule in Berlin haben wir eine Mauer der Erinnerung, die sich jedes Jahr erweitert wenn jede*r 5. Klässler*in einen Ziegelstein für ein Opfer des Nationalsozialismus' setzten. Ich kann mich noch daran erinnern, dass ich mir damals im Register im Rathaus Liane Berkowitz herausgesucht hatte, weil sie in der Roten Kapelle war und ich unbedingt auf die Sophie Scholl Schule wollte. Beides so unglaublich tragische und dabei inspirierende Geschichten von starken und couragierten Frauen, die man wirklich kennen sollte.;2021-12-09T14:22:48.000Z;0;-
3;bin.im.bilde;Die Kuckhoffstraße in Berlin-Niederschönhausen ist nach Adam Kuckhoff benannt. Er war Mitglied der „Roten Kapelle“. Ich bin dort zur Schule gegangen (Friedrich List, heute Max Delbrück). 1987 haben wir ein Theaterstück über die Rote Kapelle aufgeführt, um an Adam Kuckhoff, die „Rote Kapelle“ und auch die Verbindung zur „Weißen Rose“ zu erinnern.;2021-12-09T09:40:24.000Z;0;-
4;brigittesaliastupsi;Und es gibt noch ein informatives Buch dazu: Harro& Libertas;2021-12-09T09:30:42.000Z;0;-
5;brigittesaliastupsi;Ich finde diesen Blog sehr gut gemacht! Ich bin 72 Jahre und in meinem Kinder und Erwachsenen Leben konfrontiert mit sehr vielen Altnazis;2021-12-09T09:27:55.000Z;6 likes;-
6;brigittesaliastupsi;Der Name“ Rote Kapelle „wurde ja benutzt um die Leute zu stigmatisieren. Erst in den Jahren nach 2000 wurden sie überhaupt als Widerstandskämpfer aber anerkannt! So sieht’s mit unserer Verarbeitung der Nazizeit aus!;2021-12-09T09:15:05.000Z;2 likes;-
7;sightseeing_munich;Schön zu sehen, dass es auch andere Widerstandsgruppen gibt. Und erstaunlich, wie viele Menschen da zusammen kommen;2021-12-09T07:49:56.000Z;3 likes;-
8;annie_henning_bayern;Ich habe schon viel von ihnen gelesen. Harro Schulze-Boysen sah gut aus. Er führte mit seiner Frau eine offene Ehe. Leider werdet ihr mit ihnen nie zusammenarbeiten können;2021-12-09T01:40:36.000Z;0;-
9;janka.bu;Cool, dass ihr eure Reichweite auch nutzt, um über andere / weniger thematisierte Widerstandsgruppen aufzuklären!;2021-12-09T00:07:15.000Z;1 like;-
10;sonni_side;Harro und Libertas ❤️ über die beiden und die Rote Kapelle gibt es auch ein ganz tolles Buch.;2021-12-08T23:43:54.000Z;0;-
11;heike_rohmann;Viele wissen nicht, dass die Weiße Rose über Falk Harnack Kontakt zum militärischen Widerstand hatte und ein Treffen in Berlin geplant war, was nicht zustande kam, weil die Weiße Rose vorher aufgeflogen ist. Sie bekamen von den Verschwörern im Militär über Falk Harnack Informationen über Kriegsverbrechen.;2021-12-08T22:46:12.000Z;1 like;-
12;lena.aurnhammer2020;Haben damals die weiße Rose und die rote Kapelle wirklich zusammen gearbeitet und haben die sich getroffen damals?♡;2021-12-08T21:53:10.000Z;0;-
13;doju123456;Gibt es einen Hintergrund für diesen Namen;2021-12-08T21:45:44.000Z;2 likes;-
14;doju123456;Nein von der roten Kapelle habe ich noch nie gehört...wie entstand der name...gibt s ine;2021-12-08T21:45:20.000Z;1 like;-
15;irene.garbe3;Noch nie;2021-12-08T21:12:50.000Z;0;-
16;lalelulore;Die „Rote Kapelle“ kenne ich seit ich in der Schule (vor mehr als 15Jahren) meine Facharbeit in Geschichte darüber geschrieben habe. Wie ich finde, nach wie vor ein ganz spannendes Thema! Wahnsinn, was mutige Menschen damals alles riskiert haben, um für die richtige Sache einzustehen!;2021-12-08T21:07:01.000Z;0;-
17;cptmakke;Wir haben mal als Jugendgruppe nen Projekt samt Film über die Rote Kapelle gedreht. Ich komm aus der Gegend im Schloss Liebenberg, was ja der Familie von Libertad Schulze-Boysen gehört hat. Deshalb is in unserer Ecke die Rote Kapelle auch ganz gut bekannt. Ein paar Mitglieder haben auch in meinen Heimatort gelebt.;2021-12-08T20:09:15.000Z;0;-
18;evie_lu;Ja, und Mildred Fish-Harnack;2021-12-08T20:05:04.000Z;1 like;-
