Link: ;https://www.instagram.com/p/CSlmu6Fo-7y/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;kos.mel;Liebe Sophie...Ulm ist wirklich schön, wir (aus Berlin) waren gestern am Münster und an der Stelle eures Elternhauses...schön muss es gewesen sein, idyllisch...bevor 33 der Wahnsinn ausbrach...;2021-10-13T18:49:22.000Z;0;-
2;christine.keskin.5;❤️;2021-08-16T09:56:35.000Z;0;-
3;stier1967;@sara_aouini : Why don't you have Google translate it ?? I do that all the time with celebrities and their insta stories !!;2021-08-16T00:35:04.000Z;1 like;-
4;cle_lumpi;So im Nachhinein scheint hansi ein bisschen deppert zu sein, aber hindsight is 20/20, so schätzomativ;2021-08-15T23:49:44.000Z;1 like;-
5;sara_aouini;Why it's not translated ?;2021-08-15T17:04:35.000Z;1 like;-
5-1;clauludg;@sara_aouini instead let's learn Deutsch!;2021-08-17T11:16:19.000Z;0;5
5-2;sara_aouini;@clauludg I live in a country where I speak two languages and I need French for school here and I'm still weak and learning so I don't have time to learn deutsch with the work and school and I like this and it would've saved me a lot of time if it was just translated that's all;2021-08-17T12:25:10.000Z;1 like;5
5-3;ichbinsophiescholl;@sara_aouini #TeamSoffer we always post one weekly recap in German and one with English subtitles. You can find the one with English subtitles on the IGTV tab on our profile. It has a yellow cover and is called “My Week.” Hope this helps!;2021-08-18T15:47:40.000Z;4 likes;5
5-4;sara_aouini;@ichbinsophiescholl yes it does help thank you 😍;2021-08-18T16:10:18.000Z;0;5
6;schoolsven;👏❤️😘;2021-08-15T14:43:06.000Z;0;-
7;hauptstadtlady50;Liebe Sophie, danke für den Rückblick auf die vergangene Woche.;2021-08-15T14:34:10.000Z;2 likes;-
8;ichbinjuedin_ichbindeutsche;Danke für diese Zusammenfassung der Woche.;2021-08-15T12:16:47.000Z;6 likes;-
9;_yoga_tanz;Das Recht auf freie Meinungsäußerung ist ein ganz wichtiges Gut, dass auf gar keinen Fall eingeschränkt werden darf;2021-08-15T10:46:46.000Z;6 likes;-
10;gwen_gloeckchen;Vielleicht... Aber pass auf dich auf, ja?❤️;2021-08-15T09:41:32.000Z;11 likes;-
10-1;ichbinsophiescholl;@gwen_gloeckchen Das werde ich, danke dir!;2021-08-15T13:21:29.000Z;6 likes;10
11;ines_s_2;❤️;2021-08-15T09:27:07.000Z;3 likes;-
12;4udi_tt;Noch heute wird uns vorgeschrieben was wir anzuziehen haben und was nicht. Zum Glück gab es schon immer starke Frauen wie du die den Mund aufmachten!;2021-08-15T08:06:47.000Z;16 likes;-
