Link: ;https://www.instagram.com/p/CXLsFCPjbSn/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;karinaxx.0;Dieses Format ist so eine tolle Idee! Verdient viel viel mehr Aufmerksamkeit 🙏🏻🙏🏻;2021-12-08T11:01:20.000Z;5 likes;-
2;girlcalledsilvia;Hallo liebes Team, heute vor 80 Jahren ( oder heute vor einem Jahr) wurde doch Pearl Harbor angegriffen. Hat Sophie das auch mitbekommen? Hat sie sich dazu geäußert?;2021-12-07T21:58:35.000Z;1 like;-
3;alexesawatzkiplasticienne;Ich verstelle mich grundsätzlich nicht. Das bringt mir auch die eine oder andere Klatsche.;2021-12-07T21:15:43.000Z;0;-
4;vireb_1;Sophie, meine Mutter war als junges Mädchen im BDM und hasste es, dazu gezwungen zu werden. Sie musste bei einem deutschen Offizier als Dienstmädchen dienen und hatte großes Heimweh. Nach dem Krieg hat sie mir alles über die Weiße Rose und dein Opfer erzählt. Vielen Dank für alles, was Sie und Ihre Freunde getan haben, um Deutschland zu retten. ❤️;2021-12-07T19:38:37.000Z;10 likes;-
5;jesbenzac8;Viele grüßen dich bestimmt auch aus Angst....;2021-12-07T18:45:57.000Z;0;-
6;fritzchen66;Mir gefällt euer Format wirklich so gut. Ich bin bereits 55 und beschäftige mich seit meiner Jugend mit der NS Zeit. Aber dieses Format stellt alles in den Schatten, es nimmt mich richtig mit. Eine sehr schöne Sache für junge Leute die Vergangenheit erlebbar zu machen. Vielen Dank 🙏;2021-12-07T18:05:17.000Z;18 likes;-
7;katrinpruchniewski;"Au, das fällt mir sehr schwer mit zu verstellen.
Eigentlich bin ich immer ich.
Das muss echt anstrengend sein, sich so zu verstellen.";2021-12-07T16:15:43.000Z;1 like;-
8;kettequer;Ich finde dieses Format hier so wichtig, so richtig, so viel mitzuerleben von Sophie. Und doch ist das Ende nah 😢.;2021-12-07T15:24:36.000Z;16 likes;-
9;feeligran;Ich finde es so spannend und bin jetzt schon traurig, wenn am 22.02.22 alles enden könnte 😔;2021-12-07T13:59:15.000Z;21 likes;-
10;fraunora.h;Eine Frage zum Verständnis, #TeamSoffer. Ihr kommentiert ja oft, die damalige Zeit sei mit der heutigen nicht zu vergleichen. Gleichzeitig ladet ihr in euren call to actions ein, dass User:innen ihre Erfahrungen im Hier und Jetzt mit der damaligen Situation in Relation setzen. Führt das nicht automatisch dazu, dass man versucht ist, die damalige mit der heutigen Zeit zu vergleichen und dabei die Umstände außen vor zu lassen?;2021-12-07T13:33:22.000Z;31 likes;-
11;ichbinsophiescholl;"#TeamSoffer Sophie steckt sich hier ein Mitgliedsabzeichen der NSDAP an, das man für Parteizugehörigkeit erhielt. Sophie Scholl war als Jugendliche im Bund Deutscher Mädel (BDM) und trug dabei vermutlich die entsprechende Kleidung, so war auf der sogenannten „Bundestracht” auch ein Hakenkreuzabzeichen angebracht. ⁠
Es ist nicht belegt, woher die Weiße Rose tatsächlich die Briefmarken bezogen hat.";2021-12-07T13:05:51.000Z;153 likes;-
