Link: ;https://www.instagram.com/p/CTm8mMhI6hO/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;m.ratering;🔥🔥;2021-09-11T14:23:44.000Z;0;-
2;ines_s_2;Obwohl ich in der Schule mal fünf Jahre lange Russisch gelernt habe, ist leider nicht mehr viel davon übrig geblieben. Die Sprache hat mich aber beeindruckt.;2021-09-10T11:30:00.000Z;2 likes;-
3;matrjoeshka;Molodez/молодец. Gut gemacht :);2021-09-10T09:59:32.000Z;1 like;-
4;netratz;🔥❤️;2021-09-10T08:36:47.000Z;0;-
5;laki_luciana_montana89;Oci cornije ein wunderschönes Volkslied schwarze Augen;2021-09-10T06:23:47.000Z;2 likes;-
6;xandi49;Ты откуда-Woher kommst du? Ist auch nützlich.;2021-09-10T05:59:36.000Z;1 like;-
7;xandi49;Меня зовут Зофи а как тебя зовут.Ich heiße Sophie und wie heißt du? Zum Beispiel 😍;2021-09-10T05:58:15.000Z;1 like;-
8;nickykelly34;Nitschewo- nix gar nichts…. Ein Wort das ja leider in der Zeit häufiger zu hören ist. Gibt ja nix. Nitschewo …..;2021-09-09T23:42:17.000Z;1 like;-
9;a.lex271;Rabotaju wirst du dort sicherlich hören. Vielleicht auch dastatischne!;2021-09-09T22:20:14.000Z;1 like;-
10;leon_fischer_12;Мир - Frieden;2021-09-09T21:01:04.000Z;1 like;-
11;saskovic;"Liebe Sophie, die Worte die ich ihnen sagen möchte sind: ""Благодарю вас""
Ich danke Ihnen für Ihren Mut und damit Ihre Botschaft für denn Zukunft. 🙏";2021-09-09T20:47:20.000Z;1 like;-
12;sanddornbeerle;Drug 🤗;2021-09-09T20:37:12.000Z;0;-
13;duringstefanie;Спасибо=Danke;2021-09-09T20:28:09.000Z;1 like;-
14;liia.juu;Мечта / мечты - Тaum / Träume 🤍;2021-09-09T20:11:54.000Z;2 likes;-
15;sa_whaaat;War Sophie wirklich so an der russischen Kultur und Sprache interessiert? Die Russen waren ja auch nicht gerade die angenehmsten Eroberer in z.B. Polen oder haben ihre eigenen Bevölkerung heftigst unterdrückt.;2021-09-09T19:59:55.000Z;1 like;-
16;trompetenerna;друг/подруга- Freund/ Freundin. я люблю- Ich mag/ Ich liebe;2021-09-09T19:58:11.000Z;5 likes;-
17;rumpelpumpel72;Druschba - Freundschaft!;2021-09-09T19:51:50.000Z;3 likes;-
18;ankegopfert;Meine Nichten hatten Russische in der Schule fanden es nicht so tolle.;2021-09-09T19:45:11.000Z;1 like;-
19;brombeer_eis;Es tut mir leid - Мне жаль bzw Mne Zhal' (hoffe, das stimmt so);2021-09-09T19:34:04.000Z;3 likes;-
20;giusy79_;Alles wird gut! ❤️🙌;2021-09-09T19:10:44.000Z;1 like;-
21;emsworld_____;"Ich weiß leider nicht, wie man es schreibt, nur, wie es gesprochen wird, aber über ein „Wie geht es dir?“ würden sich die Fabrikarbeiter*innen sicher freuen
[Ausgesprochen: kag de ua?]";2021-09-09T19:03:13.000Z;1 like;-
21-1;lara_hoffmann0612;@emsworld_____ как дела? 🙂;2021-09-09T19:17:52.000Z;3 likes;21
21-2;emsworld_____;@lara_hoffmann0612 Danke❤️;2021-09-10T08:17:12.000Z;1 like;21
22;sume555;"Ich muss Dir was erzählen. Ich hatte eine einzige Stunde Russisch in meinem Leben. Ich merkte mir komischerweise zwei Sätze, die übersetzt „wo ist die 🐈‍⬛, da ist die 🐈‍⬛“ heißen. Sinnfrei - zugegeben. Ich vergaß sie trotzdem nicht.
Irgendwann war mein Vater im Krankenhaus, bei ihm war ein Mann aus Armenien. Es ging ihm sehr schlecht. Er schien mit mir reden zu wollen, aber ich verstand ihn nicht. Er hatte Kehlkopfkrebs, einen Luftröhrenschnitt. Es ist schwer, sich dann zu verständigen, aber er wollte dann auch noch Russisch reden. Ich redete mit Händen und Füßen - und gab ihm zu verstehen, dass ich nur zwei Sätze sagen könne. Die sagte ich dann und er lachte richtig.
Später hörte ich, niemand könne ihm helfen, er sei in der Sterbephase, habe Angst.
Mir wurde klar, warum ich die zwei Sätze nicht vergessen hatte. Ich sollte einem Sterbenden ein Lachen schenken.";2021-09-09T18:45:20.000Z;214 likes;-
22-1;fenster.nach.israel;🧡 wie bewegend.;2021-09-09T20:09:11.000Z;9 likes;22
22-2;angelia_mnts;@fenster.nach.israel so ziemlich alles im Leben ist für irgendetwas gut. Tolle Geschichte!!;2021-09-09T20:31:30.000Z;12 likes;22
22-3;fenster.nach.israel;@angelia_mnts 😍;2021-09-09T20:40:15.000Z;3 likes;22
22-4;nickykelly34;Wie unfassbar rührend !!!!!!!!!!;2021-09-09T23:44:36.000Z;6 likes;22
22-5;r.michi.mieze;🌻🌻🌻;2021-09-09T23:59:18.000Z;3 likes;22
22-6;sarah.comma;Hast mich gerade zu Tränen gerührt! Danke, dass du dieses Erlebnis mit uns teilst ❤️;2021-09-10T08:57:07.000Z;11 likes;22
22-7;makethisahome;Wow, was für eine schöne Geschichte! Und witzigerweise sind es gerade die zwei Sätze, die auch bei mir hängen geblieben sind. Wir hatten wohl die gleiche Stunde 😂 später hab ich noch ein paar Wörter mehr gelernt, aber die Katze bleibt.;2021-09-10T10:53:20.000Z;8 likes;22
22-8;sume555;@makethisahome das ist ja witzig;2021-09-10T17:50:22.000Z;0;22
22-9;dodobird1402;Wunderschön dein Fazit 😍;2021-09-15T15:23:12.000Z;1 like;22
23;cocoinaction;Feuerwerk = фейерверк;2021-09-09T18:40:08.000Z;3 likes;-
23-1;ljs3_01;@cocoinaction Also Fejerverk ?;2021-09-10T00:51:11.000Z;1 like;23
23-2;cocoinaction;@ljs3_01 ja :);2021-09-10T07:55:51.000Z;2 likes;23
24;clemenskropp;красотка - schöne Frau красавец - schöner Mann;2021-09-09T18:24:54.000Z;3 likes;-
25;ferrero6571;«Перемены! Мы ждём перемен!»;2021-09-09T18:16:49.000Z;1 like;-
26;once.upon.a.time.in.berlin;Priwjet (привет) = Hallo! Guten Tag!;2021-09-09T18:16:30.000Z;2 likes;-
27;xxblackl;Hallo wie geht's dir tschüss bis morgen hast du Hunger wie heißt du kann ich dir helfen wo wohnst du;2021-09-09T18:12:03.000Z;1 like;-
28;sl0371;Kak tebja sowut? =Wie heißt du? Menja sowut Sophie. =Ich heiße Sophie. Spassiba= Danke Paschalista =Bitte;2021-09-09T18:11:40.000Z;8 likes;-
28-1;sl0371;@sl0371 Chleb= Brot;2021-09-09T18:12:03.000Z;1 like;28
28-2;sl0371;@sl0371 Mehr fällt mir leider nicht mehr ein.;2021-09-09T18:12:43.000Z;0;28
29;georg_irv;„Ja mogu tjebe pomotsch“ = ich kann dir helfen;2021-09-09T18:00:27.000Z;7 likes;-
29-1;georg_irv;@georg_irv „ostoroschno“ „aufpassen“;2021-09-09T18:02:44.000Z;2 likes;29
30;tanisha.cspr;zarya - sonnenaufgang und zvezda - stern🌅⭐;2021-09-09T17:57:16.000Z;2 likes;-
31;lisa_dechant;"Liebes SWR und BR Team! Vielen Dank für diese tolle Aufklärungsarbeit über Sophie Scholl und die Weiße Rose! Ich hätte eine kleine Frage/Bitte: Wäre es vielleicht möglich, unter den Beiträgen kurz zu erwähnen, ob sich der Inhalt des Beitrags wirklich zur damaligen Zeit abgespielt hat?

wie z.B. die Bücher mit den Namenslisten von Professor Muth";2021-09-09T17:53:52.000Z;77 likes;-
31-1;tu__bay;@lisa_dechant würde ich mir auch wünschen;2021-09-09T19:28:45.000Z;5 likes;31
31-2;heikegumz;"@lisa_dechant Hans und Sophie hatten zu diesem Zeitpunkt über Prof. Muth bereits viele Menschen kennengelernt, ""die – wie sie selbst - zutiefst besorgt waren über die Zustände in Deutschland, Philosophen, Autoren und Freigeister"" (aus der Biografie von Gottschalk, 2021, S. 224), mit denen sie also auch NS-kritische Fragen offen diskutieren konnten: In ganz realen Treffen in Muths Villa oder indem Muth ihnen den Kontakt hergestellt und sie diese Menschen besucht hatten. So kamen sie z. B. in Kontakt zu Theodor Haecker, Sigismund von Radecki, Josef Furtmeier und einigen anderen.
Diese Treffen haben schon in Sophies 1. Studiensemester stattgefunden, sind hier aber nicht erzählt worden. D.h. Muth hatte bereits ""jetzt"" eine Rolle gespielt in der Vernetzung der Geschwister Scholl und ihrem Freundeskreis zu anderen, sie in ihrer Haltung inspirierenden Menschen. Eine geheime Liste war da jedoch nie notwendig. Aber vllt. hat #TeamSoffer ja noch andere Quellen/Infos?";2021-09-11T06:32:42.000Z;4 likes;31
31-3;lisa_dechant;@heikegumz Vielen Dank! 🙏;2021-09-11T07:53:50.000Z;1 like;31
32;r.michi.mieze;"Der erste Satz, den ich auf Russisch gelernt habe, ist ""ja ustala"" (я устала) und bedeutet: ich bin müde. Aber das passt gar nicht gut... Echt müde sind bestimmt die Russen in der Fabrik. 😢😢😢";2021-09-09T17:51:51.000Z;22 likes;-
32-1;ichbinsophiescholl;@r.michi.mieze Oh ja. Aber vielleicht hilft es mir, die russische Zwangsarbeiterin zu verstehen, wenn sie das sagt!;2021-09-09T17:56:39.000Z;41 likes;32
32-2;tonkssalander;"Das klingt etwas wie Schwedisch ""jag är tröt"" - ich bin müde :D";2021-09-10T19:05:44.000Z;2 likes;32
33;nastja_poppner;Надежда - Hoffnung;2021-09-09T17:49:20.000Z;45 likes;-
33-1;r.michi.mieze;@nastja_poppner das beste Wort! 🌸;2021-09-09T17:56:30.000Z;5 likes;33
33-2;ichbinsophiescholl;@nastja_poppner Ist notiert! 📝;2021-09-09T17:57:06.000Z;34 likes;33
33-3;nastja_poppner;Ja 👍;2021-09-10T08:06:29.000Z;0;33
34;russianreem5;Podderzka (поддержка) Unterstützung ❤️;2021-09-09T17:35:12.000Z;38 likes;-
34-1;ichbinsophiescholl;@russianreem5 Eine gute Wahl!;2021-09-09T17:39:31.000Z;11 likes;34
35;josinepouwels;Sophie spricht selbst von eine verschlüsselte Namensliste. Ich frage mich dasselbe wie kathafuer;2021-09-09T17:33:30.000Z;2 likes;-
36;ksenia_me.x;Lubov ❤️ - Liebe;2021-09-09T17:27:49.000Z;42 likes;-
36-1;ichbinsophiescholl;@ksenia_me.x Setze ich mir auf die Liste 📝;2021-09-09T17:39:58.000Z;15 likes;36
37;herrhirsche;Я помогаю тебе!;2021-09-09T17:26:28.000Z;6 likes;-
38;val3_cl;Russisches Sprichwort: 👏Работа не волк, в лес не убежит. Die Arbeit ist kein Wolf: sie läuft nicht in den Wald davon.;2021-09-09T17:15:47.000Z;47 likes;-
38-1;ichbinsophiescholl;@valeriu_clim Wie wunderbar, das werde ich bestimmt in der Fabrik mal sagen!;2021-09-09T17:20:40.000Z;13 likes;38
38-2;kathafuer;@valeriu_clim Heißt das dann, man soll sich nicht stressen (lassen)?;2021-09-09T17:35:41.000Z;4 likes;38
38-3;val3_cl;@kathafuer in dieser Art, als Antwort für Davaj Davaj! Wenn jemand immer unter Druck arbeitet dann kann er das verwenden.;2021-09-09T18:08:33.000Z;9 likes;38
39;katharina.helling;Wieso gab Muth Sophie den nicht auch gleich den Schlüssel für den Code?;2021-09-09T17:14:57.000Z;3 likes;-
39-1;selina_395;@zuagroastebayrischeschwaebin denke das wäre zu riskant gewesen, wenn die Bücher und der Schlüssel gefunden worden wären;2021-09-09T17:28:55.000Z;3 likes;39
39-2;katharina.helling;@selina_395 auch mündlich? Sie war ja bei ihm und er gab ihr die Bücher in die Hand (wenn auch nur fiktiv);2021-09-09T17:37:18.000Z;1 like;39
39-3;katharina.helling;@selina_395 also ich meine er hätte es ihr ja sagen können. Oder soll das darauf anspielen, dass er ihr nicht vertraut hat?;2021-09-09T18:19:13.000Z;1 like;39
39-4;selina_395;@zuagroastebayrischeschwaebin das dachte ich mir auch, aber in der Zeit wird man wohl nie gewusst haben wer was hört und ich denke er wusste, dass Sophie das raus bekommt;2021-09-09T18:20:18.000Z;2 likes;39
39-5;katharina.helling;"@selina_395 danke für die Idee. Aber so ganz schlüssig wirkt es auf mich nicht; in der zerbombten Villa, mit verbotenen Büchern werden ja nicht allzu viele unbekannte gewesen sein.. ansonsten hätten sie direkt schon ein Problem gehabt..";2021-09-09T18:26:07.000Z;3 likes;39
39-6;selina_395;@zuagroastebayrischeschwaebin stimmt auch wieder. Aber da sieht man Mal wieder, wie wenig man eigentlich über so wichtige Personen weiß.;2021-09-09T20:21:57.000Z;2 likes;39
39-7;katharina.helling;@selina_395 mich würde da tatsächlich die Erklärung interessieren, weil es ja (mind in großen Teilen) fiktiv ist.. und Fiktion verrät ja nicht direkt was über die Personen, erst recht wenn unklar ist, warum man sie so handeln lässt.. oder?;2021-09-09T20:39:34.000Z;3 likes;39
39-8;selina_395;@zuagroastebayrischeschwaebin da geb ich dir voll und ganz Recht;2021-09-09T21:47:55.000Z;2 likes;39
40;herzensmamale;Freund, Hoffnung, Frieden, Zusammenhalt, Danke, Bitte, Gut, Hilfe, ❤️;2021-09-09T17:14:13.000Z;27 likes;-
40-1;ichbinsophiescholl;@herzensmamale Eine gute Liste! 🍀;2021-09-09T17:21:21.000Z;13 likes;40
41;c_zum_a;Dawai;2021-09-09T17:12:36.000Z;8 likes;-
41-1;schizian;@ichbinsophiescholl „Los“ oder „Vorwärts“ (:;2021-09-09T17:19:43.000Z;2 likes;41
41-2;0lven;"@ichbinsophiescholl, ""Los""";2021-09-09T17:20:29.000Z;1 like;41
41-3;katharina.helling;@ichbinsophiescholl spricht Sophie nicht einigermaßen russisch? Das Wort ist ja eines der Wörter, die man doch sogar am ehesten kennt, auch wenn man kein russisch spricht.;2021-09-09T17:21:16.000Z;5 likes;41
41-4;fabriziavonv;"@ichbinsophiescholl ""leg los"" sagt mein Mann.. (Ukrainer) ""tschüss "" wörtlich übersetzt ""gib mir"" hat wohl mehrere Bedeutungen..";2021-09-09T17:21:34.000Z;4 likes;41
41-5;kathafuer;@zuagroastebayrischeschwaebin Denke ich auch. Ich kenne es auch als „mach endlich (schneller)“. Daher vielleicht nicht ganz passend für Zwangsarbeiter in der Fabrik;2021-09-09T17:39:53.000Z;9 likes;41
41-6;r.michi.mieze;@giancarlobohlert ???;2021-09-09T17:41:31.000Z;1 like;41
41-7;r.michi.mieze;"@ichbinsophiescholl Friedrich hat das am 28.08 ein paar mal geschieren, als du eine Pause gemacht hast... Also, das Wort bedeutet ""los""... Ich finde voll gemein, dass jemand dir genau dieses Wort empfiehlt. 😡";2021-09-09T17:44:45.000Z;7 likes;41
