Link: ;https://www.instagram.com/p/CX1UDwnMWc6/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;kunsttherapieemsland;Das klingt nach einer schönen Tradition. Normalerweise trifft sich die gesamte Familie immer an Weihnachten bei den Großeltern. Leider ist ihnen das mittlerweile zu anstrengend, dabei haben wir alle das immer genossen. In diesem Jahr ist es nochmal schwieriger als sonst und im letzten Jahr konnten wir uns gar nicht sehen. Dabei würden meine Großeltern sich so freuen, mehr von den Urenkeln zu haben. Aber unsere Situation ist kein Vergleich zu deiner/eurer. Bei euch kommt sicher eine große Angst dazu.;2021-12-25T21:35:06.000Z;0;-
2;einafets.weigand.9;❤️;2021-12-25T16:20:59.000Z;0;-
3;chaosqueen.1974;Liebe Sophie, ich wünsche dir ein schönes Weihnachtsfest und vielleicht findest du ein bisschen Ruhe! 🎄❤️🙏🏼✨Ihr habt Lametta am Christbaum, das finde ich besonders schön! Meine Oma (Jahrgang 1906)hatte eine Eselsgeduld beim Lametta aufhängen, sie stand oft 3 Stunden vor dem Baum und hing Faden für Faden auf. Natürlich wurde es immer wieder verwendet und wenn es arg verbogen war, hat sie es wieder gebügelt. Und das richtige Lametta fehlt mir, genau wie meine Oma, die Weihnachten auch gern mochte. Und meine Oma beschenkte jeden gleich, jeder bekam von ihr 20 DM zu Weihnachten, für mich als kleines Kind waren natürlich 20 DM eine Sensation, meine Eltern oder mein Onkel sahen das als Erwachsener natürlich anders.... Aber die Geste zählt natürlich!!! 😘👍🏼Und der Gang zu Christmette und die Weihnachtsgans am 1.Weihnachtsfeiertag waren natürlich Tradition. Und ich finde manche Traditionen wichtig, dann verlieren wir uns vielleicht nicht in schwierigen Zeiten.... In diesem Sinne, pass auf dich auf und alles Gute für euch! 🙏🏼✨🎄❤️;2021-12-25T07:17:24.000Z;6 likes;-
4;maybluemchen66;Vormittag Baum schmücken, früher mit Hilfe der Kinder,, 16 Uhr Gottesdienst, 18 Uhr Abendessen, 19 Uhr Bescherung mit Würfel ( 1 und 6 darf ein Geschenk holen, in Ruhe auspacken...), 20:30 Spiele spielen, früher Lego bauen... - so in etwa läuft der Heiligabend ab.;2021-12-24T23:44:02.000Z;0;-
5;heejessica;Frohe Weihnachten 🙌 🎄🎅;2021-12-24T19:38:21.000Z;1 like;-
6;__marisa.____;Ich wünsche dir und deiner Familie frohe Weihnachten, genießt die Zeit zusammen 🎄🕯⭐;2021-12-24T15:10:55.000Z;1 like;-
7;giusy79_;Frohe Weihnachten 🌲 🎅 🌟;2021-12-24T14:26:19.000Z;0;-
8;roswithazenker;Genießt das Weihnachtsfest ganz besonders. Denn ihr wisst nicht den Tag ... ein gesegnetes Weihnachtsfest!;2021-12-24T14:23:30.000Z;0;-
9;engelchenve;Frohe Weihnachten Sophie ❤️;2021-12-24T14:21:11.000Z;0;-
10;tina_eckert_;Frohe Weihnachten 🎄;2021-12-24T14:04:47.000Z;0;-
11;changed.by.popular.demand;Liebes #teamsoffer @ichbinsophiescholl ein schönes Weihnachtsfest euch!;2021-12-24T13:02:02.000Z;1 like;-
12;gidi.kalchhauser;wunde Finger vom Klavier- und Flötespielen, lol;2021-12-24T13:01:25.000Z;0;-
13;johannakarotaki;Früher war mehr Lametta!!!;2021-12-24T12:58:29.000Z;5 likes;-
14;changed.by.popular.demand;Na, Soffer-Community, was macht ihr gerade so? Letzte Geschenke einpacken? Hoffentlich ist das das letzte Corona-Weihnachten!;2021-12-24T12:55:30.000Z;0;-
15;chinguri.de;An das ganze Team von SWR und BR, herzlichen Dank für dieses aussergewöhnliche Projekt, in dem sicher viel Arbeit steckt. Vergleichbares habe ich bisher (in den sozialen Medien) noch nicht gefunden! Alles Gute Sophie, ich werde dich weiter begleiten und wir folgen!;2021-12-24T11:18:01.000Z;0;-
16;smalltalk201;Ihr habt ein wirklich schönes Weihnachtsfest ❤️ Als Kind war mir die Singerei immer lästig, heute vermisse ich es. Ob wohl viele Eltern mit ihren Kindern diese alten Weihnachtsbräuche noch pflegen? Schön wärs...;2021-12-24T09:42:16.000Z;0;-
17;rosenfeld.mandy;Ein wunderschönes Weihnachtsfest! ✨🎄;2021-12-24T09:42:00.000Z;0;-
