Link: ;https://www.instagram.com/p/CYn8y9bMu2r/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;sahranelli;Mich würde interessieren, wie Gisela und allgemein die Familie auf die Verurteilung von den Dreien reagiert haben. Ich mein Gisela und andere wussten bestimmt von der weißen Rose. War dann alles vorbei oder ging es still und heimlich weiter?;2022-02-22T16:28:40.000Z;0;-
2;austinemobor5;Nice one❤️❤️;2022-01-13T18:37:12.000Z;0;-
3;masson4733;Schloss Nymphenburg vielleicht?;2022-01-12T20:05:30.000Z;0;-
4;sjoerdhart;Helaas lukt het vertalen niet altijd;2022-01-12T18:26:07.000Z;0;-
5;sohamue76;Wie wäre es mit einem Besuch in Hellabrunn 🦍🐯🦁🐘🦏;2022-01-12T13:01:32.000Z;0;-
6;sharwyn_noctule;"den chinesischen Turm und auf jeden Fall den Monopterus, schöne Aussicht von dort oben und hoffentlich keine neugierigen ""Ohren"".";2022-01-12T12:22:25.000Z;0;-
7;eurofront;🇪🇺;2022-01-12T12:00:22.000Z;0;-
8;mick7059;❤️;2022-01-12T11:13:19.000Z;1 like;-
9;thiloinsta;Hoffentlich werden die Verantwortlichen für diesen ganzen Nazi - Terror irgendwann ihre gerechte Strafe bekommen!!!;2022-01-12T11:11:25.000Z;0;-
10;katharina.helling;Wieso möchtest Du Gisela eigtl irgendwann sicher einweihen? Hast Du den Eindruck sie möchte auch etwas gegen das Regime tun? Hast Du das mit den anderen schon besprochen? Betrifft ja dann alle. Du fandest ja hier auch nicht gut, dass Hans einfach Willi mitgebracht hat.;2022-01-12T10:46:13.000Z;11 likes;-
11;monikamarchlewski;Vielleicht solltet ihr Mal in die Natur gehen. Das lenkt euch, besonders dich ab. Die Gedanken verändern einem ins Positive. Sorgen und Nöte werden für diese Zeit ausgeblendet.😍;2022-01-12T10:36:15.000Z;26 likes;-
12;moet1711;Die Oper im Nationaltheater.;2022-01-12T10:24:33.000Z;1 like;-
13;gwen_gloeckchen;Die Orte an denen du glücklich bist, liebe Sophie! 😉;2022-01-12T10:09:58.000Z;5 likes;-
14;heikegumz;"Tagebuch Sophie Scholl, 12.1.43
""Die Prädestination und der freie Wille, diese beiden anscheinend nicht vereinbaren Gegensätze – jetzt machen sie mir eigentlich nicht mehr viele Schmerzen, obwohl ich sie so wenig erklären kann wie vorher. Daß Gott allwissend ist, daran glaube ich, und die notwendige Folgerung daraus ist, daß er auch von jedem einzelnen weiß, was nach seiner Zeit mit ihm ist, und von uns allen weiß, was nach der Zeit ist. Dies verlangt auch seine Eigenschaft als unendlicher Gott.
Meinen freien Willen fühle ich, wer kann ihn mir beweisen! Doch, was ich nicht verstehe, ist die Hölle, der Lazarus im Schoße Abrahams, der dem Reichen in der Hölle den Tropfen kühlenden Wassers aus seiner unendlichen Fülle verweigert.
Ich glaube, es ist schon ein Unterschied zwischen Vorbestimmen und Vorauswissen. Vorbestimmung läßt sich für mich viel schwerer, fast gar nicht mehr eigentlich, mit dem freien Willen vereinbaren. Vorherwissen viel eher, obwohl es noch unbegreifliches Geheimnis bleibt. Übrigens ist ""Vorherwissen"" menschlich gesprochen, da Gott ja nicht an unsre Zeit gebunden ist, man müßte die Vorsilbe ""Vorher"" streichen und nur Wissen sagen.""";2022-01-12T09:25:30.000Z;29 likes;-
15;katrinpruchniewski;"Vielleicht deine Freunde.?
Zusammen einen Tee trinken?";2022-01-12T09:14:24.000Z;4 likes;-
16;katharina.helling;".
🗓 12.01.1943

◼️ Italien/Griechenland

Gesandter Altenburg informiert seinen italienischen Kollegen, daß Deutschland die Abschiebung der Juden aus Griechenland ins Generalgouvernement plant. Juden italienischer und neutraler Staatsangehörigkeit würden davon aber nicht betroffen. (Benz, Dimension, S. 252)

〰️
Quelle:
http://www.holocaust-chronologie.de/chronologie/1943/januar.html";2022-01-12T09:14:22.000Z;21 likes;-
17;das_datum;Heute ist Mittwoch der 12.01.2022;2022-01-12T09:10:42.000Z;12 likes;-
18;giusy79_;Mit besten Freunden zu reden, ist besser als jede Therapie. ❤️;2022-01-12T09:06:44.000Z;11 likes;-
19;changed.by.popular.demand;Vielleicht die ganzen Gebäude, mit denen das Naziregime München so vollgepflastert hat. Alternativ vielleicht mal ins nahegelegene Dachau spazieren gehen, da steht seit 22. März 1933 ein Konzentrationslager.;2022-01-12T09:03:03.000Z;15 likes;-
20;ichbinsophiescholl;#TeamSoffer Gisela Schertling war bereits ab Dezember 1942 in München, dabei stellte ihr Sophie auch schon Hans Scholl vor. Mit dem Wintersemester 1943 studierte sie Philologie in München und wohnte in der Lindwurmstr. 13. Sie verbrachte schnell sehr viel Zeit mit Sophie und ihrem Bruder Hans Scholl, mit dem sie eine Beziehung einging.;2022-01-12T09:00:54.000Z;226 likes;-
