Link: ;https://www.instagram.com/p/CT_ui7lIFG8/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;tim.frc;Hallo sophies, ich hoffe dich eine schöne Geburtstags und ich hoffe dass es geht dir gut und dans es geht gut in school.;2021-11-24T07:35:35.000Z;0;-
2;annie_henning_bayern;Weiß der Friedrich, was man mit Menschen, wie ihn, gemacht hat? Und wie kann man stolz auf Soldaten sein? Kein Krieg wäre mir lieber gewesen.;2021-09-19T20:57:13.000Z;0;-
3;giusy79_;Du bist eine Kämpferin Sophie, obwohl dich diese ganze Situation belastet und dir Angst macht, gibst du niemals auf! 🙌❤️;2021-09-19T14:51:19.000Z;3 likes;-
4;ines_s_2;❤️🔥;2021-09-19T11:04:42.000Z;0;-
5;katharina.helling;"Statt einer Besuchserlaubnis, die nur sehr sehr selten gewährt wurde, hatte Robert Scholl aus unbekannten Gründen die Sondererlaubnis, die „Frankfurter Zeitung“ lesen zu dürfen - die Lina, Inge und Sophie im täglichen Spaziergängen zum Gefängnis bringen.

Am 05. Oktober bekam Lina Scholl die Briefe an Robert zurück. Derartig ‚zusammengedrängte Briefe‘ seien nicht zulässig: „Der Zensurbeamte habe noch anderes zu tun, als solch schwer leserlich geschriebene Briefe zu entziffern.“ Zurück ging auch die Frankfurter Zeitung - „wird nicht mehr zugelassen.“ Lina Scholl wollte dies nicht auf sich sitzen lassen u d sich schweigend der Willkür beugen: in einem Brief vom 07. Oktober an das Gefängnis schrieb sie, sie bitte um Entschuldigung wegen der unvorschriftsmäßigen Zeilen. Es sei ihr jedoch „unverständlich, dass Sie nun einen Mann für die Ungeschicklichkeit seiner Tochter büßen lassen, indem Sie ihm die FZ, die zu seiner Fachliteratur gehört, entziehen lassen.“ Er könne wohl nicht rückgängig machen, was er beim Gefängnisantritt freiwillig gewährt habe - „es sei denn auf höheren Befehl.“ Den sie sei sich sicher, dass man „stets den Verordnungen des Gefängnisses gewissenhaft nachgekommen sei.“ Dies war ein kalkuliertes und strategisch kluges Vorgehen, denn selbstverständlich hätten die Mitarbeiter für die willkürliche Erlaubnis Probleme bekommen können, wenn „höhere Stellen“ davon mitbekommen hätten.
Der Brief zeigte die erhofften Folgen - Robert Scholl durfte die Zeitung weiter erhalten.

Barbara Beuys, Sophie Scholl - Biographie, S. 378f";2021-09-19T08:53:12.000Z;12 likes;-
5-1;kathafuer;@zuagroastebayrischeschwaebin @ichbinsophiescholl Ist demnach der Besuch beim Vater fiktiv oder hat der wirklich stattgefunden?;2021-09-19T19:06:41.000Z;2 likes;5
5-2;katharina.helling;@kathafuer ich kann nicht sagen, ob es diese Erlaubnis gab und ob diese zurückgenommen wurde.. Ich hab zumindest nichts darüber gelesen. Wohl aber über die andere Geschichte mit der Zeitung, deren Bezug erlaubt wurde.. und dann zurückgenommen werden sollte, wogegen Lina Scholl sich erfolgreich wehren konnte, was ich ehrlich gesagt relativ beeindruckend fand, weil sie die Wärter quasi mit ihren eigenen Waffen schlug.;2021-09-19T19:51:36.000Z;7 likes;5
6;katharina.helling;"Ein Mitläufer ist eine „Person, die bei etwas mitmacht, ohne sich dabei besonders zu engagieren, und die dabei nur eine passive Rolle spielt“(nach Oxford Languages). Bei der Rolle, die dem Vorarbeiter Friedrich hier zugeschrieben wird bzw wie er dargestellt wird, sehe ich keine bloße passive Rolle ohne besonderes Engagement. Er ist begeistert von und teilt sowie unterstützt die Ziele und Vorstellungen des NS. Feiert die Wehrmacht und unterstützt sie „damit wir dem Pack ein für alle mal zeigen können, wo es lang geht.“ Und ‚Sophie‘ pflichtet in Kommentaren häufig bei, wenn es um den Umgang mit bzw den Machtmissbrauch Friedrichs gg-über den Zwangsarbeiterinnen geht.

Wie Sophie in der Story schreibt: „Friedrich glaubt an den Führer und den Sieg. Im dritten Kriegsjahr!“ (Und im zehnten Jahr der NS-Diktatur btw!).
Mit dieser Zuschreibung Friedrichs als Mitläufer sind wir direkt beim Mythos das deutsche Volk hätte größtenteils nur aus Mitläufern bestünden…

In seiner Rollenbeschreibung hat #teamSoffer angegeben: „Symbolisch steht er hier dafür, wie in Zeiten des Krieges der wahre Charakter alter Bekannter ans Licht kommen konnte.“ (Ich fand die Umschreibung ‚wahrer Charakter‘ zwar unglücklich, aber auf einen Mitläufer lässt sie mE nicht schließen)";2021-09-19T08:38:20.000Z;9 likes;-
7;heikegumz;"Die Aussage, dass ""die meisten Deutschen Mitläufer"" waren, erscheint mir schwierig. Dazu ein Zitat von Thomas Mann (17.7.44): „Man soll nicht vergessen und sich nicht ausreden lassen, daß der Nationalsozialismus eine enthusiastische, funkensprühende Revolution, eine deutsche Volksbewegung mit einer ungeheuren seelischen Investierung von Glauben und Begeisterung war.“
Einige Zahlen: Die NSDAP war mit 33,1% der Stimmen die deutlich stärkste Partei bei den letzten freien Wahlen 1932; 7,7 Mio Deutschen waren 1943 Mitglieder der NSDAP; mind. 250.000 SS-Leute waren für den Holocaust verantwortlich; 20.000 (Mit-)Täter*innen an den NS-Krankenmorden beteiligt; 10 Mio Wehrmachtssoldaten beim Vernichtungskrieg geführten Ostfeldzug beteiligt, bei dem – u.a. durch massive Kriegsverbrechen auch gegenüber Zivilbevölkerung und Kriegsgefangenen – 27 Mio Sowjets ermordet wurden.";2021-09-19T08:35:15.000Z;6 likes;-
8;sami.happy.in.berlin;omg, diese Zeiten. Unter solchen Bedingungen zu kämpfen ist megaaaaa stark 💪🏻💪🏼💪🏽💪💪🏾💪🏿;2021-09-19T08:24:24.000Z;2 likes;-
