Link: ;https://www.instagram.com/p/CVc2hOgsY5O/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;minh._.grn;Krieg ich ein hey?;2021-10-28T07:44:02.000Z;0;-
2;ines_s_2;💖;2021-10-26T11:21:22.000Z;0;-
3;janinesteenbuck;Auf keinen Fall, aber umso schöner das es so war/ ist.;2021-10-26T11:11:23.000Z;0;-
4;rebecca.nottbohm;"Nein, definitiv nicht. Nicht nachdem ich ""Winter der Welt"" gelesen habe. Aber vielleicht war es in den Anfängen noch nicht so schlimm.";2021-10-26T08:48:58.000Z;0;-
5;logbuch_nordwest;Heine Bolks, mein Großvater, wurde als politischer Gefangener 1944 inhaftiert und ins Gefängnis gesteckt. Aus Angst, der niederländische Widerstand würde ihn dort befreien, wurde er in ein Konzentrationslager überstellt. Hier kam er mit schwersten Verletzungen und einem Bajonett im Bein an und wurde als Todeskandidat sofort in den „Bunker“ gesteckt. Noch im März 1945 wurde er auf der Schiessbahn des Polizeilichen Durchgangslagers Amersfoort hingerichtet. Während dies bei den 98 anderen Gefangenen mit richtiger Munition geschah, entschied man sich bei ihm dazu, Leuchtmunition zu verwenden. Er verbrannte also innerlich. Wir wissen, dass er standhaft war und keinen seiner Freunde aus dem Widerstand verraten hat, denn niemand wurde jemals belangt. Er hat dies mit seinem Leben bezahlt. Wenn ich die Zeilen hier lese macht es mich traurig und zornig zugleich.;2021-10-26T07:25:34.000Z;55 likes;-
6;kathiispainted;Weiß man, ob Robert Scholl damals das Flötenspiel gehört hat?;2021-10-26T05:55:56.000Z;1 like;-
7;stefanietyson;#gegenrechts #gegendasvergessen #niewieder #widerstand;2021-10-25T22:03:26.000Z;1 like;-
8;doju123456;Nein, dass hätte ich nicht erwartet...wie wunderbar ❤️!!! Hat er euch Flöte spielen hören können;2021-10-25T21:08:11.000Z;2 likes;-
9;maxi__sun;Wie hat dein Vater auf das flöten Vorspiel reagiert?;2021-10-25T20:17:21.000Z;1 like;-
10;susideitenbach;Ich freu mich so sehr für euch. Genueßt die gemeinsame Zeit❤️🙏🙏🙏;2021-10-25T20:07:11.000Z;1 like;-
11;christine.binggeli;❤️;2021-10-25T19:44:33.000Z;0;-
12;paulinereibe;Liebe Sophie, ich freue mich so für dich und deine Familie! 😍;2021-10-25T19:01:11.000Z;1 like;-
13;gwen_gloeckchen;Nein, aber ich bin froh und sehrerleichtert, dass ihm nichts passiert ist. Schön, dass er wieder da ist!;2021-10-25T18:28:05.000Z;1 like;-
14;ntl.lni;Hat euer Vater das Flötenspiel von dir und Inge gehört?;2021-10-25T17:16:49.000Z;2 likes;-
15;tina.r.0265;Nein, das erstaunt mich! Dein Vater ist ein bemerkenswert positiver Mensch;2021-10-25T17:02:34.000Z;1 like;-
