Link: ;https://www.instagram.com/p/CW8VWhqs2WN/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;natadi90;👏👏👏;2021-12-21T15:28:51.000Z;0;-
2;franziska_alexandra_hardenberg;✊🏻;2021-12-02T21:13:45.000Z;0;-
3;ines_s_2;❤️;2021-12-02T12:50:36.000Z;0;-
4;wildweaselgeschichten;Super! Nutz deine Kraft und zeig wie stark Frauen sind!;2021-12-02T12:50:22.000Z;0;-
5;claudiakeupen;dein Mut ist inspirierend ❤️;2021-12-02T11:17:32.000Z;0;-
6;irene.garbe3;Wow❤️;2021-12-02T10:51:04.000Z;0;-
7;jasminmadita;Eine mutige, junge Frau!;2021-12-02T10:06:27.000Z;0;-
8;lenn0x_0607;@lxcxs.hzg;2021-12-02T07:58:59.000Z;0;-
9;heleneschmid;Du bist so mutig 🙌❤️👏🕊;2021-12-02T06:50:49.000Z;0;-
10;inkluencerin;Eine Portion jugendlicher Leichtsinn gepaart mit Mut und Entschlossenheit. Ich bin beeindruckt und traurig zugleich. 😢;2021-12-01T23:51:37.000Z;1 like;-
11;gott2704;Meint ihr wirklich, bzw ist es belegt, dass Sophie Scholl eine so wankelmütige Person war? Jemand der so wie hier dargestellt Auftritt, braucht entweder noch eine Wandlung oder er/sie wird nicht erhobenen Hauptes für ihre Sache sterben.;2021-12-01T22:21:00.000Z;1 like;-
12;hargert69;Eine sehr mutige junge Frau, die auch Wut und ein Stück Verzweiflung gespürt hat…👍;2021-12-01T22:14:09.000Z;0;-
13;fresh_rie;Pass bitte auf dich auf! Euphorie führt oft zu Übermut und das kann lebensgefährlich werden!;2021-12-01T22:03:41.000Z;0;-
14;alexesawatzkiplasticienne;👏👏;2021-12-01T21:28:41.000Z;0;-
15;ro_sa_gods_princess;"""Wenn es die Maenner nicht machen, muss es eben eine Frau tun."" Gigantisch Sophie - Ich bin ein ganz großer Fan von Dir. 🌹";2021-12-01T21:27:47.000Z;1 like;-
16;christophergreverode;Paß auf Dich auf, Sophie! Mein Großvater hat es auch versucht, und er hat es mit dem Leben bezahlt. Dieses Regime ist gnadenlos und menschenverachtend.;2021-12-01T21:12:56.000Z;1 like;-
17;lena.aurnhammer2020;Im Liegenschaftsamt war im Hintergrund eine Sirene was war das? gab es einen bomben alarm?;2021-12-01T21:06:34.000Z;0;-
18;chocolatefudgestudios;❤️❤️❤️❤️;2021-12-01T20:24:39.000Z;0;-
19;sonjasetout;Schönes Foto, Sophie! ❤️;2021-12-01T20:01:31.000Z;0;-
20;christinemayr21;Vertraue Deinem Gefühl, es wird Dich sicher leiten!;2021-12-01T19:13:26.000Z;0;-
21;veryinsignificantperson;Man kann Sie nur lieben! Sie war so tapfer!👏👏👏;2021-12-01T19:01:04.000Z;0;-
22;sarahscullx;So brave. You are an example of good and determination for everyone ❤️;2021-12-01T18:57:08.000Z;0;-
23;angelag2106;Du bist so stark 💪🏽 du bist eine Löwin 🦁;2021-12-01T18:50:43.000Z;0;-
24;800mqwertz;Vielen Dank an alle beteiligten!!! Dieses Format ist einfach Großartig 👏 Es macht die Gesichte lebendig.;2021-12-01T18:28:16.000Z;1 like;-
25;pascalhilgendorf82;"Die Sinnlosigkeit eines Krieges erkennt man daran, dass der Mensch all seine Fähigkeiten zum Töten reduziert.

Pascal Hilgendorf";2021-12-01T17:50:07.000Z;0;-
26;johnny_mosco;Hey hey Sophie, diese Tage kenne ich nur zu gut. Da könnte man wirklich Bäume ausreißen und jedem, der Unrecht tut, die Stirn bieten. Vielleicht hast du das schon oft gelesen aber beibe trotzdem noch achtsam, denn es ist noch lange nicht vorbei. Mach weiter so🔥👏;2021-12-01T17:42:22.000Z;0;-
27;sasssss3331;👩🏻💪🏼;2021-12-01T17:32:42.000Z;0;-
28;arthursteinbock;Sophie diese Meldung is grandios!! 🔥🔥;2021-12-01T17:30:19.000Z;0;-
