Link: ;https://www.instagram.com/p/CYmOthWsI2u/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;sandylein1983;ich finde es gut, gibts dieser kanal zur ich bin sopiescholl! 🌹 was so ihre letzte tagen und monate waren ect! einfach abartig was damals war und wie sie auch gestorben ist! :-( sie war noch so jung damals. aber gut hat sie damals gegen den widerstand gekämpft und leider verloren 😞;2022-02-18T20:37:01.000Z;0;-
2;hi_its.me.steffi;😱 wie schrecklich!!!;2022-01-17T10:02:58.000Z;0;-
3;fraensaeni_;❤️;2022-01-13T16:51:30.000Z;0;-
4;cubbigammy;Meinen vollsten respeckt an die Arbeit die ihr macht es ist do wichtig geschichte auch einem jungen Publikum nahe zubringen Ich verfolge dises Format seit dem ersten Tag und mir graut es wirklich schön vor Februar wie den meisten anderen hier man möchte einfach schreiben passt auf euch auf haltet euch bedeckt auch wenn man weiß das man nichts verändern kann wünscht man es sich doch;2022-01-13T09:36:52.000Z;5 likes;-
5;connessthompson;😢;2022-01-12T22:59:31.000Z;0;-
6;ex_tremel_y;Wieviel Angst kann ein Mensch ertragen, wieviel Mut haben?;2022-01-12T19:37:02.000Z;1 like;-
7;rpiakatharina;"Nach diesem Brief , hätte ich Angst weiterzumachen.
Ich weiss jetzt gar nicht mehr, soll ich Euren Widerstand als mutig oder Leichtsinn ansehen. Bitte, bitte seit vorsichtig";2022-01-12T14:44:43.000Z;1 like;-
8;53227bonn;Danke an alle, die hier ständig Ergänzung und Korrekturen liefern. Unglaubliche Arbeit. Danke;2022-01-12T14:43:38.000Z;2 likes;-
9;theonlygirlinthishome;Mir wird ganz bange Sophie😢;2022-01-12T11:36:52.000Z;4 likes;-
10;two_little_stars;Ach hättet ihr nur eine Weile aufgehört… 😢🙈;2022-01-12T11:05:17.000Z;0;-
11;nomii.ch;Ich kann mir gar nicht vorstellen, wie es danach weitergehen wird. Inzwischen sind Sophie, Alex & Hans, alle Protagonisten ans Herz gewachsen. Und die Wahrheit tun mir wahnsinnig weh. 💔 Bald ist der Tag, an dem Tag ich (wir alle) tod traurig sein werde. Danke an @ichbinsophiescholl Team. Eine hervorragende Arbeit habt ihr hier gemeistert. Miss you guys already ❤️;2022-01-12T10:36:12.000Z;0;-
12;fraunora.h;"""Dass die Natuonalsozialisten gegen Widerstand grausam vorgehen, wissen wir, aber Hinrichtungen?"" - Gibt es eine Quelle, die belegt, dass Sophie Scholl davon überrascht ist oder das nicht wusste? Denn Mitglieder der politischen Opposition mussten von Beginn an damit rechnen, zum Tode verurteilt zu werden. Das galt vor allem für die Mitglieder kommunistischer Organisationen. Ab 1940 nehmen die Todesurteile und damit die Hinrichtungen deutlich zu. Eine erneute Steigerung ist ab spätestens Sommer 1942 zu verzeichnen.

""Allein in der Strafanstalt Plötzensee starben zwischen 1933 und 1945 rund dreitausend Personen (etwa 2750 Männer und 250 Frauen) bei amtlichen Hinrichtungen, darunter neunundachtzig Widerstandskämpfer des 20. Juli.""
Auf Wikipedia gibt es eine nicht vollständige Liste der hingerichteten Personen. Darunter befinden sich auch mein Großvater und sein bester Freund Max Behretz.
https://de.wikipedia.org/wiki/Liste_von_im_Deutschen_Reich_hingerichteten_Personen";2022-01-12T08:12:26.000Z;20 likes;-
13;stadtbibliotheksteglzehl;😥;2022-01-12T07:08:54.000Z;1 like;-
14;barbaragarbade;Ich drücke euch so sehr die Daumen! Passt gut auf euch auf!;2022-01-12T06:16:05.000Z;0;-
