Link: ;https://www.instagram.com/p/CYWyMzNFMZc/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;_steffis_kleine_tierwelt_;Sehr interessant so eine Maschine mal zu sehen😮;2022-01-11T10:31:09.000Z;0;-
2;julestale221;Liebe Sophie, hätte es im Jahr 1943 Insta gegeben hättest du das niemals so offen posten können. Abends hätte dann wahrscheinlich die Gestapo bei euch auf der Matte gestanden und euch schon vor Februar 1943 verhaftet…just a thought;2022-01-07T11:22:42.000Z;0;-
3;netterholger;Das ist ja nichts anderes als der heutige Drucker, natürlich sehr groß, muss der Onkel clever sein, der wird bestimmt auch einiges wiegen.;2022-01-07T08:55:43.000Z;0;-
4;doc_stefan_t;... ich würde einfach einen Kopierer benutzen ...;2022-01-07T07:03:59.000Z;0;-
5;isalita79;Cooles Teil 😜;2022-01-06T15:38:23.000Z;0;-
6;arthursteinbock;Sophie, kannst du bitte auch die Flugblätter hier posten? Wir würden sie so gerne lesen, außerdem erreichst du damit noch mehr Menschen!!;2022-01-06T12:51:49.000Z;22 likes;-
7;caro_nala97;Wie hat Traute so einen grossen Vervielfältiger unauffällig von Wien nach München bringen können? 🤔;2022-01-06T06:18:47.000Z;3 likes;-
8;andykoerper;"Cool, schneller sind die Drucker auch in 80 Jahren nicht, nur sensibler.
Dein Modell spuckt sicher nicht dauernd Fehlermeldungen aus…";2022-01-06T05:47:06.000Z;3 likes;-
9;denmantau123;Unser Lateinlehrer hat immer die Vokabeltests auf so einem Matritzendrucker vervielfältigt. Die Papiere haben so einen bestimmten Geruch. Den werd ich nie vergessen. Lateinvokabeltestgeruch😂;2022-01-06T05:34:14.000Z;8 likes;-
10;good.morning.miss.g;😂;2022-01-06T00:16:39.000Z;0;-
11;gwen_gloeckchen;Tolles Teil! 👏👏 Dann viel Erfolg und Spaß beim Flugblätter drucken! Ich denke an euch! 🙌;2022-01-05T23:17:34.000Z;1 like;-
12;tob1_0;Also ein Kopierer?;2022-01-05T22:05:15.000Z;2 likes;-
13;linathesag;wieso schreibt ihr nicht einfach ein dokument bei word und druckt es ganz normal aus;2022-01-05T20:37:30.000Z;3 likes;-
14;debonareka;Oh Sophie, passt nur auf;2022-01-05T20:17:47.000Z;3 likes;-
15;leon_11.03;In Germany we say: Drucker. 😂;2022-01-05T19:59:01.000Z;0;-
16;anjamuller565;Mega!! Ganz ohne moderne Technik!!;2022-01-05T19:50:06.000Z;0;-
17;jjjjj1302;Bekommen wir die Flugblätter bzw deren Inhalt auch noch zu sehen?;2022-01-05T19:40:01.000Z;3 likes;-
18;gund.el;Ich finde euer Projekt so grandios!;2022-01-05T19:35:21.000Z;1 like;-
19;andiewand.de;Super! Danke fürs zeigen 😍;2022-01-05T18:17:03.000Z;0;-
20;stachford;Wirklich komisch das auf instagram zu sehen. Hätte es damals soziale Medien gegeben, hätte man so etwas nie posten dürfen! Man hätte um sein Leben fürchten müssen.;2022-01-05T18:14:00.000Z;12 likes;-
21;eiradengel;Wo und wie verteilt ihr die Flugblätter?;2022-01-05T18:11:23.000Z;8 likes;-
22;sebfischer2;Ist Sophie eine neue Darstellerin?;2022-01-05T18:10:40.000Z;0;-
23;lavietrotzdem;Ich hätte auch mitgemacht, auch wenn es sehr gefährlich ist.;2022-01-05T18:00:57.000Z;2 likes;-
24;therealscobo;Ist das ein Matrizen- / Spiritusdrucker oder ein anderes Verfahren?;2022-01-05T17:37:43.000Z;1 like;-
25;changed.by.popular.demand;"5.1.1943:

Reichsführer SS Heinrich Himmler ordnet in einem Brief an den Höheren SS- und Polizeiführer im besetzten Frankreich, Carl-Albrecht Oberg, die Einrichtung von Bordellen an allen Standorten der Waffen-SS an.

In den Niederlanden wird das Konzentrationslager Herzogenbusch errichtet.

Im Deutschen Reich werden Kautschuk und Kautschukerzeugnisse, Altgummi Gummiabfälle u. ä. beschlagnahmt.";2022-01-05T17:29:23.000Z;11 likes;-
26;exploringrelentlessly;Super interessant 😍 Danke, dass du uns das zeigst;2022-01-05T17:28:15.000Z;13 likes;-
27;tibordin20;Wow! Das ist sehr interessant für mich! 👏👍✨;2022-01-05T17:19:45.000Z;1 like;-
28;juergenscholtenbn;Cool. HiTech vom Allerfeinsten 👍;2022-01-05T17:17:14.000Z;4 likes;-
29;jn.ine;Zu wissen, dass in sieben Wochen alles vorbei ist .. 😢;2022-01-05T17:15:20.000Z;44 likes;-
30;germanboy180;Ist echt ein cooles Teil 👏👍;2022-01-05T17:13:41.000Z;3 likes;-
31;dr_schroedinger;Wie kommt aber das Negativ auf die Walze oder womit man kopiert;2022-01-05T17:13:33.000Z;11 likes;-
32;stefanesser8315;👏Bravo. So kann es weiter gehen.;2022-01-05T17:11:29.000Z;23 likes;-
33;katharina.helling;".
🗓 05.01.1943

Aus Wien werden 100 jüdische Menschen nach Theresienstadt abtransportiert.
〰️
Quelle:
http://www.holocaust-chronologie.de/chronologie/1943/januar.html";2022-01-05T17:11:03.000Z;15 likes;-
