Link: ;https://www.instagram.com/p/CTPE6WSMqHO/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;lorenz_211;Ihr seid ja wohl lächerlich;2022-03-04T20:50:57.000Z;1 like;-
2;brudaalleslaeuftausdemruda;@lukas_bloch;2022-02-22T11:43:02.000Z;0;-
3;likeabird.inflight;Sonst gehts euch gut oder?! Wie kann man das so verharmlosen. Von wegen gefeiert. Habt ihr überhaupt eine Ahnung was die Deutschen mit Russen gemacht haben? Vergewal*** und ermordet. Die beiden Brüder waren danach so traumatisierte, dass sie sich dem Widerstand angeschlossen haben und ihr macht hier ne nette Geschichte draus?! Absolut geschmacklos.;2022-02-21T12:56:26.000Z;6 likes;-
3-1;ichbinsophiescholl;"#TeamSoffer Wir beziehen uns hier auf einen Brief von Hans Scholl. Er schreibt, er habe mit ""einigen russischen Mädchen einen Chor zusammengestellt. Neulich haben wir die halbe Nacht durchgetanzt, dass uns am nächsten Tag die Knochen schmerzten"" (Nachzulesen in Hans Scholl und Sophie Scholl: Briefe und Aufzeichnungen, S. 110).";2022-02-21T13:46:36.000Z;1 like;3
3-2;polterrick;@ichbinsophiescholl ja und was ist mit all den anderen Erfahrungen, die er so im Osten machen durfte und musste?! Das konnte man ja wohl damals leider nicht so in die Feldpost schreiben. Vielleicht wäre aber hier mal ein etwas weiter gefasster Rahmen zur Wehrmacht in Russland nötig gewesen. Also ich weiß was mein Großvater da gemacht hat als Kettenhund. „Partisanen“ und Untermenschen erschießen. Zu Hauf. Ich hab mich als Kind immer gefragt warum er davon nie erzählen wollte. Lieber über sein Leiden in Sibirien. Aber seine Fotoalben waren für mich dann böse Aufschlussreich, als ich sie als Geschichtsstudent studierte.;2022-02-21T22:09:02.000Z;3 likes;3
3-3;polterrick;@polterrick als ich von eurer Idee las, hielt ich die für gut. Die Umsetzung stinkt mir nur. V.a. wenn man hier dieses Verklären und Täter-zu-Opfer-drehen Geseier lesen muss. Ihr breitet hier nicht historischem Lernen die Bühne, sondern gebt dem falschen politischen Lager hier eine Bühne sich ein neues Narrativ zu spinnen.;2022-02-21T22:11:57.000Z;2 likes;3
3-4;likeabird.inflight;@ichbinsophiescholl das ist ja toll, ändert aber nichts daran, dass es ohne Kontext oder Reflexion einfach dahingestellt wird, was einfach nur verharmlost. Man kann das doch nicht einfach so posten ohne was tatsächlich los war zu zeigen. Dieser ganze Account ist einfach nur historisch katastrophal recherchiert. Hier wird sowas wie dieser Brief genommen, mit Fiktion vermischt und noch ne Priese Pietätlosigkeit dazu und voila. Ich bin echt schockiert.;2022-02-22T12:41:48.000Z;2 likes;3
4;anakinhighwalker87;Alter das ist so geschmacklos! Wisst ihr eigentlich wie viele russische zivilisten einfach ermordet vergewaltigt und was sonst noch alles wurden! Das ist doch pervers jmd wie sophie scholl u ihren bruder zu benutzen um naziverbrechen runterzuspielen🤡🤦🏻‍♂️;2022-02-19T06:34:18.000Z;15 likes;-
4-1;steffi.fitfam;Scheinbar muss man sich die Vergangenheit schön bunt malen... wäre auch blöd wenn opi ein Nazi-Mörder war...;2022-02-19T10:51:13.000Z;9 likes;4
5;august.jttnr;Wisst ihr ob der Brief wirklich von Hans ist oder ob er gezwungen wurde dies zu tun?;2021-10-14T08:52:57.000Z;1 like;-
5-1;august.jttnr;@august.jttnr ❤️❤️❤️❤️❤️;2021-10-21T08:48:41.000Z;1 like;5
6;janaolsh;Hat Sophie zu dem Zeitpunkt schon von der Existenz von Konzentrationslagern und anderen Vernichtungslagern der Nazis gewusst und was dort mit den Menschen geschieht?;2021-09-02T20:31:28.000Z;5 likes;-
6-1;ichbinsophiescholl;@janaolsh #TeamSoffer Sophie Scholl wusste beispielsweise schon frühzeitig von der Existenz des KZ Dachau und dass man sich hüten solle, öffentlich schlecht über das NS-Regime zu sprechen, weil man sonst Gefahr lief, dort hingebracht zu werden.;2021-09-03T13:32:40.000Z;7 likes;6
6-2;mary2ana;"@ichbinsophiescholl wie wagt sie dann sich als ""frau im widerstand "" zu beschreiben?";2021-09-03T18:11:40.000Z;0;6
6-3;janeinnika;du hast heute gut reden. und du weißt, wie sophies geschichte geendet hat? aber reiß ruhig dein maul auf.;2021-09-07T21:49:19.000Z;0;6
6-4;mary2ana;jo weiß ich, danke dir ❤️;2021-09-07T22:38:46.000Z;0;6
7;veryinsignificantperson;VerSchollen!;2021-09-01T18:23:26.000Z;0;-
8;redford8228;Alle möchten gern an das Gute in der Persönlichkeit ihrer Väter, Brüder und Onkel sehen. Am Ende des Krieges hatte das sowjetische Volk 27 Millionen Tote (Zivilisten und Soldaten) zu beklagen. Ermordet durch Deutsche.;2021-09-01T16:06:23.000Z;12 likes;-
9;schnirkelschnecke_0815;Um ehrlich sein, ich kann mir nicht vorstellen, dass Russen und Deutsche so zusammen gefeiert hatten. In der Nazipropaganda waren es Kommunisten und minderwertige Menschen. So ein enges Zusammensein würde bestimmt grausam von den Offizieren geahndet werden. Ich habe Sophies Bild als tröstestends Wunschdenken interpretiert.;2021-09-01T14:03:06.000Z;2 likes;-
9-1;polterrick;@schnirkelschnecke_0815 ja klar. Für die Deutschen war es ne Feier. Schnaps, warmes Essen und dann mit den Mädchen tanzen. Ob sie wollen oder nicht. Und wie sie getanzt haben. Nach dem sie sagen wie ihre Großväter als Partisanen erschossen wurden. Und wie sie sich „freiwillig“ den Deutschen danach dann auch noch hingegeben haben. Was ein Fest!!! Ich kotze in Strahl;2022-02-21T22:15:41.000Z;2 likes;9
10;ichbinjuedin_ichbindeutsche;Hans Beschreibung erinnert mich an die Ereignisse im 1.Weltkrieg zu Weihnachten 1914.;2021-09-01T11:47:27.000Z;5 likes;-
