Link: ;https://www.instagram.com/p/COdJeRTH9Es/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;simone.alcapone;Sag mal wie wurde das eigentlich finanziell gemacht mit den Kriegsdiensten? Man musste doch auch irgendwo wohnen und Essen her bekommen als Student. Und was wenn man eigentlich arbeiten musste in den Semesterferien?;2021-09-22T17:02:35.000Z;2 likes;-
1-1;ichbinsophiescholl;@simone.alcabone #TeamSoffer Für den Fabrikdienst wurde Sophie und auch die anderen Studierenden der damaligen Zeit nicht entlohnt und auch nicht anderweitig vergütet. Die zusätzliche Arbeitskraft war dringend notwendig – außerdem sollten die Studierenden den praktischen Sozialismus erleben und der Volksgemeinschaftsgedanke gestärkt werden.;2021-09-23T07:16:34.000Z;8 likes;1
2;ozi.53c;Fritz Abi heute wild unterwegs;2021-06-08T08:40:47.000Z;0;-
3;ozi.53c;Fritz Abi heute wild unterwegs;2021-06-08T08:40:30.000Z;0;-
4;katy_alwaysconfused_;@patrickfielitz;2021-05-28T03:55:01.000Z;1 like;-
5;marwin__06;Hab die Seite gerade erst gesehen kann mich Mal einer aufklären warum gibt sich eine fremde Person für Sophie Scholl aus ?!;2021-05-24T13:36:26.000Z;0;-
5-1;nina_cleanhardt;@marwin__06 Es ist eine Reise durch die Geschichte und Gefühlswelt von Sophie Scholl aus Sophies Sicht heraus. Also historische Ereignisse für und auf einen modernen Kanal umgewandelt. (So wie ich es verstehe)...;2021-06-01T18:35:41.000Z;7 likes;5
6;felix_dahmen;Ich finde das ehrlichgesagt sehr geschmacklos, die Ideale einer Frau zu generalisieren und für sich zu übertragen. Sophie Scholl ist für eine demokratische Welt gestorben gegen eine totalitäre Diktatur, und nicht um wegen solcher Sprüche auf Instagram zu landen.;2021-05-19T12:01:17.000Z;1 like;-
6-1;x_k_a_t_h_a_r_i_n_a_x;@felix_dahmen was daran ist geschmacklos? Sie versuchen mit diesem Projekt bisschen deutsche Geschichte in moderne Zeit zu bringen, damit man eben diesen Teil unserer Geschichte nicht vergisst. Wechsel mal den Blickwinkel. Ich finde es nicht verkehrt;2021-08-12T09:54:50.000Z;13 likes;6
7;sissi_kreativ;Danke ihr 2... Was ihr für einen Mut hattet! Ihr seid so große Vorbilder!!!;2021-05-17T16:31:24.000Z;0;-
8;sissi_kreativ;Danke ihr 2... Was ihr für einen Mut hattet! Ihr seid so große Vorbilder!!!;2021-05-17T05:57:18.000Z;0;-
9;feder_und_berge;Mitten in der Geschichte...eine so wunderbare berührende Idee...🔥;2021-05-13T18:51:57.000Z;0;-
10;arisk.prvt;ihr solltet das ins fernsehen bringen!;2021-05-11T14:45:06.000Z;0;-
11;chiara.sphx;"Das erinnert mich an meinen Bruder, als dieser für mehrere Wochen weg war. Ich froh für euch beide, dass ihr euch wieder sehen konntet. ;)";2021-05-10T21:47:59.000Z;21 likes;-
11-1;ichbinsophiescholl;@chiara.sphx Oh ja, ich bin auch überglücklich ihn wieder bei mir zu haben! ♥️;2021-05-11T13:01:19.000Z;13 likes;11
12;ralf_877;Klasse Idee. Tolle Umsetzung.;2021-05-09T18:40:41.000Z;1 like;-
13;_joupii_;Flammenwerfer mit Hans war Wild;2021-05-09T17:29:22.000Z;0;-
14;syformation;😍;2021-05-09T12:55:26.000Z;1 like;-
15;dschingels;Ja, was wäre das für ein starkes Werkzeug gewesen, wenn die Geschwister Scholl die sozialen Medien bereits gehabt hätten.;2021-05-09T07:25:08.000Z;1 like;-
16;berlin.macht.dampf;Wir hoffen du hattest eine gute und entspannte Fahrt ! 🚂☺️;2021-05-09T04:52:13.000Z;7 likes;-
16-1;ichbinsophiescholl;@berlin.macht.dampf Gut ja, entspannt nicht so richtig. Der Schaffner hat mich ganz schön erschreckt, als er auf einmal nach meiner Fahrkarte gefragt hat!;2021-05-09T18:09:19.000Z;10 likes;16
