Link: ;https://www.instagram.com/p/CYgi1XwsO-x/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;didi.keller;❤️🙌🙌;2022-01-11T20:29:19.000Z;0;-
2;happygamer_f_m;What's name of the right girl??;2022-01-10T12:42:07.000Z;1 like;-
3;netterholger;Schönes Bild;2022-01-10T08:41:21.000Z;0;-
4;tessa.dreher;Wach werden mit dem Gefühl der Angst 😪. Und das obwohl - oder gerade deshalb - ihr alles richtig macht.;2022-01-10T06:47:03.000Z;0;-
5;giselaute;❤️❤️❤️❤️❤️;2022-01-10T05:26:33.000Z;0;-
6;annie_henning_bayern;Hans neue Freundin;2022-01-09T20:46:38.000Z;0;-
7;beermarkusbeer;💐🤗;2022-01-09T19:54:03.000Z;0;-
8;andrejaniuk;Lovely girls. 😘 The russians are comming 😢;2022-01-09T18:57:41.000Z;0;-
9;flowcraft_dermandaflorianer;@ichbinsophiescholl Frage an Sophie: Findest du, das sieht cool aus, wenn du rauchst? Ich finde es. Schönen Sonntag!;2022-01-09T18:31:08.000Z;2 likes;-
10;windmuehleim;So unendlich traurig jetzt schon zu wissen wie es enden wird ❤️und gleichzeitig zu erfahren wie Du voller Lebenslust steckst.;2022-01-09T15:06:50.000Z;8 likes;-
11;dr.volkertiemann;Ein Extra-Herz ❤️!;2022-01-09T14:54:29.000Z;0;-
12;esony.4ever;Friends are a big treasure;2022-01-09T14:51:20.000Z;0;-
13;mcazzonelli2019;Was ist das für ein Gefühl, wenn man Dinge die einen zu tiefst bewegen, die einem wichtig sind und für die man, ja man kann es es fast schon so sagen, bereit zu sterben, vor seinen besten Freunden geheim halten muss?;2022-01-09T13:40:25.000Z;4 likes;-
14;greenbutler.eu;🍀🍀🍀;2022-01-09T13:29:54.000Z;0;-
15;a7med_alsa3di;❤️❤️;2022-01-09T12:57:05.000Z;1 like;-
16;mond_kind;In Augsburg gibt es eine schertling Straße. Wurde diese nach ihr benannt?;2022-01-09T12:40:18.000Z;1 like;-
17;jessiefuchs1806;Sie hat ein Ehrengrab in Wildau ....;2022-01-09T12:37:19.000Z;7 likes;-
18;katharina.helling;"🗓 Nachtrag vom 08.01.1943

Etwa 100 Wiener Jüdinnen und Juden werden nach Theresienstadt abtransportiert.

🗓 09.01.1943

◼️ Rumänien

Unterstaatssekretär Luther an die deutsche Gesandtschaft in Bukarest:

Die rumänische Absicht, mehrere zehntausend Juden nach Palästina ausreisen zu lassen (s.12.12.42), ""stellt innerhalb der von der deutschen Regierung verfolgten Grundlinien einer europäischen Lösung der Judenfrage eine untragbare Teillösung dar, deren Durchführung mit allen Mitteln verhindert werden sollte.""

Den Rumänen sollen die ""allerschwersten Bedenken"" mitgeteilt werden. ""Neben den dort bereits vorgebrachten Argumenten, daß eine solche Auswanderung eine schwere Belastung des Vertrauensverhältnisses zu unseren politischen Freunden im Vorderen Orient darstellen müßte, würde die Maßnahme bedeuten, daß wir 80.000 innerlich auf der Seite unserer Kriegsgegner stehende Juden diesen unmittelbar in die Hände spielen würden. (...)

Im übrigen müßte man sich über die grundsätzliche Tragweite einer solchen Maßnahme im klaren sein. Sie könne nicht ohne Rückwirkungen in Europa bleiben, nachdem es längst bekannt ist, daß man auf unserer Seite zum mindesten seit Beginn und während der Dauer des Krieges eine solche Lösung entschieden ablehnt. Auf der anderen Seite wäre es unausbleiblich, daß der Gegner versuchen würde, aus dieser Maßnahme einen Gegensatz zwischen den Achsenmächten zu konstruieren, ohne daß Rumänien deswegen in der Feindpropaganda mit einer milderen Beurteilung seiner Judenpolitik rechnen könne."" (ADAP, Serie E, Bd. V, Nr. 28)
〰️
Quelle:
http://www.holocaust-chronologie.de/chronologie/1943/januar.html";2022-01-09T12:19:30.000Z;33 likes;-
19;katrinpruchniewski;Viel Spaß beim Spaziergang. Hier regnet es Bindfäden.☔;2022-01-09T12:04:51.000Z;5 likes;-
20;dtrepsdorf;Irgendwie schnürt es mir das Herz zu, zu wissen, wie unfassbar böse alles enden wird! Ihr macht das großartig und lasst mit eurer Arbeit die Memschen erwachen, die hinter allen kühlen Statistiken und Zahlen dieser dunklen Epoche stehen! Chapeau!;2022-01-09T12:03:14.000Z;271 likes;-
21;ichbinsophiescholl;#TeamSoffer Scholl und Gisela Schertling lernten sich beim Reichsarbeitsdienst im Sommer 1941 kennen. Nachdem Sophie sie dazu bewegt hatte, stieg sie zum Wintersemester 1942/43 in München ins dritte Fachsemester ein. Zu diesem Zeitpunkt war sie also schon Studentin in der Stadt, und lebte praktisch bei den Scholls. Mehr dazu in Gottschalk, Maren: Wie schwer ein Menschenleben wiegt, S. 267.;2022-01-09T11:59:30.000Z;277 likes;-
