Link: ;https://www.instagram.com/p/CTxIqRrsCxO/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ines_s_2;❤️;2021-09-14T11:21:28.000Z;0;-
2;netratz;🔥❤️;2021-09-14T08:57:18.000Z;0;-
3;sui_los_gatos;Wo war er im Gefängnis?;2021-09-14T07:46:44.000Z;1 like;-
4;giusy79_;Dieser Brief bedeutet dir besonders viel. Weil dein Vater ein besonderer Mensch ist. Nämlich, dein Fels in der Brandung!;2021-09-14T06:14:40.000Z;1 like;-
4-1;ichbinsophiescholl;@giusy79_ Das ist er wahrhaftig! Schon immer haben Mutter und Vater alles daran gesetzt, die Familie zusammenzuhalten und uns zu bestärken.;2021-09-14T07:46:28.000Z;12 likes;4
5;hovawartfreundin;@zuagroastebayrischeschwaebin Danke für Deine Recherche. Nun bin ich etwas schlauer. Ich empfinde es als bedrückend, wenn Sophie und ihre Familie sich nicht so austauschen durften, wie sie wollten, jenseits der Zensur.;2021-09-14T01:58:33.000Z;4 likes;-
5-1;katharina.helling;@hovawartfreundin ja, das geht in der Tat sehr weit und ist sicher belastend. Aber Robert Scholl hatte (trotz der natürlich bestehenden Einschränkungen) mehr Freiheiten als viele andere Inhaftierte, er durfte zB die Frankfurter Zeitung lesen. Ganz zu schweigen davon wie es anderen erging, die grds (unabhängig von Taten oder Äußerungen) verfolgt wurden.;2021-09-14T10:27:42.000Z;5 likes;5
6;ecocats1990;Gab's damals noch keine Postleitzahlen?;2021-09-14T00:35:17.000Z;3 likes;-
6-1;ichbinsophiescholl;@ecocats1990 #TeamSoffer Nein, Postleitzahlen (ähnlich) wie wir sie heute kennen wurden zunächst 1941 für den Paketdienst eingeführt und erst 1944 die Regelung getroffen, dass Postleitzahlen in jedem amtlichen Formular und jedem Poststempel anzugeben sind. Das Postleitzahlensystem wurde über die Jahre weiterhin verändert und entwickelt und erst 1993, nach der Wiedervereinigung Deutschlands, im ganzen Land auf die heute existierenden 5-stelligen Postleitzahlen vereinheitlicht. Liebe Grüße!;2021-09-14T08:05:15.000Z;10 likes;6
6-2;ecocats1990;@ichbinsophiescholl Interessant. Wisst ihr es, wie dann damals mit gleichlautenden Ortsnamen umgegangen wurde? Es gibt ja etliche „Neustadt“ zum Beispiel in Deutschland und auch deutsche Städtenamen im Ausland.;2021-09-14T12:03:27.000Z;2 likes;6
