Link: ;https://www.instagram.com/p/CSCme6ejDuv/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;shmadis;Makes me want to dance;2021-08-10T17:57:53.000Z;1 like;-
2;team_moehrchen;Sophie ich habe auch einen Bruder! Im ersten Moment totaler Zoff und streit, und im nächsten Moment halten wir uns in den Armen als währe nichts zuvor passiert!;2021-08-06T22:08:32.000Z;1 like;-
3;we.love.saarland;😍❤️;2021-08-03T13:28:36.000Z;0;-
4;sandrachristine_;Wie heist diese Musik? Und wieso war sie nicht erlaubt?;2021-08-03T12:26:10.000Z;1 like;-
5;joe_ricb;Sie tanzt wirklich toll 😍;2021-08-03T10:35:05.000Z;1 like;-
6;foggyfable;Ich verstehe Inge mit der Kehrwoche vollkommen. Letztendlich will doch (eigentlich) jeder im Haus, dass eine gewisse Hygiene eingehalten wird oder nicht? 🙈;2021-08-03T10:15:15.000Z;1 like;-
7;clau_di89;@ichbinsophiescholl bei uns in nordsachsen gibt es Pläne die an der Eingangstür hängen. 😂 Alle 14 Tage ist man auf seiner Etage mit der Reinigung dran und alle 10 Wochen hat man die Große Reinigung wo man Eingangstüren, Kellerräume usw reinigen soll! 😂🙈;2021-08-03T08:34:01.000Z;0;-
8;griesgramtv;Welches Lied hört ihr da?;2021-08-02T23:19:11.000Z;0;-
9;montyvomkellersee;Geschwister sind so wunderbar 👏🏼😀🥰;2021-08-02T20:22:19.000Z;0;-
10;janaknabefotografie;Geschwister können merkwürdig sein. Aber man liebt sie eben trotzdem 😍;2021-08-02T19:27:55.000Z;1 like;-
11;die_moellersdani;Die geht ja gut ab, die Inge! 😅;2021-08-02T17:25:49.000Z;0;-
12;susanne_k_aeferchen;👏👏👏;2021-08-02T16:45:10.000Z;0;-
13;hauptstadtlady50;Ist das amerikanische Musik? Da hört doch sicher die Nachbarschaft mit, wenn es mal keinen Ärger gibt 🤷‍♀️. Ich bin die Älteste und deshalb weiß ich wie nervig jüngere Geschwister sein können. Findet mein Sohn als Ältester übrigens auch. 🙋‍♀️🌞😍.;2021-08-02T12:30:52.000Z;1 like;-
14;ichbinjuedin_ichbindeutsche;In der Tat, manchmal sind Geschwister merkwürdig Wesen. Genieße dennoch die schönen Momente mit Inge.;2021-08-02T11:13:34.000Z;2 likes;-
15;ines_s_2;👍👍👍;2021-08-02T10:17:38.000Z;1 like;-
16;mariyeah__;Sonderbar... Oh ja! Ich habe zwei davon 😂;2021-08-02T07:44:04.000Z;1 like;-
17;max.hundelshausen;Ist diese Musik erlaubt?;2021-08-02T06:50:47.000Z;7 likes;-
17-1;ichbinsophiescholl;@max.hundelshausen #TeamSoffer Erlaubt war die Musik nicht, heimlich wurde sie aber dennoch gehört.;2021-08-02T14:24:44.000Z;30 likes;17
18;max.hundelshausen;Ist diese Musik erlaubt?;2021-08-02T06:50:34.000Z;0;-
19;muck98;Ist es nicht gefährlich, im 2. Weltkrieg Jazz zu hören?;2021-08-02T06:41:19.000Z;0;-
20;sayyes_gluecksmomente_trauung;"Geschwister sind meistens sehr unterschiedlich. Jede/r versucht die eigene Persönlichkeit zu finden.
Im Tanz und der Musik finden wir dann zusammen 😍";2021-08-02T05:51:57.000Z;2 likes;-
21;swobodacelina;@everyonesfavstranger;2021-08-02T04:51:43.000Z;0;-
22;vschn;❤️;2021-08-02T01:47:29.000Z;0;-
23;raul_mccallister007;❤️;2021-08-01T23:39:13.000Z;0;-
24;ankegopfert;Die Kehrwoche ist den Schwaben heilig mir nicht ich finde sie lässig.;2021-08-01T23:10:54.000Z;0;-
24-1;gull.weig;@ankegopfert Ich finde es auch lästig. Aber wenn man es nicht macht, sieht es nach ein paar Wochen aus wie Sau... Das will dann auch keiner. Aber bei uns in NRW muss man auch nur Treppe und Fenster putzen. Das geht gerade noch so.;2021-08-02T10:40:04.000Z;1 like;24
25;ankegopfert;Ich könnte manchmal meine Schwester auf den Mond schießen. Ich liebe sie trotzdem sehr.;2021-08-01T23:10:07.000Z;4 likes;-
26;ycaro_montero;🙌🤗;2021-08-01T22:48:25.000Z;2 likes;-
27;lindaalou99;Wenn Inge tanzt....;2021-08-01T21:22:13.000Z;2 likes;-
28;illuminaut23;Ein süßer Derwisch 💃! 🔥🔥🔥♥️♥️♥️;2021-08-01T21:20:18.000Z;3 likes;-
29;tine._.b;Es ist ein großes Glück, eine Schwester zu haben!;2021-08-01T20:48:22.000Z;6 likes;-
30;struckibue;Schwester ❤️, es geht manchmal nicht mit ihr, aber niemals ohne sie ❤️❤️❤️;2021-08-01T20:42:46.000Z;3 likes;-
31;beratung_supervision_coaching;😍Maria - Inge👏;2021-08-01T20:41:47.000Z;2 likes;-
32;dr_fotograf;Sophie, ich glaube, Du bist ganz schön anstrengend 😜;2021-08-01T20:05:13.000Z;3 likes;-
33;arisk.prvt;Ja, sind sie. Und meist seeehr nervig. Aber ich - und das ist dann doch fast das sonderbarste- könnte ohne die nicht oben, weil ich sie einfach unglaublich lieb habe 💖;2021-08-01T20:04:37.000Z;3 likes;-
34;laupaire;@ichbinsophiescholl kleine Idee 💡- schnell nach Amerika auswandern - du und deine Liebsten ❤️ Wir wärs?;2021-08-01T19:58:23.000Z;5 likes;-
35;claudi.kichererbse;Die Schwaben mit ihrer heiligen Kehrwoche. Echt schlimm. 🤔;2021-08-01T19:55:00.000Z;3 likes;-
36;sanni0912;Ich lächle, weil Du meine Schwester bist. Und ich lache, weil Du es nicht ändern kannst!😂;2021-08-01T19:53:24.000Z;4 likes;-
37;rosin_e;Ja und trotzdem das wunderbarste was es gibt auf der Welt;2021-08-01T19:25:22.000Z;6 likes;-
38;ingeling90_;@hild_chen1 schwester inge tanzt.;2021-08-01T19:22:47.000Z;3 likes;-
39;syntexta;und so gut wie geschwister kennt man keinen. n;2021-08-01T19:15:35.000Z;10 likes;-
39-1;ichbinsophiescholl;@syntexta Da hast du recht!;2021-08-01T20:04:06.000Z;9 likes;39
40;wardrobe_experience;Zum Ende hört sich das an wie der Jingle zur Sportschau. … nach eurer Zeit. Vor meiner Zeit.;2021-08-01T18:58:45.000Z;2 likes;-
41;kunsttherapieemsland;Liebe @ichbinsophiescholl Geschwister sind einfach total sonderbar, aber ohne sie geht's nicht. #geschwisterliebe gut, dass es sie gibt.;2021-08-01T18:58:06.000Z;4 likes;-
42;kunsttherapieemsland;Kehrwoche... Hän's die Kehrwoche scho' gmacht? Furchtbar! Bei vielen wird damit die Freude an denunzieren regelrecht genährt... *meine Erfahrung *;2021-08-01T18:56:39.000Z;6 likes;-
43;zwickevi;Doch schon Geschwister sind sonderbar! Ich habe eine ältere und eine jüngere Schwester und unterschiedlicher könnten wir nicht sein! 😂 Aber ich verstehe mich mit meiner älteren Schwester bestens 😄;2021-08-01T18:53:07.000Z;4 likes;-
44;richstaring;😂;2021-08-01T18:45:34.000Z;2 likes;-
45;luisapeachum;❤️ @mariavdragus;2021-08-01T18:34:49.000Z;2 likes;-
46;salonfestival;❤️ @mariavdragus;2021-08-01T18:32:51.000Z;2 likes;-
47;katrinpruchniewski;Deine Schwester sieht aber glücklich aus, beim Tanzen.🌞;2021-08-01T18:25:12.000Z;24 likes;-
47-1;ichbinsophiescholl;@katrinpruchniewski Das ist sie auch in solchen Momenten!;2021-08-01T20:04:41.000Z;26 likes;47
48;sternzaubereinhorn;Ja ihr könnt stolz auf Geschwister sein. Ich habe leider keine Geschwister und kann leider nicht mit reden. Aber ich denke es muss ein tolles Gefühl sein gegen seitig für ein da zu sein und erst recht zusammen in der Wohnung zu tanzen. Seid gedrückt und bleibt wie ihr seid. 😍;2021-08-01T18:22:41.000Z;7 likes;-
49;gabyd166;Mädelskram ❤️🥰;2021-08-01T18:15:10.000Z;5 likes;-
50;79_lissy;Das ist Geschwisterliebe ☺️👍🏽;2021-08-01T18:13:56.000Z;4 likes;-
51;odetteanagonzalez;Bella😍;2021-08-01T18:04:18.000Z;6 likes;-
52;ka_pi_bavaria;Ist das nicht verbotene amerikanische Musik gewesen?!;2021-08-01T18:04:18.000Z;15 likes;-
53;s_wegfrau;Ja, das sind sie!! Streiten - und dann Sekunden später wieder vertragen und gemeinsam herumtanzen! Daran sollten sich Erwachsenen ein Beispiel nehmen - im Alltag und in der Weltpolitik sowieso!!;2021-08-01T18:03:49.000Z;8 likes;-
54;thisisxalina;Das ist bei mir und meinen Brüdern genauso! Wir streiten uns und 15 Minuten später kommt einer zum anderen ins Zimmer und alles ist wieder gut.;2021-08-01T18:02:57.000Z;4 likes;-
55;o.dani.g.o;Mein erster Gedanke... Ist das Inge? 😅;2021-08-01T17:56:23.000Z;21 likes;-
55-1;ichbinsophiescholl;@_daniel_glas_ Richtig!;2021-08-01T18:02:40.000Z;21 likes;55
56;kex.17;@annaxwa Ne, das ist doch wie Geschwister funktionieren, oder? 😂❤️;2021-08-01T17:54:29.000Z;4 likes;-
57;golakstylee;🙌🙌🙌;2021-08-01T17:54:10.000Z;3 likes;-
58;golakstylee;👏👏👏;2021-08-01T17:54:05.000Z;3 likes;-
59;golakstylee;❤️❤️❤️;2021-08-01T17:54:03.000Z;2 likes;-
60;1.favseries;Wie heißt der Titel?? Shazam wusste es nicht 😢😂;2021-08-01T17:53:36.000Z;5 likes;-
61;diesechristine;Es gibt nichts schöneres als Geschwisterliebe ❤️;2021-08-01T17:52:21.000Z;4 likes;-
62;peanuts_and_brokkoli;Geschwister Liebe ❤️;2021-08-01T17:50:41.000Z;13 likes;-
62-1;ichbinsophiescholl;@zuckerfrei_ohne_verzicht Eine schöne Liebe, oder?;2021-08-01T18:01:00.000Z;24 likes;62
62-2;tragende_liebe;@ichbinsophiescholl eine der schönsten ❤️;2021-08-01T23:22:25.000Z;3 likes;62
63;yvonnejaenich;"""Pack schlägt sich,Pack verträgt sich"" sagt man deshalb...😅💕";2021-08-01T17:49:06.000Z;24 likes;-
64;jule.slllr;Sie sieht so glücklich aus 🙌;2021-08-01T17:48:00.000Z;6 likes;-
65;eschnaaa;So sehr ich mich auch mit meiner Schwester in streiten kann, so sehr lieb ich sie auch. ♥️;2021-08-01T17:47:57.000Z;43 likes;-
65-1;ichbinsophiescholl;@eschnaaa Oh ja! Das empfinde ich sehr ähnlich. Man hat sich ja doch lieb;2021-08-01T17:50:42.000Z;23 likes;65
66;m0nsterkind;war ganz schön überrascht, als ich die Schauspielerin wiedergesehen hab. Damals noch bei dance academy gesehen :);2021-08-01T17:47:30.000Z;22 likes;-
66-1;milenausea;@m0nsterkind DANKE! Ich wusste ich kenne sie und hatte keine Ahnung woher 😂;2021-08-01T17:57:35.000Z;3 likes;66
66-2;m0nsterkind;@tonia.pix sie spielt da eine deutsche austauschschülerin;2021-08-01T18:17:01.000Z;3 likes;66
66-3;eleoxore;@m0nsterkind 😮😮😮😮;2021-08-01T20:15:07.000Z;0;66
67;franz_jos12;Super!!!👍;2021-08-01T17:46:58.000Z;6 likes;-
68;linelovespink;Geschwisterliebe, so ist das!;2021-08-01T17:46:32.000Z;8 likes;-
69;ichbinsophiescholl;#TeamSoffer Die „Schwäbische Kehrwoche“ ist eine regionale Bezeichnung für die geregelte Reinigung gemeinschaftlich genutzter Wohnbereiche und folgt bereits einer langen Tradition. In ihren Grundzügen wurde sie laut Überlieferungen bereits Ende des 15. Jahrhunderts in Form mehrerer Erlasse eingeführt, und 1714 von Herzog Eberhard Ludwig von Württemberg als „Gassenreinigungs-Ordnung“ konkretisiert. Diese diente dem Zweck, die Stuttgarter Straßen zu säubern und noch heute ist die „Kehrwoche“ mit ihren festgelegten Regeln und Abläufen in vielen Haushalten Baden-Württenbergs im Mietvertrag verankert.;2021-08-01T17:46:24.000Z;168 likes;-
69-1;el_nord;@ichbinsophiescholl nicht nur in BaWü...überall, wo Schwaben Häuser besitzen und Vermieter sind😂;2021-08-01T17:48:51.000Z;20 likes;69
69-2;in_leaf_love;@ichbinsophiescholl - das stimmt, als Zugezogene nach Stuttgart musste ich mich erstmal an die Kehrwoche und ihre Ausmaße gewöhnen, u.a. wöchentliche nasse Reinigung der Mülltonnen draußen, komplette Auffahrt und Gehweg ordentlichst fegen, und natürlich alles im Haus wie Flur, Keller usw.. Ich find das Ausmaß und Gewissenhaftigkeit dahinter teils sehr gewöhnungsbedürftig (aus unserer Biotonne könnte man essen, so hygienisch rein ist die 🙈), aber das gehört wohl zum Leben in Stuttgart dazu 🤷‍♀️😅👍🏻;2021-08-01T17:52:11.000Z;11 likes;69
69-3;muc_kind;@ichbinsophiescholl gibt’s auch noch außerhalb baden-württembergs. Finde das gemeinschaftliche Instand-halten gemeinschaftlichen Benutzens eigentlich ok. Wenn man es selber sauber halten muss geht man mit Gemeinschaftseigentum auch anders um.;2021-08-01T17:55:33.000Z;21 likes;69
69-4;mamaisstnurgrasundsteine;@ichbinsophiescholl gibt's auch in Bremen. Aber da sind die meisten Vermieter so schlau und buchen das als extra bektriebskosten und zahlen dann ne Firma. Im Ernst... wer hats chon zeit für so einen Unfug? Ich hab in meinem Leben kein Treppenhaus gereinigt. Und ich bin fast 40 😂;2021-08-01T21:46:18.000Z;5 likes;69
