Link: ;https://www.instagram.com/p/CWlKhrmsxMa/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;vegard_15;😂😂😂🤡🤡🤡💯👃;2022-01-07T14:02:19.000Z;0;-
2;irene.garbe3;Durch Arbeiten nebenbei hab ich es;2021-11-29T10:26:56.000Z;0;-
3;radiumlowi;Ich arbeite am Wochenende und an Wochentagen schreibe ich gleichzeitig (auch während der Pause )die Abschlussarbeit. Geld und Zeit sind bei mir beide sehr knapp...;2021-11-25T14:18:34.000Z;0;-
4;melek_seval;@ichbinsophiescholl wird das ganze auch verfilmt?;2021-11-25T08:51:28.000Z;1 like;-
4-1;ichbinsophiescholl;@melek_seval #TeamSoffer Das Projekt findet verfilmt nur auf Instagram statt. Eine Verfilmung als Spielfilm ist derzeit nicht geplant.;2021-11-25T09:27:13.000Z;2 likes;4
4-2;melek_seval;@ichbinsophiescholl danke;2021-11-25T09:28:28.000Z;0;4
5;fresh_rie;Mein lieber Vater unterstützt mich zum Glück wo er kann. Sonst könnte ich auch nicht einfach so studieren und ein unbezahltes Praxissemester ableisten. Ich hoffe, dass sich eure finanzielle Situation schnell wieder bessert!;2021-11-24T10:37:13.000Z;0;-
6;conna_bn;Sparensparensparen. Meine Großmutter zog mit ihrer Tochter (meiner Mutter) wieder bei ihren Eltern ein… mit unserem Luxus hatte das Leben damals sowieso nichts zu tun.;2021-11-23T22:08:19.000Z;0;-
7;hellwichjustin;Wow so schön;2021-11-23T17:38:02.000Z;0;-
8;green_brown_eyes;Jedes sehe und höre ich dabei die Prozesse im Nachgang des 20. Juli vor mir und das Ende erweckt noch mehr Hochachtung vor diesen jungen Leuten (generell den Menschen der Weißen Rose) in mir.;2021-11-23T09:01:20.000Z;0;-
