Link: ;https://www.instagram.com/p/CYZkVnOM-3t/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;jawiesodasdenn;"Es nützt nichts. Wenn jemand die Geschichte von NürnbergS Bombardierung in der Nacht zum 3.1.1945 kennt, die übrigens sehr schön im Buch""Die zwei Leben der Isolde G."" Von Günther bentele dargestellt ist. Es war eine wolkenlose nacht mit einem Vollmond, unter dem die Stadt wie in einer Spielzeug Landschaft genau zu erkennen war.";2022-01-23T19:59:17.000Z;0;-
2;koch7820;"Maybe, In the future I would call this hilarious.
Now I find it is cheep and tasteless. I wonder why no use was made of Nazi propaganda means: no Nazi logo, no big capital letters, no red and black.

I think this artist went wild on this drawing, with much pleasure. The real artists stopped painting.";2022-01-15T09:59:18.000Z;0;-
3;derandremueller;In der Zukunft wird es eine tolle Punk/Hardcore Band geben, die dieses Bild als Cover verwenden wird. Toxic Reasons wird die Band heißen. 😃;2022-01-11T16:53:24.000Z;1 like;-
4;dave.pengen.duren;"Irgendwo in den Englischsprachgen Medien hab ich mal gehört dass die Plakate so eine Stiländerüng erfahren haben aus einem schönem Optimismus auf eine dunklere Angst gegen den Feind und das Verlieren als es Deutschland schlechter ging.

Dieser Post scheint wohl ein gutes Beispiel zu sein.";2022-01-08T05:38:14.000Z;0;-
5;lxonetwo;Danke Sophie. Nie war die ………;2022-01-08T04:29:50.000Z;0;-
6;tachometra;Wow, killer cover!;2022-01-08T02:45:05.000Z;0;-
7;runners.world.semion;❤️❤️❤️❤️ich lieb dich;2022-01-07T23:28:14.000Z;0;-
8;jo.si.fri;Es ist grässlich;2022-01-07T22:41:59.000Z;0;-
9;hahahahha180;welches datum/ jahr ist es mittlerweile?;2022-01-07T18:40:21.000Z;1 like;-
10;r_100_gs;Fuck. Dieser Account ist soo gut! 🙌;2022-01-07T17:37:11.000Z;0;-
11;benzerofficial0;Nur leider war die Kunst nach dem Krieg ziemlich miserabel;2022-01-07T17:14:33.000Z;0;-
